,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Apero Time Hummus Natuur 200 g,https://cdn.carrefour.eu/160_05713286_5400101047785_00.jpeg,"2,00€",Per stuk,"10,00€",/kg
1,Carrefour Sensation Apero Time Gouda & Cheddar 140 g,https://cdn.carrefour.eu/160_04529609_5400101247031_00.jpeg,"2,50€",Per stuk,"17,86€",/kg
2,Carrefour Bord 3 Smaken 360 g,https://cdn.carrefour.eu/160_05290068_3560070707874_00.jpeg,"3,59€",Per stuk,"11,97€",/kg
3,Carrefour 8 Mini Nems Varken 260 g,https://cdn.carrefour.eu/160_05309924_3560070681198_00.jpeg,"2,69€",Per stuk,"10,35€",/kg
4,Carrefour Sensation Mini Loempia met Kip Zoetzure Saus 12 Stuks 340 g,https://cdn.carrefour.eu/160_04449708_5400101241640_00.jpeg,"4,75€",Per stuk,"13,97€",/kg
5,Carrefour Classic' Gran Antipasto Fijne Sneden 150 g,https://cdn.carrefour.eu/160_01797083_5400101209176_00.jpeg,"4,65€",Per stuk,"31,00€",/kg
6,Carrefour Mini Salami Gerookt met Beukenhout 150 g,https://cdn.carrefour.eu/160_01637792_5400101162396_00.jpeg,"2,49€",Per stuk,"16,60€",/kg
7,Carrefour Sensation Kippenhapjes Gemarineerd & Gebakken 500 g,https://cdn.carrefour.eu/160_04506852_5400101245723_00.jpeg,"4,00€",Per stuk,"8,00€",/kg
8,Carrefour Crispy Bacon 80 g,https://cdn.carrefour.eu/160_04558873_5400101249875_00.jpeg,"2,65€",Per stuk,"33,13€",/kg
9,Carrefour Droge Miniworstjes Maxi Format 200 g,https://cdn.carrefour.eu/160_05095310_3245413444790_00.jpeg,"2,99€",Per stuk,"14,95€",/kg
10,Carrefour Sensation Apero Time Salami 150 g,https://cdn.carrefour.eu/160_05121013_5400101021242_00.jpeg,"2,00€",Per stuk,"13,33€",/kg
11,Carrefour Sensation Apero Time Mini Balletjes 150 g,https://cdn.carrefour.eu/160_05121015_5400101021259_00.jpeg,"2,50€",Per stuk,"16,67€",/kg
12,Carrefour Sensation Apero Time Fuet Spaanse Specialiteit 125 g,https://cdn.carrefour.eu/160_05121016_5400101021266_00.jpeg,"3,00€",Per stuk,"24,00€",/kg
13,Carrefour Salami zonder Look 200 g,https://cdn.carrefour.eu/160_01637940_5400101162365_00.jpeg,"2,75€",Per stuk,"13,75€",/kg
14,Carrefour Salami met Look 200 g,https://cdn.carrefour.eu/160_01637941_5400101162341_00.jpeg,"2,75€",Per stuk,"13,75€",/kg
15,Carrefour Sensation Apero Time Gouda Belegen 140 g,https://cdn.carrefour.eu/160_04543538_5400101248502_00.jpeg,"2,50€",Per stuk,"17,86€",/kg
16,Carrefour Mini Salami met Look 150 g,https://cdn.carrefour.eu/160_04691036_5400101258372_00.jpeg,"2,49€",Per stuk,"16,60€",/kg
17,Carrefour Sensation Apero Time Gouda met Mosterdsaus Selderijzout 425g,https://cdn.carrefour.eu/160_05741113_5400101048942_00.jpeg,"5,00€",Per stuk,"11,76€",/kg
18,"Carrefour Sensation Bruschetta Capra Geitenkaas, Spek, Honing 185 g",https://cdn.carrefour.eu/160_05724209_5400101048485_00.jpeg,"6,00€",Per stuk,"32,43€",/kg
19,Carrefour Sensation Apero Time Kippenspiesjes 100 g,https://cdn.carrefour.eu/160_05604431_5400101048690_00.jpeg,"2,50€",Per stuk,"25,00€",/kg
20,Carrefour Droge Miniworstjes 75 g,https://cdn.carrefour.eu/160_05217209_3560070692842_00.jpeg,"1,19€",Per stuk,"15,87€",/kg
21,Carrefour 8 Mini Nems Garnaal 260 g,https://cdn.carrefour.eu/160_05409994_3560070681259_00.jpeg,"2,75€",Per stuk,"10,58€",/kg
22,"Carrefour Sensation Apero Time Gouda Salami Mosterd, Selderijzout 325g",https://cdn.carrefour.eu/160_05750934_5400101254688_00.jpeg,"5,00€",Per stuk,"15,38€",/kg
23,Carrefour Sensation Apero Time Abdijkaas 150 g,https://cdn.carrefour.eu/160_05731645_5400101048812_00.jpeg,"3,50€",Per stuk,"23,33€",/kg
24,Carrefour Droge Worst Puur Varkensvlees 250 g,https://cdn.carrefour.eu/160_05438218_5400101034600_00.jpeg,"2,09€",Per stuk,"8,36€",/kg
25,Carrefour Sensation Apero Time Droge Worst Natuur 125 g,https://cdn.carrefour.eu/160_05493177_5400101048867_00.jpeg,"3,00€",Per stuk,"24,00€",/kg
26,Carrefour Groene Olijven Ontpit 335 g,https://cdn.carrefour.eu/160_01739201_3560071159443_00.jpeg,"0,85€",Per stuk,"5,31€",/kg
27,Carrefour Sensation Apero Time Guacamole 200 g,https://cdn.carrefour.eu/160_05713281_5400101047761_00.jpeg,"3,00€",Per stuk,"15,00€",/kg
28,Carrefour Apero Time Halfgedroogde Tomaten 150 g,https://cdn.carrefour.eu/160_05713300_5400101047792_00.jpeg,"2,50€",Per stuk,"16,67€",/kg
29,Carrefour Sensation Apero Time Tzatziki 175 g,https://cdn.carrefour.eu/160_05713302_5400101047808_00.jpeg,"2,00€",Per stuk,"12,50€",/kg
30,Carrefour Apero Time Mini Rode Paprika's met Ricotta 150 g,https://cdn.carrefour.eu/160_05713331_5400101047822_00.jpeg,"3,00€",Per stuk,"20,00€",/kg
31,Carrefour Sensation Apero Time Gouda & Cheddar 140 g,https://cdn.carrefour.eu/160_04529609_5400101247031_00.jpeg,"2,50€",Per stuk,"17,86€",/kg
32,"Carrefour Dip Tomatentapenade, Hummus, Guacamole en Tzatziki 350 g",https://cdn.carrefour.eu/160_06003034_5400101064256_00.jpeg,"4,00€",Per stuk,"11,43€",/kg
33,Carrefour Snack Paprika's 150 g,https://cdn.carrefour.eu/160_06062451_5400101067103_00.jpeg,"2,00€",Per stuk,"13,33€",/kg
34,Carrefour Snack Radijzen 200 g,https://cdn.carrefour.eu/160_06062453_5400101067127_00.jpeg,"1,49€",Per stuk,"7,45€",/kg
35,Carrefour Snack Komkommers 200 g,https://cdn.carrefour.eu/160_06062455_5400101067141_00.jpeg,"2,89€",Per stuk,"14,45€",/kg
36,"Carrefour Sensation Bruschetta Capra Geitenkaas, Spek, Honing 185 g",https://cdn.carrefour.eu/160_05724209_5400101048485_00.jpeg,"6,00€",Per stuk,"32,43€",/kg
37,Carrefour Sensation Apero Time Kippenspiesjes 100 g,https://cdn.carrefour.eu/160_05604431_5400101048690_00.jpeg,"2,50€",Per stuk,"25,00€",/kg
38,Carrefour Droge Miniworstjes 75 g,https://cdn.carrefour.eu/160_05217209_3560070692842_00.jpeg,"1,19€",Per stuk,"15,87€",/kg
39,Carrefour Sensation Apero Time Gouda met Mosterdsaus Selderijzout 425g,https://cdn.carrefour.eu/160_05741113_5400101048942_00.jpeg,"5,00€",Per stuk,"11,76€",/kg
40,Carrefour Sensation Apero Time Tarama 200 g,https://cdn.carrefour.eu/160_05484085_5400101217188_00.jpeg,"2,00€",Per stuk,"10,00€",/kg
41,"Carrefour Sensation Apero Time Gouda Salami Mosterd, Selderijzout 325g",https://cdn.carrefour.eu/160_05750934_5400101254688_00.jpeg,"5,00€",Per stuk,"15,38€",/kg
42,Carrefour Bladerdeeg met Geitenkaas met Honing 2 x 50 g,https://cdn.carrefour.eu/160_04857814_5400101006171_00.jpeg,"2,59€",Per stuk,"25,90€",/kg
43,Carrefour Sensation Apero Time Mini Pizzas Bolognese 128 g,https://cdn.carrefour.eu/160_04859599_5400101006683_00.jpeg,"4,00€",Per stuk,"31,25€",/kg
44,Carrefour Chorizo Pikant 225 g,https://cdn.carrefour.eu/160_05862338_3560071252052_00.jpeg,"2,25€",Per stuk,"10,00€",/kg
45,Carrefour Chorizo Mild 225 g,https://cdn.carrefour.eu/160_05862307_3560071252038_00.jpeg,"2,25€",Per stuk,"10,00€",/kg
46,Carrefour Apero Time Tarama Premium met Gerookte Kabeljauweieren 180 g,https://cdn.carrefour.eu/160_05931442_5400101059184_00.jpeg,"2,50€",Per stuk,"13,89€",/kg
47,Carrefour 8 Mini Nems Garnaal 260 g,https://cdn.carrefour.eu/160_05409994_3560070681259_00.jpeg,"2,75€",Per stuk,"10,58€",/kg
