,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Grant's Triple Wood Blended Scotch Whisky 70 cl,https://cdn.carrefour.eu/160_00171003_5010327000404_00.jpeg,"18,55€",Per stuk,"26,99€",/l
1,Crema di Limoncello 50 cl,https://cdn.carrefour.eu/160_05277562_3560070722815_00.jpeg,"7,99€",Per stuk,"15,98€",/l
2,Carrefour Kids Fiestabul Koolzuurhoudend Appelsap 75 cl,https://cdn.carrefour.eu/160_04549873_3560071152260_00.jpeg,"2,05€",Per stuk,"2,73€",/l
3,Cantrini Bianco Boisson Arômatisée à Base de Vin 75 cl,https://cdn.carrefour.eu/160_04988903_5411353033259_00.jpeg,"2,49€",Per stuk,"3,32€",/l
4,Cantrini Rosso Boisson Arômatisée à Base de Vin 75 cl,https://cdn.carrefour.eu/160_04989511_5411353033150_00.jpeg,"2,49€",Per stuk,"3,32€",/l
5,Carrefour Sangria met Spaanse Wijn 1 L,https://cdn.carrefour.eu/160_05940578_3560071101435_00.jpeg,"1,65€",Per stuk,"1,65€",/l
6,Gordon's London Dry Gin 70 cl,https://cdn.carrefour.eu/160_05443442_5000289925440_00.jpeg,"17,49€",Per stuk,"24,99€",/l
7,Campari 70 cl,https://cdn.carrefour.eu/160_00169510_3057770000508_00.jpeg,"18,95€",Per stuk,"27,07€",/l
8,Funny Pisang Zero 0% Alc 70 cl,https://cdn.carrefour.eu/160_01086343_5411353621012_00.jpeg,"4,95€",Per stuk,"7,07€",/l
9,Pacfic Non Alcoholic Original 1 L,https://cdn.carrefour.eu/160_00169527_3163937310004_00.jpeg,"8,69€",Per stuk,"8,69€",/l
10,Ricard Pastis de Marseille France 70 cl,https://cdn.carrefour.eu/160_00169534_3163937011000_00.jpeg,"19,99€",Per stuk,"29,13€",/l
11,Santa Luzia Medium Madeira Dry 37.5 cl,https://cdn.carrefour.eu/160_01010069_5010867900080_00.jpeg,"5,15€",Per stuk,"13,73€",/l
12,Ouzo 12 70 cl,https://cdn.carrefour.eu/160_00169541_5201003110702_00.jpeg,"19,05€",Per stuk,"27,21€",/l
13,Kidibul Appel 75 cl,https://cdn.carrefour.eu/160_01088541_5415270100322_00.jpeg,"3,09€",Per stuk,"4,12€",/l
14,Cynar 70 cl,https://cdn.carrefour.eu/160_00169589_8002240001023_00.jpeg,"15,75€",Per stuk,"22,50€",/l
15,"Distillerie Artisanale Hepp Eau de Vie Poire Williams 0,50 L",https://cdn.carrefour.eu/160_05580203_3303280503405_00.jpeg,"18,09€",Per stuk,"36,18€",/l
16,Fine Marignan Spiritueux 70 cl,https://cdn.carrefour.eu/160_05639884_5411353033655_00.jpeg,"11,65€",Per stuk,"16,64€",/l
17,Porto Cruz Tawny 75 cl,https://cdn.carrefour.eu/160_00164104_3147690089704_00.jpeg,"9,15€",Per stuk,"12,20€",/l
18,Sandeman White Porto Portugal 75 cl,https://cdn.carrefour.eu/160_00164128_5601083641101_00.jpeg,"8,99€",Per stuk,"11,99€",/l
19,Dow's Fine Ruby Port Porto 75 cl,https://cdn.carrefour.eu/160_00164135_5010867220126_00.jpeg,"7,49€",Per stuk,"9,99€",/l
20,Sandeman Ruby Porto Portugal 75 cl,https://cdn.carrefour.eu/160_00164142_5601083001585_00.jpeg,"8,99€",Per stuk,"11,99€",/l
21,Dow's Fine White Port Porto 75 cl,https://cdn.carrefour.eu/160_00164159_5010867230125_00.jpeg,"7,49€",Per stuk,"9,99€",/l
22,Amaretto Casoni liquore 70 cl,https://cdn.carrefour.eu/160_01026842_8001500002183_00.jpeg,"8,75€",Per stuk,"12,50€",/l
23,Fino Solana Sherry 75 cl,https://cdn.carrefour.eu/160_00164320_8420255100089_00.jpeg,"3,49€",Per stuk,"4,65€",/l
24,Solana Medium sherry 75 cl,https://cdn.carrefour.eu/160_00164337_20034559_00.jpeg,"3,49€",Per stuk,"4,65€",/l
25,Samos Muscat 75 cl,https://cdn.carrefour.eu/160_00164368_5410016001154_00.jpeg,"7,39€",Per stuk,"9,85€",/l
26,Glenfiddich Single Malt Scotch Whisky 15YO 0.7L,https://cdn.carrefour.eu/160_01504670_5010327325125_00.jpeg,"56,75€",Per stuk,"81,07€",/l
27,Smeets Extra Hasseltse Graanjenever 1 L,https://cdn.carrefour.eu/160_00170024_5410293814065_00.jpeg,"20,69€",Per stuk,"20,69€",/l
28,Croonenberghs Jenever Hasselt 1 L,https://cdn.carrefour.eu/160_00170079_5410293046619_00.jpeg,"12,79€",Per stuk,"12,79€",/l
