,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Voedende Verzorging Droge Voeten 75 ml,https://cdn.carrefour.eu/160_05496359_3560070231614_00.jpeg,"2,85€",Per stuk,"38,00€",/l
1,Carrefour Doorzichtige Pleisters Waterproof x 20,https://cdn.carrefour.eu/160_05617987_3245413126146_00.jpeg,"1,19€",Per stuk,"1,19€",/stuk
2,Carrefour Voorgeknipte Watten 200 g,https://cdn.carrefour.eu/160_04017425_3560070138296_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
3,Carrefour Lenzenvloeistof 360 ml,https://cdn.carrefour.eu/160_04876841_3560070309863_01.jpeg,"5,99€",Per stuk,"16,64€",/l
4,Carrefour 20 Pleisters 3 Maten,https://cdn.carrefour.eu/160_04424029_3560071227142_00.jpeg,"0,99€",Per stuk,"0,99€",/stuk
5,Carrefour Intieme Gel 250 ml,https://cdn.carrefour.eu/160_05069370_3560070527328_00.jpeg,"3,09€",Per stuk,"12,36€",/l
6,Carrefour Universele Pleisters Waterproof x 10,https://cdn.carrefour.eu/160_05563387_3245413127358_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
7,Carrefour Kleefpleister Wit Stof 5 m x 2.5 cm,https://cdn.carrefour.eu/160_05156181_3245413127310_00.jpeg,"1,49€",Per stuk,"1,49€",/stuk
8,Carrefour Herstellende Verzorging Beschadigde Voeten 75 ml,https://cdn.carrefour.eu/160_05496412_3560070487608_00.jpeg,"2,85€",Per stuk,"38,00€",/l
9,Carrefour Oordopjes Schuim 4 Paar > 37 db,https://cdn.carrefour.eu/160_05526230_3560071228330_00.jpeg,"4,49€",Per stuk,"4,49€",/stuk
10,Carrefour Soft Universele Pleisters Waterbestendig 40 Stuks,https://cdn.carrefour.eu/160_05573447_3245413126337_00.jpeg,"1,65€",Per stuk,"1,65€",/stuk
11,Carrefour Soft Pleisters Gevoelige Huid 10 Stuks,https://cdn.carrefour.eu/160_05582539_3560070934744_00.jpeg,"1,65€",Per stuk,"1,65€",/stuk
12,Carrefour Doorzichtige Pleisters Waterproof x 40,https://cdn.carrefour.eu/160_05573530_3245413126139_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
13,Carrefour Stevige Pleisters Elastisch x 20,https://cdn.carrefour.eu/160_05573531_3245413125323_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
14,Carrefour Soft Stevige Pleisters Elastisch 40 Stuks,https://cdn.carrefour.eu/160_05617986_3560070593422_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
15,Carrefour Soft Pleisters Gevoelige Huid 20 Stuks,https://cdn.carrefour.eu/160_05560428_3245413125491_00.jpeg,"0,79€",Per stuk,"0,79€",/stuk
16,Carrefour Blarenpleisters x 6,https://cdn.carrefour.eu/160_05560429_3245413124814_00.jpeg,"2,05€",Per stuk,"2,05€",/stuk
17,Carrefour Soft Stevige Pleisters Om af te Knippen 10 Stuks,https://cdn.carrefour.eu/160_05562202_3245413126993_00.jpeg,"1,19€",Per stuk,"1,19€",/stuk
18,Carrefour Zwangerschapstest Quid? x2,https://cdn.carrefour.eu/160_05221126_5400101023840_00.jpeg,"9,99€",Per stuk,"9,99€",/stuk
19,Carrefour Zwangerschapstest Quid?,https://cdn.carrefour.eu/160_05221127_5400101023857_01.jpeg,"5,99€",Per stuk,"5,99€",/stuk
20,Carrefour Likdoornpleisters Hydrocolloidgel x 8,https://cdn.carrefour.eu/160_05267872_3560070671656_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
21,Carrefour Vingerpleisters Flexibel x 16,https://cdn.carrefour.eu/160_05267873_3560070671625_00.jpeg,"1,79€",Per stuk,"1,79€",/stuk
22,Carrefour Soft Waterdichte Pleisters Bad & Douche 20 Stuks,https://cdn.carrefour.eu/160_05586917_3245413125316_00.jpeg,"1,79€",Per stuk,"1,79€",/stuk
23,Carrefour Universele Pleisters Waterproof 100 Stuks,https://cdn.carrefour.eu/160_05587019_3245413199843_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
24,Carrefour Universele Pleisters Waterproof x 10,https://cdn.carrefour.eu/160_05563387_3245413127358_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
25,Carrefour Eerstehulpkit,https://cdn.carrefour.eu/160_06660194_3560071230135_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
26,Durex Massage Glijmiddel Aloë Vera - Verzachtend 200 ml,https://cdn.carrefour.eu/160_04839299_5038483499948_00.jpeg,"10,05€",Per stuk,"52,25€",/l
27,Hansaplast Foot Expert Silver Active Anti-Transpirant 150 ml,https://cdn.carrefour.eu/160_04922423_4005800083259_00.jpeg,"7,09€",Per stuk,"47,27€",/l
28,Biover Echinacea forte 22 g,https://cdn.carrefour.eu/160_05062019_5412141212153_00.jpeg,"10,55€",Per stuk,"10,55€",/stuk
29,"Biover Huid, Haar & Nagels 45 caps. 24 g",https://cdn.carrefour.eu/160_05062203_5412141212368_00.jpeg,"15,89€",Per stuk,"15,89€",/stuk
