,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Nestlé Baby Meal Kokoscurry met Bloemkool 250 g,https://cdn.carrefour.eu/160_06805617_8445290160553_00.jpeg,"2,64€",Per stuk,"10,56€",/kg
1,Nestlé Baby Meal Groenteschotel met Zoete Aardappel 190 g,https://cdn.carrefour.eu/160_06805629_8445290160492_00.jpeg,"2,01€",Per stuk,"10,58€",/kg
2,Nestlé Baby Meal Risotto met wortel en kikkererwten 190 g,https://cdn.carrefour.eu/160_06805628_8445290160478_00.jpeg,"2,01€",Per stuk,"10,58€",/kg
3,Nestlé Baby Meal Tajine met pompoen 250 g,https://cdn.carrefour.eu/160_06801090_8445290160577_00.jpeg,"2,64€",Per stuk,"10,56€",/kg
4,Carrefour Baby Bio Appel Kweepeer vanaf 6 Maanden 4 x 100 g,https://cdn.carrefour.eu/160_05265541_3560070700356_00.jpeg,"2,19€",Per stuk,"5,48€",/kg
5,Carrefour Baby Bio Appel Mango vanaf 6 Maanden 4 x 100 g,https://cdn.carrefour.eu/160_04936113_3245414376366_00.jpeg,"2,19€",Per stuk,"5,48€",/kg
6,Carrefour Baby Bio Groenten en Kalfsvlees vanaf 8 Maanden 2 x 200 g,https://cdn.carrefour.eu/160_06182505_3560071213558_00.jpeg,"2,25€",Per stuk,"5,63€",/kg
7,"Carrefour Baby Bio Groene Groenten, Aardappel, Rijst vanaf 12 Maanden 230 g",https://cdn.carrefour.eu/160_06358850_3560071284152_00.jpeg,"1,89€",Per stuk,"8,22€",/kg
8,"Carrefour Baby Bio Aardappel, Courgette en Rund 6M+ 2 x 200 g",https://cdn.carrefour.eu/160_06358854_3560071283902_00.jpeg,"2,39€",Per stuk,"5,98€",/kg
9,"Carrefour Baby Bio Tomaat, Courgette, Deegwaren 12M+ 2 x 200 g",https://cdn.carrefour.eu/160_06358823_3560071284114_00.jpeg,"2,39€",Per stuk,"5,98€",/kg
10,Carrefour Baby Bio Risotto met Zalm en Paddenstoel 18M+ 260 g,https://cdn.carrefour.eu/160_06358928_3560071284510_00.jpeg,"2,15€",Per stuk,"8,27€",/kg
11,"Carrefour Baby Bio Courgette,Tarwe,Pastinaak,Kalkoen vanaf 18 M 260g",https://cdn.carrefour.eu/160_06358942_3560071284459_00.jpeg,"2,15€",Per stuk,"8,27€",/kg
12,Carrefour Baby Bio Wortel vanaf 4 Maanden 2 x 120 g,https://cdn.carrefour.eu/160_06204338_3560071209513_00.jpeg,"1,49€",Per stuk,"6,21€",/kg
13,"Carrefour Baby Bio Sperziebonen, Aardappel vanaf 4 Maanden 2 x 120 g",https://cdn.carrefour.eu/160_06204340_3560071206307_00.jpeg,"1,49€",Per stuk,"6,21€",/kg
14,Carrefour Baby Bio Zoete Aardappel vanaf 4 Maanden 2 x 120 g,https://cdn.carrefour.eu/160_06204341_3560071215569_00.jpeg,"1,49€",Per stuk,"6,21€",/kg
15,"Carrefour Baby Bio Wortel, Aardappel en Zalm vanaf 8 Maanden 2 x 200 g",https://cdn.carrefour.eu/160_06182503_3560071210960_00.jpeg,"2,25€",Per stuk,"5,63€",/kg
16,Carrefour Baby Bio Koekjes met Stukjes Chocolade 18M+ 200 g,https://cdn.carrefour.eu/160_06358709_3560071281304_00.jpeg,"3,45€",Per stuk,"17,25€",/kg
17,Carrefour Baby Bio Hachis Parmentier vanaf 12 Maanden 230 g,https://cdn.carrefour.eu/160_06358883_3560071284244_00.jpeg,"1,89€",Per stuk,"8,22€",/kg
18,Carrefour Baby Bio Groenten Baskisch Gevogelte vanaf 15 Maanden 250 g,https://cdn.carrefour.eu/160_06358921_3560071284336_00.jpeg,"2,15€",Per stuk,"8,60€",/kg
19,Carrefour Baby Bio Spaghetti Bolognese vanaf 15 Maanden 250 g,https://cdn.carrefour.eu/160_06358925_3560071284367_00.jpeg,"2,15€",Per stuk,"8,60€",/kg
20,"Carrefour Baby Bio Aardappel, Ricotta Deegwaren Spinazie 8M+ 2 x 200 g",https://cdn.carrefour.eu/160_06766792_3560071304713_00.jpeg,"2,45€",Per stuk,"12,25€",/kg
