,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Varkensvlees voor Pita 0.500 kg,https://cdn.carrefour.eu/160_01613082_5400101254176_00.jpeg,"5,50€",Per stuk,"11,00€",/kg
1,Carrefour Varkens- en Rundworst 2 Stuks 0.260 kg,https://cdn.carrefour.eu/160_01617464_5400101034099_00.jpeg,"2,70€",Per stuk,"11,25€",/kg
2,Carrefour The Market Kalfsmedaillon,https://cdn.carrefour.eu/160_01610274_2720184000000_00.jpeg,"
Max.5,68€",Per stuk,"22,70€",/kg
3,Carrefour Kippenborstfilet Reepjes,https://cdn.carrefour.eu/160_01615124_2726195000000_00.jpeg,"
Max.7,30€",Per stuk,"14,60€",/kg
4,Carrefour Kippenboutfilet 500 g,https://cdn.carrefour.eu/160_01615866_5400101253131_00.jpeg,"5,50€",Per stuk,"11,00€",/kg
5,Carrefour Lamskroon Koteletten,https://cdn.carrefour.eu/160_01611910_2727180000000_00.jpeg,"
Max.14,27€",Per stuk,"36,60€",/kg
6,Carrefour Lamskoteletten,https://cdn.carrefour.eu/160_01611920_2725415000000_00.jpeg,"
Max.4,99€",Per stuk,"24,95€",/kg
7,Carrefour Assortiment Barbecue Worstjes,https://cdn.carrefour.eu/160_01617198_5400101036130_00.jpeg,"4,00€",Per stuk,"11,43€",/kg
8,Carrefour Gehakte Lamskotelet 0.260 kg,https://cdn.carrefour.eu/160_01617220_5400101036116_00.jpeg,"4,00€",Per stuk,"15,04€",/kg
9,Carrefour Wiener Schnitzel 0.250 kg,https://cdn.carrefour.eu/160_01617592_5400101252226_00.jpeg,"2,50€",Per stuk,"10,00€",/kg
10,Carrefour Varkenskotelet,https://cdn.carrefour.eu/160_01611702_2721581000000_00.jpeg,"
Max.3,33€",Per stuk,"9,50€",/kg
11,Carrefour Varkenshaasje,https://cdn.carrefour.eu/160_01611706_2720874000000_00.jpeg,"
Max.6,72€",Per stuk,"16,00€",/kg
12,Carrefour Boomstammetjes 3 Stuks 0.240 kg,https://cdn.carrefour.eu/160_01617772_5400101252394_00.jpeg,"2,50€",Per stuk,"10,42€",/kg
13,Carrefour Varkensspiering,https://cdn.carrefour.eu/160_01611002_2726835000000_00.jpeg,"
Max.1,76€",Per stuk,"8,80€",/kg
14,Carrefour Boerenchipolata 0.364 kg,https://cdn.carrefour.eu/160_01611712_2721066000000_00.jpeg,"
Max.4,27€",Per stuk,"12,95€",/kg
15,Carrefour Gyros 0.500 kg,https://cdn.carrefour.eu/160_01613154_5400101033115_00.jpeg,"5,50€",Per stuk,"11,00€",/kg
16,Carrefour Chipolata met Fijne Kruiden 0.420 kg,https://cdn.carrefour.eu/160_01613488_5400101028999_00.jpeg,"4,40€",Per stuk,"11,00€",/kg
17,Carrefour Ardeens Gebraad,https://cdn.carrefour.eu/160_01613510_2956304900000_00.jpeg,"
Max.11,22€",Per stuk,"13,20€",/kg
18,Carrefour Ardeense Oester,https://cdn.carrefour.eu/160_01613512_2956305100000_00.jpeg,"
Max.4,16€",Per stuk,"13,00€",/kg
19,Carrefour Ribbetjes Honing,https://cdn.carrefour.eu/160_01613950_2721447000000_00.jpeg,"
Max.8,75€",Per stuk,"13,25€",/kg
20,Carrefour Kippenborstfilet 0.600 kg,https://cdn.carrefour.eu/160_01615470_5400101007123_00.jpeg,"4,20€",Per stuk,"7,00€",/kg
21,Carrefour Kippenborstfilet 1.000 kg,https://cdn.carrefour.eu/160_01615480_5400101007147_00.jpeg,"11,50€",Per stuk,"11,50€",/kg
22,Carrefour Luikse Boerenworst 0.260 kg,https://cdn.carrefour.eu/160_01617352_5400101039551_00.jpeg,"2,70€",Per stuk,"11,25€",/kg
23,Carrefour Chipolata Varken/Kalf 0.210 kg,https://cdn.carrefour.eu/160_01617356_5400101040533_00.jpeg,"2,20€",Per stuk,"11,00€",/kg
24,Carrefour Chipolata Varken/Kalf 0.420 kg,https://cdn.carrefour.eu/160_01617358_5400101040557_00.jpeg,"4,40€",Per stuk,"11,00€",/kg
25,Carrefour Verse Balletjes 0.450 kg,https://cdn.carrefour.eu/160_01617362_5400101240391_00.jpeg,"5,00€",Per stuk,"11,11€",/kg
