,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Original Sandwiches met Boter 10 Stuks 450 g,https://cdn.carrefour.eu/160_04875048_5400101030602_00.jpeg,"1,39€",Per stuk,"3,09€",/kg
1,Carrefour Geroosterde Broodjes met Volkorenmeel 225 g,https://cdn.carrefour.eu/160_04624354_3270190007425_00.jpeg,"1,35€",Per stuk,"6,00€",/kg
2,Carrefour Toast Beschuiten Natuur 2 x 125 g,https://cdn.carrefour.eu/160_05000706_5400101009530_00.jpeg,"1,09€",Per pak,"4,36€",/kg
3,Carrefour Geroosterde Broodjes met Volkorenmeel 225 g,https://cdn.carrefour.eu/160_04634617_3270190178927_00.jpeg,"1,35€",Per stuk,"6,00€",/kg
4,Carrefour Mini Focaccia Zwarte Olijven 150 g,https://cdn.carrefour.eu/160_05743064_5400101048973_00.jpeg,"1,59€",Per stuk,"10,60€",/kg
5,Carrefour Toast Tarwe 250 g,https://cdn.carrefour.eu/160_04494503_3270190178941_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
6,Carrefour Beschuiten met Tarwe 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004841_5400101201729_00.jpeg,"1,09€",Per stuk,"3,63€",/kg
7,Carrefour Beschuiten met Tarwe 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004842_5400101201712_00.jpeg,"1,55€",Per stuk,"5,17€",/kg
8,Carrefour Beschuiten met Volkorenmeel 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004843_5400101201705_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
9,Carrefour Classic' Cracker's 3 x 100 g,https://cdn.carrefour.eu/160_05618065_3560070961092_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
10,Carrefour Rijstwafels met Melkchocolade 6 Stuks 100 g,https://cdn.carrefour.eu/160_05322023_5400101028722_00.jpeg,"0,85€",Per stuk,"8,50€",/kg
11,Carrefour Crackers Pizza 85 g,https://cdn.carrefour.eu/160_06338889_3560070718542_00.jpeg,"0,89€",Per stuk,"10,47€",/kg
12,Carrefour Beschuiten 800 g,https://cdn.carrefour.eu/160_05559275_3560070825219_00.jpeg,"2,35€",Per stuk,"2,94€",/kg
13,Carrefour Extra Pasteitjes Ronde 100 g,https://cdn.carrefour.eu/160_01669323_5400101170582_00.jpeg,"0,99€",Per stuk,"9,90€",/kg
14,Carrefour Original Sandwiches met Boter 4 Stuks 180 g,https://cdn.carrefour.eu/160_01949894_5400101218611_00.jpeg,"0,99€",Per stuk,"5,50€",/kg
15,Carrefour Bio Multigranen Rijstwafels 130 g,https://cdn.carrefour.eu/160_01463355_5400101155527_00.jpeg,"0,88€",Per stuk,"6,77€",/kg
16,Carrefour Bio Toasts met Rogge en Sesamzaad 200 g,https://cdn.carrefour.eu/160_05898186_3560071014186_00.jpeg,"1,39€",Per stuk,"6,95€",/kg
17,La Lorraine Verse Boter Sandwich 6 x 45 g,https://cdn.carrefour.eu/160_05806694_5410683617795_00.jpeg,"2,80€",Per stuk,"2,80€",/stuk
18,Simpl Sandwiches 15 Stuks 675 g,https://cdn.carrefour.eu/160_04875050_5400101030466_00.jpeg,"1,49€",Per stuk,"2,21€",/kg
19,LU Cracotte Koeken Ontbijt Craquinette Aardbei 200 g,https://cdn.carrefour.eu/160_05179000_3041090061646_00.jpeg,"2,85€",Per stuk,"14,25€",/kg
20,Wasa Delicate Crisp Rosemary & Sea Salt 190 g,https://cdn.carrefour.eu/160_05197128_7300400482622_00.jpeg,"2,17€",Per stuk,"11,42€",/kg
21,LU Heudebert Toast Crackersgeroosterd Brood 500 g,https://cdn.carrefour.eu/160_05290454_7622210100580_00.jpeg,"3,44€",Per stuk,"6,88€",/kg
22,N.A! Rice Crackers Paprika 35 g,https://cdn.carrefour.eu/160_05863533_3609200007238_00.jpeg,"1,41€",Per stuk,"40,29€",/kg
23,Carrefour Bio Rijstwafels met Laagje Zwarte Chocolade 8 Stuks 100 g,https://cdn.carrefour.eu/160_05750796_3245412997952_00.jpeg,"0,89€",Per stuk,"8,90€",/kg
24,Carrefour Bio Rijstwafels met Laagje Zwarte Chocolade 8 Stuks 100 g,https://cdn.carrefour.eu/160_05750796_3245412997952_00.jpeg,"0,89€",Per stuk,"8,90€",/kg
25,Carrefour Bio Maïswafels Zwarte Chocolade 100 g,https://cdn.carrefour.eu/160_05750797_3560070725618_00.jpeg,"1,25€",Per stuk,"12,50€",/kg
26,LU Heudebert Toast Crackers 6granen 300 g,https://cdn.carrefour.eu/160_01470752_5410041145700_00.jpeg,"2,92€",Per stuk,"9,73€",/kg
27,Céréal Glutenfree Bio Crackers Rijst & Kastanje 6 x 7 Stuks 250 g,https://cdn.carrefour.eu/160_05442786_5410063024526_00.jpeg,"6,44€",Per stuk,"25,76€",/kg
28,Carrefour Bio Geroosterde Biogranenbroodjes 225 g,https://cdn.carrefour.eu/160_05755044_3270190191377_00.jpeg,"1,49€",Per stuk,"6,62€",/kg
29,Dr. Karg's Bio Emmentaler & Pompoenpitten 200 g,https://cdn.carrefour.eu/160_05737899_4033634076024_00.jpeg,"3,48€",Per stuk,"17,40€",/kg
30,Dr. Karg's Bio Chia & Haver 200 g,https://cdn.carrefour.eu/160_05737900_4033634062201_00.jpeg,"3,48€",Per stuk,"17,40€",/kg
31,LU Heudebert Toast Crackers Naturel 300 g,https://cdn.carrefour.eu/160_04012717_5410041145502_00.jpeg,"1,59€",Per stuk,"5,30€",/kg
32,LU Heudebert Toast Crackers Laag Zoutgehalte 300 g,https://cdn.carrefour.eu/160_04012718_5410041145601_00.jpeg,"3,59€",Per stuk,"11,97€",/kg
33,Carrefour Bio Volkoren Rijstwafels 100 g,https://cdn.carrefour.eu/160_05749990_3245411253844_00.jpeg,"0,69€",Per stuk,"6,90€",/kg
34,Wasa Sesam 250 g,https://cdn.carrefour.eu/160_05744888_7300400481724_00.jpeg,"1,72€",Per stuk,"6,88€",/kg
35,Carrefour Bio Minirijstwafels met Melkchocolade 60 g,https://cdn.carrefour.eu/160_05750948_3560070725588_00.jpeg,"0,99€",Per stuk,"16,50€",/kg
36,Anco Beschuiten Volkoren 150 g,https://cdn.carrefour.eu/160_04512551_5410028623405_00.jpeg,"3,55€",Per stuk,"23,67€",/kg
37,Pågen Krisprolls Wholegrain 225 g,https://cdn.carrefour.eu/160_04013345_7311071330815_00.jpeg,"2,49€",Per stuk,"11,07€",/kg
38,Pågen Krisprolls Golden Wheat 225 g,https://cdn.carrefour.eu/160_04013346_7311070331417_00.jpeg,"2,55€",Per stuk,"11,33€",/kg
39,Pågen Krisprolls Wholegrain 225 g,https://cdn.carrefour.eu/160_04013347_7311070331318_00.jpeg,"2,65€",Per stuk,"11,78€",/kg
40,Anco Beschuiten Natuur 125 g,https://cdn.carrefour.eu/160_05570901_5410028622705_00.jpeg,"2,15€",Per stuk,"17,20€",/kg
41,LU Cracotte Gourmande Knapperig Recept 250 g,https://cdn.carrefour.eu/160_05571504_7622201130527_00.jpeg,"2,38€",Per stuk,"9,52€",/kg
42,Wasa Vezelrijk 300 g,https://cdn.carrefour.eu/160_05744890_7300400481731_00.jpeg,"1,86€",Per stuk,"6,20€",/kg
43,Carrefour Bio Wafels 4 Granen 100 g,https://cdn.carrefour.eu/160_05751367_3560070443291_00.jpeg,"0,69€",Per stuk,"6,90€",/kg
44,Simpl Beschuiten 13 Stuks 125 g,https://cdn.carrefour.eu/160_05578731_5400101042339_00.jpeg,"0,44€",Per stuk,"3,52€",/kg
45,Rijstwafels 400 g,https://cdn.carrefour.eu/160_05259417_3760092457232_00.jpeg,"3,93€",Per stuk,"9,83€",/kg
46,LU Cracotte Koeken Ontbijt Craquinette Aardbei 200 g,https://cdn.carrefour.eu/160_05179000_3041090061646_00.jpeg,"2,85€",Per stuk,"14,25€",/kg
47,Wasa Delicate Crisp Rosemary & Sea Salt 190 g,https://cdn.carrefour.eu/160_05197128_7300400482622_00.jpeg,"2,17€",Per stuk,"11,42€",/kg
48,Wasa Delicate Crisp Rosemary & Sea Salt 190 g,https://cdn.carrefour.eu/160_05197128_7300400482622_00.jpeg,"2,17€",Per stuk,"11,42€",/kg
49,LU Heudebert Toast Crackersgeroosterd Brood 500 g,https://cdn.carrefour.eu/160_05290454_7622210100580_00.jpeg,"3,44€",Per stuk,"6,88€",/kg
50,LU Cracotte Volkoren 250 g,https://cdn.carrefour.eu/160_05764397_7622201130558_00.jpeg,"2,43€",Per stuk,"9,72€",/kg
51,Dr. Karg's Bio Klassiek 3-Zaden 200 g,https://cdn.carrefour.eu/160_05737898_4033634076000_00.jpeg,"3,36€",Per stuk,"16,80€",/kg
52,N.A! Rice Crackers Paprika 70 g,https://cdn.carrefour.eu/160_05592615_3609200005890_00.jpeg,"2,03€",Per stuk,"29,00€",/kg
53,N.A! Rice Crackers Sea Salt 70 g,https://cdn.carrefour.eu/160_05592616_3609200005739_00.jpeg,"2,03€",Per stuk,"29,00€",/kg
54,LU Cracotte Tarwe Original 250 g,https://cdn.carrefour.eu/160_05681911_7622201131234_00.jpeg,"2,07€",Per stuk,"8,28€",/kg
55,Céréal Glutenfree & Lactosefree Crackers 36 Stuks 250 g,https://cdn.carrefour.eu/160_05442814_5410063023918_00.jpeg,"4,00€",Per stuk,"16,00€",/kg
56,Zonnatura Bio Rijstwafels Appel Kaneel 127 g,https://cdn.carrefour.eu/160_05906460_8711812415082_00.jpeg,"2,23€",Per stuk,"17,56€",/kg
57,Wasa Lichtgewicht 300 g,https://cdn.carrefour.eu/160_05744865_7300400481748_00.jpeg,"1,97€",Per stuk,"6,57€",/kg
58,Wasa Volkoren 260 g,https://cdn.carrefour.eu/160_05744889_7300400481700_00.jpeg,"1,65€",Per stuk,"6,35€",/kg
59,Bosto Bio Linzen Toasts 100 g,https://cdn.carrefour.eu/160_06435726_5410106095674_00.jpeg,"2,75€",Per stuk,"27,50€",/kg
60,Wasa Biologisch Rogge 180 g,https://cdn.carrefour.eu/160_06420681_7300400481816_00.jpeg,"2,54€",Per stuk,"14,11€",/kg
61,Gerlinéa Mijn Pauze Maïswafel Roomkaas & Bieslook Smaak 12 x 10.3 g,https://cdn.carrefour.eu/160_06475895_5410063038424_00.jpeg,"2,53€",Per stuk,"20,40€",/kg
62,Gerlinéa Rijstwafel Melkchocolade & Hazelnoten 8 Stuks 142 g,https://cdn.carrefour.eu/160_06475913_5410063038448_01.jpeg,"3,06€",Per stuk,"21,55€",/kg
63,Smaakt Bio Speltcrackers 200 g,https://cdn.carrefour.eu/160_05824179_8718546990502_00.jpeg,"3,70€",Per stuk,"18,50€",/kg
64,Bosto Bio Toasts Kikkererwten Hummus 122 g,https://cdn.carrefour.eu/160_06463527_5410106095681_00.jpeg,"3,06€",Per stuk,"25,08€",/kg
