,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Duvel Belgian Blond Fles 4 x 330 ml,https://cdn.carrefour.eu/160_06624900_5411681408019_00.jpeg,"6,19€",Per pak,"4,69€",/l
1,Carrefour Kriek Kriekbier Flessen 6 x 25 cl,https://cdn.carrefour.eu/160_05099108_5400101020443_00.jpeg,"4,74€",Per pak,"3,16€",/l
2,Carrefour Tafelbier Tripel Krat 12 x 75 cl,https://cdn.carrefour.eu/160_01746537_5400102098670_00.jpeg,"9,48€",Per pak,"1,05€",/l
3,Carrefour Panaché Alc. <1% Vol. Blikken 6 x 33 cl,https://cdn.carrefour.eu/160_04602446_3560070269297_00.jpeg,"2,94€",Per pak,"1,48€",/l
4,Carrefour Tafelbier Bruin Fles 75 cl,https://cdn.carrefour.eu/160_04012611_5400101178137_00.jpeg,"0,79€",Per stuk,"1,05€",/l
5,Duvel Belgisch Speciaalbier Krat 4 x 6 x 330 ml,https://cdn.carrefour.eu/160_04022135_5411681014517_00.jpeg,"32,35€",Per pak,"4,08€",/l
6,Jupiler Blond Bier Krat 24 x 33 cl,https://cdn.carrefour.eu/160_01738727_5410228165927_00.jpeg,"17,99€",Per pak,"2,27€",/l
7,Chimay Pères Trappistes Flessen 6 x 0.33 L,https://cdn.carrefour.eu/160_05067480_5410908002634_00.jpeg,"9,49€",Per pak,"4,92€",/l
8,Duvel Belgisch Speciaalbier Flessen 6 x 330 ml,https://cdn.carrefour.eu/160_04023180_5411681014463_00.jpeg,"8,09€",Per pak,"4,09€",/l
9,Jupiler Blikken 8 x 50 cl,https://cdn.carrefour.eu/160_05466839_5410228202530_00.jpeg,"9,49€",Per pak,"2,37€",/l
10,Westmalle Trappist Tripel Flessen 4 x 33 cl,https://cdn.carrefour.eu/160_06007086_5412343000237_00.jpeg,"6,49€",Per pak,"4,92€",/l
11,Leffe Belgisch Abdijbier Blond Flessen 8 x 33 cl,https://cdn.carrefour.eu/160_06192274_5410228213963_00.jpeg,"9,75€",Per pak,"3,69€",/l
12,Jupiler Belgische Pils Blikken 6 x 33 cl,https://cdn.carrefour.eu/160_05485484_5410228214946_00.jpeg,"7,89€",Per pak,"3,98€",/l
13,Tripel Karmeliet Flessen 6 x 33 cl,https://cdn.carrefour.eu/160_06385633_5410228265443_00.jpeg,"9,59€",Per pak,"4,84€",/l
14,Atlas Bier Premium Pils Blik 33 cl,https://cdn.carrefour.eu/160_06381242_5410228273530_00.jpeg,"0,35€",Per stuk,"1,06€",/l
15,Palm Krat 4 x 6 x 25 cl,https://cdn.carrefour.eu/160_05171165_5410783003900_00.jpeg,"18,75€",Per pak,"3,13€",/l
16,Brugse Zot Blond krat 4x6x33cl,https://cdn.carrefour.eu/160_05214839_5425017241034_00.jpeg,"41,55€",Per pak,"5,25€",/l
17,St Feuillien Bruin 6 x 4 x 33 cl,https://cdn.carrefour.eu/160_01683597_15412138213214_00.jpeg,"38,89€",Per pak,"4,91€",/l
18,St-Feuillien blond,https://cdn.carrefour.eu/160_01683600_15412138113217_00.jpeg,"38,89€",Per pak,"4,91€",/l
19,Hoegaarden grand cru,https://cdn.carrefour.eu/160_01339333_5410228213338_00.jpeg,"46,49€",Per pak,"5,87€",/l
20,Grimbergen Abdijbier Blond 6.7% ALC Fles 4x6x33cl,https://cdn.carrefour.eu/160_04019647_5410263003437_00.jpeg,"29,39€",Per pak,"3,71€",/l
21,Omer. Traditional Blond Krat 24 x 33 cl,https://cdn.carrefour.eu/160_05033181_5411858000671_00.jpeg,"37,09€",Per pak,"4,68€",/l
22,Maredsous Belgisch Abdijbier Triple Krat 6 x 4 x 330 ml,https://cdn.carrefour.eu/160_05042686_5411681041148_00.jpeg,"46,09€",Per pak,"5,82€",/l
23,Maredsous Belgisch Abdijbeir Blond Fles 6 x 4 x 330 ml,https://cdn.carrefour.eu/160_05042779_5411681041124_00.jpeg,"36,29€",Per pak,"4,58€",/l
24,Kasteelbier bruin,https://cdn.carrefour.eu/160_04878971_5411081001803_00.jpeg,"41,69€",Per pak,"5,26€",/l
25,Grimbergen Abdijbier Blond 6.7% ALC Fles 4x6x33cl,https://cdn.carrefour.eu/160_04019647_5410263003437_00.jpeg,"29,39€",Per pak,"3,71€",/l
26,Omer. Traditional Blond Krat 24 x 33 cl,https://cdn.carrefour.eu/160_05033181_5411858000671_00.jpeg,"37,09€",Per pak,"4,68€",/l
27,Maredsous Belgisch Abdijbier Triple Krat 6 x 4 x 330 ml,https://cdn.carrefour.eu/160_05042686_5411681041148_00.jpeg,"46,09€",Per pak,"5,82€",/l
28,Maredsous Belgisch Abdijbeir Blond Fles 6 x 4 x 330 ml,https://cdn.carrefour.eu/160_05042779_5411681041124_00.jpeg,"36,29€",Per pak,"4,58€",/l
29,Maredsous Belgisch Abdijbier Bruin Krat 6 x 4 x 330 ml,https://cdn.carrefour.eu/160_05042782_5411681041131_00.jpeg,"41,29€",Per pak,"5,21€",/l
