,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Harrys Toastbrood Natuur Extra Zacht Zonder Toegevoegde Suikers 500 g,https://cdn.carrefour.eu/160_05234352_3228857001026_00.jpeg,"2,49€",Per stuk,"4,98€",/kg
1,Harrys Toastbrood Natuur Zonder Korst 500 g,https://cdn.carrefour.eu/160_04676833_3228851001695_00.jpeg,"2,65€",Per stuk,"2,65€",/stuk
2,Harrys 100% Mie Volkoren 20 Sneden 500 g,https://cdn.carrefour.eu/160_04962727_3228857000166_00.jpeg,"3,35€",Per stuk,"6,70€",/kg
3,Carrefour Original Sandwiches met Boter 10 Stuks 450 g,https://cdn.carrefour.eu/160_04875048_5400101030602_00.jpeg,"1,39€",Per stuk,"3,09€",/kg
4,Carrefour Voorgebakken Broodjes 4 Stuks 300 g,https://cdn.carrefour.eu/160_04985123_3245412955389_00.jpeg,"0,59€",Per stuk,"1,97€",/kg
5,Carrefour Halve Stokbroden Voorgebakken 2 Stuks 300 g,https://cdn.carrefour.eu/160_04985162_3245412950872_00.jpeg,"0,59€",Per stuk,"1,97€",/kg
6,Carrefour Classic' Pizzadeeg Dun en Rond 260 g,https://cdn.carrefour.eu/160_04830976_3560071161507_00.jpeg,"1,09€",Per stuk,"4,19€",/kg
7,Carrefour Voorgebakken Ciabatta 250 g,https://cdn.carrefour.eu/160_04953884_3245413857064_00.jpeg,"1,39€",Per stuk,"5,56€",/kg
8,Carrefour Classic' Broodjes Pita Large 5 Stuks 400 g,https://cdn.carrefour.eu/160_04837908_5400101003439_00.jpeg,"1,25€",Per stuk,"3,13€",/kg
9,Carrefour Brioche Gesneden Pure Boter 500 g,https://cdn.carrefour.eu/160_01933656_3270190207924_00.jpeg,"2,65€",Per stuk,"5,30€",/kg
10,Carrefour Melkbroodjes 10 x 35 g,https://cdn.carrefour.eu/160_05136170_3270190024835_00.jpeg,"1,49€",Per stuk,"4,26€",/kg
11,Carrefour Toastbrood Extra Zacht Natuur 24 Sneetjes 500 g,https://cdn.carrefour.eu/160_06307635_3270190021070_00.jpeg,"1,09€",Per stuk,"2,18€",/kg
12,Carrefour Original Pavés Granen 4 Stuks 300 g,https://cdn.carrefour.eu/160_06787026_3560071442484_00.jpeg,"1,89€",Per stuk,"6,30€",/kg
13,Carrefour Zanddeeg 230 g,https://cdn.carrefour.eu/160_05069941_3560071161491_00.jpeg,"1,35€",Per stuk,"5,87€",/kg
14,Carrefour Kruimeldeeg 230 g,https://cdn.carrefour.eu/160_01835862_3560071161460_00.jpeg,"0,85€",Per stuk,"3,70€",/kg
15,Carrefour Vellen van Filo 250 g,https://cdn.carrefour.eu/160_05375771_3560070496600_00.jpeg,"1,99€",Per stuk,"7,96€",/kg
16,Carrefour Voorgebakken Stokbrood 250 g,https://cdn.carrefour.eu/160_05414355_3560070816507_00.jpeg,"1,45€",Per stuk,"5,80€",/kg
17,Carrefour Honingkoek met Parelsuiker Gesneden 500 g,https://cdn.carrefour.eu/160_01672224_5400101174641_00.jpeg,"1,75€",Per stuk,"3,50€",/kg
18,Carrefour Brickvellen 8 Gevouwen Vellen 136 g,https://cdn.carrefour.eu/160_05299348_3560071161514_00.jpeg,"1,49€",Per stuk,"10,96€",/kg
19,Carrefour Bladerdeeg met Boter 230 g,https://cdn.carrefour.eu/160_05526408_3560071161484_00.jpeg,"1,49€",Per stuk,"6,48€",/kg
20,Carrefour Pancakes met Verse Eieren 6 Stuks 132 g,https://cdn.carrefour.eu/160_05424686_3560070805259_00.jpeg,"1,55€",Per stuk,"11,74€",/kg
21,Carrefour Speciaal Sandwichbrood Volkoren 14 Dikke Sneetjes 550 g,https://cdn.carrefour.eu/160_05036089_3560071164706_00.jpeg,"1,55€",Per stuk,"2,82€",/kg
22,Carrefour Speciaal Sandwichbrood Natuur 14 Dikke Sneetjes 550 g,https://cdn.carrefour.eu/160_05036094_3270190207917_00.jpeg,"1,95€",Per stuk,"3,55€",/kg
23,Carrefour Bladerdeeg 230 g,https://cdn.carrefour.eu/160_01835861_3560071161477_00.jpeg,"0,85€",Per stuk,"3,70€",/kg
24,Carrefour Grijs Brood à l'Ancienne 600 g,https://cdn.carrefour.eu/160_06586433_5410766059634_00.jpeg,"2,09€",Per stuk,"2,09€",/stuk
25,Carrefour Authentiek Pompoenpittenbrood 600 g,https://cdn.carrefour.eu/160_06586434_5410766059665_00.jpeg,"2,59€",Per stuk,"2,59€",/stuk
26,Carrefour Authentiek Integraal Brood 600 g,https://cdn.carrefour.eu/160_06586435_5410766059672_00.jpeg,"2,59€",Per stuk,"2,59€",/stuk
27,Carrefour Wit Brood à l'Ancienne 600 g,https://cdn.carrefour.eu/160_06586490_5410766059627_00.jpeg,"2,09€",Per stuk,"2,09€",/stuk
