,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Herta Knacki Veggie 6 Stuks 210 g,https://cdn.carrefour.eu/160_06829133_3154230808435_00.jpeg,"3,45€",Per stuk,"16,43€",/kg
1,Herta Knacki Original  4 Stuks 140 g,https://cdn.carrefour.eu/160_04361442_3154230804024_00.jpeg,"1,88€",Per stuk,"13,43€",/kg
2,Carrefour Kalkoenfilet 8 Sneden 150 g,https://cdn.carrefour.eu/160_01739862_5400101183247_00.jpeg,"2,39€",Per stuk,"15,93€",/kg
3,Carrefour Salami zonder Look 150 g,https://cdn.carrefour.eu/160_01637378_5400101162419_01.jpeg,"1,99€",Per stuk,"13,27€",/kg
4,Carrefour Original Prosciutto di Parma Fijn Gesneden 160 g,https://cdn.carrefour.eu/160_04558897_5400101249905_00.jpeg,"6,49€",Per stuk,"40,56€",/kg
5,Carrefour Gezouten Spek 300 g,https://cdn.carrefour.eu/160_05225788_5400101024052_00.jpeg,"5,09€",Per stuk,"16,97€",/kg
6,Carrefour Spekblokjes Gerookt 2 x 100 g,https://cdn.carrefour.eu/160_05962650_5400101061606_00.jpeg,"2,19€",Per stuk,"10,95€",/kg
7,Carrefour Spekblokjes Gerookt 3 x 100 g,https://cdn.carrefour.eu/160_05962653_5400101061613_00.jpeg,"3,25€",Per stuk,"10,83€",/kg
8,Carrefour Kipfilet Flinterdun 125 g,https://cdn.carrefour.eu/160_05196659_5400101023352_00.jpeg,"3,19€",Per stuk,"25,52€",/kg
9,Carrefour Prosciutto Crudo 120 g,https://cdn.carrefour.eu/160_05951016_5400101060401_00.jpeg,"4,85€",Per stuk,"40,42€",/kg
10,Carrefour Classic' Beenham 150 g,https://cdn.carrefour.eu/160_05870025_5400101056350_00.jpeg,"2,99€",Per stuk,"19,93€",/kg
11,Carrefour Classic' Gekookte Ham 6 Sneden 200 g,https://cdn.carrefour.eu/160_05870048_5400101056374_00.jpeg,"2,99€",Per stuk,"14,95€",/kg
12,Carrefour Gerookt Spek 300 g,https://cdn.carrefour.eu/160_05225627_5400101024045_00.jpeg,"5,09€",Per stuk,"16,97€",/kg
13,Carrefour Classic' Hamreepjes 2 x 100 g,https://cdn.carrefour.eu/160_05871633_5400101056435_00.jpeg,"3,05€",Per stuk,"15,25€",/kg
