,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Lay's Max Smoky Paprika Chips 185 gr,https://cdn.carrefour.eu/160_06793479_8710398524195_00.jpeg,"1,69€",Per stuk,"9,14€",/kg
1,Lay's Max Salt & Black Pepper Chips 185 gr,https://cdn.carrefour.eu/160_06793480_8710398524225_00.jpeg,"1,69€",Per stuk,"9,14€",/kg
2,Lay's Max Double Crunch Spare Ribs Chips 140 gr,https://cdn.carrefour.eu/160_06809569_8710398524706_00.jpeg,"1,69€",Per stuk,"12,07€",/kg
3,Carrefour Apero Time Hummus Natuur 200 g,https://cdn.carrefour.eu/160_05713286_5400101047785_00.jpeg,"2,00€",Per stuk,"10,00€",/kg
4,Carrefour Pops Bacon Smaak 2 x 50 g,https://cdn.carrefour.eu/160_05293586_3270190118756_00.jpeg,"1,15€",Per stuk,"11,50€",/kg
5,Carrefour Groene Olijven Ontpit 335 g,https://cdn.carrefour.eu/160_01739201_3560071159443_00.jpeg,"0,85€",Per stuk,"5,31€",/kg
6,Carrefour Gevulde Flensjes Comté Notensmaak 65 g,https://cdn.carrefour.eu/160_04953831_3560071190408_00.jpeg,"1,69€",Per stuk,"26,00€",/kg
7,Carrefour Gevulde Flensjes Roquefort 65 g,https://cdn.carrefour.eu/160_04953937_3560071190392_00.jpeg,"1,69€",Per stuk,"26,00€",/kg
8,Carrefour Classic' Sticks & Pretzels 300 g,https://cdn.carrefour.eu/160_05308979_3245414021068_00.jpeg,"1,39€",Per stuk,"4,63€",/kg
9,Carrefour Sensation Dipster Smaak Room Ui 175 g,https://cdn.carrefour.eu/160_04671612_3560070254699_00.jpeg,"1,19€",Per stuk,"6,80€",/kg
10,Carrefour Selection Mini Twists Kaas 75 g,https://cdn.carrefour.eu/160_04484302_5400101244641_00.jpeg,"1,75€",Per stuk,"23,33€",/kg
11,Carrefour Pinda's Geroosterd Gezouten 250 g,https://cdn.carrefour.eu/160_01725242_3560071084059_00.jpeg,"0,89€",Per stuk,"3,56€",/kg
12,Carrefour Classic' Cashewnoten Geroosterd Gezouten 125 g,https://cdn.carrefour.eu/160_01725771_3560071083991_00.jpeg,"1,95€",Per stuk,"15,60€",/kg
13,Carrefour Apero Time Mini Toasts 80 g,https://cdn.carrefour.eu/160_04009454_5400101204973_00.jpeg,"0,55€",Per stuk,"6,88€",/kg
14,Carrefour Sensation Dipster Orignal 175 g,https://cdn.carrefour.eu/160_04671539_3560070240258_00.jpeg,"1,19€",Per stuk,"6,80€",/kg
15,Carrefour Sensation Worstjes Cocktail 200 g,https://cdn.carrefour.eu/160_01638176_5400101166745_00.jpeg,"0,69€",Per stuk,"5,75€",/kg
16,Carrefour Sensation Worstjes Cocktail 410 g,https://cdn.carrefour.eu/160_01638514_5400101166783_00.jpeg,"1,25€",Per stuk,"5,21€",/kg
17,Carrefour Pinda's Geroosterd 200 g,https://cdn.carrefour.eu/160_04779286_3560071084042_00.jpeg,"1,29€",Per stuk,"6,45€",/kg
18,Carrefour Selection Cheese Palmiers Pesto & Parmigiano 90 g,https://cdn.carrefour.eu/160_06260592_5400101074798_00.jpeg,"2,39€",Per stuk,"26,56€",/kg
19,Carrefour Selection Cheese Snacks met 3 Granen 100 g,https://cdn.carrefour.eu/160_06260593_5400101075757_00.jpeg,"2,39€",Per stuk,"23,90€",/kg
20,Carrefour Sensation Apero Time Aperitiefschotel  370 g,https://cdn.carrefour.eu/160_06222926_5400101073296_00.jpeg,"4,00€",Per stuk,"10,81€",/kg
21,Carrefour Cashewnoten Geroosterd Gezouten 70 g,https://cdn.carrefour.eu/160_05650073_5400101043749_00.jpeg,"1,49€",Per stuk,"21,29€",/kg
22,Carrefour Amandelen Geroosterd Gezouten 150 g,https://cdn.carrefour.eu/160_05650031_5400101043725_00.jpeg,"3,19€",Per stuk,"21,27€",/kg
23,Carrefour Mini Focaccia Zwarte Olijven 150 g,https://cdn.carrefour.eu/160_05743064_5400101048973_00.jpeg,"1,59€",Per stuk,"10,60€",/kg
24,Carrefour Geroosterde Pindanoten met Honing 125 g,https://cdn.carrefour.eu/160_04866551_3560070344086_00.jpeg,"1,05€",Per stuk,"8,40€",/kg
25,Carrefour Gevulde Koekjes Baconsmaak 65 g,https://cdn.carrefour.eu/160_05297334_3560070719051_00.jpeg,"1,69€",Per stuk,"26,00€",/kg
26,Carrefour Aperitiefhapje Oriental Crackers 200 g,https://cdn.carrefour.eu/160_05029816_5400101018174_00.jpeg,"1,65€",Per stuk,"8,25€",/kg
27,Carrefour Wafeltjes met Kaas 80 g,https://cdn.carrefour.eu/160_05177907_3560070618767_00.jpeg,"1,29€",Per stuk,"16,13€",/kg
28,Carrefour Gevulde Groene Olijven met Paprika 150 g,https://cdn.carrefour.eu/160_05352316_3560070105878_00.jpeg,"1,25€",Per stuk,"8,33€",/kg
29,Carrefour Cocktail Mix Geroosterd en Gezouten 250 g,https://cdn.carrefour.eu/160_05456310_3560070778638_00.jpeg,"3,39€",Per stuk,"13,56€",/kg
30,Carrefour Popcorn Gesuikerd 2 x 100 g,https://cdn.carrefour.eu/160_05946920_3560071080488_00.jpeg,"1,99€",Per stuk,"9,95€",/kg
31,Carrefour Aardnoten Geroosterd Gezouten 90 g,https://cdn.carrefour.eu/160_05650771_5400101043831_00.jpeg,"0,75€",Per stuk,"8,33€",/kg
32,Carrefour Classic' Rings Uiensmaak 60 g,https://cdn.carrefour.eu/160_05293268_3560070718696_00.jpeg,"0,59€",Per stuk,"9,83€",/kg
33,Carrefour Bolletjes Smaak Kaas 75 g,https://cdn.carrefour.eu/160_05694568_3560071038496_00.jpeg,"0,70€",Per stuk,"9,33€",/kg
34,Carrefour Aperitiefhapje Chili Crackers 150 g,https://cdn.carrefour.eu/160_05259727_5400101252622_00.jpeg,"1,65€",Per stuk,"11,00€",/kg
35,Carrefour Sensation Apero Time Guacamole 200 g,https://cdn.carrefour.eu/160_05713281_5400101047761_00.jpeg,"3,00€",Per stuk,"15,00€",/kg
36,Carrefour Apero Time Halfgedroogde Tomaten 150 g,https://cdn.carrefour.eu/160_05713300_5400101047792_00.jpeg,"2,50€",Per stuk,"16,67€",/kg
37,Carrefour Sensation Apero Time Tzatziki 175 g,https://cdn.carrefour.eu/160_05713302_5400101047808_00.jpeg,"2,00€",Per stuk,"12,50€",/kg
38,Carrefour Apero Time Mini Rode Paprika's met Ricotta 150 g,https://cdn.carrefour.eu/160_05713331_5400101047822_00.jpeg,"3,00€",Per stuk,"20,00€",/kg
39,"Carrefour Apero Time Hummus Curry, Ras el Hanout, Wortel & Komijn 210 g",https://cdn.carrefour.eu/160_05717254_5400101048201_00.jpeg,"1,99€",Per stuk,"9,48€",/kg
