,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Classic' Choco's 300 g,https://cdn.carrefour.eu/160_04021607_5400101214415_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
1,Carrefour Pure Chocolade 2 x 200 g,https://cdn.carrefour.eu/160_01525446_5400101160620_00.jpeg,"2,19€",Per stuk,"5,48€",/kg
2,Carrefour Bio Zwarte Chocolade 74% Cacao 100 g,https://cdn.carrefour.eu/160_05747949_3270190127765_00.jpeg,"1,25€",Per stuk,"12,50€",/kg
3,Carrefour Bio Zwarte Chocolade Gekaramelliseerde  Amandel 100 g,https://cdn.carrefour.eu/160_05748040_3560070472918_00.jpeg,"1,75€",Per stuk,"17,50€",/kg
4,Carrefour De Banketbakkers Dessert 52% Cacao 200 g,https://cdn.carrefour.eu/160_04012699_3560071006327_00.jpeg,"1,55€",Per stuk,"7,75€",/kg
5,Carrefour Pralines 250 g,https://cdn.carrefour.eu/160_04564288_5400101250338_00.jpeg,"2,99€",Per stuk,"11,96€",/kg
6,Carrefour Pure Chocolade Fondant 2 x 200 g,https://cdn.carrefour.eu/160_04929956_3560070823857_00.jpeg,"1,49€",Per stuk,"3,73€",/kg
7,Carrefour Pick N' Choc Pinda Melkchocolade 250 g,https://cdn.carrefour.eu/160_05205959_3560070511921_00.jpeg,"1,19€",Per stuk,"4,76€",/kg
8,Carrefour Pop n' Croc Krokante Granen Melkchocolade 175 g,https://cdn.carrefour.eu/160_05197903_3560070504701_00.jpeg,"1,85€",Per stuk,"10,57€",/kg
9,Carrefour Witte Chocolade 2 x 200 g,https://cdn.carrefour.eu/160_04903603_3560070417797_00.jpeg,"2,99€",Per stuk,"7,48€",/kg
10,Carrefour Melkchocolade 2 x 200 g,https://cdn.carrefour.eu/160_01525447_5400101160637_00.jpeg,"2,29€",Per stuk,"5,73€",/kg
11,Carrefour Extra Truffel Cacao 175 g,https://cdn.carrefour.eu/160_04564286_5400101250314_00.jpeg,"1,59€",Per stuk,"9,09€",/kg
12,Carrefour Pure Chocolade met Pralinévulling 200 g,https://cdn.carrefour.eu/160_04927542_3560070428885_00.jpeg,"1,49€",Per stuk,"7,45€",/kg
13,Carrefour Melkchocolade met Pralinévulling 200 g,https://cdn.carrefour.eu/160_04929768_3560070428854_00.jpeg,"1,49€",Per stuk,"7,45€",/kg
14,Carrefour Witte Chocolade met Pralinévulling 200 g,https://cdn.carrefour.eu/160_04929770_3560070428823_00.jpeg,"1,49€",Per stuk,"7,45€",/kg
15,Carrefour Milk n' Nut Melkchocolade Stukjes Hazelnoot 200 g,https://cdn.carrefour.eu/160_05780169_3560070984046_00.jpeg,"2,19€",Per stuk,"10,95€",/kg
16,Carrefour Classic' 170 g,https://cdn.carrefour.eu/160_05509888_5400101038936_00.jpeg,"3,19€",Per stuk,"18,76€",/kg
17,Carrefour Heerlijke Blokjes Zwarte Chocolade Hele Hazelnoten 200 g,https://cdn.carrefour.eu/160_05487980_3560070776177_00.jpeg,"1,85€",Per stuk,"9,25€",/kg
18,Carrefour Heerlijke Blokjes Melkchocolade Hele Hazelnoten 200 g,https://cdn.carrefour.eu/160_05487982_3560070776207_00.jpeg,"1,85€",Per stuk,"9,25€",/kg
19,Carrefour Blokjes Melkchocolade Gekaramelliseerde Amandel & Zout 200 g,https://cdn.carrefour.eu/160_05488085_3560070853175_00.jpeg,"1,85€",Per stuk,"9,25€",/kg
20,Carrefour Extra Mini Chocolade Melk 30 Stuks 300 g,https://cdn.carrefour.eu/160_06315644_5400101076624_00.jpeg,"2,65€",Per stuk,"8,83€",/kg
21,Carrefour Extra Mini Chocolade Puur 30 Stuks 300 g,https://cdn.carrefour.eu/160_06317094_5400101076631_00.jpeg,"2,65€",Per stuk,"8,83€",/kg
22,Carrefour Bio Melkchocolade 100 g,https://cdn.carrefour.eu/160_06751147_3270190128151_00.jpeg,"1,49€",Per stuk,"14,90€",/kg
23,Carrefour Classic' Pure Chocolade 100 g,https://cdn.carrefour.eu/160_05215020_5400101258518_00.jpeg,"1,85€",Per stuk,"18,50€",/kg
24,Carrefour Kids Magische Eieren 3 x 20 g,https://cdn.carrefour.eu/160_05522085_5400101011328_00.jpeg,"1,59€",Per stuk,"26,50€",/kg
