,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Materne Easy Chef Bereiding van Appels en Groenten Tex-Mex Wijze 360 g,https://cdn.carrefour.eu/160_06747457_5410046960797_00.jpeg,"2,64€",Per stuk,"7,33€",/kg
1,Materne Easy Chef Appels en Groenten op Provençaalse Wijze 360 g,https://cdn.carrefour.eu/160_06749700_5410046960803_00.jpeg,"2,64€",Per stuk,"7,33€",/kg
2,Materne Easy Chef Bereiding Appels en Groenten Belgische Wijze 360 g,https://cdn.carrefour.eu/160_06747456_5410046960780_00.jpeg,"2,64€",Per stuk,"7,33€",/kg
3,Carrefour Extra Tonijn in Sneetjes Geelvin in Eigen Nat 2 x 200 g,https://cdn.carrefour.eu/160_04782023_3270190184577_00.jpeg,"3,70€",Per pak,"13,21€",/kg
4,Carrefour Extra Tonijn in Sneetjes in Eigen Nat 400 g,https://cdn.carrefour.eu/160_04005596_3270190184560_00.jpeg,"3,49€",Per stuk,"12,46€",/kg
5,Carrefour Original Vol-au-Vent met Balletjes 800 g,https://cdn.carrefour.eu/160_01669301_5400101170353_00.jpeg,"5,49€",Per stuk,"6,86€",/kg
6,Carrefour Classic' Doperwten Extra Fijn 3 x 200 g,https://cdn.carrefour.eu/160_04776242_3560071205614_00.jpeg,"1,65€",Per stuk,"3,93€",/kg
7,Carrefour Mini Maïskolfjes 340 g,https://cdn.carrefour.eu/160_05082276_5400101019447_00.jpeg,"1,59€",Per stuk,"8,37€",/kg
8,Carrefour Classic' Doperwten Extra Fijn 400 g,https://cdn.carrefour.eu/160_05129085_3560071128647_00.jpeg,"1,15€",Per stuk,"4,11€",/kg
9,Carrefour Mini Groene Asperges 190 g,https://cdn.carrefour.eu/160_04893276_3560070198504_00.jpeg,"1,39€",Per stuk,"13,90€",/kg
10,Carrefour Aspergepunten Wit Zacht 225 g,https://cdn.carrefour.eu/160_04893277_3270190178514_00.jpeg,"1,89€",Per stuk,"14,00€",/kg
11,Carrefour Abrikozen Halve Vruchten op Lichte Siroop 410 g,https://cdn.carrefour.eu/160_01719155_3245412718649_00.jpeg,"1,39€",Per stuk,"5,79€",/kg
12,Carrefour Perziken op Druivensap 410 g,https://cdn.carrefour.eu/160_04009054_5400101204492_00.jpeg,"1,09€",Per stuk,"4,64€",/kg
13,Carrefour Asperges Wit Dik 530 g,https://cdn.carrefour.eu/160_04774709_3270190178538_00.jpeg,"2,65€",Per stuk,"8,28€",/kg
14,Carrefour Classic' Aardappelen 800 g,https://cdn.carrefour.eu/160_01637612_5400101166608_00.jpeg,"1,59€",Per stuk,"3,00€",/kg
15,Carrefour Piperade Bereid op Baskische Wijze 375 g,https://cdn.carrefour.eu/160_01719136_5400101178601_00.jpeg,"0,99€",Per stuk,"2,64€",/kg
16,Carrefour Selection Hele Kastanjes 420 g,https://cdn.carrefour.eu/160_04981519_5400101015364_00.jpeg,"6,85€",Per stuk,"16,31€",/kg
17,Carrefour Hart van Artisjok 400 g,https://cdn.carrefour.eu/160_04024173_3560070854004_00.jpeg,"2,35€",Per stuk,"9,79€",/kg
18,Carrefour Extra Tonijn in Sneetjes Geelvin in Eigen Nat 2 x 133 g,https://cdn.carrefour.eu/160_04656394_3560070216864_00.jpeg,"3,19€",Per stuk,"17,15€",/kg
19,Carrefour Wortelen Geraspt 330 g,https://cdn.carrefour.eu/160_05010343_5400101165984_00.jpeg,"0,65€",Per stuk,"3,42€",/kg
20,Carrefour Perziken Halve Vruchten Lichte Siroop 820 g,https://cdn.carrefour.eu/160_01719158_3270190122197_00.jpeg,"1,99€",Per stuk,"4,23€",/kg
21,Carrefour Compote Appels met Stukken 580 g,https://cdn.carrefour.eu/160_01719161_5400101178854_00.jpeg,"1,09€",Per stuk,"1,88€",/kg
22,Carrefour Classic' Mousseline Appels 580 g,https://cdn.carrefour.eu/160_01719162_5400101178861_00.jpeg,"0,99€",Per stuk,"1,71€",/kg
23,Carrefour Classic' Mousseline Appels 370 g,https://cdn.carrefour.eu/160_01719163_5400101178878_00.jpeg,"0,75€",Per stuk,"2,03€",/kg
