,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Canderel Zoetstof Kristalkorrel Sugarly 250g,https://cdn.carrefour.eu/160_05701492_7640110707050_00.jpeg,"5,77€",Per stuk,"23,08€",/kg
1,Carrefour Tarwebloem T 45 1 kg,https://cdn.carrefour.eu/160_04003840_3560071174576_00.jpeg,"0,85€",Per stuk,"0,85€",/kg
2,Carrefour Original Vanillesuiker Bourbon Vanille 7.5 g,https://cdn.carrefour.eu/160_04887974_5400101010192_00.jpeg,"2,29€",Per stuk,"30,53€",/kg
3,Carrefour Original Suiker Aroma Vanilline 8 g,https://cdn.carrefour.eu/160_01669272_5400101170063_00.jpeg,"0,30€",Per stuk,"3,66€",/kg
4,Carrefour Original Aroma Rum voor Gebak 20 ml,https://cdn.carrefour.eu/160_04834193_5400101261778_00.jpeg,"1,25€",Per stuk,"62,50€",/l
5,Carrefour Original Bakpoeder 6 x 15 g,https://cdn.carrefour.eu/160_04761508_5400101170056_00.jpeg,"0,45€",Per stuk,"4,50€",/kg
6,Carrefour Original Chocolade Schilfers voor Gebak 75 g,https://cdn.carrefour.eu/160_04935570_5400101012516_00.jpeg,"2,15€",Per stuk,"28,67€",/kg
7,Carrefour Original Agaragar Plantaardig Geleermiddel 5 Zakjes 4 g,https://cdn.carrefour.eu/160_04935574_5400101012554_00.jpeg,"4,25€",Per stuk,"212,50€",/kg
8,Carrefour Bio Losse Lichtbruine Rietsuiker 500 g,https://cdn.carrefour.eu/160_05750072_3270190191155_00.jpeg,"1,39€",Per stuk,"2,78€",/kg
9,Carrefour Zoetstof Sucralose x 300 16.5 g,https://cdn.carrefour.eu/160_01683804_3560070788828_00.jpeg,"1,49€",Per stuk,"99,33€",/kg
10,Carrefour Original Tarwebloem voor Cakes met Rijsmiddel 1 kg,https://cdn.carrefour.eu/160_04003838_5400101189515_00.jpeg,"0,99€",Per stuk,"0,99€",/kg
11,Carrefour Tarwebloem Vloeiend T 45 1 kg,https://cdn.carrefour.eu/160_04003839_3560071174583_00.jpeg,"1,09€",Per stuk,"1,09€",/kg
12,Carrefour Pudding Vanillesmaak 3 x 46 g,https://cdn.carrefour.eu/160_01671636_5400101173989_00.jpeg,"0,65€",Per stuk,"4,33€",/kg
13,Carrefour Original Aroma Bitter Amandel voor Gebak 20 ml,https://cdn.carrefour.eu/160_04834140_5400101261761_00.jpeg,"1,25€",Per stuk,"62,50€",/l
14,Carrefour Original Aroma Vanille voor Gebak 20 ml,https://cdn.carrefour.eu/160_04834192_5400101261754_00.jpeg,"1,25€",Per stuk,"62,50€",/l
15,Carrefour Extra Chocoladetaart met Stukjes 8 Stukken 500 g,https://cdn.carrefour.eu/160_04729651_5400101064300_00.jpeg,"2,99€",Per stuk,"5,98€",/kg
16,Carrefour Classic' Topping Aardbeismaak 350 g,https://cdn.carrefour.eu/160_05716451_5400101048195_00.jpeg,"2,19€",Per stuk,"5,97€",/kg
17,Carrefour Original Amandelen in Poeder voor Gebak 125 g,https://cdn.carrefour.eu/160_04887852_5400101010109_00.jpeg,"3,49€",Per stuk,"27,92€",/kg
18,Carrefour Original Amandelen Schilfers 125 g,https://cdn.carrefour.eu/160_04887853_5400101010116_00.jpeg,"3,49€",Per stuk,"27,92€",/kg
19,Carrefour Original Brésilienne Krokant 100 g,https://cdn.carrefour.eu/160_04887854_5400101010123_00.jpeg,"2,79€",Per stuk,"27,90€",/kg
20,Carrefour Original Maïs voor Popcorn 125 g,https://cdn.carrefour.eu/160_04887855_5400101010130_00.jpeg,"0,99€",Per stuk,"7,92€",/kg
21,Carrefour Original Geraspte Kokosnoot voor Gebak 125 g,https://cdn.carrefour.eu/160_04887856_5400101010147_00.jpeg,"1,25€",Per stuk,"10,00€",/kg
22,Carrefour Original Gelatine voor Gebak 12 g,https://cdn.carrefour.eu/160_04887973_5400101010185_00.jpeg,"0,89€",Per stuk,"0,89€",/stuk
23,Carrefour Zoetstof in Poeder uit Stevia 300 g,https://cdn.carrefour.eu/160_05356492_5400101030596_00.jpeg,"4,99€",Per stuk,"16,63€",/kg
24,Carrefour Original Aroma Vanille voor Gebak 20 ml,https://cdn.carrefour.eu/160_04834192_5400101261754_00.jpeg,"1,25€",Per stuk,"62,50€",/l
25,Carrefour Paneermeel 200 g,https://cdn.carrefour.eu/160_05259724_5400101251786_00.jpeg,"0,39€",Per stuk,"1,95€",/kg
26,Carrefour Bereiding voor Pannenkoeken 400 g,https://cdn.carrefour.eu/160_06190002_5400101072374_00.jpeg,"1,09€",Per stuk,"2,73€",/kg
27,Carrefour Classic' Topping Aardbeismaak 350 g,https://cdn.carrefour.eu/160_05716451_5400101048195_00.jpeg,"2,19€",Per stuk,"5,97€",/kg
28,Carrefour Extra Chocoladetaart met Stukjes 8 Stukken 500 g,https://cdn.carrefour.eu/160_04729651_5400101064300_00.jpeg,"2,99€",Per stuk,"5,98€",/kg
29,Grand Pont Kristalsuiker 1 kg,https://cdn.carrefour.eu/160_01017896_5410256940008_00.jpeg,"1,33€",Per stuk,"1,33€",/kg
30,Tienen-Tirlemont Suiker Harde Klontjes 1 kg,https://cdn.carrefour.eu/160_05550636_5410256600087_00.jpeg,"1,35€",Per stuk,"1,35€",/kg
31,Pure Via Zoetstof Stevia klontjes 65stk.,https://cdn.carrefour.eu/160_05175145_7640110707517_00.jpeg,"6,81€",Per stuk,"6,81€",/stuk
32,Pure Via Zoetstof Poeder bokaal 80g,https://cdn.carrefour.eu/160_05175146_7640110704707_00.jpeg,"5,10€",Per stuk,"63,75€",/kg
33,Candico Kandijsiroop Donker 400 g,https://cdn.carrefour.eu/160_05224860_5410256051117_00.jpeg,"2,07€",Per stuk,"5,18€",/kg
34,Tienen-Tirlemont Geleisuiker Minut' 1 kg,https://cdn.carrefour.eu/160_05231777_5410301008011_00.jpeg,"2,55€",Per stuk,"2,55€",/kg
35,Dr. Oetker Bakvormpjes 50 Stuks,https://cdn.carrefour.eu/160_05233424_5410231049023_00.jpeg,"3,22€",Per stuk,"3,22€",/stuk
36,Pure Via Stevia Zoetstof Kristalpoeder 250g,https://cdn.carrefour.eu/160_05284740_7640110705612_00.jpeg,"6,85€",Per stuk,"27,40€",/kg
37,Dr. Oetker Topping Blauw 140 g,https://cdn.carrefour.eu/160_05377616_5410231058926_00.jpeg,"5,19€",Per stuk,"37,07€",/kg
38,Dr. Oetker Biscuit 250 g,https://cdn.carrefour.eu/160_05377680_5410231056021_00.jpeg,"2,96€",Per stuk,"11,84€",/kg
39,Anco Tarwegriesmeel 250 g,https://cdn.carrefour.eu/160_05261339_5410018104709_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
40,Anco Rijstgriesmeel 250 g,https://cdn.carrefour.eu/160_05261340_5410028636306_00.jpeg,"0,72€",Per stuk,"2,88€",/kg
41,Canderel Vanilla Sticks 40PC,https://cdn.carrefour.eu/160_04354965_3329757001090_00.jpeg,"3,38€",Per stuk,"42,25€",/kg
42,Tienen-Tirlemont Bloemsuiker-Molen 250 g,https://cdn.carrefour.eu/160_04902901_5410256003321_00.jpeg,"1,51€",Per stuk,"6,04€",/stuk
43,Vahiné Agar-Agar Plantaardig Geleermiddel 4 x 2 g,https://cdn.carrefour.eu/160_05221647_3179142054428_00.jpeg,"4,97€",Per stuk,"621,25€",/kg
44,Vahiné Bakpoeder Rijsmiddel 11 g,https://cdn.carrefour.eu/160_04779612_3179148772401_00.jpeg,"1,44€",Per stuk,"26,18€",/kg
45,Dr. Oetker Schrijfstiften 76 g,https://cdn.carrefour.eu/160_05129733_8710466243621_00.jpeg,"4,45€",Per stuk,"57,05€",/kg
46,Vahiné Zilveren Suikerparels 50 g,https://cdn.carrefour.eu/160_05482953_3179142897926_00.jpeg,"4,39€",Per stuk,"87,80€",/kg
47,Dr. Oetker Chocoladetaart 390 g,https://cdn.carrefour.eu/160_05823986_5410231063821_00.jpeg,"7,18€",Per stuk,"18,41€",/kg
48,Boss Roomrijstpap Vanille 3 x 200 g,https://cdn.carrefour.eu/160_01319353_5410106091102_00.jpeg,"4,00€",Per pak,"6,67€",/kg
49,Soubry Bloem voor Wit Brood 2 kg,https://cdn.carrefour.eu/160_01381065_5410028811208_00.jpeg,"2,76€",Per stuk,"1,38€",/kg
50,Soubry Tarwemeel voor Boerenbrood 2 kg,https://cdn.carrefour.eu/160_01381067_5410028820507_00.jpeg,"3,38€",Per stuk,"1,69€",/kg
51,Dr. Oetker Marmercake 400 g,https://cdn.carrefour.eu/160_01092963_5410231213226_00.jpeg,"5,11€",Per stuk,"12,78€",/kg
52,Soubry Mix voor 6 Granenbrood 2 kg,https://cdn.carrefour.eu/160_01301635_5410028820705_00.jpeg,"3,17€",Per stuk,"1,59€",/kg
53,Vahiné Gelatinepoeder 3 x 6 g,https://cdn.carrefour.eu/160_00141431_3179142054398_00.jpeg,"2,32€",Per stuk,"0,46€",/stuk
54,Vahiné Mini Marshmallows 30 g,https://cdn.carrefour.eu/160_05420359_3179142765102_00.jpeg,"5,46€",Per stuk,"182,00€",/kg
55,La Baleine Bicarbonaat voor Voeding 400 g,https://cdn.carrefour.eu/160_05573676_3183280018211_00.jpeg,"3,29€",Per stuk,"8,23€",/kg
56,Dr. Oetker Banketbakkersroom 125 g,https://cdn.carrefour.eu/160_05798001_5410231065726_00.jpeg,"2,24€",Per stuk,"2,24€",/stuk
57,Soubry Tarwemeel voor Volkorenbrood 2 kg,https://cdn.carrefour.eu/160_01301634_5410028820606_00.jpeg,"4,34€",Per stuk,"2,17€",/kg
58,Dr. Oetker Gist 4 x 7 g,https://cdn.carrefour.eu/160_00137447_5410231105125_00.jpeg,"2,44€",Per stuk,"87,14€",/kg
59,Vahiné Magische Kaarsen,https://cdn.carrefour.eu/160_00718855_3179140805367_00.jpeg,"3,21€",Per stuk,"3,21€",/stuk
60,Francine Tarwebloem voor Alle Gebruik T45 1 kg,https://cdn.carrefour.eu/160_00137548_3068110702235_00.jpeg,"1,70€",Per stuk,"1,70€",/kg
61,Soubry Mix voor Donker Brood 2 kg,https://cdn.carrefour.eu/160_01460290_5410028820804_00.jpeg,"5,96€",Per stuk,"2,98€",/kg
62,Francine Tarwebloem Vloeibare T45 1 kg,https://cdn.carrefour.eu/160_00137555_3068110801235_00.jpeg,"2,19€",Per stuk,"2,19€",/kg
63,Bosto Dessert Rice 500 g,https://cdn.carrefour.eu/160_00140553_5410106010714_00.jpeg,"2,16€",Per stuk,"4,32€",/kg
64,Sunny Bio Agave Siroop 500 g,https://cdn.carrefour.eu/160_04997022_3088542506508_00.jpeg,"5,71€",Per stuk,"11,42€",/kg
65,Dr. Oetker Muffins Met Chocoladestukjes 370 g,https://cdn.carrefour.eu/160_05028014_5410231047623_00.jpeg,"4,78€",Per stuk,"12,92€",/kg
66,Vahiné Speculaas Kruiden 34 g,https://cdn.carrefour.eu/160_05147101_3179148905700_00.jpeg,"3,64€",Per stuk,"107,06€",/kg
