,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Micellair Water Mild 500 ml,https://cdn.carrefour.eu/160_05721541_3560070946884_00.jpeg,"3,85€",Per stuk,"7,70€",/l
1,Carrefour Lipstick Herstellend 2 x 4 g,https://cdn.carrefour.eu/160_05538166_3560070881192_00.jpeg,"2,25€",Per stuk,"2,25€",/stuk
2,Carrefour Voorgeknipte Watten 200 g,https://cdn.carrefour.eu/160_04017425_3560070138296_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
3,Carrefour Make-Up Remover Waterproof 150 ml,https://cdn.carrefour.eu/160_06242385_3560070890996_00.jpeg,"2,39€",Per stuk,"15,93€",/l
4,Carrefour Maxi Duo Aloe Vera 50 Stuks,https://cdn.carrefour.eu/160_05287474_3560070705771_00.jpeg,"1,59€",Per stuk,"1,59€",/stuk
5,Carrefour Maxi Duo Vierkante Wattenschijfjes 80 Stuks,https://cdn.carrefour.eu/160_04650891_3560070241538_00.jpeg,"2,15€",Per stuk,"2,15€",/stuk
6,Carrefour Maxi Duo Ovale Wattenschijfjes 80 Stuks,https://cdn.carrefour.eu/160_04651023_3560070241590_00.jpeg,"1,89€",Per stuk,"1,89€",/stuk
7,Carrefour Disc Duo Aloe Vera 70 Stuks,https://cdn.carrefour.eu/160_05287452_3560070732586_00.jpeg,"1,09€",Per stuk,"1,09€",/stuk
8,Carrefour Maxi Duo Ovale Wattenschijfjes 40 Stuks,https://cdn.carrefour.eu/160_06029662_3270190199861_00.jpeg,"0,95€",Per stuk,"0,95€",/stuk
9,Carrefour Soft Zuiverende Crème 150 ml,https://cdn.carrefour.eu/160_06023900_3560071050948_00.jpeg,"2,50€",Per stuk,"16,67€",/l
10,Carrefour Dissolvant Express Instant Werking 200 ml,https://cdn.carrefour.eu/160_05971554_3560071121532_00.jpeg,"1,65€",Per stuk,"8,25€",/l
11,Carrefour Zachte Dissolvant met Glycerine 200 ml,https://cdn.carrefour.eu/160_05966271_3560071104559_00.jpeg,"1,99€",Per stuk,"9,95€",/l
12,Carrefour Maxi Pack Disc Duo 3 x 70 Stuks,https://cdn.carrefour.eu/160_05940770_3560070610365_00.jpeg,"1,35€",Per pak,"0,45€",/stuk
13,Carrefour Classic 160 Stuks,https://cdn.carrefour.eu/160_06318644_3560071199999_00.jpeg,"1,25€",Per stuk,"1,25€",/stuk
14,Carrefour Classic 50 Stuks,https://cdn.carrefour.eu/160_06318647_3560071232702_00.jpeg,"0,49€",Per stuk,"0,49€",/stuk
15,Carrefour Make-Up Remover Waterproof 100 ml,https://cdn.carrefour.eu/160_06288685_3560071229382_00.jpeg,"2,29€",Per stuk,"22,90€",/l
16,Carrefour Classic Wattenstaafjes 160 Stuks,https://cdn.carrefour.eu/160_06318426_3560071274955_00.jpeg,"0,95€",Per stuk,"0,95€",/stuk
17,Carrefour Soft Micellair Water Alles in 1 500 ml,https://cdn.carrefour.eu/160_06665173_3560071254902_00.jpeg,"3,85€",Per stuk,"7,70€",/l
18,Carrefour Soft Tissue Gezichtsmasker dat laat stralen Cranberry 1 stuk,https://cdn.carrefour.eu/160_06532190_3560071244514_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
19,Carrefour Soft Pure Micellair Water Gevoelige Huid 400 ml,https://cdn.carrefour.eu/160_06849107_3560071419349_00.jpeg,"3,29€",Per stuk,"8,23€",/l
20,Carrefour Soft Hydraterend tissue gezichtsmasker met Komkommer 1 stuk,https://cdn.carrefour.eu/160_06532299_3560071244545_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
21,Carrefour Soft Detox Face Mask Plantaardige actieve kool 1 stuk,https://cdn.carrefour.eu/160_06532303_3560071244576_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
22,Carrefour Duo wattenschijfjes x 35,https://cdn.carrefour.eu/160_06779872_3560070395927_00.jpeg,"0,60€",Per stuk,"0,60€",/stuk
23,Carrefour Bio Zachte wattenschijfjes x 70,https://cdn.carrefour.eu/160_04770774_3560070256006_00.jpeg,"0,99€",Per stuk,"0,99€",/stuk
24,Carrefour Soft Bio Wattenstaafjes 200 Stuks,https://cdn.carrefour.eu/160_05445991_3560070656592_00.jpeg,"1,49€",Per stuk,"1,49€",/stuk
25,Demak'Up Cocoon Reinigingsdoekjes met Reinigingsmelk Normale & Gemengde Huid 25 Stuks,https://cdn.carrefour.eu/160_05631304_7322540711493_00.jpeg,"4,25€",Per stuk,"4,25€",/stuk
26,Nivea Reinigingsgel Verfrissend Gezuiverd Water Lotusbloem 150 ml,https://cdn.carrefour.eu/160_05241371_4005900681942_00.jpeg,"6,09€",Per stuk,"40,60€",/l
27,"Clearasil Ultra Rapid Action Cream ""4 Uur"" 15 ml",https://cdn.carrefour.eu/160_04715162_8710552506609_00.jpeg,"7,99€",Per stuk,"532,67€",/l
28,Labello Men Active 24h Hydratatie SPF 15 5.5 ml,https://cdn.carrefour.eu/160_04873135_4005900555816_00.jpeg,"4,75€",Per stuk,"4,75€",/stuk
29,Labello Pearly Shine 24H Hydratatie 5.5 ml,https://cdn.carrefour.eu/160_04873149_4005900555632_00.jpeg,"4,75€",Per stuk,"4,75€",/stuk
30,Labello Original 24H Hydratatie 2 x 5.5 ml,https://cdn.carrefour.eu/160_04873160_4005900555595_00.jpeg,"4,95€",Per pak,"2,53€",/stuk
31,Vita Verde Korenbloemwater Ontzwellende Behandeling 200 ml,https://cdn.carrefour.eu/160_05040211_5413393000468_01.jpeg,"4,85€",Per stuk,"24,25€",/l
32,Nivea Tonic Verzachtend Gezuiverd Water Amandelolie 200 ml,https://cdn.carrefour.eu/160_04603540_4005900666123_00.jpeg,"3,99€",Per stuk,"20,25€",/l
