,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,"Carrefour Pannetje van Gegrilde Groenten Paprika, Courgette, Aubergine & Ui 750 g",https://cdn.carrefour.eu/160_04508369_3560071080785_00.jpeg,"1,99€",Per stuk,"2,65€",/kg
1,Carrefour Bio Zeer Fijne Erwten 600 g,https://cdn.carrefour.eu/160_05288582_3270190207351_00.jpeg,"1,59€",Per stuk,"2,65€",/kg
2,Carrefour Bio Gehakte Spinazie 600 g,https://cdn.carrefour.eu/160_05122867_3560070568833_00.jpeg,"1,65€",Per stuk,"2,75€",/kg
3,Carrefour Bereide Groentepuree Selder 750 g,https://cdn.carrefour.eu/160_05315238_3245411171230_00.jpeg,"1,79€",Per stuk,"2,39€",/kg
4,Carrefour Andijvie met Room 450 g,https://cdn.carrefour.eu/160_04976084_3560070417537_00.jpeg,"1,49€",Per stuk,"3,31€",/kg
5,Carrefour Rodekool met Appel 450 g,https://cdn.carrefour.eu/160_04922190_3560070417506_00.jpeg,"1,55€",Per stuk,"3,44€",/kg
6,Carrefour Bio Ratatouille 600 g,https://cdn.carrefour.eu/160_05864243_3560070465866_00.jpeg,"2,49€",Per stuk,"4,15€",/kg
7,Carrefour Assortiment Paddenstoelen 450 g,https://cdn.carrefour.eu/160_04764642_3270190213062_00.jpeg,"2,99€",Per stuk,"6,64€",/kg
8,Carrefour Bereide Groentepuree Wortelen 750 g,https://cdn.carrefour.eu/160_05315242_3245411155346_00.jpeg,"1,59€",Per stuk,"2,12€",/kg
9,Carrefour Knolselder in Blokjes 600 g,https://cdn.carrefour.eu/160_05954864_3560071080952_00.jpeg,"1,09€",Per stuk,"1,82€",/kg
10,Carrefour Aubergines in Schijven 600 g,https://cdn.carrefour.eu/160_04902443_2500008368457_00.jpeg,"2,39€",Per stuk,"3,98€",/kg
11,Carrefour Pannetje Oriëntaalse Tajine 750 g,https://cdn.carrefour.eu/160_06033127_3560070242757_00.jpeg,"2,45€",Per stuk,"3,27€",/kg
12,Carrefour Sperziebonen met Spek in Bundeltjes 9 Stuks 405 g,https://cdn.carrefour.eu/160_05371492_3245414094642_00.jpeg,"3,79€",Per stuk,"9,48€",/kg
13,Carrefour Pannetje met Quinoa en Linzen 450 g,https://cdn.carrefour.eu/160_06042248_3560071099138_00.jpeg,"3,40€",Per stuk,"7,56€",/kg
14,Carrefour Classic' Doperwten Zeer Fijn 1 kg,https://cdn.carrefour.eu/160_06471680_3270190020363_00.jpeg,"1,45€",Per stuk,"1,45€",/kg
15,Carrefour Classic' Jonge Wortelen 1 kg,https://cdn.carrefour.eu/160_06474494_5400101213685_00.jpeg,"1,75€",Per stuk,"1,75€",/kg
16,Carrefour Groene Asperges Heel 200 g,https://cdn.carrefour.eu/160_05757717_3560070149155_00.jpeg,"1,79€",Per stuk,"8,95€",/kg
17,Carrefour Gehakte Spinazie met Room 450 g,https://cdn.carrefour.eu/160_04905876_3560070401574_01.jpeg,"0,45€",Per stuk,"1,00€",/kg
18,Carrefour Bio Fijngehakte Spinazie met Room 600 g,https://cdn.carrefour.eu/160_06065320_3560070319497_00.jpeg,"1,99€",Per stuk,"3,32€",/kg
19,Carrefour Bio Bladspinazie 600 g,https://cdn.carrefour.eu/160_06601767_3270190207368_00.jpeg,"1,49€",Per stuk,"2,48€",/kg
20,Carrefour Bio Wortelschijfjes 600 g,https://cdn.carrefour.eu/160_05864204_3560070568864_00.jpeg,"1,59€",Per stuk,"2,65€",/kg
21,Carrefour Classic' Tuinbonen 1 kg,https://cdn.carrefour.eu/160_06488706_3560070321599_00.jpeg,"2,75€",Per stuk,"2,75€",/kg
22,Carrefour Bladspinazie met Room 1 kg,https://cdn.carrefour.eu/160_06389537_3560070321032_00.jpeg,"2,29€",Per stuk,"2,29€",/kg
23,Carrefour Classic' Bladspinazie 1 kg,https://cdn.carrefour.eu/160_06565401_3560070122165_00.jpeg,"1,15€",Per stuk,"1,15€",/kg
24,Carrefour Classic' Groenten voor Couscous 1 kg,https://cdn.carrefour.eu/160_06450585_3270190026679_00.jpeg,"2,25€",Per stuk,"2,25€",/kg
25,Carrefour Classic' Gehakte Spinazie met Room 1 kg,https://cdn.carrefour.eu/160_06519338_3270190208303_00.jpeg,"1,59€",Per stuk,"1,59€",/kg
26,Carrefour Classic' Pompoen in Blokjes 1 kg,https://cdn.carrefour.eu/160_06560339_3560070484478_00.jpeg,"2,59€",Per stuk,"2,59€",/kg
27,Carrefour Cantharellen Heel 250 g,https://cdn.carrefour.eu/160_06728919_3560070558131_00.jpeg,"4,25€",Per stuk,"17,00€",/kg
28,Carrefour Aubergines in Schijven 600 g,https://cdn.carrefour.eu/160_06778002_8012666008612_00.jpeg,"1,99€",Per stuk,"3,32€",/kg
29,Iglo Broccoli met Roomsaus 450 g,https://cdn.carrefour.eu/160_04833607_5414807001422_00.jpeg,"4,45€",Per stuk,"9,89€",/kg
30,Iglo Bloemkool met Roomsaus 450 g,https://cdn.carrefour.eu/160_04843661_5414807001439_00.jpeg,"4,49€",Per stuk,"10,33€",/kg
31,Iglo Stoomgroenten - Worteltjes Broccoli Romanesco 300 g,https://cdn.carrefour.eu/160_04465347_8722700092285_00.jpeg,"3,45€",Per stuk,"11,97€",/kg
32,Iglo Veggie Love Rode Kool met Appeltjes 750 g,https://cdn.carrefour.eu/160_04594087_5414807000104_00.jpeg,"3,39€",Per stuk,"4,65€",/kg
33,Iglo Veggie Love Spruitjes met Spek 450 g,https://cdn.carrefour.eu/160_04841354_5414807001453_00.jpeg,"3,99€",Per stuk,"9,22€",/kg
34,Iglo Veggie Love Boontjes op zijn Provençaals 450 g,https://cdn.carrefour.eu/160_04833712_5414807001507_00.jpeg,"3,59€",Per stuk,"7,98€",/kg
35,Iglo Bladspinazie met Mozzarella 450 g,https://cdn.carrefour.eu/160_04866465_5414807001798_00.jpeg,"3,69€",Per stuk,"8,20€",/kg
36,Iglo Andijvie met Bechamelsaus 450 g,https://cdn.carrefour.eu/160_04910681_5414807001484_00.jpeg,"2,99€",Per stuk,"6,64€",/kg
37,Iglo Green Cuisine 4 Groenteburgers 450 g,https://cdn.carrefour.eu/160_01208502_5410148453500_00.jpeg,"4,65€",Per stuk,"10,33€",/kg
38,Iglo Erwtjes Zeer Fijn 750 g,https://cdn.carrefour.eu/160_05145053_5414807002740_00.jpeg,"3,29€",Per stuk,"4,39€",/kg
39,Iglo Boontjes Extra Fijn Natuur 300 g,https://cdn.carrefour.eu/160_00184436_5410148804807_00.jpeg,"1,99€",Per stuk,"6,90€",/kg
40,Iglo Veggie Love Rode Kool met Appeltjes 450 g,https://cdn.carrefour.eu/160_00184690_5410148441309_00.jpeg,"2,05€",Per stuk,"4,73€",/kg
41,Iglo Gehakte Spinazie met Kaas Boursin 450 g,https://cdn.carrefour.eu/160_04888189_3661405000537_00.jpeg,"2,49€",Per stuk,"5,76€",/kg
42,Iglo Veggie Love Courgettes & Bulgur 400 g,https://cdn.carrefour.eu/160_06209520_5414807006434_00.jpeg,"3,55€",Per stuk,"9,23€",/kg
43,Iglo Veggie Love Pompoen & Quinoa 400 g,https://cdn.carrefour.eu/160_06227569_5414807006441_00.jpeg,"3,79€",Per stuk,"9,48€",/kg
44,Iglo Veggie Love Worteltjes met Tijm en Honing 450 g,https://cdn.carrefour.eu/160_04031474_5414807002658_00.jpeg,"3,65€",Per stuk,"8,42€",/kg
45,Iglo Schorseneren met Bechamelsaus 450 g,https://cdn.carrefour.eu/160_04836510_5414807001446_00.jpeg,"4,49€",Per stuk,"10,33€",/kg
46,Carrefour Bio Aardappelen met Gegrilde Courgettes en Paprika's 500 g,https://cdn.carrefour.eu/160_06489214_3560071234904_00.jpeg,"3,49€",Per stuk,"6,98€",/kg
47,Carrefour Bio Knoflook 75 g,https://cdn.carrefour.eu/160_06624904_3560071225551_00.jpeg,"2,09€",Per stuk,"27,87€",/kg
48,Carrefour Bio Knoflook 75 g,https://cdn.carrefour.eu/160_06624904_3560071225551_00.jpeg,"2,09€",Per stuk,"27,87€",/kg
49,Carrefour Bio Fijngesneden Uien 450 g,https://cdn.carrefour.eu/160_06423796_3560071083113_00.jpeg,"1,09€",Per stuk,"2,42€",/kg
