,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Wonderful Geroosterde Gezouten Pistaches 250 g,https://cdn.carrefour.eu/160_05042935_14113911672_00.jpeg,"5,99€",Per stuk,"23,96€",/kg
1,Wonderful Pistaches met Peper & Zout 250 g,https://cdn.carrefour.eu/160_05043029_14113911702_00.jpeg,"5,99€",Per stuk,"23,96€",/kg
2,Wonderful Geroosterde Ongezouten Pistaches 250 g,https://cdn.carrefour.eu/160_05043031_14113911719_00.jpeg,"5,99€",Per stuk,"23,96€",/kg
3,Wonderful Sweet Chili-Pistaches 250 g,https://cdn.carrefour.eu/160_05124786_14113912341_00.jpeg,"5,99€",Per stuk,"23,96€",/kg
4,Broccoli 500 g,https://cdn.carrefour.eu/160_01275171_5400101304864_00.jpeg,"1,19€",Per stuk,"2,38€",/kg
5,Carrefour Spinazie 450 g,https://cdn.carrefour.eu/160_04664972_8712625511008_00.jpeg,"1,99€",Per stuk,"4,42€",/kg
6,Carrefour Preiwit 800 g,https://cdn.carrefour.eu/160_04729594_5400101255593_00.jpg,"2,49€",Per stuk,"2,93€",/kg
7,Pitloze Druiven 500 g,https://cdn.carrefour.eu/160_01080314_4045792135819_00.jpeg,"2,39€",Per stuk,"4,78€",/kg
8,Zoete Aardappelen - 2 stuks,https://cdn.carrefour.eu/160_01961959_2738816000000_00.jpeg,"
Max.1,50€",Per 2 stuks,"2,99€",/kg
9,Carrefour Fijne Bonen 400 g,https://cdn.carrefour.eu/160_01756335_5400101302112_00.jpg,"2,99€",Per stuk,"7,48€",/kg
10,Carrefour Appelen Jonagored 6 ST,https://cdn.carrefour.eu/160_05010759_5400101017634_00.jpeg,"1,99€",Per stuk,"2,21€",/kg
11,Appels Royal Gala 6 st,https://cdn.carrefour.eu/160_05010322_5400101017412_00.jpg,"2,69€",Per stuk,"2,99€",/kg
12,Carrefour Snack Tomaatjes 250 g,https://cdn.carrefour.eu/160_06062207_5400101067073_00.jpeg,"2,29€",Per stuk,"9,16€",/kg
13,Carrefour Snack Tomaatjes 500 g,https://cdn.carrefour.eu/160_06062449_5400101067080_00.jpeg,"3,89€",Per stuk,"7,78€",/kg
14,Carrefour Trostomaten 575gr,https://cdn.carrefour.eu/160_05572417_5400101042155_00.jpeg,"2,49€",Per stuk,"4,53€",/kg
15,Carrefour Frambozen 125g,https://cdn.carrefour.eu/160_05490416_8717496041845_00.jpg,"2,39€",Per stuk,"19,12€",/kg
16,Carrefour Blauwe bes 125g,https://cdn.carrefour.eu/160_05490471_7759152000194_00.jpg,"2,29€",Per stuk,"18,32€",/kg
17,Carrefour Blauwe bes 500g,https://cdn.carrefour.eu/160_05767130_5400101050761_00.jpeg,"5,99€",Per stuk,"11,98€",/kg
18,Mini Trostomaten Miss Perfect 200g,https://cdn.carrefour.eu/160_01962271_5400357007748_00.jpg,"2,69€",Per stuk,"13,45€",/kg
19,Carrefour Apero Time Hummus Natuur 200 g,https://cdn.carrefour.eu/160_05713286_5400101047785_00.jpeg,"2,00€",Per stuk,"10,00€",/kg
20,Bananen - 6 stuks,https://cdn.carrefour.eu/160_05303817_2730396000000_00.jpeg,"
Max.1,81€",Per 6 stuks,"1,59€",/kg
21,Carrefour Persappelsienen 2kg,https://cdn.carrefour.eu/160_06594900_5400101083042_00.jpeg,"2,99€",Per stuk,"1,50€",/kg
