,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Styling Gel Wetlook 150 ml,https://cdn.carrefour.eu/160_05605468_3560070885435_00.jpeg,"1,85€",Per stuk,"12,33€",/l
1,Carrefour Soft Anti Roos Zeer Milde Shampoo 500 ml,https://cdn.carrefour.eu/160_05984395_3560071086169_00.jpeg,"1,29€",Per stuk,"2,58€",/l
2,Carrefour Stylingschuim Extra Volume 200 ml,https://cdn.carrefour.eu/160_05512899_3560071277895_00.jpeg,"2,49€",Per stuk,"12,45€",/l
3,Carrefour Soft Haarlak Sterke Fixatie 300 ml,https://cdn.carrefour.eu/160_05515355_3560070885190_00.jpeg,"1,29€",Per stuk,"4,30€",/l
4,Carrefour Soft Haarlak Normale Fixatie 300 ml,https://cdn.carrefour.eu/160_05515356_3560070885251_00.jpeg,"1,29€",Per stuk,"4,30€",/l
5,Carrefour Soft Blond Kamille & Tarwekiemen Verhelderende Shampoo 250ml,https://cdn.carrefour.eu/160_05621275_3560070968923_00.jpeg,"1,35€",Per stuk,"5,40€",/l
6,Nectar of Beauty Conditioner die de Kleur Verlevendigt 200 ml,https://cdn.carrefour.eu/160_05621289_3560070969166_00.jpeg,"1,49€",Per stuk,"7,45€",/l
7,Carrefour Soft Purify Zuiverende Ontwarrende Spray 200 ml,https://cdn.carrefour.eu/160_05526954_3560070928132_00.jpeg,"2,99€",Per stuk,"14,95€",/l
8,Carrefour Styling Spray Sterke Fixatie 250 ml,https://cdn.carrefour.eu/160_05528359_3560070887859_00.jpeg,"2,69€",Per stuk,"10,76€",/l
9,Carrefour Kids Shampooz 2 in 1 Shampoo Aardbeienparfum 300 ml,https://cdn.carrefour.eu/160_05456912_3560070815418_00.jpeg,"2,09€",Per stuk,"6,97€",/l
10,Carrefour Styling Gel Invisible 6 250 ml,https://cdn.carrefour.eu/160_05406860_3560070860395_00.jpeg,"2,55€",Per stuk,"10,20€",/l
11,Carrefour Styling Gel béton 250 ml,https://cdn.carrefour.eu/160_05406888_3560070860364_00.jpeg,"2,55€",Per stuk,"10,20€",/l
12,Carrefour Styling Gel Fixatie Extreme 8 250 ml,https://cdn.carrefour.eu/160_05406896_3560070860333_00.jpeg,"2,55€",Per stuk,"10,20€",/l
13,Carrefour Soft Green Solid Shampoo Greasy Hair 75 g,https://cdn.carrefour.eu/160_06751669_3560071423018_00.jpeg,"2,90€",Per stuk,"38,67€",/kg
14,Carrefour Soft Green Solid Shampoo Dry Hair 75 g,https://cdn.carrefour.eu/160_06751673_3560071423001_00.jpeg,"2,90€",Per stuk,"38,67€",/kg
15,Carrefour Soft met Karité Galam Shampoo 2 in 1 500 ml,https://cdn.carrefour.eu/160_05580557_3560070947515_00.jpeg,"1,29€",Per stuk,"2,58€",/l
16,Carrefour Soft Green Solid Shampoo Normal Hair 75 g,https://cdn.carrefour.eu/160_06560607_3560071423025_00.jpeg,"2,90€",Per stuk,"38,67€",/kg
17,L'Oréal Paris Excellence Creme 4 - Middenbruin - Permanente Kleuring,https://cdn.carrefour.eu/160_01384436_5410103002149_00.jpeg,"11,69€",Per stuk,"11,69€",/stuk
18,Nivea Diamond Gloss Conditioner Diamantdeeltjes 200 ml,https://cdn.carrefour.eu/160_05608455_4005900190475_00.jpeg,"3,59€",Per stuk,"17,95€",/l
19,L'Oréal Paris Excellence Creme 9.3 - Zeer Licht Goudblond - Perm.,https://cdn.carrefour.eu/160_01383972_5410103002040_00.jpeg,"11,69€",Per stuk,"11,69€",/stuk
20,Batiste Instant Hair Refresh Dry Shampoo Dark Hair 200 ml,https://cdn.carrefour.eu/160_05551822_5010724527443_00.jpeg,"6,69€",Per stuk,"6,69€",/l
21,Batiste Droogshampoo Cherry 200 ml,https://cdn.carrefour.eu/160_05551823_5010724526798_00.jpeg,"5,69€",Per stuk,"28,45€",/l
22,Syoss Invisible Hold Haarspray 400 ml,https://cdn.carrefour.eu/160_05838608_5410091733117_00.jpeg,"5,65€",Per stuk,"14,13€",/l
