,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Bakpapier 15 m x 30 cm,https://cdn.carrefour.eu/160_04401003_3616474703582_00.jpeg,"1,89€",Per stuk,"1,89€",/stuk
1,Carrefour Aanmaakvloeistof Express 1 L,https://cdn.carrefour.eu/160_04922787_3560070325221_00.jpeg,"3,79€",Per stuk,"3,79€",/l
2,Carrefour Lucifers x3,https://cdn.carrefour.eu/160_05099315_5400101020511_00.jpeg,"1,89€",Per stuk,"1,89€",/stuk
3,Carrefour Lucifers 10 x 40,https://cdn.carrefour.eu/160_05099316_5400101020528_00.jpeg,"0,65€",Per stuk,"0,65€",/stuk
4,Carrefour 4 Batterijen LR6-AA,https://cdn.carrefour.eu/160_01638836_3270192572389_00.jpeg,"2,89€",Per stuk,"2,89€",/stuk
5,Carrefour Alkalinebatterij LR20-D,https://cdn.carrefour.eu/160_01638948_4008496606016_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
6,Carrefour 4 Batterijen Alkaline LR6-AA,https://cdn.carrefour.eu/160_01843034_3270192676407_00.jpeg,"2,49€",Per stuk,"2,49€",/stuk
7,Carrefour 4 Batterijen Alkaline LR03-AAA,https://cdn.carrefour.eu/160_01843036_3270192676414_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
8,Carrefour 2 Alkaline Batterijen I-Tech LR14-C,https://cdn.carrefour.eu/160_01843037_3270192738907_00.jpeg,"2,89€",Per stuk,"2,89€",/stuk
9,"Carrefour 2 I-Tech Alkalinebatterijen LR20-D 1,5V",https://cdn.carrefour.eu/160_01843038_3270192738914_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
10,Carrefour 10 Diepe Aluminium Bakjes 0.5 L,https://cdn.carrefour.eu/160_01705475_3390509974078_00.jpeg,"1,99€",Per stuk,"3,98€",/l
11,Carrefour Sandwich Zakjes 1L 20 Zakjes,https://cdn.carrefour.eu/160_04018826_3615005338422_00.jpeg,"0,85€",Per stuk,"0,85€",/stuk
12,Carrefour Diepvrieszakjes 6L 15 Zakken,https://cdn.carrefour.eu/160_04011870_3615005343662_00.jpeg,"2,09€",Per stuk,"2,09€",/stuk
13,Carrefour 5 Diepe Aluminium Bakjes 1.5 L,https://cdn.carrefour.eu/160_04499544_3390509974115_00.jpeg,"2,75€",Per stuk,"1,83€",/l
14,Carrefour Vuilniszakken 30 L 20 Stuks,https://cdn.carrefour.eu/160_05050578_3616473792785_00.jpeg,"0,99€",Per stuk,"0,99€",/stuk
15,Carrefour Diepvrieszakken 1L 50 Zakken,https://cdn.carrefour.eu/160_05662210_3615005360683_00.jpeg,"1,15€",Per stuk,"1,15€",/stuk
16,Carrefour Diepvrieszakjes 3L 50 Zakken,https://cdn.carrefour.eu/160_05662214_3615005360690_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
17,Carrefour Diepvrieszakjes 6L 25 Zakken,https://cdn.carrefour.eu/160_05662223_3615005360706_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
18,Carrefour Aluminiumfolie Versterkte 20 m,https://cdn.carrefour.eu/160_05502349_3615008895281_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
19,Carrefour Platte aluminium bakjes x 5,https://cdn.carrefour.eu/160_05434247_3606605842853_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
20,Carrefour Zakjes met Ijsblokjes 15 Zakken,https://cdn.carrefour.eu/160_01723081_3615005343679_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
21,Carrefour Diepvrieszakjes 3L 20 Zakken,https://cdn.carrefour.eu/160_01677254_3615005338248_00.jpeg,"1,65€",Per stuk,"1,65€",/stuk
22,Carrefour 8 Alkaline Batterijen LR6-AA,https://cdn.carrefour.eu/160_01638931_3270192572396_00.jpeg,"4,99€",Per stuk,"4,99€",/stuk
23,Carrefour 4 Alkaline Batterijen LR03-AAA,https://cdn.carrefour.eu/160_01638951_3270192572365_00.jpeg,"2,89€",Per stuk,"2,89€",/stuk
24,Carrefour Isotherme Tas 22 L,https://cdn.carrefour.eu/160_04838357_5400101261730_00.jpeg,"1,25€",Per stuk,"1,25€",/stuk
25,Carrefour Isotherme Tas 32 L,https://cdn.carrefour.eu/160_04838398_5400101261747_00.jpeg,"2,05€",Per stuk,"2,05€",/stuk
26,Carrefour Trekband 60L 15 Zakken,https://cdn.carrefour.eu/160_05887139_3616473792815_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
27,Carrefour Trekband 50L 10 Zakken,https://cdn.carrefour.eu/160_05887146_3616473792839_00.jpeg,"2,75€",Per stuk,"0,06€",/l
28,Zak voor Fruit & Groenten in BIO Katoen - Willekeurig patroon,https://cdn.carrefour.eu/160_06241792_3760163070094_00.jpeg,"0,55€",Per stuk,"0,55€",/stuk
29,Carrefour Aanmaakblokjes 30 Stuks 325 cm,https://cdn.carrefour.eu/160_06677220_3616473217646_00.jpeg,"2,35€",Per stuk,"2,35€",/stuk
30,Carrefour Eco Planet Trekbandsluiting 30 L 10 Zakken,https://cdn.carrefour.eu/160_06700490_3616473792860_00.jpeg,"2,49€",Per stuk,"2,49€",/stuk
31,Carrefour Trekbandsluiting 3 L 20 Zakken,https://cdn.carrefour.eu/160_06635650_3616473792808_00.jpeg,"1,79€",Per stuk,"1,79€",/stuk
32,Carrefour Speciaal voor Badkamer 5 L 40 Zakken,https://cdn.carrefour.eu/160_06632455_3616473792761_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
33,Carrefour Vershoudfolie 30 m,https://cdn.carrefour.eu/160_06784371_3616474341838_00.jpeg,"1,09€",Per stuk,"1,09€",/stuk
34,Carrefour Vershoudfolie 3in1   20 m,https://cdn.carrefour.eu/160_06784500_3616474341845_00.jpeg,"1,09€",Per stuk,"1,09€",/stuk
35,Carrefour Aluminiumfolie Stevig 30 m,https://cdn.carrefour.eu/160_06757012_3616473966780_00.jpeg,"2,29€",Per stuk,"2,29€",/stuk
36,Carrefour Speciaal Tuin / Puin 130L 8 Zakken,https://cdn.carrefour.eu/160_05887075_3616473792846_00.jpeg,"3,99€",Per stuk,"3,99€",/stuk
37,Carrefour Trekband 100L 10 Zakken,https://cdn.carrefour.eu/160_05887141_3616473792822_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
38,Carrefour Traditionele Sluiting 20L 20 Zakken,https://cdn.carrefour.eu/160_05887071_3616473792792_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
39,Witte Huisvuilzakken Restafval Brussel 15x60L,https://cdn.carrefour.eu/160_05543694_5425034300189_00.jpeg,"2,50€",Per stuk,"2,50€",/stuk
40,Toppits Bakvellen 16 Stuks,https://cdn.carrefour.eu/160_05101469_4008871201461_00.jpeg,"3,05€",Per stuk,"3,15€",/stuk
41,Blauwe Huisvuilzakken PMD Brussel 15x50L,https://cdn.carrefour.eu/160_05553357_5425034300202_00.jpeg,"1,50€",Per stuk,"1,50€",/stuk
42,Swirl Fixeerband 35 L 10 Stuks,https://cdn.carrefour.eu/160_04660188_4008871215871_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
43,Toppits Magnetronfolie 15 m,https://cdn.carrefour.eu/160_05101424_4008871202130_00.jpeg,"2,75€",Per stuk,"2,79€",/stuk
44,Toppits Film 2in1 15 m,https://cdn.carrefour.eu/160_05101425_4008871201775_00.jpeg,"2,54€",Per stuk,"2,59€",/stuk
45,Toppits Alu Folie 10 m,https://cdn.carrefour.eu/160_05101427_4008871200945_00.jpeg,"2,78€",Per stuk,"2,78€",/stuk
46,Toppits Lunchzakjes 1 L 50 Stuks,https://cdn.carrefour.eu/160_05101418_4008871100085_00.jpeg,"2,54€",Per stuk,"2,54€",/stuk
47,Energizer CR2025 Lithium 2 Knoopbatterijen 3V,https://cdn.carrefour.eu/160_04913205_7638900248333_00.jpeg,"5,49€",Per stuk,"5,49€",/stuk
48,Energizer CR2016 Lithium 2 Knoopbatterijen 3V,https://cdn.carrefour.eu/160_04913206_7638900248340_00.jpeg,"5,49€",Per stuk,"5,49€",/stuk
49,Energizer - Lithium 2 Knoopbatterijen 3V - CR2032,https://cdn.carrefour.eu/160_04913242_7638900248357_00.jpeg,"5,49€",Per stuk,"5,49€",/stuk
50,Energizer A23/E23A Alkaline Batterijen 12V 2 stuks,https://cdn.carrefour.eu/160_04913278_7638900295641_00.jpeg,"4,39€",Per stuk,"4,39€",/stuk
51,"Energizer LR44/A76 Alkaline 2 Knoopbatterijen 1,5V",https://cdn.carrefour.eu/160_04913279_7638900083071_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
52,Zip Aanmaakvloeistof Geconcentreerd Geurarm 750ml,https://cdn.carrefour.eu/160_04587934_834554002360_00.jpeg,"6,25€",Per stuk,"8,33€",/l
53,Zip 16 Individuele Aanmaakblokjes,https://cdn.carrefour.eu/160_04587950_834554002322_00.jpeg,"5,69€",Per stuk,"0,36€",/stuk
54,Union Match Kingsize 5-Pak,https://cdn.carrefour.eu/160_04002445_5410258482612_00.jpeg,"1,74€",Per stuk,"0,01€",/stuk
55,Zip Gelbrandstof Fondue 500ml,https://cdn.carrefour.eu/160_04012465_834554000106_00.jpeg,"7,05€",Per stuk,"14,10€",/l
56,Zip Natuurlijke Aanmaakblokjes 64 Stuks,https://cdn.carrefour.eu/160_05018173_834554003732_00.jpeg,"4,39€",Per stuk,"4,39€",/stuk
57,Energizer Oplader Accu Recharge Pro voor 4 batterijen AA,https://cdn.carrefour.eu/160_05580251_7638900398373_00.jpeg,"29,99€",Per stuk,"29,99€",/stuk
58,Swirl Ocean Fresh 5 L 45 Stuks,https://cdn.carrefour.eu/160_05350530_4008871215772_00.jpeg,"2,90€",Per stuk,"2,90€",/stuk
59,Toppits Diepvrieszakken 3 L 30 Stuks,https://cdn.carrefour.eu/160_05556724_4008871208200_00.jpeg,"2,45€",Per stuk,"2,45€",/stuk
60,Zip Houtwol Aanmaakblokjes 20 Stucks,https://cdn.carrefour.eu/160_05281267_834554004654_00.jpeg,"7,35€",Per stuk,"7,65€",/stuk
