,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Tena Silhouette Washable Absorbent Underwear L,https://cdn.carrefour.eu/160_06811866_7322541307992_00.jpeg,"29,15€",Per stuk,"29,15€",/stuk
1,Tena Silhouette Washable Absorbent Underwear M,https://cdn.carrefour.eu/160_06812044_7322541307916_00.jpeg,"29,15€",Per stuk,"29,15€",/stuk
2,Carrefour Maxi Zakdoeken Zacht 2-Lagen 180 Stuks,https://cdn.carrefour.eu/160_05019019_3560071080990_00.jpeg,"0,85€",Per stuk,"0,85€",/stuk
3,Carrefour Supreme Confort Aloe Vera 4-Laags 9 Rollen,https://cdn.carrefour.eu/160_04735020_3560070273683_00.jpeg,"4,29€",Per stuk,"0,48€",/stuk
4,Carrefour Ultra Absorberend XXL Keukenpapier 3 Lagen 2 Rollen,https://cdn.carrefour.eu/160_05446676_3560070809950_00.jpeg,"1,79€",Per stuk,"0,90€",/stuk
5,Carrefour Ultra Absorberend Keukenpapier 3-Lagen 4 Rollen,https://cdn.carrefour.eu/160_05446771_3560070809981_00.jpeg,"2,19€",Per stuk,"0,55€",/stuk
6,Carrefour Ultra Absorberend Keukenpapier 3-Lagen 6 Rollen,https://cdn.carrefour.eu/160_05446800_3560070818822_00.jpeg,"2,99€",Per stuk,"0,50€",/stuk
7,Carrefour Maxi Roll Keukenpapier 2-Lagen,https://cdn.carrefour.eu/160_05446835_3560070269891_00.jpeg,"4,99€",Per stuk,"4,99€",/stuk
8,Carrefour Ultra Confort 3-Laags met motieven 12 Rollen,https://cdn.carrefour.eu/160_04553631_3560070150403_00.jpeg,"3,85€",Per stuk,"0,32€",/stuk
9,Carrefour Confort 2-Laags 12 Rollen,https://cdn.carrefour.eu/160_06063552_3560070332557_00.jpeg,"3,49€",Per stuk,"0,29€",/stuk
10,Carrefour Eco Planet Keukenpapier Compact 2 Lagen 2 Rollen,https://cdn.carrefour.eu/160_05964131_3560070180738_00.jpeg,"1,99€",Per stuk,"1,00€",/stuk
