,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Ola Ola Ijs Vanille 900 ml,https://cdn.carrefour.eu/160_06804512_8711327552777_00.jpeg,"3,99€",Per stuk,"4,61€",/l
1,Ola Ola Ijs Vanille 1.8 L,https://cdn.carrefour.eu/160_06781478_8711327553033_00.jpeg,"5,99€",Per stuk,"3,44€",/l
2,Carrefour Sorbet Mango 600 g,https://cdn.carrefour.eu/160_05889457_3560070335541_00.jpeg,"2,99€",Per stuk,"4,98€",/kg
3,Carrefour Roomijs Koffie 465 g,https://cdn.carrefour.eu/160_04021873_3560070105038_00.jpeg,"2,49€",Per stuk,"2,49€",/l
4,Carrefour Hoorntjes Chocolade 6 x 68 g,https://cdn.carrefour.eu/160_05070798_3560070335879_00.jpeg,"2,69€",Per stuk,"3,74€",/l
5,Carrefour Roomijs Vanille 1250 g,https://cdn.carrefour.eu/160_04541063_3560070215928_00.jpeg,"2,99€",Per stuk,"1,20€",/l
6,Carrefour Stronkjes Chocolade Hazelnoten Karamel 4 x 77.5 g,https://cdn.carrefour.eu/160_05756840_3245412990205_00.jpeg,"3,75€",Per stuk,"12,10€",/kg
7,Carrefour Sorbet Framboos 540 g,https://cdn.carrefour.eu/160_05889177_3560070820986_00.jpeg,"3,09€",Per stuk,"5,72€",/kg
8,Carrefour Aardbeien Heel 650 g,https://cdn.carrefour.eu/160_06052376_3560071176365_00.jpeg,"2,19€",Per stuk,"2,92€",/kg
9,Carrefour Hoorntjes Vanille 6 x 68.17 g,https://cdn.carrefour.eu/160_04850325_3560071249663_00.jpeg,"1,55€",Per stuk,"2,15€",/l
10,Carrefour Exquis Heerlijk Stracciatella 495 g,https://cdn.carrefour.eu/160_04850429_3560070048304_00.jpeg,"1,59€",Per stuk,"1,77€",/l
11,Carrefour Ice Jets 8 Stuks 480 g,https://cdn.carrefour.eu/160_05214419_3560071168773_00.jpeg,"1,75€",Per stuk,"3,65€",/l
12,Carrefour Roomijs Façon à la Dame Blanche 500 g,https://cdn.carrefour.eu/160_05337199_3560070801312_00.jpeg,"1,75€",Per stuk,"1,94€",/l
13,Carrefour Roomijs Zwarte Chocolade 500 g,https://cdn.carrefour.eu/160_04019899_3560071016685_00.jpeg,"1,79€",Per stuk,"1,79€",/l
14,Carrefour Frisco's White 4 x 77 g,https://cdn.carrefour.eu/160_05325363_3560070774456_00.jpeg,"2,25€",Per stuk,"5,11€",/l
15,Carrefour Classic 4 x 75 g,https://cdn.carrefour.eu/160_05325469_3560070774395_00.jpeg,"2,25€",Per stuk,"2,25€",/stuk
16,Carrefour Moelleux met Zwarte Chocolade 2 x 95 g,https://cdn.carrefour.eu/160_05342037_3270190215998_00.jpeg,"2,49€",Per stuk,"13,11€",/kg
17,Carrefour Double Karamelsaus 4 x 85.5 g,https://cdn.carrefour.eu/160_05447143_3560070820917_00.jpeg,"2,49€",Per stuk,"5,66€",/l
18,Carrefour Potjes Vanille Chocolade Vanille Aardbei 12 x 30.67 g,https://cdn.carrefour.eu/160_05456639_3270190207832_00.jpeg,"2,45€",Per stuk,"3,40€",/l
19,Carrefour Almond 4 x 80 g,https://cdn.carrefour.eu/160_05325470_3560070774425_00.jpeg,"2,29€",Per stuk,"2,29€",/stuk
20,Carrefour Bio Chocolade 450 g,https://cdn.carrefour.eu/160_06024511_3560071169411_00.jpeg,"3,59€",Per stuk,"3,99€",/l
21,Carrefour Bio Citroen 495 g,https://cdn.carrefour.eu/160_06156092_3560071436957_00.jpeg,"3,19€",Per stuk,"3,54€",/l
22,Carrefour Rum Rozijnen 500 g,https://cdn.carrefour.eu/160_06194267_3270190023401_00.jpeg,"3,75€",Per stuk,"3,75€",/l
23,Carrefour Sorbet Citroen Stukjes Citroen 606 g,https://cdn.carrefour.eu/160_05705598_3245411236366_00.jpeg,"2,15€",Per stuk,"3,55€",/kg
24,Carrefour Roomijs Karamel Fleur de Sel 500 g,https://cdn.carrefour.eu/160_05585762_3560070822584_00.jpeg,"2,75€",Per stuk,"2,75€",/l
25,Carrefour Espresso Koffie 4 x 70 g,https://cdn.carrefour.eu/160_05585785_3560070828784_00.jpeg,"2,25€",Per stuk,"5,11€",/l
26,Carrefour Roomijs Aardbei 500 g,https://cdn.carrefour.eu/160_05218176_3560071016678_00.jpeg,"1,89€",Per stuk,"1,89€",/l
27,Carrefour Mango in Stukjes 450 g,https://cdn.carrefour.eu/160_05344576_3560070259564_00.jpeg,"2,25€",Per stuk,"5,00€",/kg
28,Carrefour Blauwe Bosbessen 650 g,https://cdn.carrefour.eu/160_05708158_3560071033835_00.jpeg,"2,99€",Per stuk,"4,60€",/kg
29,Carrefour Bio Chocolade 450 g,https://cdn.carrefour.eu/160_06024511_3560071169411_00.jpeg,"3,59€",Per stuk,"3,99€",/l
30,Carrefour Bio Citroen 495 g,https://cdn.carrefour.eu/160_06156092_3560071436957_00.jpeg,"3,19€",Per stuk,"3,54€",/l
31,Carrefour Rum Rozijnen 500 g,https://cdn.carrefour.eu/160_06194267_3270190023401_00.jpeg,"3,75€",Per stuk,"3,75€",/l
32,Carrefour Classic' Mini Cup Vanille 8 x 100 ml,https://cdn.carrefour.eu/160_06427194_5400101078574_00.jpeg,"2,15€",Per stuk,"2,69€",/l
33,Carrefour Vanille Rode Vruchten 520 g,https://cdn.carrefour.eu/160_06051952_3270190203261_00.jpeg,"3,49€",Per stuk,"3,49€",/l
34,Carrefour Type Dame Blanche 534.4 g,https://cdn.carrefour.eu/160_06051992_3560070838875_00.jpeg,"3,49€",Per stuk,"3,49€",/l
35,Carrefour Extra Mini Almond - Black - White - Chocolate 287 g,https://cdn.carrefour.eu/160_06415813_3560070828289_00.jpeg,"1,39€",Per stuk,"3,48€",/l
36,Carrefour Sensation Cookie Dough 416 g,https://cdn.carrefour.eu/160_06415860_3560071249106_00.jpeg,"4,49€",Per stuk,"8,98€",/l
