,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Mozzarella Geraspte 200 g,https://cdn.carrefour.eu/160_04622451_3560070246571_00.jpeg,"1,45€",Per stuk,"7,25€",/kg
1,Carrefour Gouda Holland Oud Sneetjes 300 g,https://cdn.carrefour.eu/160_05038261_3560070113392_00.jpeg,"3,65€",Per stuk,"12,17€",/kg
2,Carrefour Stylesse Gouda Jong 6 à 10 Sneetjes 300 g,https://cdn.carrefour.eu/160_04654640_5400101255432_00.jpeg,"4,45€",Per stuk,"14,83€",/kg
3,Carrefour Mozzarella 125 g,https://cdn.carrefour.eu/160_04732849_3560070060252_00.jpeg,"0,79€",Per stuk,"6,32€",/kg
4,Carrefour Geraspte Emmentaler 200 g,https://cdn.carrefour.eu/160_01925070_3560070119851_00.jpeg,"1,85€",Per stuk,"9,25€",/kg
5,Carrefour Geraspte Emmentaler Maxi Pack 1 kg,https://cdn.carrefour.eu/160_01847598_5400101217287_00.jpeg,"7,39€",Per stuk,"7,39€",/kg
6,Carrefour Gruyère Switzerland Geraspt 100 g,https://cdn.carrefour.eu/160_05168785_5400101162174_00.jpeg,"2,09€",Per stuk,"20,90€",/kg
7,Carrefour Geraspte Emmentaler Maxi Pack 500 g,https://cdn.carrefour.eu/160_01849924_5400101217355_00.jpeg,"4,19€",Per stuk,"8,38€",/kg
8,Carrefour Geraspte Emmentaler 3 x 100 g,https://cdn.carrefour.eu/160_04941528_3560070445257_00.jpeg,"2,85€",Per stuk,"9,50€",/kg
9,Carrefour Gouda Holland Jong Maxi Pack Sneetjes 500 g,https://cdn.carrefour.eu/160_06082302_3560071179663_00.jpeg,"3,75€",Per stuk,"7,50€",/kg
10,Carrefour Geraspte Kaas 500 g,https://cdn.carrefour.eu/160_05709860_5400101047594_00.jpeg,"3,49€",Per stuk,"6,98€",/kg
11,Carrefour Geraspte Kaas 3 x 100 g,https://cdn.carrefour.eu/160_05709861_5400101047600_00.jpeg,"2,29€",Per stuk,"7,63€",/kg
12,Carrefour Grana Padano 200 g,https://cdn.carrefour.eu/160_05217989_3560070514786_00.jpeg,"3,09€",Per stuk,"15,45€",/kg
13,Carrefour Reblochon AOP 225 g,https://cdn.carrefour.eu/160_06014366_3060921457823_00.jpeg,"3,00€",Per stuk,"13,33€",/kg
14,Carrefour Gouda Holland Jong Sneetjes 300 g,https://cdn.carrefour.eu/160_01894549_3560070108442_00.jpeg,"2,29€",Per stuk,"7,63€",/kg
15,Carrefour Gouda Holland Belegen Sneetjes 300 g,https://cdn.carrefour.eu/160_01894557_3560070113453_00.jpeg,"3,19€",Per stuk,"10,63€",/kg
16,Carrefour Boomstammetje Geitenkaas Sainte Maure 200 g,https://cdn.carrefour.eu/160_05472577_3245414509603_00.jpeg,"2,39€",Per stuk,"11,95€",/kg
17,Carrefour Gouda Holland Jong blok 300 g,https://cdn.carrefour.eu/160_05554942_3560070799398_00.jpeg,"2,65€",Per stuk,"8,83€",/kg
