,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,LU Véritable Petit Beurre Koeken 200 g,https://cdn.carrefour.eu/160_05760299_7622210476081_00.jpeg,"1,53€",Per stuk,"7,65€",/kg
1,LU BelVita Donkere Chocolade & Hazelnoot 160 g,https://cdn.carrefour.eu/160_06601969_7622210547194_00.jpeg,"2,95€",Per stuk,"2,95€",/stuk
2,Carrefour Waaiers Knapperig 50 g,https://cdn.carrefour.eu/160_05137235_5400101020634_00.jpeg,"0,69€",Per stuk,"13,80€",/kg
3,Carrefour Zachte Vulling Ontbijt met Yoghurt 253 g,https://cdn.carrefour.eu/160_05507820_3560070765430_00.jpeg,"2,05€",Per stuk,"8,10€",/kg
4,Carrefour Honingkoek met Parelsuiker Gesneden 500 g,https://cdn.carrefour.eu/160_01672224_5400101174641_00.jpeg,"1,75€",Per stuk,"3,50€",/kg
5,Carrefour Ijshoorntjes Knappering 12 Stuks 200 g,https://cdn.carrefour.eu/160_04003408_5400101188853_00.jpeg,"1,35€",Per stuk,"6,75€",/kg
6,Carrefour Original Stroop-Wafels met Stroop 8 Stuks 230 g,https://cdn.carrefour.eu/160_01648468_5400101166929_00.jpeg,"1,25€",Per stuk,"5,43€",/kg
7,Carrefour Original Jachtwafels met Parelsuiker 4 Stuks 360 g,https://cdn.carrefour.eu/160_01648471_5400101166950_00.jpeg,"1,99€",Per stuk,"5,53€",/kg
8,Carrefour 60 Boudoirs 4 x 100 g,https://cdn.carrefour.eu/160_04027982_3560070108589_00.jpeg,"1,79€",Per stuk,"4,48€",/kg
9,Carrefour Carrés Vanillesmaak met Boter 6 Stuks 240 g,https://cdn.carrefour.eu/160_05260803_5400101026094_00.jpeg,"1,99€",Per stuk,"8,29€",/kg
10,Carrefour Sterren met Chocolade Gemarmerd 8 Stuks 250 g,https://cdn.carrefour.eu/160_04835158_5400101000377_00.jpeg,"1,55€",Per stuk,"6,20€",/kg
11,Carrefour Muffins met Stukjes Chocolade 4 x 75 g,https://cdn.carrefour.eu/160_04994641_3560070350940_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
12,Carrefour Cake 4/4 met Boter 250 g,https://cdn.carrefour.eu/160_05000908_5400101016958_00.jpeg,"1,59€",Per stuk,"6,36€",/kg
13,Carrefour Original Peperkoek met Honing 500 g,https://cdn.carrefour.eu/160_01668856_5400101169159_00.jpeg,"1,69€",Per stuk,"3,38€",/kg
14,Carrefour Ma'liss Cakejes Chocoladesmaak 10 x 42 g,https://cdn.carrefour.eu/160_04315395_3560070110759_00.jpeg,"2,79€",Per stuk,"6,64€",/kg
15,Carrefour Nic Nac 400 g,https://cdn.carrefour.eu/160_01668866_5400101169258_00.jpeg,"0,75€",Per stuk,"1,88€",/kg
16,Carrefour Iced Gem 300 g,https://cdn.carrefour.eu/160_04020445_5400101169272_00.jpeg,"1,45€",Per stuk,"4,83€",/kg
17,Carrefour Petit Beurre Stukjes Chocolade 2 x 12 Stuks 200 g,https://cdn.carrefour.eu/160_04644721_3560071083465_00.jpeg,"1,55€",Per stuk,"7,75€",/kg
18,Carrefour Cookies 12 Stuks 225 g,https://cdn.carrefour.eu/160_04413795_3560071090838_00.jpeg,"0,69€",Per stuk,"3,07€",/kg
19,Carrefour Sprits Zandkoekjes met Boter 2 x 200 g,https://cdn.carrefour.eu/160_04018247_3560070048755_00.jpeg,"2,30€",Per stuk,"5,75€",/kg
20,Carrefour Petit Beurre 2 x 12 Stuks 200 g,https://cdn.carrefour.eu/160_04884033_3270190173366_00.jpeg,"0,85€",Per stuk,"4,25€",/kg
21,Carrefour le Petit Beurre Tablet Witte Chocolade 2 x 6 Stuks 150 g,https://cdn.carrefour.eu/160_04611205_3245413200198_00.jpeg,"1,15€",Per stuk,"7,67€",/kg
22,Carrefour Sigaretten Krokant 2 x Bakje 200 g,https://cdn.carrefour.eu/160_04006762_3270190178859_00.jpeg,"1,65€",Per stuk,"8,25€",/kg
23,Carrefour Speculoos Belgisch Recept 2 x 250 g,https://cdn.carrefour.eu/160_04022018_3245413812216_00.jpeg,"1,35€",Per stuk,"2,70€",/kg
24,Carrefour Classic' Sablés Kokossmaakvulling 100 g,https://cdn.carrefour.eu/160_05293130_3560070649204_00.jpeg,"1,55€",Per stuk,"15,50€",/kg
25,Carrefour Brownie Stukjes Chocolade 285 g,https://cdn.carrefour.eu/160_05409993_3560070487363_00.jpeg,"2,99€",Per stuk,"10,49€",/kg
26,Carrefour Original Appeltaartjes met Boter 9 Stuks 270 g,https://cdn.carrefour.eu/160_05841903_5400101054981_00.jpeg,"1,69€",Per stuk,"6,26€",/kg
27,Carrefour Choco As met Chocolade 250 g,https://cdn.carrefour.eu/160_05527647_5400101040199_00.jpeg,"1,05€",Per stuk,"4,20€",/kg
28,Carrefour Original Parijse Galetten met Boter 22 Stuks 210 g,https://cdn.carrefour.eu/160_05604385_5400101101531_00.jpeg,"1,39€",Per stuk,"6,62€",/kg
29,Carrefour Petit Beurre Stukjes Chocolade 2 x 12 Stuks 200 g,https://cdn.carrefour.eu/160_04644721_3560071083465_00.jpeg,"1,55€",Per stuk,"7,75€",/kg
30,Carrefour Cookies 12 Stuks 225 g,https://cdn.carrefour.eu/160_04413795_3560071090838_00.jpeg,"0,69€",Per stuk,"3,07€",/kg
31,Carrefour Sprits Zandkoekjes met Boter 2 x 200 g,https://cdn.carrefour.eu/160_04018247_3560070048755_00.jpeg,"2,30€",Per stuk,"5,75€",/kg
32,Carrefour Sigaretten Krokant 2 x Bakje 200 g,https://cdn.carrefour.eu/160_04006762_3270190178859_00.jpeg,"1,65€",Per stuk,"8,25€",/kg
33,Carrefour Speculoos Belgisch Recept 2 x 250 g,https://cdn.carrefour.eu/160_04022018_3245413812216_00.jpeg,"1,35€",Per stuk,"2,70€",/kg
34,Carrefour Lekkernijen Met 3 Soorten Chocolade 200 g,https://cdn.carrefour.eu/160_05614042_3560070772636_00.jpeg,"2,29€",Per stuk,"11,45€",/kg
35,Carrefour Sensation Mallow Cakes Melkchocolade 16 Stuks 270 g,https://cdn.carrefour.eu/160_05193468_5400101023130_00.jpeg,"2,09€",Per stuk,"7,74€",/kg
36,Carrefour Kids Bootjes Aardbei 3 x 6 Zakjes 120 g,https://cdn.carrefour.eu/160_04951702_3560071256791_00.jpeg,"1,19€",Per stuk,"9,92€",/kg
37,Carrefour Koekjes Ontbijt met Stukjes Chocolade 400 g,https://cdn.carrefour.eu/160_04480836_3560071016180_00.jpeg,"1,85€",Per stuk,"4,63€",/kg
38,Carrefour Mini Frangipanes 9 Zakjes 360 g,https://cdn.carrefour.eu/160_05648058_5400101043602_00.jpeg,"1,99€",Per stuk,"5,53€",/kg
39,Carrefour Petit Beurre 2 x 12 Stuks 200 g,https://cdn.carrefour.eu/160_04884033_3270190173366_00.jpeg,"0,85€",Per stuk,"4,25€",/kg
40,Carrefour le Petit Beurre Tablet Witte Chocolade 2 x 6 Stuks 150 g,https://cdn.carrefour.eu/160_04611205_3245413200198_00.jpeg,"1,15€",Per stuk,"7,67€",/kg
41,Carrefour Original Galetten met Boter 6 x 2 Stuks 330 g,https://cdn.carrefour.eu/160_04999185_5400101016866_00.jpeg,"2,59€",Per stuk,"7,85€",/kg
42,Carrefour Extra Cookies Witte Chocolade & Cranberries 8 Stuks 200 g,https://cdn.carrefour.eu/160_06385587_5400101204140_00.jpeg,"1,15€",Per stuk,"5,75€",/kg
43,Carrefour Original Wafels met Vanillesmaak met Chocolade 5 Stuks 375 g,https://cdn.carrefour.eu/160_06469857_5400101079168_00.jpeg,"1,75€",Per stuk,"4,67€",/kg
44,Carrefour Classic' Petit Beurre Pocket 36 Stuks 300 g,https://cdn.carrefour.eu/160_06656870_3560070477197_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
45,Carrefour Sensation Crok'n'Nuts 240 g,https://cdn.carrefour.eu/160_06586871_3560071265199_00.jpeg,"2,25€",Per stuk,"9,38€",/kg
46,Carrefour Classic' Loops Laagje Melkchocolade 6 Stuks 180 g,https://cdn.carrefour.eu/160_06549127_3560071249571_00.jpeg,"1,75€",Per stuk,"9,72€",/kg
47,Carrefour Sprits Melkchocolade Zandkoekjes 150 g,https://cdn.carrefour.eu/160_06654766_3560071128906_00.jpeg,"1,05€",Per stuk,"7,00€",/kg
48,Carrefour Classic' Petit Beurre Pocket 36 Stuks 300 g,https://cdn.carrefour.eu/160_06656870_3560070477197_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
49,Carrefour Sprits Melkchocolade Zandkoekjes 150 g,https://cdn.carrefour.eu/160_06654766_3560071128906_00.jpeg,"1,05€",Per stuk,"7,00€",/kg
50,Carrefour Classic' les Barquettes Chocolade - Hazelnoot 120 g,https://cdn.carrefour.eu/160_06664514_3270190178897_00.jpeg,"1,19€",Per stuk,"9,92€",/kg
51,Carrefour Sensation Stick Pure Chocolade 90 g,https://cdn.carrefour.eu/160_06689901_3560071266615_00.jpeg,"1,15€",Per stuk,"12,78€",/kg
52,Carrefour Wafels Omhuld met Melkchocolade 3 x 45 g,https://cdn.carrefour.eu/160_06667184_3560070988051_00.jpeg,"1,09€",Per stuk,"6,06€",/kg
53,Carrefour Original Mini Wafeltjes met Cacaofantasie 200 g,https://cdn.carrefour.eu/160_06691330_5400101006942_00.jpeg,"1,65€",Per stuk,"8,25€",/kg
54,Carrefour Extra il Délicio Original 6 Stuks 182 g,https://cdn.carrefour.eu/160_06753180_3560071260156_00.jpeg,"1,08€",Per stuk,"5,93€",/kg
55,Carrefour Original Mini Galetten met Boter 450 g,https://cdn.carrefour.eu/160_05215301_5400101023680_00.jpeg,"2,95€",Per stuk,"6,56€",/kg
56,Carrefour Chocodise met Kokosschilfers 175 g,https://cdn.carrefour.eu/160_04843375_5400101004559_00.jpeg,"1,39€",Per stuk,"7,94€",/kg
57,Carrefour Koekjes met Tablet Lekkernij Melkchocolade 125 g,https://cdn.carrefour.eu/160_04936800_3560070427406_00.jpeg,"0,59€",Per stuk,"4,72€",/kg
58,Carrefour Bokkenpootjes met Pindaschilfertjes 150 g,https://cdn.carrefour.eu/160_05002398_5400101017092_00.jpeg,"1,09€",Per stuk,"7,27€",/kg
59,Carrefour Bio Koekjes Zwarte Chocolade 12 Stucks 150 g,https://cdn.carrefour.eu/160_05092143_3270190128519_00.jpeg,"2,09€",Per stuk,"13,93€",/kg
