,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Hydraterende douchegel Sanex Zero% voor alle huidtypes {500ml},https://cdn.carrefour.eu/160_06836010_8718951481732_00.jpeg,"5,99€",Per stuk,"11,98€",/l
1,Sanex Zero% voedende douchegel voor de droge huid {500ml},https://cdn.carrefour.eu/160_06836011_8718951481701_00.jpeg,"5,99€",Per stuk,"11,98€",/l
2,Zuiverende douchegel Sanex Zero% voor alle huidtypes {500ml},https://cdn.carrefour.eu/160_06836017_8718951481640_00.jpeg,"5,99€",Per stuk,"11,98€",/l
3,Carrefour Voedende Verzorging Droge Voeten 75 ml,https://cdn.carrefour.eu/160_05496359_3560070231614_00.jpeg,"2,85€",Per stuk,"38,00€",/l
4,Carrefour Herstellende Verzorging Beschadigde Voeten 75 ml,https://cdn.carrefour.eu/160_05496412_3560070487608_00.jpeg,"2,85€",Per stuk,"38,00€",/l
5,Carrefour Hydraterende Hand Wasgel Verrijkt met Glycerine 300 ml,https://cdn.carrefour.eu/160_05496602_3560070871575_00.jpeg,"0,79€",Per stuk,"2,63€",/l
6,Carrefour Superzachte Wasgel met Aloë Vera 300 ml,https://cdn.carrefour.eu/160_05506208_3560070871513_00.jpeg,"0,79€",Per stuk,"2,63€",/l
7,Carrefour Kids Bad-Douche 300 ml,https://cdn.carrefour.eu/160_05519378_3560070527205_00.jpeg,"1,89€",Per stuk,"6,30€",/l
8,Carrefour Blarenpleisters x 6,https://cdn.carrefour.eu/160_05560429_3245413124814_00.jpeg,"2,05€",Per stuk,"2,05€",/stuk
9,Carrefour Kids Bad-Douche Extra Zacht 300 ml,https://cdn.carrefour.eu/160_05456949_3560070527175_00.jpeg,"1,89€",Per stuk,"6,30€",/l
10,Carrefour Kids Bad-Douche 300 ml,https://cdn.carrefour.eu/160_05466361_3560070527113_00.jpeg,"1,89€",Per stuk,"6,30€",/l
11,Carrefour Likdoornpleisters Hydrocolloidgel x 8,https://cdn.carrefour.eu/160_05267872_3560070671656_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
12,Carrefour Soft Deodorant Cologne 24H 200 ml,https://cdn.carrefour.eu/160_05534435_3560070879939_00.jpeg,"1,35€",Per stuk,"6,75€",/l
13,Carrefour Kids Hypoallergene Douchegel met Amandelextract 500 ml,https://cdn.carrefour.eu/160_05821401_3560071003074_00.jpeg,"2,99€",Per stuk,"5,98€",/l
14,Carrefour Soft Hydraterende Crème Gezicht en Lichaam 250 ml,https://cdn.carrefour.eu/160_05641668_3560070911493_00.jpeg,"1,65€",Per stuk,"6,60€",/l
15,Carrefour Badschuim Appel 1 L,https://cdn.carrefour.eu/160_05580044_3560070957507_00.jpeg,"1,35€",Per stuk,"1,35€",/l
16,Carrefour Douchecrème Vanillemelk 250 ml,https://cdn.carrefour.eu/160_05503453_3560070883325_00.jpeg,"1,09€",Per stuk,"4,36€",/l
17,Carrefour Douchecrème Kokos Ontspannend 250 ml,https://cdn.carrefour.eu/160_05503454_3560070883417_00.jpeg,"1,09€",Per stuk,"4,36€",/l
18,Carrefour Soft Douchecrème Katoenmelk Hydraterend 250 ml,https://cdn.carrefour.eu/160_05507545_3560070883202_00.jpeg,"1,09€",Per stuk,"4,36€",/l
19,Carrefour Eau de Cologne Lavendel 250 ml,https://cdn.carrefour.eu/160_05785484_3560071011512_00.jpeg,"2,59€",Per stuk,"10,36€",/l
20,Carrefour Soft Eau de Cologne Fris Geur IJzerhard Citroen 250 ml,https://cdn.carrefour.eu/160_05785483_3560070883608_00.jpeg,"2,59€",Per stuk,"10,36€",/l
21,Carrefour Soft met Monoï uit Tahiti Douchegel 250 ml,https://cdn.carrefour.eu/160_05748168_3560071010430_00.jpeg,"1,09€",Per stuk,"4,36€",/l
22,Carrefour Douchegel Orchidee Ontspannend 250 ml,https://cdn.carrefour.eu/160_05854712_3560071116552_00.jpeg,"1,09€",Per stuk,"4,36€",/l
