,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Wellness Time Sfeerkaars 150 g,https://cdn.carrefour.eu/160_05940845_3560071009274_00.jpeg,"3,39€",Per stuk,"3,39€",/stuk
1,Carrefour Luchtverfrisser Gel Lavendel 150 g,https://cdn.carrefour.eu/160_05034142_3560071313456_00.jpeg,"0,49€",Per stuk,"3,27€",/kg
2,Carrefour Red Love Sfeerkaars 150 g,https://cdn.carrefour.eu/160_05940875_3560071009236_00.jpeg,"3,39€",Per stuk,"3,39€",/stuk
3,Carrefour Deo Frigo,https://cdn.carrefour.eu/160_05227734_3560071245603_00.jpeg,"2,09€",Per stuk,"2,09€",/stuk
4,Carrefour Vanille Geurkaars 100 g,https://cdn.carrefour.eu/160_06242391_3560071186036_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
5,Carrefour Amber & Tonka Geurkaars 100 g,https://cdn.carrefour.eu/160_06242402_3560071186067_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
6,Carrefour Essential Spray Luchtverfrisser Vanille 300 ml,https://cdn.carrefour.eu/160_06621003_3560071271862_00.jpeg,"0,99€",Per stuk,"3,30€",/l
7,Carrefour Essential Spray Luchtverfrisser Lavandel 300 ml,https://cdn.carrefour.eu/160_06643800_3560071271770_00.jpeg,"1,09€",Per stuk,"3,63€",/l
8,Carrefour Essential Navulling Automatische Spray Kersenbloesem 250 ml,https://cdn.carrefour.eu/160_06646280_3560071272227_00.jpeg,"2,59€",Per stuk,"10,76€",/l
9,Carrefour Essential Navulling Automatische Spray Vanille 250 ml,https://cdn.carrefour.eu/160_06646282_3560071272197_00.jpeg,"2,69€",Per stuk,"10,76€",/l
10,Carrefour Essential Navulling Automatische Spray Lavendel 250 ml,https://cdn.carrefour.eu/160_06646326_3560071272135_00.jpeg,"2,69€",Per stuk,"10,76€",/l
11,Carrefour Essential Ochtenddauw 250 ml,https://cdn.carrefour.eu/160_06665062_3560071272104_00.jpeg,"6,49€",Per stuk,"6,49€",/stuk
12,Carrefour Essential Luchtverfrissergel Vanille,https://cdn.carrefour.eu/160_06675721_3560071401283_00.jpeg,"0,95€",Per stuk,"6,33€",/kg
13,Carrefour Essential Luchtverfrisser Wiek Kersenbloesem 375 ml,https://cdn.carrefour.eu/160_06686878_3560071400392_00.jpeg,"1,05€",Per stuk,"2,80€",/l
14,Carrefour Essential Luchtverfrisser Wiek Ochtenddauw 375 ml,https://cdn.carrefour.eu/160_06686980_3560071400279_00.jpeg,"1,05€",Per stuk,"2,80€",/l
15,Carrefour Essential Luchtverfrisser Wiek Lavandel 375 ml,https://cdn.carrefour.eu/160_06686982_3560071400248_00.jpeg,"1,05€",Per stuk,"2,80€",/l
16,Air Wick Luchtverfrisser Spray Pure Aziatische Kersenbloesem 250 ml,https://cdn.carrefour.eu/160_05451013_3059943021693_00.jpeg,"3,99€",Per stuk,"15,96€",/l
17,Air Wick Luchtverfrisser Spray Pure Paarse Lavendel 250 ml,https://cdn.carrefour.eu/160_05587831_3059943023208_00.jpeg,"3,99€",Per stuk,"15,96€",/l
18,Glade®-Touch & Fresh- Muguet- 10ml,https://cdn.carrefour.eu/160_05174620_5000204817867_00.jpeg,"3,45€",Per stuk,"3,59€",/stuk
19,Glade®-aerosol-Sensual Sandalwood & Jasmine - 300ml,https://cdn.carrefour.eu/160_05508905_5000204771534_00.jpeg,"2,69€",Per stuk,"8,97€",/l
20,Air Wick Actieve Wiek Luchtverfrisser Lavendel en Kamille 375 ml,https://cdn.carrefour.eu/160_00980397_5410036471180_00.jpeg,"2,68€",Per stuk,"7,15€",/l
21,Glade Touch & Fresh Relaxing Zen 10 ml,https://cdn.carrefour.eu/160_05174622_5000204817836_00.jpeg,"3,45€",Per stuk,"3,59€",/stuk
22,Air Wick Actieve Wiek Luchtverfrisser Fresh Water 375 ml,https://cdn.carrefour.eu/160_00980398_5410036473818_00.jpeg,"2,68€",Per stuk,"7,15€",/l
23,Air Wick Deco Sphere Luchtverfrisser Mango & Limoen 75 ml,https://cdn.carrefour.eu/160_01752765_3059946079028_00.jpeg,"6,19€",Per stuk,"6,19€",/stuk
24,Air Wick Navulling Essential Mist Aroma Eucalyptus & Lavendel 20 ml,https://cdn.carrefour.eu/160_05960515_3059943024588_00.jpeg,"5,75€",Per stuk,"287,50€",/l
25,Glade Automatic Spray Pure Clean Linen 269 ml,https://cdn.carrefour.eu/160_06097753_5000204870367_00.jpeg,"4,45€",Per stuk,"16,54€",/l
26,Glade Vanilla & White Orchid 18 ml,https://cdn.carrefour.eu/160_06097770_5000204080513_00.jpeg,"5,25€",Per stuk,"5,45€",/stuk
27,Glade Pink Rose & Meringue 18 ml,https://cdn.carrefour.eu/160_06097773_5000204080575_00.jpeg,"5,25€",Per stuk,"5,45€",/stuk
28,Glade Sense & Spray Sensual Sandalwood & Jasmine 18 ml,https://cdn.carrefour.eu/160_06097845_5000204628319_00.jpeg,"4,49€",Per stuk,"4,65€",/stuk
29,Glade® Automatic Spray- Relaxing Zen -269 ml,https://cdn.carrefour.eu/160_06097847_5000204810936_00.jpeg,"4,45€",Per stuk,"16,54€",/l
30,Glade Automatic Spray Relaxing Zen 269 ml,https://cdn.carrefour.eu/160_06097919_5000204073416_00.jpeg,"7,89€",Per stuk,"30,45€",/l
31,Glade Vanilla & White Orchid 300 ml,https://cdn.carrefour.eu/160_06097952_5000204070224_00.jpeg,"3,15€",Per stuk,"10,83€",/l
32,Air Wick Elektrische Pure Lentedauw 19 ml Navulling,https://cdn.carrefour.eu/160_06063134_3059943025394_00.jpeg,"3,39€",Per stuk,"3,39€",/stuk
33,Air Wick Elektrische Geurverspreider Luchtverfrisser Katoen 19 ml,https://cdn.carrefour.eu/160_06063153_3059943025400_00.jpeg,"3,39€",Per stuk,"3,39€",/stuk
34,Air Wick Luchtverfrisser Spray Pure Aziatische Kersenbloesem 250 ml,https://cdn.carrefour.eu/160_05451013_3059943021693_00.jpeg,"3,99€",Per stuk,"15,96€",/l
35,Air Wick Luchtverfrisser Spray Pure Paarse Lavendel 250 ml,https://cdn.carrefour.eu/160_05587831_3059943023208_00.jpeg,"3,99€",Per stuk,"15,96€",/l
