,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,"Pampers Harmonie Pants Maat 5, 20 Luierbroekjes, 12kg-17kg",https://cdn.carrefour.eu/160_06533070_8001841715483_00.jpeg,"13,85€",Per stuk,"0,71€",/stuk
1,"Pampers Harmonie Pants Maat 6, 18 Luierbroekjes, 15kg+",https://cdn.carrefour.eu/160_06533072_8001841715551_00.jpeg,"13,85€",Per stuk,"0,80€",/stuk
2,"Pampers Harmonie Maat 3, 22 Luiers, 6kg-10kg",https://cdn.carrefour.eu/160_06533077_8001090933515_00.jpeg,"10,45€",Per stuk,"0,49€",/stuk
3,Pampers Harmonie Maat 4 - 19 Luiers - 9kg-14kg,https://cdn.carrefour.eu/160_06539323_8001090933546_00.jpeg,"10,65€",Per stuk,"0,56€",/stuk
4,Carrefour Baby Ultra Dry 5 Junior 11-25 kg 40 Luiers,https://cdn.carrefour.eu/160_06091664_3560071172794_00.jpeg,"5,99€",Per stuk,"0,15€",/stuk
5,Carrefour Baby 50 Luierzakjes Fresh,https://cdn.carrefour.eu/160_04598333_3560070208555_00.jpeg,"0,85€",Per stuk,"0,02€",/stuk
6,Carrefour Baby Ultra Dry 4 Maxi 7-18 kg 45 Luiers,https://cdn.carrefour.eu/160_06091661_3560071172459_00.jpeg,"6,15€",Per stuk,"0,14€",/stuk
7,Carrefour Baby Ultra Dry 4+ Maxi+ 9-20 kg 43 Luiers,https://cdn.carrefour.eu/160_06091662_3560071172565_00.jpeg,"6,65€",Per stuk,"0,15€",/stuk
8,Carrefour Baby Ultra Dry 6 X Large +16 kg 27 Luiers,https://cdn.carrefour.eu/160_06091665_3560071172817_00.jpeg,"6,49€",Per stuk,"0,24€",/stuk
9,Carrefour Baby Soft & Protect 2 Mini 3-6 kg 60 Luiers,https://cdn.carrefour.eu/160_06091817_3560071172947_00.jpeg,"8,15€",Per stuk,"0,14€",/stuk
10,Carrefour Baby Premium Ultra Protect 3 Midi 4-9 kg 44 Luiers,https://cdn.carrefour.eu/160_06092576_3560071172961_00.jpeg,"8,99€",Per stuk,"0,20€",/stuk
11,Carrefour Baby Premium Ultra Protect 4 Maxi 7-18 kg 40 Luiers,https://cdn.carrefour.eu/160_06092577_3560071172985_00.jpeg,"7,99€",Per stuk,"0,20€",/stuk
12,Carrefour Baby Premium Ultra Protect 5 Junior 11-25 kg 36 Luiers,https://cdn.carrefour.eu/160_06092588_3560071173029_00.jpeg,"9,49€",Per stuk,"0,26€",/stuk
13,Carrefour Pyjama Pants 8-15 Jaar 27-57 kg 12 Stuks,https://cdn.carrefour.eu/160_05570575_3560070861682_00.jpeg,"8,65€",Per stuk,"0,72€",/stuk
14,Carrefour Pyjama Pants 4-7 Jaar 17-30 kg 15 Stuks,https://cdn.carrefour.eu/160_05570576_3560070861651_00.jpeg,"8,99€",Per stuk,"0,60€",/stuk
15,Carrefour Baby Ultra Dry 4 Maxi 7-18 kg Economy Pack 92 Luiers,https://cdn.carrefour.eu/160_06296075_3560071309329_00.jpeg,"11,99€",Per pak,"0,13€",/stuk
16,Carrefour Baby Ultra Dry 3 Midi 4-9 kg Economy Pack 104 Luiers,https://cdn.carrefour.eu/160_06302171_3560071282165_00.jpeg,"10,99€",Per pak,"0,11€",/stuk
17,Carrefour Baby Ultra Dry 5 Junior 11-25 kg Economy Pack 84 Luiers,https://cdn.carrefour.eu/160_06301328_3560071282196_00.jpeg,"12,49€",Per pak,"0,15€",/stuk
18,Carrefour Baby Ultra Dry 4+ Maxi+ 9-20 kg Economy Pack 88 Luiers,https://cdn.carrefour.eu/160_06284694_3560071309343_00.jpeg,"12,99€",Per pak,"0,15€",/stuk
19,Carrefour Baby Ultra Dry 3 Midi 4-9 kg 49 Luiers,https://cdn.carrefour.eu/160_06091440_3560071172374_00.jpeg,"5,25€",Per stuk,"0,11€",/stuk
20,"Pampers Harmonie Maat 2, 27 Luiers, 4kg-8kg",https://cdn.carrefour.eu/160_06533081_8001090933454_00.jpeg,"10,39€",Per stuk,"0,39€",/stuk
21,"Pampers Harmonie Maat 1, 35 Luiers, 2kg-5kg",https://cdn.carrefour.eu/160_06533078_8001090933423_00.jpeg,"10,39€",Per stuk,"0,30€",/stuk
22,"Pampers Harmonie Maat 1, 80 Luiers, 2kg-5kg",https://cdn.carrefour.eu/160_06533076_8001841654324_00.jpeg,"23,69€",Per stuk,"0,30€",/stuk
23,"Pampers Harmonie Maat 2, 86 Luiers, 4kg-8kg",https://cdn.carrefour.eu/160_06539453_8001841654355_00.jpeg,"33,69€",Per stuk,"0,39€",/stuk
24,"Pampers Harmonie Maat 2, 86 Luiers, 4kg-8kg",https://cdn.carrefour.eu/160_06539453_8001841654355_00.jpeg,"33,69€",Per stuk,"0,39€",/stuk
25,"Pampers Harmonie Maat 5, 17 Luiers, 11kg-16kg",https://cdn.carrefour.eu/160_06533079_8001090933577_00.jpeg,"10,45€",Per stuk,"0,63€",/stuk
26,"Pampers Harmonie Hybrid 20 Absorberende Wegwerpbare Toplagen, Extra",https://cdn.carrefour.eu/160_06701491_8006540354155_00.jpeg,"12,35€",Per pak,"0,64€",/stuk
27,"Pampers Harmonie Hybrid Wasbare Luiers Voor Baby's, 3 Wasbare Luiers",https://cdn.carrefour.eu/160_06707414_8006540298022_00.jpeg,"66,95€",Per stuk,"23,22€",/stuk
28,"Pampers Harmonie Hybrid 25 Absorberende Wegwerpbare Toplagen, Normal",https://cdn.carrefour.eu/160_06701488_8006540354094_00.jpeg,"12,35€",Per pak,"0,51€",/stuk
29,Pampers Harmonie Hybrid Probeerverpakking,https://cdn.carrefour.eu/160_06714947_8006540297933_00.jpeg,"25,75€",Per stuk,"1,67€",/stuk
30,Huggies Little Swimmers Zwembroekjes 5-6 12-18kg 11 Stuks,https://cdn.carrefour.eu/160_05312056_5029053538426_00.jpeg,"6,15€",Per stuk,"0,56€",/stuk
31,"Pampers Premium Protection Maat 1, Luiers x96, 2kg-5kg",https://cdn.carrefour.eu/160_06121046_8001841057842_00.jpeg,"19,15€",Per pak,"0,20€",/stuk
32,DryNites Pyjama Pants Teen Girl 8-15 Age 27-57 kg Jumbo Pack 13 Stuks,https://cdn.carrefour.eu/160_06179573_5029053571645_00.jpeg,"11,35€",Per stuk,"0,87€",/stuk
33,DryNites Pyjama Pants Teen Boy 8-15 Age 27-57 kg Jumbo Pack 13 Stuks,https://cdn.carrefour.eu/160_06179574_5029053571638_00.jpeg,"11,35€",Per stuk,"0,87€",/stuk
34,DryNites Pyjama Pants Boy 3-5 Jaar 16-23 kg 10 Stuks,https://cdn.carrefour.eu/160_06195977_5029053536262_00.jpeg,"7,99€",Per stuk,"0,80€",/stuk
35,DryNites Pyjama Pants Girl 3-5 Jaar 16-23 kg 10 Stuks,https://cdn.carrefour.eu/160_06195981_5029053536279_00.jpeg,"7,99€",Per stuk,"0,80€",/stuk
36,DryNites Pyjama Pants Boy 4-7 Jaar 17-30 kg 16 Stuks,https://cdn.carrefour.eu/160_06195985_5029053571614_00.jpeg,"12,55€",Per stuk,"0,78€",/stuk
37,DryNites Pyjama Pants Girl 4-7 Age 17-30 kg Jumbo Pack 16 Stuks,https://cdn.carrefour.eu/160_06195988_5029053571621_00.jpeg,"12,55€",Per stuk,"0,78€",/stuk
38,"Pampers Baby-Dry Maat 4, 124 Luiers, Tot 12 Uur Bescherming, 9-14kg",https://cdn.carrefour.eu/160_06349785_8001841497600_00.jpeg,"39,29€",Per pak,"0,32€",/stuk
39,"Pampers Baby-Dry Maat 4+, 96 Luiers, Tot 12 Uur Bescherming, 10-15kg",https://cdn.carrefour.eu/160_06505981_8001841498324_00.jpeg,"35,55€",Per pak,"0,37€",/stuk
40,Huggies Pull-Ups Pants Explorers Girl 1½-3 Years 12-17 kg 34 Stuks,https://cdn.carrefour.eu/160_06532316_5029053574066_00.jpeg,"17,55€",Per stuk,"0,52€",/stuk
41,Huggies Pull-Ups Pants Explorers Girl 9-18 Months 8-12 kg 36 Stuks,https://cdn.carrefour.eu/160_06532297_5029053574004_00.jpeg,"17,55€",Per stuk,"0,49€",/stuk
42,Huggies Pull-Ups Training Pants Girl 2-4years 15-23kg 28 stuks,https://cdn.carrefour.eu/160_06532178_5029053574127_00.jpeg,"17,55€",Per stuk,"0,63€",/stuk
43,Huggies Pull-Ups Training Pants Boy 2-4years 15-23kg 28 stuks,https://cdn.carrefour.eu/160_06532179_5029053574134_00.jpeg,"17,55€",Per stuk,"0,63€",/stuk
44,"Pampers Premium Protection Maat 0, Luiers x24, <3kg",https://cdn.carrefour.eu/160_06434584_8001841275956_00.jpeg,"6,39€",Per stuk,"0,27€",/stuk
45,"Pampers Baby-Dry Maat 7, 18 Luiers, Tot 12 Uur Bescherming, 15kg+",https://cdn.carrefour.eu/160_06384616_8001841497532_00.jpeg,"9,55€",Per stuk,"0,53€",/stuk
46,Pampers Baby-Dry Maat 6 13-18 kg 20 Luiers,https://cdn.carrefour.eu/160_06384630_8001841497495_00.jpeg,"9,65€",Per stuk,"0,48€",/stuk
47,Carrefour Baby Pants 6 X Large +16 kg 36 Broekjes,https://cdn.carrefour.eu/160_06489800_3560071290634_00.jpeg,"9,69€",Per stuk,"0,27€",/stuk
48,Carrefour Baby Eco Planet 5 Junior 12-18 kg 18 Ecologische Broekjes,https://cdn.carrefour.eu/160_06498312_3560071235314_00.jpeg,"8,69€",Per stuk,"0,48€",/stuk
49,Carrefour Baby Eco Planet 6 X Large +16 kg 16 Ecologische Broekjes,https://cdn.carrefour.eu/160_06498313_3560071235338_00.jpeg,"6,99€",Per stuk,"0,44€",/stuk
50,Huggies Pull-Ups Pants Explorers Girl 1½-3 Years 12-17 kg 34 Stuks,https://cdn.carrefour.eu/160_06532316_5029053574066_00.jpeg,"17,55€",Per stuk,"0,52€",/stuk
51,Huggies Pull-Ups Pants Explorers Girl 9-18 Months 8-12 kg 36 Stuks,https://cdn.carrefour.eu/160_06532297_5029053574004_00.jpeg,"17,55€",Per stuk,"0,49€",/stuk
52,Huggies Pull-Ups Training Pants Girl 2-4years 15-23kg 28 stuks,https://cdn.carrefour.eu/160_06532178_5029053574127_00.jpeg,"17,55€",Per stuk,"0,63€",/stuk
53,Huggies Pull-Ups Training Pants Boy 2-4years 15-23kg 28 stuks,https://cdn.carrefour.eu/160_06532179_5029053574134_00.jpeg,"17,55€",Per stuk,"0,63€",/stuk
54,"Pampers Premium Protection Maat 0, Luiers x24, <3kg",https://cdn.carrefour.eu/160_06434584_8001841275956_00.jpeg,"6,39€",Per stuk,"0,27€",/stuk
55,"Pampers Night Pants Maat 6, 31 Luierbroekjes, 15kg+",https://cdn.carrefour.eu/160_06690255_8006540234853_00.jpeg,"20,45€",Per stuk,"0,66€",/stuk
56,Huggies Pull-Ups Pants BOY Explorers 1½-3 Years 12-17kg 34 Stuks,https://cdn.carrefour.eu/160_06532314_5029053574073_00.jpeg,"17,55€",Per stuk,"0,52€",/stuk
57,"Pampers Baby-Dry Maat 7, 18 Luiers, Tot 12 Uur Bescherming, 15kg+",https://cdn.carrefour.eu/160_06384616_8001841497532_00.jpeg,"9,55€",Per stuk,"0,53€",/stuk
58,Pampers Baby-Dry Maat 6 13-18 kg 20 Luiers,https://cdn.carrefour.eu/160_06384630_8001841497495_00.jpeg,"9,65€",Per stuk,"0,48€",/stuk
59,"Pampers Baby-Dry Maat 4, 124 Luiers, Tot 12 Uur Bescherming, 9-14kg",https://cdn.carrefour.eu/160_06349785_8001841497600_00.jpeg,"39,29€",Per pak,"0,32€",/stuk
60,Pingo Ultrasoft 1 New Born 2-5 kg 2 x 27 Stuks,https://cdn.carrefour.eu/160_06759961_2500008467792_00.jpeg,"14,69€",Per pak,"14,69€",/stuk
61,Pingo Ultrasoft 4 Maxi 7-18 kg 2 x 40 Stuks,https://cdn.carrefour.eu/160_06759965_7640118230154_00.jpeg,"27,55€",Per pak,"0,34€",/stuk
