,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Axe Aftershave Africa 100 ml,https://cdn.carrefour.eu/160_06478642_8710847936999_00.jpeg,"7,49€",Per stuk,"74,90€",/l
1,Carrefour Perfect 2 Chroom en Platina 10 Vervangmesjes,https://cdn.carrefour.eu/160_04613355_3560070246601_00.jpeg,"1,65€",Per stuk,"0,17€",/stuk
2,Carrefour Soft Anti Roos Zeer Milde Shampoo 500 ml,https://cdn.carrefour.eu/160_05984395_3560071086169_00.jpeg,"1,29€",Per stuk,"2,58€",/l
3,Carrefour Styling Gel Wetlook 150 ml,https://cdn.carrefour.eu/160_05605468_3560070885435_00.jpeg,"1,85€",Per stuk,"12,33€",/l
4,Carrefour Styling Gel Invisible 6 250 ml,https://cdn.carrefour.eu/160_05406860_3560070860395_00.jpeg,"2,55€",Per stuk,"10,20€",/l
5,Carrefour Styling Gel béton 250 ml,https://cdn.carrefour.eu/160_05406888_3560070860364_00.jpeg,"2,55€",Per stuk,"10,20€",/l
6,Carrefour Styling Gel Fixatie Extreme 8 250 ml,https://cdn.carrefour.eu/160_05406896_3560070860333_00.jpeg,"2,55€",Per stuk,"10,20€",/l
7,Carrefour Sensation 4 Wegwerpscheermesjes 3 Stuks,https://cdn.carrefour.eu/160_06514713_3560071227234_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
8,Carrefour Perfect 5 Navullingen 4 Stuks,https://cdn.carrefour.eu/160_06558129_3560071169794_00.jpeg,"5,29€",Per stuk,"1,32€",/stuk
9,Carrefour Classic 3 Navullingen 4 Stuks,https://cdn.carrefour.eu/160_06514498_3560071235789_00.jpeg,"2,65€",Per stuk,"0,66€",/stuk
10,Carrefour Men Sensitive Scheergel 200 ml,https://cdn.carrefour.eu/160_06729971_3560071267315_00.jpeg,"1,69€",Per stuk,"8,45€",/l
11,Carrefour Men Sensitive Scheerschuim 250 ml,https://cdn.carrefour.eu/160_06708135_3560071267377_00.jpeg,"1,49€",Per stuk,"5,96€",/l
12,Carrefour Men Scheerschuim 250 ml,https://cdn.carrefour.eu/160_06729970_3560071267414_00.jpeg,"1,49€",Per stuk,"5,96€",/l
13,Carrefour Men Scheergel Frisheid 200 ml,https://cdn.carrefour.eu/160_06729973_3560071267834_00.jpeg,"1,69€",Per stuk,"8,45€",/l
14,Carrefour Soft Green Solid Shampoo Dry Hair 75 g,https://cdn.carrefour.eu/160_06751673_3560071423001_00.jpeg,"2,90€",Per stuk,"38,67€",/kg
15,Carrefour Gel 3 en 1 Fresh 300 ml,https://cdn.carrefour.eu/160_05528983_3560070902767_00.jpeg,"1,85€",Per stuk,"6,17€",/l
16,Carrefour Soft Green Solid Shampoo Normal Hair 75 g,https://cdn.carrefour.eu/160_06560607_3560071423025_00.jpeg,"2,90€",Per stuk,"38,67€",/kg
17,Nivea Men Protect & Care Hydraterende Aftershave Balsem 100 ml,https://cdn.carrefour.eu/160_05309090_8715200813009_00.jpeg,"6,79€",Per stuk,"69,50€",/l
18,Nivea Men Protect & Care Verzorgende Scheercrème 100 ml,https://cdn.carrefour.eu/160_04746594_4005808223244_00.jpeg,"3,25€",Per stuk,"32,50€",/l
19,Nivea Men Sensitive Aftershave Balsem 100 ml,https://cdn.carrefour.eu/160_04746629_4005808221875_00.jpeg,"6,79€",Per stuk,"69,50€",/l
20,Rexona Men Cream Deodorant Max Pro Clean Scent 45ml,https://cdn.carrefour.eu/160_04892937_8718114202402_00.jpeg,"8,99€",Per stuk,"199,78€",/l
21,L'Oréal Men Expert Hydra energetic hydraterende gezichtscrème 50 ml,https://cdn.carrefour.eu/160_04317934_3600520297569_00.jpeg,"11,55€",Per stuk,"231,00€",/l
22,Nivea Men Protect & Care Hydraterend Scheerschuim 200 ml,https://cdn.carrefour.eu/160_04749275_4005808222520_00.jpeg,"3,69€",Per stuk,"18,95€",/l
23,Nivea Men Sensitive Scheerschuim 200 ml,https://cdn.carrefour.eu/160_04749294_4005808222704_00.jpeg,"3,69€",Per stuk,"18,95€",/l
24,Brut Aftershave Original 100 ml,https://cdn.carrefour.eu/160_00983516_3014230021237_00.jpeg,"9,85€",Per stuk,"98,50€",/l
25,Elseve Multi-Vitamines Shampoo normaal haar 250 ml,https://cdn.carrefour.eu/160_05172638_3600522100843_00.jpeg,"4,49€",Per stuk,"17,96€",/l
26,Syoss Gel Power Hold 250 ml,https://cdn.carrefour.eu/160_05837532_9000100654074_00.jpeg,"5,75€",Per stuk,"23,00€",/l
27,Taft Ultra wax 75 ml,https://cdn.carrefour.eu/160_05718581_5410091742263_00.jpeg,"4,75€",Per stuk,"63,33€",/l
28,Tabac Original After Shave Lotion 100 ml,https://cdn.carrefour.eu/160_00222394_4011700431205_00.jpg,"17,99€",Per stuk,"179,90€",/l
29,Gillette Contour Plus Scheermesjes Voor Mannen - 10 Navulmesjes,https://cdn.carrefour.eu/160_00742722_3014260207618_00.jpeg,"11,85€",Per stuk,"1,19€",/stuk
30,Denim Original After Shave 100 ml,https://cdn.carrefour.eu/160_00222495_8008970004051_00.jpeg,"9,99€",Per stuk,"99,90€",/l
31,Tabac Original Deodorant Spray 200 ml,https://cdn.carrefour.eu/160_00223614_4011700410903_00.jpg,"10,49€",Per stuk,"52,45€",/l
32,Fa Men Perfect Wave Deodorant Spray 150 ml,https://cdn.carrefour.eu/160_04020830_5410091640750_00.jpeg,"2,46€",Per stuk,"16,40€",/l
33,Mennen Stick Large Contrôle H-24 Musk 50 ml,https://cdn.carrefour.eu/160_00810216_3058320026030_00.jpeg,"5,59€",Per stuk,"111,80€",/l
34,Brut Eau de Toilette Original 100 ml,https://cdn.carrefour.eu/160_01019990_3014230021039_00.jpeg,"17,65€",Per stuk,"176,50€",/l
35,Wilkinson Sword 125 g,https://cdn.carrefour.eu/160_00965104_4027800920501_01.jpeg,"2,94€",Per stuk,"24,50€",/kg
36,Pétrole Hahn Shampoo Kracht Vitaliteit Normaal Haar 250 ml,https://cdn.carrefour.eu/160_04025802_3140100143065_00.jpeg,"4,85€",Per stuk,"19,40€",/l
37,Pétrole Hahn Shampoo Anti-Haaruitval Kracht 250 ml,https://cdn.carrefour.eu/160_04025823_3140100143119_00.jpeg,"4,85€",Per stuk,"19,40€",/l
38,Rexona Men Deodorant Stick Cobalt Dry 50 ml,https://cdn.carrefour.eu/160_01638248_73103714_00.jpeg,"3,45€",Per stuk,"71,00€",/l
39,Brylcreem Gel Original 250 ml,https://cdn.carrefour.eu/160_04996385_5000231039546_00.jpeg,"4,99€",Per stuk,"19,96€",/l
40,Dove Men+ Care Douchegel Extra Fresh 250 ml,https://cdn.carrefour.eu/160_04883736_8717644598849_00.jpeg,"4,69€",Per stuk,"18,76€",/l
41,Nivea Men Active Energy Hydraterende Crème Cafeïne 50 ml,https://cdn.carrefour.eu/160_04749023_4005900786630_00.jpeg,"12,55€",Per stuk,"251,00€",/l
42,Nivea Men Sensitive Hydraterende Crème 75 ml,https://cdn.carrefour.eu/160_04749200_4005808224098_00.jpeg,"8,25€",Per stuk,"110,00€",/l
43,Nivea Men Originals Gezicht Hydraterende Crème 75 ml,https://cdn.carrefour.eu/160_04749234_4005808223411_00.jpeg,"8,25€",Per stuk,"110,00€",/l
44,Nivea Men Hydratant Originals Face Wash Gel Fresh Wake Up 100 ml,https://cdn.carrefour.eu/160_04749236_4005808227822_00.jpeg,"8,75€",Per stuk,"87,50€",/l
45,Nivea Men Creme 150 ml,https://cdn.carrefour.eu/160_05560707_4005900115775_00.jpeg,"3,59€",Per stuk,"23,93€",/l
46,Nivea Men Sensitive Cooling After Shave Balsem 100 ml,https://cdn.carrefour.eu/160_05616322_4005900022691_00.jpeg,"7,45€",Per stuk,"74,50€",/l
47,Rexona Men Spray Deodorant Invisible Black & White Clothes 150 ml,https://cdn.carrefour.eu/160_05817407_8712561534444_00.jpeg,"4,65€",Per stuk,"31,93€",/l
48,Les Cosmétiques Design Paris Science Ultra Repair Shampoo 300 ml,https://cdn.carrefour.eu/160_05229746_3560070627950_00.jpeg,"1,99€",Per stuk,"6,63€",/l
49,Kera Science Professional Ultra Repair Intensive Mask ++ 300 ml,https://cdn.carrefour.eu/160_05229838_3560070628018_00.jpeg,"3,75€",Per stuk,"12,50€",/l
50,Dove Men Deodorant Spray Clean Comfort 75 ml,https://cdn.carrefour.eu/160_05489398_96080689_00.jpeg,"4,29€",Per stuk,"57,20€",/l
51,Syoss SalonPlex Hairspray 48 h Extra Strong Hold 400 ml,https://cdn.carrefour.eu/160_05990561_5410091742188_00.jpeg,"6,15€",Per stuk,"15,38€",/l
52,Taft Sculpting paste jar 75 ml,https://cdn.carrefour.eu/160_05992356_5410091742232_00.jpeg,"4,75€",Per stuk,"63,33€",/l
53,Nivea Men Sport 48h Anti-Transpirant 150 ml,https://cdn.carrefour.eu/160_06010513_4005900457660_00.jpeg,"3,29€",Per stuk,"21,93€",/l
54,Head & Shoulders  Anti-roos Conditioner Argan- & Kokosolie 220 ml,https://cdn.carrefour.eu/160_06030543_8001090677860_00.jpeg,"5,95€",Per stuk,"27,05€",/l
55,Taft Volume Powder 10 g,https://cdn.carrefour.eu/160_06070745_5410091687588_00.jpeg,"7,25€",Per stuk,"725,00€",/kg
56,Dove Men+ Care Roll-On Deodorant Extra Fresh 50 ml,https://cdn.carrefour.eu/160_05434733_96081716_00.jpeg,"4,95€",Per stuk,"99,00€",/l
57,Dove Men Deodorant Stick Clean Comfort 50 ml,https://cdn.carrefour.eu/160_05434739_96081754_00.jpeg,"4,95€",Per stuk,"99,00€",/l
58,Axe Douchegel Dark Temptation 400 ml,https://cdn.carrefour.eu/160_05984009_8710447284094_00.jpeg,"3,69€",Per stuk,"9,23€",/l
59,Denim Eau de Toilette Gold 100 ml,https://cdn.carrefour.eu/160_05472139_8008970038278_00.jpeg,"15,25€",Per stuk,"152,50€",/l
60,Nivea Men Deep Comfort After Shave Lotion 100 ml,https://cdn.carrefour.eu/160_06020797_4005900498380_00.jpeg,"8,89€",Per stuk,"88,90€",/l
61,Nivea Men Active Age Anti-Rimpel Verzorging DNAge 50 ml,https://cdn.carrefour.eu/160_05311449_4005808840113_00.jpeg,"14,75€",Per stuk,"295,00€",/l
62,Rexona Men Spray Deodorant Cobalt Dry 150 ml,https://cdn.carrefour.eu/160_05362747_4000388669000_00.jpeg,"2,84€",Per stuk,"18,93€",/l
63,L'Oréal Studio Line Remix 5 Styling Paste 150 ml,https://cdn.carrefour.eu/160_05391143_3600522471165_00.jpeg,"5,15€",Per stuk,"34,33€",/l
64,L'Oréal Studio Line Invisi Fix 8 24H clear & clean gel 150 ml,https://cdn.carrefour.eu/160_05391170_3600522471134_00.jpeg,"4,45€",Per stuk,"29,67€",/l
65,L'Oréal Studio Line Invisi Fix 6 24H clear & clean gel 150 ml,https://cdn.carrefour.eu/160_05391171_3600522471127_00.jpeg,"4,45€",Per stuk,"29,67€",/l
