,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Nestlé Groeimelk 1+ vanaf 1 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05294143_7613034044204_00.jpeg,"11,34€",Per pak,"1,89€",/l
1,Nestlé Groeimelk met Koekjes vanaf 1 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05145520_7613033384899_00.jpeg,"12,54€",Per pak,"2,09€",/l
2,Nestlé® Groeimelk 2+ vanaf 2 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05294144_7613034044280_00.jpeg,"11,34€",Per pak,"1,89€",/l
3,Nestlé Groeimelk vanaf 3 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05294145_7613034044242_00.jpeg,"11,34€",Per pak,"1,89€",/l
4,Carrefour Pierval Bronwater 6 x 1.5 L,https://cdn.carrefour.eu/160_01421117_5400101161597_00.jpeg,"2,76€",Per pak,"0,31€",/l
5,Carrefour Natuurlijk Mineraalwater Uit de Alpen 6 x 1.5 L,https://cdn.carrefour.eu/160_05341930_3560070817580_00.jpeg,"2,94€",Per pak,"0,33€",/l
6,Carrefour Pierval Bronwater 6 x 0.5 L,https://cdn.carrefour.eu/160_01530127_5400101161641_00.jpeg,"2,10€",Per pak,"0,70€",/l
7,Carrefour Natuurlijk Mineraalwater uit de Alpen 6 x 1 L,https://cdn.carrefour.eu/160_05341951_3560070817559_00.jpeg,"2,88€",Per pak,"0,48€",/l
8,Carrefour Natuurlijk Mineraalwater Uit de Alpen 6 x 50 cl,https://cdn.carrefour.eu/160_05340905_3560070817511_00.jpeg,"2,34€",Per pak,"0,78€",/l
9,Carrefour Natuurlijk Mineraalwater uit de Alpen 12 x 33 cl,https://cdn.carrefour.eu/160_05341928_3560070817474_00.jpeg,"3,96€",Per pak,"1,00€",/l
10,Carrefour Kids Natuurlijk Mineraalwater 12 x 0.33 L,https://cdn.carrefour.eu/160_05407274_5400102019781_00.jpeg,"2,19€",Per pak,"0,55€",/l
11,NESTLE PURE LIFE Plat Bronwater 6 x 1.5 L,https://cdn.carrefour.eu/160_01521666_3700123300021_00.jpeg,"3,95€",Per pak,"0,44€",/l
12,Evian Natuurlijk Mineraalwater 6 x 1.5 L,https://cdn.carrefour.eu/160_06150314_3068320120263_00.jpeg,"5,29€",Per pak,"0,59€",/l
13,Nutrilon 1+ Flesvoeding Poedermelk Baby Vanaf 1 Jaar Groeimelk 800g,https://cdn.carrefour.eu/160_06041231_5410151290093_00.jpeg,"13,99€",Per stuk,"17,49€",/kg
14,VALVERT Belgisch Natuurlijk Mineraalwater 1.5L PET Fles (Pack van 6 Flessen),https://cdn.carrefour.eu/160_01392247_5410789012647_00.jpeg,"4,89€",Per pak,"0,56€",/l
15,Evian 6 x 1 L,https://cdn.carrefour.eu/160_06151106_3068320121598_00.jpeg,"4,85€",Per pak,"0,81€",/l
16,NAN Optipro 3 Groeimelk 800g,https://cdn.carrefour.eu/160_06316459_7613037898200_00.jpeg,"14,99€",Per stuk,"18,74€",/kg
17,NESTLE PURE LIFE Sportdop 12 x 33 cl,https://cdn.carrefour.eu/160_01509901_3700123300144_00.jpeg,"3,85€",Per pak,"0,97€",/l
18,Chaudfontaine Still Pet 1500 ml X 6,https://cdn.carrefour.eu/160_01421131_5449000111685_00.jpeg,"5,55€",Per pak,"0,63€",/l
19,HiPP Biologisch 100% Sap Appel Banaan 4+ Maanden 0.2 L,https://cdn.carrefour.eu/160_04338435_4062300332034_00.jpeg,"1,37€",Per stuk,"6,85€",/l
20,Chaudfontaine Still Pet 500 ml X 6,https://cdn.carrefour.eu/160_04022942_5449000111692_00.jpeg,"3,99€",Per pak,"1,33€",/l
21,CANDIA BABY Opvolgmelk vanaf 6 maanden Fles 1 L,https://cdn.carrefour.eu/160_04340149_3533631029005_00.jpeg,"3,08€",Per stuk,"3,08€",/l
22,Candia Baby Opvolgmelk vanaf 6 maanden 6 x 1 L,https://cdn.carrefour.eu/160_04340146_3533630900800_00.jpeg,"17,88€",Per pak,"2,98€",/l
23,HiPP Biologisch Bio Combiotik 3 Groeimelk vanaf de 12e Maand 800 g,https://cdn.carrefour.eu/160_06415823_4062300366459_00.jpeg,"17,15€",Per stuk,"21,44€",/kg
24,Chaudfontaine Still Pet 500 ml X 6,https://cdn.carrefour.eu/160_04022942_5449000111692_00.jpeg,"3,99€",Per pak,"1,33€",/l
25,CANDIA BABY Opvolgmelk vanaf 6 maanden Fles 1 L,https://cdn.carrefour.eu/160_04340149_3533631029005_00.jpeg,"3,08€",Per stuk,"3,08€",/l
26,Candia Baby Opvolgmelk vanaf 6 maanden 6 x 1 L,https://cdn.carrefour.eu/160_04340146_3533630900800_00.jpeg,"17,88€",Per pak,"2,98€",/l
27,Nestlé Groeimelk 1+ vanaf 1 Jaar Maxi Pack 8 x 1 L,https://cdn.carrefour.eu/160_05942674_7613034044228_00.jpeg,"15,12€",Per pak,"1,89€",/l
28,Nestlé Groeimelk 3+ vanaf 3 Jaar 8 x 1 L,https://cdn.carrefour.eu/160_05942962_7613034044266_00.jpeg,"15,12€",Per pak,"1,89€",/l
29,Bambix Soja Groeidrink 1-3+ Jaar 1 L,https://cdn.carrefour.eu/160_05983642_5410441003037_00.jpeg,"1,86€",Per stuk,"1,86€",/l
30,Nutrilon Pronutra-Advance Peuter Groeimelk 2+ Poeder vanaf 2 Jaar 800 g,https://cdn.carrefour.eu/160_06041230_5410151319091_00.jpeg,"15,35€",Per stuk,"19,19€",/kg
31,Nutrilon 2 Verzadiging Opvolgmelk Poeder Baby Vanaf 6 Maanden 800g,https://cdn.carrefour.eu/160_06041234_5410151290277_00.jpeg,"15,39€",Per stuk,"19,24€",/kg
32,Nutrilon 2+ Peuter Groeimelk Vloeibaar Baby Vanaf 2 Jaar 6x1L,https://cdn.carrefour.eu/160_06041235_5410151970650_00.jpeg,"13,77€",Per pak,"2,30€",/l
33,Nutrilon 3+ Peuter Groeimelk Poeder Baby Vanaf 3 Jaar 800g,https://cdn.carrefour.eu/160_06041236_5410151290215_00.jpeg,"15,35€",Per stuk,"19,19€",/kg
34,Nutrilon 2+ Peuter Groeimelk Vloeibaar baby Vanaf 2 Jaar 1L,https://cdn.carrefour.eu/160_06049770_5410151270651_00.jpeg,"2,30€",Per stuk,"2,30€",/l
35,Bambix Complete Care Groeimelk met Granen 1-3+ Jaar 1 L,https://cdn.carrefour.eu/160_06160588_5410441003310_00.jpeg,"2,07€",Per stuk,"2,07€",/l
36,VALVERT Natuurlijk Mineraalwater 8 x 0.5 L,https://cdn.carrefour.eu/160_04636714_5410789013163_00.jpeg,"4,45€",Per pak,"1,15€",/l
37,NESTLE PURE LIFE Sportdop 12 x 33 cl,https://cdn.carrefour.eu/160_01509901_3700123300144_00.jpeg,"3,85€",Per pak,"0,97€",/l
38,Bambix Groeimelk 1+ Jaar 1 L,https://cdn.carrefour.eu/160_05983647_5410441002955_00.jpeg,"1,86€",Per stuk,"1,86€",/l
39,Roosvicee Vruchtenmix 0.5 L,https://cdn.carrefour.eu/160_00648204_8710395022908_00.jpeg,"3,28€",Per stuk,"6,56€",/l
40,Nutrilon Fibers+ Peuter Groeimelk Vezels Poeder Baby Vanaf 1 Jaar 800g,https://cdn.carrefour.eu/160_06272913_5391522473300_00.jpeg,"16,31€",Per stuk,"20,39€",/kg
41,Nestlé Groeimelk 2+ vanaf 2 Jaar Maxi Pack 8 x 1 L,https://cdn.carrefour.eu/160_05942960_7613034044303_00.jpeg,"15,12€",Per pak,"1,89€",/l
42,HiPP Biologisch 100% Mild Appelsap 4+ Maanden 0.2 L,https://cdn.carrefour.eu/160_06121299_4062300332065_00.jpeg,"1,37€",Per stuk,"6,85€",/l
43,Bambix Complete Care Groeimelk 2+ Jaar 1 L,https://cdn.carrefour.eu/160_05983641_5410441002986_00.jpeg,"1,86€",Per stuk,"1,86€",/l
44,NAN® OPTIPRO® Groeimelk 2+ Baby vanaf 2 Jaar 1 L,https://cdn.carrefour.eu/160_05712432_7613035267688_00.jpeg,"2,19€",Per stuk,"2,19€",/l
45,NAN OPTIPRO Groeimelk 2+ Baby vanaf 2 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05712431_7613035267695_00.jpeg,"13,14€",Per pak,"2,19€",/l
46,Alpro Plantaardige Groeidrink Soja Lactosevrij 1-3 Jaar 1L,https://cdn.carrefour.eu/160_05801595_5411188116936_00.jpeg,"1,89€",Per stuk,"1,89€",/l
47,Nan Optipro Groeimelk 1+ vanaf 1 Jaar 6 x 1 L,https://cdn.carrefour.eu/160_05447606_7613034557339_00.jpeg,"13,14€",Per pak,"2,19€",/l
48,Nutrilon 2+ Peuter Groeimelk Vloeibaar baby Vanaf 2 Jaar 1L,https://cdn.carrefour.eu/160_06049770_5410151270651_00.jpeg,"2,30€",Per stuk,"2,30€",/l
49,VALVERT Natuurlijk Mineraalwater 8 x 0.5 L,https://cdn.carrefour.eu/160_04636714_5410789013163_00.jpeg,"4,45€",Per pak,"1,15€",/l
50,Bambix Groeimelk 1+ Jaar 1 L,https://cdn.carrefour.eu/160_05983647_5410441002955_00.jpeg,"1,86€",Per stuk,"1,86€",/l
51,Roosvicee Vruchtenmix 0.5 L,https://cdn.carrefour.eu/160_00648204_8710395022908_00.jpeg,"3,28€",Per stuk,"6,56€",/l
52,Nutrilon Fibers+ Peuter Groeimelk Vezels Poeder Baby Vanaf 1 Jaar 800g,https://cdn.carrefour.eu/160_06272913_5391522473300_00.jpeg,"16,31€",Per stuk,"20,39€",/kg
53,Nestlé Groeimelk 2+ vanaf 2 Jaar Maxi Pack 8 x 1 L,https://cdn.carrefour.eu/160_05942960_7613034044303_00.jpeg,"15,12€",Per pak,"1,89€",/l
54,HiPP Biologisch 100% Mild Appelsap 4+ Maanden 0.2 L,https://cdn.carrefour.eu/160_06121299_4062300332065_00.jpeg,"1,37€",Per stuk,"6,85€",/l
55,NAN Optipro 1 Zuigelingenmilk 800g,https://cdn.carrefour.eu/160_06206205_7613032405281_00.jpeg,"17,33€",Per stuk,"21,66€",/kg
56,Bambix Complete Care Groeimelk 2+ Jaar 1 L,https://cdn.carrefour.eu/160_05983641_5410441002986_00.jpeg,"1,86€",Per stuk,"1,86€",/l
57,NAN Optipro 2 Opvolgmelk 800g,https://cdn.carrefour.eu/160_06316307_7613037864304_00.jpeg,"14,99€",Per stuk,"18,74€",/kg
58,HiPP Junior Combiotik 4 Groeimelk vanaf 2 Jaar 800 g,https://cdn.carrefour.eu/160_06415851_4062300372115_00.jpeg,"16,95€",Per stuk,"21,19€",/kg
59,NAN Optipro 4 Groeimelk 800g,https://cdn.carrefour.eu/160_06316467_7613037898590_00.jpeg,"14,99€",Per stuk,"18,74€",/kg
60,NAN Optipro 5 Groeimelk 800g,https://cdn.carrefour.eu/160_06316480_7613037898378_00.jpeg,"14,99€",Per stuk,"18,74€",/kg
61,Nutrilon 1 Zuigelingenmelk voor baby's vanaf de geboorte poeder 800 g,https://cdn.carrefour.eu/160_06538116_5410151319671_00.jpeg,"15,18€",Per stuk,"18,98€",/kg
62,Candia BABY Groeimelk natuur vanaf 10 maanden Pack 6 x 25 cl,https://cdn.carrefour.eu/160_06503542_3533631032005_00.jpeg,"4,36€",Per pak,"2,91€",/l
63,Nutrilon 2 Opvolgmelk Baby vanaf 6 tot12 maanden Melkpoeder Doos 800g,https://cdn.carrefour.eu/160_06705940_5391522474451_00.jpeg,"13,99€",Per stuk,"13,99€",/stuk
64,Olvarit Bio Groei Opvolgmelk Baby Vanaf 10 Maanden Flessen 6x1L,https://cdn.carrefour.eu/160_06705945_5410151654796_00.jpeg,"13,74€",Per pak,"2,38€",/l
65,Olvarit Bio Groei Opvolgmelk Baby Vanaf 10 Maanden Flesje 1L,https://cdn.carrefour.eu/160_06714343_5410151654789_00.jpeg,"2,29€",Per stuk,"2,29€",/l
66,Bambix Rijst Groeidrink 1-3+ Jaar 1 L,https://cdn.carrefour.eu/160_06696910_5410441004089_00.jpeg,"1,98€",Per stuk,"1,98€",/l
67,Alpro Plantaardige Groeidrink Haver Lactosevrij 1-3 Jaar 1L,https://cdn.carrefour.eu/160_06822657_5411188135289_00.jpeg,"2,53€",Per stuk,"2,53€",/l
