,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Alpro Not M*lk Plantaardige Drank Vol 3.5% 1L,https://cdn.carrefour.eu/160_06691457_5411188134985_00.jpeg,"2,13€",Per stuk,"2,13€",/l
1,Alpro Not M*lk Plantaardige Drank Halfvol 1.8%,https://cdn.carrefour.eu/160_06691455_5411188135005_00.jpeg,"2,13€",Per stuk,"2,13€",/l
2,Alpro Plantaardige Amandeldrink Natuur 1L,https://cdn.carrefour.eu/160_05211629_5411188110835_00.jpeg,"2,39€",Per stuk,"2,39€",/l
3,Carrefour Halfvolle Melk 6 x 1 L,https://cdn.carrefour.eu/160_05110399_5400102020275_00.jpeg,"5,34€",Per pak,"0,89€",/l
4,Carrefour Magere Melk 6 x 1 L,https://cdn.carrefour.eu/160_05110406_5400102020282_00.jpeg,"5,10€",Per pak,"0,85€",/l
5,Carrefour Volle Melk 6 x 1 L,https://cdn.carrefour.eu/160_05110418_5400102022712_00.jpeg,"5,34€",Per pak,"0,89€",/l
6,Carrefour Halfvolle melk 6 x 50 cl,https://cdn.carrefour.eu/160_04663833_5400101212893_00.jpeg,"3,54€",Per pak,"1,18€",/l
7,Carrefour No Lactose Melk 1.2% V.G. 6 x 1 L,https://cdn.carrefour.eu/160_05909402_5400102069946_00.jpeg,"6,30€",Per pak,"1,05€",/l
8,Carrefour Bio Halfvolle Melk 6 x 1 L,https://cdn.carrefour.eu/160_05287862_5400102036368_00.jpeg,"5,94€",Per pak,"0,99€",/l
9,Carrefour Magere Melk 6 x 50 cl,https://cdn.carrefour.eu/160_04873037_5400101009066_00.jpeg,"3,30€",Per pak,"1,10€",/l
10,Carrefour Melk Halfvol 6 x 25 cl,https://cdn.carrefour.eu/160_05110366_5400102020299_00.jpeg,"2,94€",Per pak,"1,96€",/l
11,Carrefour Volle Melk 6 x 50 cl,https://cdn.carrefour.eu/160_04663169_5400101212886_00.jpeg,"3,90€",Per pak,"1,30€",/l
12,Carrefour Bio Halfvolle Melk 6 x 50 cl,https://cdn.carrefour.eu/160_05495323_5400102051743_00.jpeg,"4,74€",Per pak,"1,58€",/l
13,Carrefour Classic' Koffiemelk Vol 470 ml,https://cdn.carrefour.eu/160_04713062_5400101252820_00.jpeg,"1,59€",Per stuk,"3,38€",/l
14,Carrefour Melkcups 10 x 9.7 ml,https://cdn.carrefour.eu/160_04633265_3560070173921_00.jpeg,"0,45€",Per stuk,"4,50€",/kg
15,Carrefour Geëvaporeerde Volle Melk 410 g,https://cdn.carrefour.eu/160_01644116_5400101162624_00.jpeg,"1,35€",Per stuk,"3,29€",/kg
16,Carrefour Classic' Karnemelk Vers 1 L,https://cdn.carrefour.eu/160_04653217_5400101252134_00.jpeg,"1,09€",Per stuk,"1,09€",/l
17,Carrefour Classic' Halfvolle Melk 1 L,https://cdn.carrefour.eu/160_05121192_5400101020856_00.jpeg,"0,89€",Per stuk,"0,89€",/l
18,Carrefour Classic' Magere Melk 1 L,https://cdn.carrefour.eu/160_05124878_5400101020863_00.jpeg,"0,85€",Per stuk,"0,85€",/l
19,Carrefour Classic' Volle Melk 1 L,https://cdn.carrefour.eu/160_05124880_5400101020870_00.jpeg,"0,89€",Per stuk,"0,89€",/l
20,Carrefour Kids Melk Halfvol 6 x 20 cl,https://cdn.carrefour.eu/160_05451418_5400101035454_00.jpeg,"2,09€",Per stuk,"1,74€",/l
21,Carrefour Sensation Yab Vanillesmaak 825 g,https://cdn.carrefour.eu/160_05549890_3560071015428_00.jpeg,"1,09€",Per stuk,"1,32€",/kg
22,Carrefour Classic' Halfvolle Melk Choco 1 L,https://cdn.carrefour.eu/160_05433379_5400101174733_00.jpeg,"1,09€",Per stuk,"1,09€",/l
23,Carrefour Sensation Yab Aardbeiensmaak 825 g,https://cdn.carrefour.eu/160_05550626_3560071015411_00.jpeg,"1,09€",Per stuk,"1,32€",/kg
24,Carrefour Sensation Kefir Gefermenteerde Halfvolle Melk 500 ml,https://cdn.carrefour.eu/160_06310119_5400101076556_00.jpeg,"0,99€",Per stuk,"1,98€",/l
25,Carrefour Volle Melk 50 cl,https://cdn.carrefour.eu/160_04663176_5400101212824_00.jpeg,"0,65€",Per stuk,"1,30€",/l
26,Carrefour Halfvolle Melk 50 cl,https://cdn.carrefour.eu/160_04663836_5400101212831_00.jpeg,"0,59€",Per stuk,"1,18€",/l
27,Carrefour Magere Melk 50 cl,https://cdn.carrefour.eu/160_04902769_5400101008762_00.jpeg,"0,55€",Per stuk,"1,10€",/l
28,Carrefour Classic' Halfvolle Melk 25 cl,https://cdn.carrefour.eu/160_05126350_5400101020849_00.jpeg,"0,49€",Per stuk,"1,96€",/l
29,Carrefour Sensation Caffe Latte Macchiato met Room 250 ml,https://cdn.carrefour.eu/160_06181126_5400101071667_00.jpeg,"0,65€",Per stuk,"2,60€",/l
30,Carrefour Sensation Caffe Latte Cappuccino met Cacao 250 ml,https://cdn.carrefour.eu/160_06181259_5400101071674_00.jpeg,"0,65€",Per stuk,"2,60€",/l
31,Carrefour Sensation Hazelnoot Vegetal 1 L,https://cdn.carrefour.eu/160_06182684_3560071182144_00.jpeg,"1,75€",Per stuk,"1,75€",/l
32,Carrefour Classic' Yoghurt Natuur Vol 1 kg,https://cdn.carrefour.eu/160_06181395_5400101071735_00.jpeg,"1,05€",Per stuk,"1,05€",/kg
33,Campina Halfvolle Weidemelk 6 x 1 L,https://cdn.carrefour.eu/160_01664386_5410438000216_00.jpeg,"7,25€",Per pak,"1,21€",/l
34,Dilea Zero Lactose Melkdrank Halfvol 6 x 1 L,https://cdn.carrefour.eu/160_05444149_5410298086214_00.jpeg,"16,29€",Per pak,"2,72€",/l
35,Fairebel Halfvolle Melk 6 x 1 L,https://cdn.carrefour.eu/160_04948860_5425027280023_00.jpeg,"6,99€",Per pak,"1,17€",/l
36,Carrefour Koffiemelk Vol 188 ml,https://cdn.carrefour.eu/160_01644126_5400101086289_00.jpeg,"0,65€",Per stuk,"3,46€",/l
37,Carrefour Bio Rijstdrank 1 L,https://cdn.carrefour.eu/160_05478197_3245411573669_00.jpeg,"1,49€",Per stuk,"1,49€",/l
38,Carrefour Classic' Halfvolle Melk Choco 6 x 200 ml,https://cdn.carrefour.eu/160_05451362_5400101035423_00.jpeg,"1,79€",Per stuk,"1,49€",/l
39,Carrefour Bio Haverdrank 1 L,https://cdn.carrefour.eu/160_05482870_3245413451804_00.jpeg,"1,49€",Per stuk,"1,49€",/l
