,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Meridol tandvleesbescherming Zachte Tandenborstel 1 stuk,https://cdn.carrefour.eu/160_06405630_7610108021994_00.jpeg,"5,15€",Per stuk,"5,15€",/stuk
1,Meridol tandvlees tandpasta 75ml,https://cdn.carrefour.eu/160_06405574_4007965460005_00.jpeg,"5,85€",Per stuk,"78,00€",/l
2,Carrefour Specialist 5 Borsteltjes voor tussen de tanden 2.5 mm,https://cdn.carrefour.eu/160_05366171_3560070168934_00.jpeg,"2,50€",Per stuk,"2,50€",/stuk
3,Carrefour Interdental specialist x 5,https://cdn.carrefour.eu/160_05366346_3560070458608_00.jpeg,"2,50€",Per stuk,"2,50€",/stuk
4,Carrefour Kleefpasta voor Uw kunstgebit 50 g,https://cdn.carrefour.eu/160_05446006_3560070857661_00.jpeg,"2,49€",Per stuk,"49,80€",/l
5,Carrefour Dentalyss Tandglazuur & Cariës Tandpasta 75 ml,https://cdn.carrefour.eu/160_06298691_3560071178543_00.jpeg,"0,69€",Per stuk,"9,20€",/l
6,Carrefour Flash Timer Soft +3 Jaar Tandenborstel,https://cdn.carrefour.eu/160_06260109_3560071224325_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
7,Carrefour Soft Bio Tandpasta Fris met Muntbladwater 75 ml,https://cdn.carrefour.eu/160_06357483_3560071172015_00.jpeg,"2,05€",Per stuk,"27,33€",/l
8,Carrefour Soft Classic Tandenborstel Verwisselbare Kop Medium 2 Stuks,https://cdn.carrefour.eu/160_06810186_3560071403591_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
9,Carrefour Soft Recharge Classic Medium 2 Stuks,https://cdn.carrefour.eu/160_06810187_3560071403638_00.jpeg,"0,69€",Per stuk,"0,69€",/stuk
10,Carrefour Soft Classic Soft,https://cdn.carrefour.eu/160_06819633_3560071409906_00.jpeg,"0,95€",Per stuk,"0,95€",/stuk
11,Carrefour Soft Electric Total Clean Oplaadbare Tandenborstel,https://cdn.carrefour.eu/160_06833492_3560071409753_00.jpeg,"19,99€",Per stuk,"19,99€",/stuk
12,Carrefour Soft Junior Zuignap Soft 7+ Jaar,https://cdn.carrefour.eu/160_06831976_3560071409791_00.jpeg,"0,75€",Per stuk,"0,75€",/stuk
13,Carrefour Soft Sensitive Extra Soft,https://cdn.carrefour.eu/160_06819023_3560071409678_00.jpeg,"1,39€",Per stuk,"1,39€",/stuk
14,Sensodyne Repair & Protect Whitening Tandpasta 75 ml,https://cdn.carrefour.eu/160_05742380_5054563097958_00.jpeg,"5,05€",Per stuk,"67,33€",/l
15,Sensodyne Repair & Protect Tandpasta voor gevoelige tanden 75 ml,https://cdn.carrefour.eu/160_05741390_5054563097910_00.jpeg,"4,85€",Per stuk,"64,67€",/l
16,Listerine Total Care 6in1 Mondspoeling Clean Mint 500 ml,https://cdn.carrefour.eu/160_06178887_3574661416717_00.jpeg,"6,39€",Per stuk,"12,78€",/l
17,Denivit Anti-Vlekken Intensief Tandpasta 50 ml,https://cdn.carrefour.eu/160_00951545_3050071509237_00.jpeg,"3,95€",Per stuk,"79,00€",/l
18,Signal Tandenborstel Classic Clean x1 Medium,https://cdn.carrefour.eu/160_00237196_8413300264270_00.jpeg,"2,08€",Per stuk,"2,08€",/stuk
19,Theramed Junior Aardbei 6+ Tandpasta 75 ml,https://cdn.carrefour.eu/160_04808918_5410091669836_00.jpeg,"3,15€",Per stuk,"42,00€",/l
20,Oral-B Pro-Expert Pro-Flex Manuele Tandenborstel Medium,https://cdn.carrefour.eu/160_05225579_3014260004019_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
21,Signal Tandenborstel White System x1 Zacht,https://cdn.carrefour.eu/160_01625604_8000630041574_00.jpeg,"4,35€",Per stuk,"4,35€",/stuk
22,Signal Tandenborstel Classic Clean x1 Hard,https://cdn.carrefour.eu/160_00237172_54024786_00.jpeg,"1,98€",Per stuk,"1,98€",/stuk
23,Signal Pokémon Ultra Soft 6+ Tandenborstel,https://cdn.carrefour.eu/160_04486435_4000388615403_00.jpeg,"3,09€",Per stuk,"3,09€",/stuk
24,Signal Tandenborstel Classic Clean x1 Hard,https://cdn.carrefour.eu/160_00237172_54024786_00.jpeg,"1,98€",Per stuk,"1,98€",/stuk
25,Signal Pokémon Ultra Soft 6+ Tandenborstel,https://cdn.carrefour.eu/160_04486435_4000388615403_00.jpeg,"3,09€",Per stuk,"3,09€",/stuk
26,Signal Expert Comfort Tandenborstel Medium 1,https://cdn.carrefour.eu/160_01457593_54024878_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
27,Oral-B Manuele Tandenborstel Voor Kinderen Met Frozen- Of Cars-figuren,https://cdn.carrefour.eu/160_04006686_5010622010795_00.jpeg,"2,28€",Per stuk,"2,28€",/stuk
28,Oral-B PRO 600 CrossAction Elektrische Tandenborstel Powered by Braun,https://cdn.carrefour.eu/160_05594402_4210201096269_00.jpeg,"53,49€",Per stuk,"53,49€",/stuk
29,Jordan Easy Reach Flosser Mint Flavor 25 Stuks,https://cdn.carrefour.eu/160_05620667_7046110062616_00.jpeg,"4,55€",Per stuk,"4,55€",/stuk
30,Jordan 3 in 1 Flosser 36 Stuks,https://cdn.carrefour.eu/160_05620713_7038516858108_00.jpeg,"4,95€",Per stuk,"4,95€",/stuk
31,Jordan Double Ended Extra Thin Fluoride Mint Dental Sticks 140 stuks,https://cdn.carrefour.eu/160_05620714_7038513909117_00.jpeg,"3,65€",Per stuk,"3,65€",/stuk
32,Vademecum Homeophytol Tandpasta 75 ml,https://cdn.carrefour.eu/160_05601732_3050070007482_00.jpeg,"3,79€",Per stuk,"50,53€",/l
33,Steradent Reiniger Triple Action Plus - 60 Tabletten,https://cdn.carrefour.eu/160_05517608_3059946316383_00.jpeg,"4,99€",Per stuk,"4,99€",/stuk
34,Urtekram Toothpaste Mint & Green Tea 75 ml,https://cdn.carrefour.eu/160_05849616_5765228837832_00.jpeg,"4,35€",Per stuk,"58,00€",/l
35,Signal Integral 8 Nature Elements Tandpasta Herbal 75 ml,https://cdn.carrefour.eu/160_05997947_8710447328088_00.jpeg,"2,92€",Per stuk,"38,93€",/l
36,Elmex Gewaxte Flosdraad met Aminfluoride Munt 50 m,https://cdn.carrefour.eu/160_05833722_8718951143098_00.jpeg,"6,05€",Per stuk,"6,05€",/stuk
