,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Katoen Vaatdoekjes 2 stuks,https://cdn.carrefour.eu/160_05153799_5400101251489_00.jpeg,"1,85€",Per stuk,"1,85€",/stuk
1,Carrefour Sponzen Delicate Oppervlakken 2 Stuks,https://cdn.carrefour.eu/160_04001953_3270190131526_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
2,Carrefour Sponzen Intensief Schuren 2 Stuks,https://cdn.carrefour.eu/160_04001928_3270190138815_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
3,Carrefour Sponzen Badkamer - 2 Stuks,https://cdn.carrefour.eu/160_04001931_3245411836290_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
4,Carrefour Bollen Inox 2 x 18 g,https://cdn.carrefour.eu/160_05840142_3560071009878_00.jpeg,"0,69€",Per stuk,"0,69€",/stuk
5,Carrefour Expert Power Clean Schuursponzen 3 Stuks,https://cdn.carrefour.eu/160_05383107_3560070715336_00.jpeg,"0,65€",Per stuk,"0,65€",/stuk
6,Carrefour - NR24+ Stofzuigerzakken,https://cdn.carrefour.eu/160_04557297_3606606488210_01.jpeg,"6,99€",Per stuk,"6,99€",/stuk
7,Carrefour - NR57+ Stofzuigerzakken,https://cdn.carrefour.eu/160_04557337_3606606488333_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
8,Carrefour Expert Power Colors Doekjes 4 Stuks,https://cdn.carrefour.eu/160_06633272_5400101084025_00.jpeg,"3,99€",Per stuk,"3,99€",/stuk
9,Carrefour Expert Power Clean Microzevels Handschoen,https://cdn.carrefour.eu/160_06633274_5400101084032_00.jpeg,"4,69€",Per stuk,"4,69€",/stuk
10,Carrefour Expert Power Clean Zeemdoek,https://cdn.carrefour.eu/160_06633275_5400101084049_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
11,Carrefour Expert Power Clean Zeemvel,https://cdn.carrefour.eu/160_06633328_5400101084063_00.jpeg,"3,69€",Per stuk,"3,69€",/stuk
12,Carrefour Expert Power Clean Sponsdoek 3 Stuks,https://cdn.carrefour.eu/160_06633448_5400101084100_00.jpeg,"1,79€",Per stuk,"1,79€",/stuk
13,Carrefour Expert Power Clean Zeemvel Natuur,https://cdn.carrefour.eu/160_06633451_5400101084131_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
14,Carrefour Stofzuigerzak Synthetic Moulinex 2+,https://cdn.carrefour.eu/160_06656417_3608142155335_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
15,Carrefour Stofzuigerzak 5+  4 stuks,https://cdn.carrefour.eu/160_05942665_3606606489170_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
16,Nicols Enka Perfo 2 Stuks,https://cdn.carrefour.eu/160_05528313_5410721447544_00.jpeg,"5,75€",Per stuk,"5,75€",/stuk
17,Scotch-Brite Groene Schuurspons 2 Stuks,https://cdn.carrefour.eu/160_00176301_4046719707386_00.jpeg,"3,75€",Per stuk,"1,88€",/stuk
18,Vileda Multi Sensitive 7.5-8.5 M/L Handschoenen 40+10 Stuks,https://cdn.carrefour.eu/160_05361257_4023103165809_00.jpeg,"13,45€",Per stuk,"13,45€",/stuk
19,Vileda Sponsdoek Magic Spongidou Soft 3 Stuks,https://cdn.carrefour.eu/160_01111984_5410208626059_00.jpeg,"2,44€",Per stuk,"2,44€",/stuk
20,Vileda Pur Active Colors 4 Stuks,https://cdn.carrefour.eu/160_05628931_4023103189539_00.jpeg,"2,28€",Per stuk,"2,28€",/stuk
21,Scotch-Brite Universal Sponge Scourer 2 Stuks,https://cdn.carrefour.eu/160_05672052_4046719707393_00.jpeg,"5,75€",Per stuk,"5,75€",/stuk
22,Vileda Microfibre Colors Extra Large,https://cdn.carrefour.eu/160_05808029_4023103196506_00.jpeg,"4,29€",Per stuk,"4,29€",/stuk
23,Schuursponsen Gekleurde 10 Stuks,https://cdn.carrefour.eu/160_05168498_3560070594085_00.jpeg,"0,45€",Per stuk,"0,45€",/stuk
24,Vileda Vaatdoek 2 Stuks,https://cdn.carrefour.eu/160_04006949_4023103110748_00.jpeg,"3,19€",Per stuk,"1,60€",/stuk
25,Scotch-Brite Basic Schuurspons 4 Stuks,https://cdn.carrefour.eu/160_05372176_4046719669585_00.jpeg,"2,65€",Per stuk,"2,65€",/stuk
