,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,NESCAFÉ Koffie CAPPUCCINO Standard Zakjes 140 g,https://cdn.carrefour.eu/160_00814564_5011546475165_00.jpeg,"3,39€",Per stuk,"27,12€",/kg
1,Nescafé Gold Flat White 8 x 12.5 g,https://cdn.carrefour.eu/160_06701018_7613287184337_00.jpeg,"3,53€",Per stuk,"35,30€",/kg
2,NESCAFÉ Koffie CARAMEL LATTE Zakjes 136 g,https://cdn.carrefour.eu/160_04843443_5011546492834_00.jpeg,"3,15€",Per stuk,"23,16€",/kg
3,Nescafé Koffie CAPPUCCINO Latte Zakjes 144 g,https://cdn.carrefour.eu/160_04340125_5011798087031_00.jpeg,"3,32€",Per stuk,"23,06€",/kg
4,Carrefour Crunchy Intense Zwarte Chocolade 500 g,https://cdn.carrefour.eu/160_05867667_3560071013035_00.jpeg,"1,85€",Per stuk,"3,70€",/kg
5,Carrefour Extra Gemalen Koffie Deca 500 g,https://cdn.carrefour.eu/160_01531209_5400101164956_00.jpeg,"5,39€",Per stuk,"10,78€",/kg
6,Carrefour Extra Koffiebonen Deca 500 g,https://cdn.carrefour.eu/160_01531210_5400101164963_00.jpeg,"6,29€",Per stuk,"12,58€",/kg
7,Carrefour Extra Gemalen Koffie Dessert 500 g,https://cdn.carrefour.eu/160_01529810_5400101164994_00.jpeg,"4,39€",Per stuk,"8,78€",/kg
8,Carrefour Toast Beschuiten Natuur 2 x 125 g,https://cdn.carrefour.eu/160_05000706_5400101009530_00.jpeg,"1,09€",Per pak,"4,36€",/kg
9,Carrefour Confituur Kersen 370 g,https://cdn.carrefour.eu/160_05256563_3560070702039_00.jpeg,"0,99€",Per stuk,"2,68€",/kg
10,Carrefour Sensation Crocks Chocolade 400 g,https://cdn.carrefour.eu/160_05262154_3560071013226_00.jpeg,"2,25€",Per stuk,"5,63€",/kg
11,Carrefour Sensation Crocks Pure Chocolade 400 g,https://cdn.carrefour.eu/160_05262221_3560071013219_00.jpeg,"2,25€",Per stuk,"5,63€",/kg
12,Carrefour Extra Melba Toast Rond 2 Zakjes 110 g,https://cdn.carrefour.eu/160_01668888_5400101169500_00.jpeg,"0,89€",Per stuk,"8,09€",/kg
13,Carrefour Classic' Fibra 5 Gedroogde Vruchten 500 g,https://cdn.carrefour.eu/160_01749670_3560071015725_00.jpeg,"2,85€",Per stuk,"5,70€",/kg
14,Carrefour Smeerpasta Hazelnoten 400 g,https://cdn.carrefour.eu/160_04022239_3560071005641_00.jpeg,"1,85€",Per stuk,"4,63€",/kg
15,Carrefour Classic' Corn Flakes Original 500 g,https://cdn.carrefour.eu/160_04347709_3560071016074_00.jpeg,"1,35€",Per stuk,"2,78€",/kg
16,Carrefour Extra Koffiebonen Dessert 500 g,https://cdn.carrefour.eu/160_01529811_5400101165007_00.jpeg,"5,99€",Per stuk,"11,98€",/kg
17,Carrefour Extra Gemalen Koffie Moka 500 g,https://cdn.carrefour.eu/160_01531203_5400101164895_00.jpeg,"4,95€",Per stuk,"9,90€",/kg
18,Carrefour Extra Koffiebonen Moka 500 g,https://cdn.carrefour.eu/160_01531204_5400101164901_00.jpeg,"5,99€",Per stuk,"11,98€",/kg
19,Carrefour Bloemenhoning Romig 500 g,https://cdn.carrefour.eu/160_04325531_3560070121182_00.jpeg,"2,49€",Per stuk,"4,98€",/kg
20,Carrefour Classic' Κaοnuts 750 g,https://cdn.carrefour.eu/160_04022178_3560071005672_00.jpeg,"2,89€",Per stuk,"3,85€",/kg
21,Carrefour Toast Tarwe 250 g,https://cdn.carrefour.eu/160_04494503_3270190178941_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
22,Carrefour Beschuiten met Tarwe 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004841_5400101201729_00.jpeg,"1,09€",Per stuk,"3,63€",/kg
23,Carrefour Beschuiten met Tarwe 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004842_5400101201712_00.jpeg,"1,55€",Per stuk,"5,17€",/kg
24,Carrefour Beschuiten met Tarwe 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004842_5400101201712_00.jpeg,"1,55€",Per stuk,"5,17€",/kg
25,Carrefour Beschuiten met Volkorenmeel 2 x 18 Stuks 300 g,https://cdn.carrefour.eu/160_04004843_5400101201705_00.jpeg,"1,65€",Per stuk,"5,50€",/kg
26,Carrefour Bruine Koffiefilters N°4 80 Stuks,https://cdn.carrefour.eu/160_04032819_3390509964864_00.jpeg,"0,75€",Per stuk,"0,75€",/stuk
27,Carrefour Infusie Verbena 20 Zakjes 26 g,https://cdn.carrefour.eu/160_05749253_3560070888160_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
28,Carrefour Beschuiten 800 g,https://cdn.carrefour.eu/160_05559275_3560070825219_00.jpeg,"2,35€",Per stuk,"2,94€",/kg
29,Carrefour Bio Kruidenthee Groene Munt en Tijm 20 Zakjes 30 g,https://cdn.carrefour.eu/160_05752507_3270190192039_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
30,Carrefour Bio Zwarte Thee Darjeeling 20 Stuks 32 g,https://cdn.carrefour.eu/160_05752523_3560070497164_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
31,Carrefour Bio Infusie Verbena Munt 20 Stuks 30 g,https://cdn.carrefour.eu/160_05752519_3560070751143_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
32,Carrefour Mini Focaccia Zwarte Olijven 150 g,https://cdn.carrefour.eu/160_05743064_5400101048973_00.jpeg,"1,59€",Per stuk,"10,60€",/kg
33,Carrefour Gelei Aalbessen 370 g,https://cdn.carrefour.eu/160_05984582_3560070702121_00.jpeg,"1,59€",Per stuk,"4,30€",/kg
34,Carrefour Gelei Aardbeien 370 g,https://cdn.carrefour.eu/160_05252403_3560070701612_00.jpeg,"1,19€",Per stuk,"3,22€",/kg
35,Carrefour Confituur Abrikozen 370 g,https://cdn.carrefour.eu/160_05256485_3560070702008_00.jpeg,"0,90€",Per stuk,"2,43€",/kg
