,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Extra 4 Stagioni 400 g,https://cdn.carrefour.eu/160_05322931_3560070123971_00.jpeg,"2,09€",Per stuk,"5,23€",/kg
1,Carrefour Classic' Dunne Bodem Speciaal 330 g,https://cdn.carrefour.eu/160_04648894_3560070258604_00.jpeg,"1,35€",Per stuk,"3,86€",/kg
2,Carrefour Pizza Mozzarella Dunne Bodem 340 g,https://cdn.carrefour.eu/160_05186624_3560070258635_00.jpeg,"1,35€",Per stuk,"3,97€",/kg
3,Carrefour Mini Pizzas Mozzarella Tomaat 9 x 30 g,https://cdn.carrefour.eu/160_05235358_3560070523870_00.jpeg,"1,85€",Per stuk,"6,85€",/kg
4,Carrefour Classic' Dunne Bodem Hawaï 350 g,https://cdn.carrefour.eu/160_04898976_3560070391288_00.jpeg,"1,35€",Per stuk,"3,86€",/kg
5,Carrefour Pizza op Steen Gebakken Royale 400 g,https://cdn.carrefour.eu/160_05319442_3270190202974_00.jpeg,"2,49€",Per stuk,"6,23€",/kg
6,"Carrefour Pizza Prosciutto Gerookte  Ham, Mozzarella, Emmentaler 400 g",https://cdn.carrefour.eu/160_06068689_3560070202522_00.jpeg,"2,29€",Per stuk,"5,73€",/kg
7,Carrefour Bio Pizza Margherita Gebakken op Houtvuur 310 g,https://cdn.carrefour.eu/160_04725630_5400101258730_00.jpeg,"2,59€",Per stuk,"8,35€",/kg
8,Dr. Oetker Pizza Ristorante Hawaii 355 g,https://cdn.carrefour.eu/160_01655209_4001724039082_00.jpeg,"2,19€",Per stuk,"6,26€",/kg
9,Dr. Oetker Pizza La Margherita Classica 265 g,https://cdn.carrefour.eu/160_04025140_4001724604501_00.jpeg,"2,61€",Per stuk,"9,85€",/kg
10,Dr. Oetker Pizza Ristorante Quattro Formaggi 340 g,https://cdn.carrefour.eu/160_01666848_4001724038870_00.jpeg,"2,19€",Per stuk,"6,44€",/kg
11,Dr. Oetker Pizza Ristorante Funghi 365 g,https://cdn.carrefour.eu/160_01369087_4001724038931_00.jpeg,"3,05€",Per stuk,"8,36€",/kg
12,Dr. Oetker Pizza Ristorante Tonno 355 g,https://cdn.carrefour.eu/160_01655208_4001724038993_00.jpeg,"2,49€",Per stuk,"7,01€",/kg
13,Dr. Oetker Culinaria Greek Style 355 g,https://cdn.carrefour.eu/160_04823481_4001724851400_00.jpeg,"4,15€",Per stuk,"12,58€",/kg
14,Dr. Oetker Pizza Ristorante Spinaci 390 g,https://cdn.carrefour.eu/160_01382482_4001724039020_00.jpeg,"2,58€",Per stuk,"6,62€",/kg
15,Dr. Oetker Pizza Ristorante Pollo 355 g,https://cdn.carrefour.eu/160_01747120_4001724039174_00.jpeg,"2,69€",Per stuk,"7,58€",/kg
16,Dr. Oetker Ristorante Pizza Vegetale 385 g,https://cdn.carrefour.eu/160_01655207_4001724039143_00.jpeg,"3,85€",Per stuk,"10,41€",/kg
17,Dr. Oetker Culinaria Turkish Style 400 g,https://cdn.carrefour.eu/160_04025139_4001724851509_01.jpeg,"4,15€",Per stuk,"10,38€",/kg
18,Dr. Oetker Casa di Mama Pizza Prosciutto Funghi 405 g,https://cdn.carrefour.eu/160_04859597_4001724015604_00.jpeg,"4,49€",Per stuk,"11,82€",/kg
19,Dr. Oetker Pizza Ristorante Mozzarella Gluten Free 370 g,https://cdn.carrefour.eu/160_05904284_4001724022398_00.jpeg,"5,49€",Per stuk,"14,84€",/kg
20,Dr. Oetker Pizza Ristorante Prosciutto Gluten Free 345 g,https://cdn.carrefour.eu/160_05904300_4001724022442_00.jpeg,"5,79€",Per stuk,"16,78€",/kg
21,Dr. Oetker Mini Pizza Formaggi 4 Stuks 320 g,https://cdn.carrefour.eu/160_06021464_4001724002338_00.jpeg,"4,55€",Per stuk,"14,22€",/kg
22,Dr. Oetker Pizza Ristorante Diavola 350 g,https://cdn.carrefour.eu/160_06165472_4001724039594_00.jpeg,"3,69€",Per stuk,"10,85€",/kg
23,Original Wagner BIG city pizza hawaii ananas ham 435 g,https://cdn.carrefour.eu/160_05688486_7613035491922_00.jpeg,"4,05€",Per stuk,"9,31€",/kg
24,Dr. Oetker Pizza Ristorante Barbecue 340 g,https://cdn.carrefour.eu/160_05933690_4001724039501_00.jpeg,"4,15€",Per stuk,"12,21€",/kg
25,Dr. Oetker Ristorante Pizza Carbonara 340 g,https://cdn.carrefour.eu/160_05489232_4001724039358_00.jpeg,"3,59€",Per stuk,"9,45€",/kg
26,Simpl Pizzas Margherita 3 x 300 g,https://cdn.carrefour.eu/160_05435335_3560070348503_00.jpeg,"2,09€",Per stuk,"2,32€",/kg
27,Dr. Oetker Pizza Ristorante Mozzarella Gluten Free 370 g,https://cdn.carrefour.eu/160_05904284_4001724022398_00.jpeg,"5,49€",Per stuk,"14,84€",/kg
28,Dr. Oetker Pizza Ristorante Prosciutto Gluten Free 345 g,https://cdn.carrefour.eu/160_05904300_4001724022442_00.jpeg,"5,79€",Per stuk,"16,78€",/kg
29,Dr. Oetker Mini Pizza Formaggi 4 Stuks 320 g,https://cdn.carrefour.eu/160_06021464_4001724002338_00.jpeg,"4,55€",Per stuk,"14,22€",/kg
30,Dr. Oetker Pizza Ristorante Diavola 350 g,https://cdn.carrefour.eu/160_06165472_4001724039594_00.jpeg,"3,69€",Per stuk,"10,85€",/kg
31,Dr. Oetker Ristorante Piccola Salame 280 g,https://cdn.carrefour.eu/160_06305517_4001724038740_00.jpeg,"4,15€",Per stuk,"13,39€",/kg
32,Dr. Oetker Casa di Mama Pizza Salame 390 g,https://cdn.carrefour.eu/160_06184525_4001724015697_00.jpeg,"4,49€",Per stuk,"11,51€",/kg
33,Original Wagner BIG city pizza amsterdam 4 soorten kaas 410 g,https://cdn.carrefour.eu/160_06143517_7613036643641_00.jpeg,"4,05€",Per stuk,"9,88€",/kg
34,Original Wagner BIG city pizza sydney kip bbq saus 425 g,https://cdn.carrefour.eu/160_06143520_7613035492677_00.jpeg,"4,05€",Per stuk,"9,53€",/kg
35,Dr. Oetker Pizza Ristorante Bolognese e Formaggi 375 g,https://cdn.carrefour.eu/160_05969658_4001724039419_00.jpeg,"3,49€",Per stuk,"9,31€",/kg
36,Original Wagner BIG city pizza london salami ham 420 g,https://cdn.carrefour.eu/160_05688579_7613035492844_00.jpeg,"4,05€",Per stuk,"9,64€",/kg
37,Original Wagner BIG city pizza budapest pepperoni 400 g,https://cdn.carrefour.eu/160_05687844_7613035492752_00.jpeg,"4,05€",Per stuk,"10,13€",/kg
38,Original Wagner BIG city pizza hawaii ananas ham 435 g,https://cdn.carrefour.eu/160_05688486_7613035491922_00.jpeg,"4,05€",Per stuk,"9,31€",/kg
39,Dr. Oetker Pizza Ristorante Salame Mozzarella Pesto 360 g,https://cdn.carrefour.eu/160_06510842_4001724039297_00.jpeg,"3,29€",Per stuk,"9,14€",/kg
40,Dr. Oetker Pizza Ristorante Pasta 410 g,https://cdn.carrefour.eu/160_06528619_4001724039389_00.jpeg,"3,49€",Per stuk,"8,51€",/kg
41,Dr. Oetker Pizza Ristorante Margherita 295 g,https://cdn.carrefour.eu/160_06638014_4001724039563_00.jpeg,"3,15€",Per stuk,"10,16€",/kg
42,Dr. Oetker Pizza Casa di Mama Pizza Mozzarella Pomodori,https://cdn.carrefour.eu/160_06528615_4001724026815_00.jpeg,"4,49€",Per stuk,"10,32€",/kg
43,Dr. Oetker Ristorante Piccolissima Prosciutto 216 g,https://cdn.carrefour.eu/160_06663509_4001724032168_00.jpeg,"4,05€",Per stuk,"17,31€",/kg
44,Dr. Oetker Ristorante Piccolissima Pepperoni 216 g,https://cdn.carrefour.eu/160_06663506_4001724032267_00.jpeg,"4,05€",Per stuk,"17,31€",/kg
45,Dr. Oetker Ristorante Piccolissima Tre Formaggi 216 g,https://cdn.carrefour.eu/160_06663357_4001724032137_00.jpeg,"4,05€",Per stuk,"17,31€",/kg
46,Dr. Oetker Pizza Tradizionale Diavola Calabrese 360 g,https://cdn.carrefour.eu/160_06812715_4001724038535_00.jpeg,"4,69€",Per stuk,"13,03€",/kg
47,Dr. Oetker The Good Baker Pizza Broccoli & Mushroom 365 g,https://cdn.carrefour.eu/160_06793478_4001724036326_00.jpeg,"4,15€",Per stuk,"10,64€",/kg
48,Dr. Oetker The Good Baker Pizza Veggie Mix 390 g,https://cdn.carrefour.eu/160_06793487_4001724035848_00.jpeg,"3,89€",Per stuk,"9,26€",/kg
49,Garden Gourmet Veggie Lovers Pizza Groente Vegan 430 g,https://cdn.carrefour.eu/160_06827914_7613287212948_00.jpeg,"4,45€",Per stuk,"10,35€",/kg
50,Dr. Oetker Pizza Tradizionale Speciale 400 g,https://cdn.carrefour.eu/160_06812738_4001724038443_00.jpeg,"4,69€",Per stuk,"11,73€",/kg
51,Dr. Oetker Pizza Tradizionale Pancetta Delicata 390 g,https://cdn.carrefour.eu/160_06812740_4001724038412_00.jpeg,"4,69€",Per stuk,"12,03€",/kg
52,Dr. Oetker Pizza Ristorante Salame 320 g,https://cdn.carrefour.eu/160_06814429_4001724038900_00.jpeg,"3,09€",Per stuk,"9,66€",/kg
53,Dr. Oetker Pizza Casa Di Mama Hawaii 415 g,https://cdn.carrefour.eu/160_06814426_4001724041184_00.jpeg,"4,49€",Per stuk,"10,82€",/kg
54,Dr. Oetker Pizza Tradizionale Mozzarella e Pesto 385 g,https://cdn.carrefour.eu/160_06812717_4001724038504_00.jpeg,"3,79€",Per stuk,"9,84€",/kg
55,Dr. Oetker Pizza Ristorante Mozzarella 355 g,https://cdn.carrefour.eu/160_06814462_4001724039112_00.jpeg,"2,59€",Per stuk,"7,30€",/kg
56,Dr. Oetker Pizza Ristorante Prosciutto 340 g,https://cdn.carrefour.eu/160_06814432_4001724038962_00.jpeg,"3,05€",Per stuk,"8,97€",/kg
57,Dr. Oetker Pizza Ristorante Speciale 345 g,https://cdn.carrefour.eu/160_06814461_4001724039051_00.jpeg,"2,59€",Per stuk,"7,51€",/kg
