,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Iglo Mini Ravioli - Spinazie-roomsaus 400 g,https://cdn.carrefour.eu/160_06803542_5414807007424_00.jpeg,"3,15€",Per stuk,"7,88€",/kg
1,Iglo Macaroni met Ham en Kaas 450 g,https://cdn.carrefour.eu/160_01379912_5410148493308_00.jpeg,"3,05€",Per stuk,"6,78€",/kg
2,Iglo Lasagne Bolognese 450g,https://cdn.carrefour.eu/160_01380465_5410148495302_00.jpeg,"4,29€",Per stuk,"9,53€",/kg
3,Carrefour Gebakken Noedels met Garnalen 900 g,https://cdn.carrefour.eu/160_05288720_3560070673193_00.jpeg,"5,39€",Per stuk,"6,74€",/kg
4,Carrefour Sensation Paella Royal 1 kg,https://cdn.carrefour.eu/160_05294338_3270190026730_00.jpeg,"4,45€",Per stuk,"4,45€",/kg
5,Carrefour Wereld Thais Pannetje met Kip 900 g,https://cdn.carrefour.eu/160_05294360_3560070445820_00.jpeg,"4,99€",Per stuk,"5,54€",/kg
6,Carrefour Sensation Kantonese Rijst 900 g,https://cdn.carrefour.eu/160_05318701_3270190202769_00.jpeg,"4,25€",Per stuk,"4,72€",/kg
7,Carrefour Gebakken Gourmet Rijstpannetje met Kip en Champignons 900 g,https://cdn.carrefour.eu/160_05319049_3270190026716_00.jpeg,"4,59€",Per stuk,"5,10€",/kg
8,Carrefour Classic' Lasagne Bolognese 1 kg,https://cdn.carrefour.eu/160_06678394_3270190020073_00.jpeg,"4,29€",Per stuk,"4,29€",/kg
9,Carrefour Extra Gepaneerde Filets Zalm 360 g,https://cdn.carrefour.eu/160_06753206_3560071437626_00.jpeg,"6,99€",Per stuk,"19,42€",/kg
10,Carrefour Veggie Lasagne Type Bolognese Groenten & Tarwe 600 g,https://cdn.carrefour.eu/160_06440777_3560071240509_00.jpeg,"4,29€",Per stuk,"7,15€",/kg
11,Carrefour Sensation Dim Sum Stoom 12 Stuks 270 g,https://cdn.carrefour.eu/160_06459808_5400101079069_00.jpeg,"5,15€",Per stuk,"20,60€",/kg
12,Carrefour Classic' Kabeljauwfilets 800 g,https://cdn.carrefour.eu/160_06678440_5400101086166_00.jpeg,"9,49€",Per stuk,"11,86€",/kg
13,Iglo Witloofgratin met aardappelpuree 450 g,https://cdn.carrefour.eu/160_01379909_5410148496507_00.jpeg,"5,49€",Per stuk,"12,20€",/kg
14,Iglo Paella Valencia met kipfilets & garnalen 450 g,https://cdn.carrefour.eu/160_01379910_5410148492509_00.jpeg,"5,29€",Per stuk,"11,76€",/kg
15,Iglo Kabeljauwfilet Witte Wijnsaus en Groentjes 450 g,https://cdn.carrefour.eu/160_01380467_5410148493605_00.jpeg,"7,09€",Per stuk,"15,76€",/kg
16,Iglo Rundstong Madeirasaus 450 g,https://cdn.carrefour.eu/160_01381606_5410148499003_00.jpeg,"6,15€",Per stuk,"13,67€",/kg
17,Iglo Gehaktballetjes in Tomatensaus 450 g,https://cdn.carrefour.eu/160_01497502_5410148486003_00.jpeg,"5,09€",Per stuk,"11,31€",/kg
18,Iglo Aardappelgratin Gehakt Spinazie 450 g,https://cdn.carrefour.eu/160_01497506_5410148486102_00.jpeg,"5,29€",Per stuk,"11,76€",/kg
19,Iglo Braadworst met Wortelstamppot 450 g,https://cdn.carrefour.eu/160_01533009_5410148485501_00.jpeg,"5,55€",Per stuk,"12,33€",/kg
20,Simpl Nasi Goreng 750 g,https://cdn.carrefour.eu/160_04028000_5400101218642_00.jpeg,"1,89€",Per stuk,"2,52€",/kg
21,Iglo Spaghetti Bolognese 450 g,https://cdn.carrefour.eu/160_01361190_5410148493407_00.jpeg,"4,15€",Per stuk,"9,22€",/kg
22,Iglo Pasta Tagliatelle di Mare 450 g,https://cdn.carrefour.eu/160_01381607_5410148493704_00.jpeg,"7,15€",Per stuk,"15,89€",/kg
23,Iglo Kipfilets met witloof & aardappelpuree op z'n Belgisch 425 g,https://cdn.carrefour.eu/160_06018247_5414807005994_00.jpeg,"6,69€",Per stuk,"15,74€",/kg
24,Simpl Paella Zeevruchten 1 kg,https://cdn.carrefour.eu/160_05214885_3560070360512_00.jpeg,"3,19€",Per stuk,"3,19€",/kg
