,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Ontkalkingspoeder 4 x 25 g,https://cdn.carrefour.eu/160_04863837_5400101007604_00.jpeg,"2,09€",Per stuk,"20,90€",/kg
1,Carrefour Navullingen Duster 360° x 10,https://cdn.carrefour.eu/160_04554307_3560071151836_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
2,Carrefour Gel WC Eucalyptus met Javel 750 ml,https://cdn.carrefour.eu/160_04319025_3560071084974_00.jpeg,"0,65€",Per stuk,"0,87€",/l
3,Carrefour Wegwerpdweilen Frisse Marseillezeep 15 Stuks,https://cdn.carrefour.eu/160_05769164_3560071236908_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
4,Carrefour Express Vloeibare Ontstopper 1 L,https://cdn.carrefour.eu/160_01700632_3560071096854_00.jpeg,"1,65€",Per stuk,"1,65€",/l
5,Carrefour Blokjes WC Blauw Water 2 x 40 g,https://cdn.carrefour.eu/160_04445832_3560071084684_00.jpeg,"1,49€",Per stuk,"18,63€",/kg
6,Carrefour WC Blokje Oceaan 3in1 3 x 55 ml,https://cdn.carrefour.eu/160_04345543_3560071084752_00.jpeg,"1,19€",Per stuk,"1,19€",/stuk
7,Carrefour Essential Reiniger Tegelvloeren Extracten van Lijnolie 1 L,https://cdn.carrefour.eu/160_04425169_3560071153007_00.jpeg,"0,99€",Per stuk,"0,99€",/l
8,Carrefour Gel WC Ocean 750 ml,https://cdn.carrefour.eu/160_05610124_3560071247775_00.jpeg,"0,85€",Per stuk,"1,13€",/l
9,Carrefour Expert Power Cream Schuurcrème 750 ml,https://cdn.carrefour.eu/160_05609426_3560071236632_00.jpeg,"0,89€",Per stuk,"1,19€",/l
10,Carrefour Expert Glass Clean Ruitenreiniger 3in1   750 ml,https://cdn.carrefour.eu/160_04611215_3560070241293_00.jpeg,"1,49€",Per stuk,"1,99€",/l
11,Carrefour Meubeldoekjes met Bijenwas 24 Stuks,https://cdn.carrefour.eu/160_05769167_3560071237578_00.jpeg,"1,45€",Per stuk,"1,45€",/stuk
12,Carrefour Active Ontstopper Gel met Natriumhydroxide 1 L,https://cdn.carrefour.eu/160_06037996_3560071096830_00.jpeg,"1,99€",Per stuk,"1,99€",/l
13,Carrefour WC Blokje Oceaan 3in1 4 x 38 g,https://cdn.carrefour.eu/160_05309087_3560071084844_00.jpeg,"1,39€",Per stuk,"1,39€",/stuk
14,Carrefour Duster Kit 360°,https://cdn.carrefour.eu/160_04554308_3560071151805_00.jpeg,"2,45€",Per stuk,"2,45€",/stuk
