,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Classic' Siroop Citroen 75 cl,https://cdn.carrefour.eu/160_04008745_3560071017774_00.jpeg,"2,19€",Per stuk,"2,92€",/l
1,Carrefour Classic' Siroop Aardbei 75 cl,https://cdn.carrefour.eu/160_04008746_3270190006954_00.jpeg,"2,15€",Per stuk,"2,87€",/l
2,Carrefour Classic' Siroop Munt 75 cl,https://cdn.carrefour.eu/160_04008747_3560071017781_00.jpeg,"2,09€",Per stuk,"2,79€",/l
3,Carrefour Siroop Sinaasappel 75 cl,https://cdn.carrefour.eu/160_04008748_3270190005117_00.jpeg,"1,99€",Per stuk,"2,65€",/l
4,Carrefour Classic' Siroop Zwarte Bes 75 cl,https://cdn.carrefour.eu/160_04008750_3270190007012_00.jpeg,"2,39€",Per stuk,"3,19€",/l
5,Carrefour 0% Suikers Muntsmaak 75 cl,https://cdn.carrefour.eu/160_04588251_3245414241718_00.jpeg,"3,25€",Per stuk,"4,33€",/l
6,Carrefour 0% Suiker Grenadinesmaak 75 cl,https://cdn.carrefour.eu/160_04588252_3245413758866_00.jpeg,"3,09€",Per stuk,"4,12€",/l
7,Carrefour Siroop Munt 1 L,https://cdn.carrefour.eu/160_06053508_3560071081386_00.jpeg,"1,79€",Per stuk,"1,79€",/l
8,Carrefour 0% Suiker Perziksmaak 75 cl,https://cdn.carrefour.eu/160_05658248_3560070548118_00.jpeg,"2,99€",Per stuk,"3,99€",/l
9,Carrefour Classic' Siroop Grenadine 75 cl,https://cdn.carrefour.eu/160_04008744_3560071017743_00.jpeg,"1,79€",Per stuk,"2,39€",/l
10,Teisseire Grenadine 0% Suiker Vruchtensiroop  60 cl,https://cdn.carrefour.eu/160_04517789_3092719701146_00.jpeg,"5,49€",Per stuk,"9,15€",/l
11,Teisseire Framboos-Veenbes 0% Suiker Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_04518167_3092719701177_00.jpeg,"5,49€",Per stuk,"9,15€",/l
12,Teisseire Citroen  0% Suiker Vruchtensiroop  60 cl,https://cdn.carrefour.eu/160_04518170_3092719701085_00.jpeg,"5,49€",Per stuk,"9,15€",/l
13,Teisseire Perzik 0% Suiker Vruchtensiroop  60 cl,https://cdn.carrefour.eu/160_05573605_3092718603762_00.jpeg,"5,49€",Per stuk,"9,15€",/l
14,Teisseire Munt 0% Suiker Vruchtensiroop  60 cl,https://cdn.carrefour.eu/160_05323893_3092719701054_00.jpeg,"5,49€",Per stuk,"9,15€",/l
15,Teisseire Aardebei 0% Suiker Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05852299_3092718620158_00.jpeg,"5,49€",Per stuk,"9,15€",/l
16,Teisseire Grenadine Max Vruchtensiroop 66 ml,https://cdn.carrefour.eu/160_05854421_50414352_00.jpeg,"4,39€",Per stuk,"66,52€",/l
17,Teissere Roze Pompelmoes 0% Suiker Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05324830_3092719701443_00.jpeg,"5,49€",Per stuk,"9,15€",/l
18,Teisseire  Passionfruit Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05467122_3092718611248_00.jpeg,"5,49€",Per stuk,"9,15€",/l
19,Teisseire  Framboos Vruchtensiroop  60 cl,https://cdn.carrefour.eu/160_05467126_3092718611187_00.jpeg,"5,49€",Per stuk,"9,15€",/l
20,Siroop Grenadine 1 L,https://cdn.carrefour.eu/160_06047537_3560070339204_00.jpeg,"1,95€",Per stuk,"1,95€",/l
21,Siroop Citroen 1 L,https://cdn.carrefour.eu/160_06048795_3560071081393_00.jpeg,"1,89€",Per stuk,"1,89€",/l
22,Pulco  Citroen 70cl,https://cdn.carrefour.eu/160_00686103_3225350000501_00.jpeg,"6,05€",Per stuk,"8,64€",/l
23,Teisseire Limoen Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05466820_3092718611125_00.jpeg,"5,49€",Per stuk,"9,15€",/l
24,Teisseire Mojito Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05493461_3092718625580_00.jpeg,"5,49€",Per stuk,"9,15€",/l
25,Teisseire Mango Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_06159449_3092718625610_00.jpeg,"5,49€",Per stuk,"9,15€",/l
26,Teisseire Zwarte Thee - Perzik Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_06159518_3092718626013_00.jpeg,"5,49€",Per stuk,"9,15€",/l
27,Teisseire  Groen Thee - Munt 0% Suiker Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_06159520_3092718626044_00.jpeg,"5,49€",Per stuk,"9,15€",/l
28,Teissere Roze Pompelmoes 0% Suiker Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_05324830_3092719701443_00.jpeg,"5,49€",Per stuk,"9,15€",/l
29,Teisseire Viooltjes Vruchtensiroop 60 cl,https://cdn.carrefour.eu/160_06641154_3092718634070_00.jpeg,"5,49€",Per stuk,"9,15€",/l
