,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour 30 Minibladerdeeghapjes 359 g,https://cdn.carrefour.eu/160_04754576_3245412767975_00.jpeg,"3,79€",Per stuk,"10,56€",/kg
1,Carrefour 20 Miniworstjes in Bladerdeeg 350 g,https://cdn.carrefour.eu/160_05251689_3560070545230_00.jpeg,"4,59€",Per stuk,"19,13€",/kg
2,Loempia Ham - Kip 2 x 175 g,https://cdn.carrefour.eu/160_04873978_5400101009004_00.jpeg,"1,19€",Per stuk,"3,40€",/kg
3,Carrefour 10 Mini Cheeseburgers 155 g,https://cdn.carrefour.eu/160_05607917_3560070953837_00.jpeg,"6,25€",Per stuk,"40,32€",/kg
4,Carrefour 20 Mini Croque-Monsieur Ham Emmentaler 240 g,https://cdn.carrefour.eu/160_06542094_3560071016852_00.jpeg,"4,29€",Per stuk,"17,88€",/kg
5,Carrefour Extra Ovennootjes met Grijze Garnalen 16 x 16 g,https://cdn.carrefour.eu/160_06321803_5400101076686_00.jpeg,"4,75€",Per stuk,"18,55€",/kg
6,Carrefour Sensation Mix Yakitori & Yaki Tsukune 8 Stuks 200 g,https://cdn.carrefour.eu/160_06459756_5400101079038_00.jpeg,"4,39€",Per stuk,"21,95€",/kg
7,Carrefour Mozzarella Sticks 250 g,https://cdn.carrefour.eu/160_06630870_3560071018337_00.jpeg,"2,79€",Per stuk,"11,16€",/kg
8,Carrefour 8 Mini Hot-Dogs 140 g,https://cdn.carrefour.eu/160_06542096_3560071151072_00.jpeg,"4,99€",Per stuk,"35,64€",/kg
9,Mora Apéro Mini Loempia's Vegetarisch 18 x 20 g met Saus 2 x 25 g,https://cdn.carrefour.eu/160_01301533_5410341972747_00.jpeg,"8,35€",Per stuk,"23,19€",/kg
10,Mora Loempia Kip & Ham Maaltijd 175 g,https://cdn.carrefour.eu/160_01271543_8710861997433_00.jpeg,"1,92€",Per stuk,"10,97€",/kg
11,Mora Mini's Kipfingers 240 g,https://cdn.carrefour.eu/160_05897123_8710861999345_00.jpeg,"4,65€",Per stuk,"19,38€",/kg
12,Mora Originals Bamischijf 4 x 100 g,https://cdn.carrefour.eu/160_05887160_8710861994593_00.jpeg,"4,19€",Per stuk,"10,48€",/kg
13,Mora Loempia Kip & Ham 6 x 125 g,https://cdn.carrefour.eu/160_00182702_5410341522218_00.jpeg,"8,05€",Per stuk,"10,73€",/kg
14,Mora Frikandellen Voordeelverpakking 20 x 70 g,https://cdn.carrefour.eu/160_00182904_8710861993978_00.jpeg,"4,69€",Per stuk,"3,35€",/kg
15,Mora Pikanto 4 x 100 g,https://cdn.carrefour.eu/160_05740198_8710861910616_00.jpeg,"4,19€",Per stuk,"10,48€",/kg
16,Mora Classics Frikandellen 5 x 70 g,https://cdn.carrefour.eu/160_01490123_8710861993954_00.jpeg,"2,13€",Per stuk,"6,09€",/kg
17,"Mora Apéro Feuilletés Rundvlees, Ham-Kaas, Champignon & Zalm 6 x 4 Stuks 528 g",https://cdn.carrefour.eu/160_04027677_8722700005568_00.jpeg,"8,45€",Per stuk,"16,00€",/kg
18,Mora Viandel Originals 4 x 70 g,https://cdn.carrefour.eu/160_01095959_8710484039206_00.jpeg,"3,75€",Per stuk,"13,39€",/kg
19,Mora Carrero Originals 4 x 100 g,https://cdn.carrefour.eu/160_05155807_8710861994944_00.jpeg,"3,99€",Per stuk,"9,98€",/kg
20,Mora Classics Rundvlees Kroketten 4 x 70 g,https://cdn.carrefour.eu/160_05305780_8710861993916_00.jpeg,"3,25€",Per stuk,"11,61€",/kg
21,Mora Oven & Airfryer Frikandellen 280 g,https://cdn.carrefour.eu/160_05621105_8710861986710_00.jpeg,"2,34€",Per stuk,"8,36€",/kg
22,Mora Hamburgers 4 x 70 g,https://cdn.carrefour.eu/160_05556817_8710861994166_00.jpeg,"3,25€",Per stuk,"11,61€",/kg
23,Mora Loempia Groenten Vegetarisch 175 g,https://cdn.carrefour.eu/160_05211559_8710861994050_00.jpeg,"1,69€",Per stuk,"9,66€",/kg
24,Mora Hamburgers 4 x 70 g,https://cdn.carrefour.eu/160_05556817_8710861994166_00.jpeg,"3,25€",Per stuk,"11,61€",/kg
25,Mora Oven & Airfryer Frikandellen 280 g,https://cdn.carrefour.eu/160_05621105_8710861986710_00.jpeg,"2,34€",Per stuk,"8,36€",/kg
26,Mora Loempia Groenten Vegetarisch 175 g,https://cdn.carrefour.eu/160_05211559_8710861994050_00.jpeg,"1,69€",Per stuk,"9,66€",/kg
27,Mora Excellent Bitterballen Rundvlees 800 g,https://cdn.carrefour.eu/160_05753952_8710861986055_00.jpeg,"6,65€",Per stuk,"8,31€",/kg
28,Simpl Party Mix Speciaal Frituur 648 g,https://cdn.carrefour.eu/160_04873979_5400101009011_00.jpeg,"1,99€",Per stuk,"3,07€",/kg
29,Mora Mini's Rundvlees Bitterballen 240 g,https://cdn.carrefour.eu/160_05895412_8710861999338_00.jpeg,"3,19€",Per stuk,"13,29€",/kg
30,Mora Oven & Airfryer Rundvlees Bitterballen 300 g,https://cdn.carrefour.eu/160_05842537_8710861995217_00.jpeg,"3,89€",Per stuk,"12,97€",/kg
31,Mora Oven & Airfryer Kaas Kroketten 4 x 70 g,https://cdn.carrefour.eu/160_06042235_8710861912276_00.jpeg,"4,99€",Per stuk,"17,82€",/kg
32,Mora Oven & Airfryer Kipnuggets 280 g,https://cdn.carrefour.eu/160_05899288_8710861994753_00.jpeg,"4,89€",Per stuk,"17,46€",/kg
33,Mora Broodje Cheeseburger 130 g,https://cdn.carrefour.eu/160_05947768_8710861985010_00.jpeg,"1,97€",Per stuk,"15,15€",/kg
34,Mora Broodje Chickenburger 130 g,https://cdn.carrefour.eu/160_05947772_8710861985041_00.jpeg,"1,96€",Per stuk,"15,08€",/kg
35,Mora Oven & Airfryer Kipkorn 5 x 60 g,https://cdn.carrefour.eu/160_06052905_8710861911286_00.jpeg,"5,65€",Per stuk,"18,83€",/kg
36,Mora Originals Sito Gold 4 x 90 g,https://cdn.carrefour.eu/160_05889189_8710861916885_00.jpeg,"7,19€",Per stuk,"19,97€",/kg
37,Iglo 2 Chicken Burgers 200 g,https://cdn.carrefour.eu/160_04936486_5051751000066_00.jpeg,"4,65€",Per stuk,"23,25€",/kg
38,Mora Kip Fingers 550 g,https://cdn.carrefour.eu/160_04714907_5410341072386_00.jpeg,"8,15€",Per stuk,"14,82€",/kg
39,Mora Oven & Airfryer Nacho Cheese 276 g,https://cdn.carrefour.eu/160_06602278_8710861913051_00.jpeg,"4,25€",Per stuk,"15,40€",/kg
40,Garden Gourmet Vegetarische Schnitzel x8 720 g,https://cdn.carrefour.eu/160_06489893_7290112966889_00.jpeg,"12,45€",Per stuk,"17,29€",/kg
41,Mora Oven & Airfryer Fun Mix 332 g,https://cdn.carrefour.eu/160_06488299_8710861920837_00.jpeg,"5,35€",Per stuk,"16,11€",/kg
42,Mora Vegetarische Mini Mix 12 x 20 g,https://cdn.carrefour.eu/160_06494359_8710861999406_00.jpeg,"4,39€",Per stuk,"18,29€",/kg
43,Mora Vegetarische Draadjesvleesch Bitterballen 240 g,https://cdn.carrefour.eu/160_06234811_8710861999666_00.jpeg,"4,35€",Per stuk,"18,13€",/kg
44,Mora Oven & Airfryer MMMIXPACK 440g,https://cdn.carrefour.eu/160_06669790_8710861997174_00.jpeg,"6,85€",Per stuk,"15,57€",/kg
45,Dr. Oetker Ristorante Piccolissima Tre Formaggi 216 g,https://cdn.carrefour.eu/160_06663357_4001724032137_00.jpeg,"4,05€",Per stuk,"17,31€",/kg
46,Garden Gourmet Vegan Burger 4 x 75 g,https://cdn.carrefour.eu/160_06683493_7613287514936_00.jpeg,"5,19€",Per stuk,"17,30€",/kg
47,Mora Mini's Fun Mix Classic 656 g,https://cdn.carrefour.eu/160_06227277_8710861995590_00.jpeg,"6,29€",Per stuk,"9,59€",/kg
48,Mora Oven & Airfryer MMMIXPACK 440g,https://cdn.carrefour.eu/160_06669790_8710861997174_00.jpeg,"6,85€",Per stuk,"15,57€",/kg
49,Dr. Oetker Ristorante Piccolissima Tre Formaggi 216 g,https://cdn.carrefour.eu/160_06663357_4001724032137_00.jpeg,"4,05€",Per stuk,"17,31€",/kg
50,Garden Gourmet Vegan Burger 4 x 75 g,https://cdn.carrefour.eu/160_06683493_7613287514936_00.jpeg,"5,19€",Per stuk,"17,30€",/kg
