,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Stimorol Kauwgom Wild Cherry Suikervrij 101.5 g,https://cdn.carrefour.eu/160_05194123_7622300771737_00.jpeg,"4,09€",Per stuk,"40,10€",/kg
1,Stimorol Original Sugar Free 101.5 g,https://cdn.carrefour.eu/160_05732443_7622300771966_00.jpeg,"4,09€",Per stuk,"40,50€",/kg
2,Stimorol Kauwgom Oral-B Spearmint Suikervrij 76.5 g,https://cdn.carrefour.eu/160_06349314_7622201141202_00.jpeg,"4,34€",Per stuk,"4,34€",/stuk
3,Stimorol Kauwgom Original Suikervrij 10 Stuks 14 g,https://cdn.carrefour.eu/160_05238225_54014008_00.jpeg,"1,13€",Per stuk,"80,71€",/kg
4,Carrefour Zuurtjes Tuttifruttismaak 250 g,https://cdn.carrefour.eu/160_05008040_3560070480135_00.jpeg,"1,49€",Per stuk,"5,96€",/kg
5,Carrefour Krokodil 250 g,https://cdn.carrefour.eu/160_05773234_3560070828722_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
6,Carrefour Extra Sweet 600 g,https://cdn.carrefour.eu/160_04676683_3270190124528_00.jpeg,"3,39€",Per stuk,"5,65€",/kg
7,Carrefour Soucoup Acid 39 g,https://cdn.carrefour.eu/160_01637595_3560070405022_00.jpeg,"0,79€",Per stuk,"0,79€",/stuk
8,Carrefour Car Box Groentjes 220 g,https://cdn.carrefour.eu/160_04016829_5400101179240_00.jpeg,"1,19€",Per stuk,"5,95€",/kg
9,Carrefour Shiny Acid 250 g,https://cdn.carrefour.eu/160_05434338_3560070880812_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
10,Carrefour Grizzly 250 g,https://cdn.carrefour.eu/160_05501938_3560070821822_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
11,Carrefour Pech' Acid 250 g,https://cdn.carrefour.eu/160_05514713_3560070821082_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
12,Carrefour Marsepein 300 g,https://cdn.carrefour.eu/160_01052453_5400101491106_00.jpeg,"3,99€",Per stuk,"13,30€",/kg
13,Carrefour Marsepein 500 g,https://cdn.carrefour.eu/160_01223481_5400101495470_00.jpeg,"6,99€",Per stuk,"6,99€",/stuk
14,Carrefour Tuby Acid 200 g,https://cdn.carrefour.eu/160_06055183_3560071164409_00.jpeg,"1,25€",Per stuk,"6,25€",/kg
15,Carrefour Cola 250 g,https://cdn.carrefour.eu/160_05501693_3560070823475_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
16,Carrefour Grizzly' Acid 250 g,https://cdn.carrefour.eu/160_05501694_3560070821051_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
17,Carrefour Mix Pocket Willekeurig Assortiment 500 g,https://cdn.carrefour.eu/160_04634210_3560070245734_00.jpeg,"3,39€",Per stuk,"6,78€",/kg
18,Carrefour Classic' Pinkies 300 g,https://cdn.carrefour.eu/160_04875186_5400101009301_00.jpeg,"1,49€",Per stuk,"4,97€",/kg
19,Carrefour Caram' Choc Zachte Karamellen met Chocoladelaagje 280 g,https://cdn.carrefour.eu/160_05513113_3560070823406_00.jpeg,"1,35€",Per stuk,"4,82€",/kg
20,Carrefour Caram's Harde Karamellen met Verse Room 200 g,https://cdn.carrefour.eu/160_05547227_3560070742363_00.jpeg,"1,55€",Per stuk,"7,75€",/kg
21,Carrefour Lollipop's Fruitsmaak 200 g,https://cdn.carrefour.eu/160_05458299_3560070330713_00.jpeg,"2,19€",Per stuk,"10,95€",/kg
22,Carrefour Peachy 250 g,https://cdn.carrefour.eu/160_05501695_3560070823413_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
23,Carrefour Car Box Zure Staafjes 220 g,https://cdn.carrefour.eu/160_04016831_5400101179219_00.jpeg,"1,19€",Per stuk,"5,41€",/kg
24,Carrefour Caram' Choc Zachte Karamellen met Chocoladelaagje 280 g,https://cdn.carrefour.eu/160_05513113_3560070823406_00.jpeg,"1,35€",Per stuk,"4,82€",/kg
25,Carrefour Caram's Harde Karamellen met Verse Room 200 g,https://cdn.carrefour.eu/160_05547227_3560070742363_00.jpeg,"1,55€",Per stuk,"7,75€",/kg
26,Carrefour Lollipop's Fruitsmaak 200 g,https://cdn.carrefour.eu/160_05458299_3560070330713_00.jpeg,"2,19€",Per stuk,"10,95€",/kg
27,Carrefour Peachy 250 g,https://cdn.carrefour.eu/160_05501695_3560070823413_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
28,Carrefour Classic' Veggy Tut' Acid 150 g,https://cdn.carrefour.eu/160_06154344_5400101071148_00.jpeg,"1,29€",Per stuk,"8,60€",/kg
29,Carrefour Tuby Acid 200 g,https://cdn.carrefour.eu/160_06055183_3560071164409_00.jpeg,"1,25€",Per stuk,"6,25€",/kg
30,Carrefour Classic' Veggy Fruit Mix 150 g,https://cdn.carrefour.eu/160_06154340_5400101071124_00.jpeg,"1,29€",Per stuk,"8,60€",/kg
31,Carrefour Banana Fraise 250 g,https://cdn.carrefour.eu/160_06030925_3560070821099_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
32,Carrefour Classic' Eggs 250 g,https://cdn.carrefour.eu/160_06705119_3560071265649_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
33,Carrefour Classic' Monsieur Madame 250 g,https://cdn.carrefour.eu/160_06782896_3560071409012_00.jpeg,"0,99€",Per stuk,"3,96€",/kg
34,Carrefour Gearomatiseerde Snoepjes met Zoethout 150 g,https://cdn.carrefour.eu/160_04827227_3560070319220_00.jpeg,"1,35€",Per stuk,"9,00€",/kg
