,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Monster Energy Drink Krat 24 x 553 ml,https://cdn.carrefour.eu/160_05643852_5060335634436_00.jpeg,"38,85€",Per pak,"2,93€",/l
1,Monster Energy Juiced Khaotic Drink Can 24 X 500 ml,https://cdn.carrefour.eu/160_06812743_5060896622088_00.jpeg,"35,89€",Per pak,"2,99€",/l
2,Coca-Cola Zero No Caffeine Coke Soft drink 6 x 1500 ml,https://cdn.carrefour.eu/160_06638415_5449000179197_00.jpeg,"13,79€",Per pak,"1,53€",/l
3,Coca-Cola Zero Sugar Coke Soft drink 6 x 1.5 L,https://cdn.carrefour.eu/160_04447593_5449000134578_00.jpeg,"13,79€",Per pak,"1,53€",/l
4,Fanta Orange Lemonade 6 x 500 ml,https://cdn.carrefour.eu/160_01505667_5449000028570_00.jpeg,"7,09€",Per pak,"2,36€",/l
5,Sprite Lemonade 6 x 500 ml,https://cdn.carrefour.eu/160_01505683_5449000028624_00.jpeg,"7,55€",Per pak,"2,52€",/l
6,Coca-Cola Coke Soft drink 24 x 200 ml,https://cdn.carrefour.eu/160_01398719_5449000000002_00.jpeg,"16,99€",Per pak,"3,54€",/l
7,Oasis Sinaasappel 2 L,https://cdn.carrefour.eu/160_00167862_3124480203632_00.jpeg,"3,25€",Per stuk,"1,63€",/l
8,Oasis Duo Sinaasappel 6 x 2 L,https://cdn.carrefour.eu/160_01408865_5410221408328_00.jpeg,"19,45€",Per pak,"1,62€",/l
9,Canada Dry Ginger Ale 6 x 33 cl,https://cdn.carrefour.eu/160_01335722_3124480000415_00.jpeg,"6,59€",Per pak,"3,33€",/l
10,Vit-Hit Immunitea Dragonfruit + Yuzu Zinc + Ceylon Tea 500 ml,https://cdn.carrefour.eu/160_05995898_5034033000190_00.jpeg,"1,93€",Per stuk,"3,86€",/l
11,Fanta Orange Lemonade Blik 6 x 330 ml,https://cdn.carrefour.eu/160_01026066_5449000218452_00.jpeg,"4,45€",Per pak,"2,25€",/l
12,Oasis Appel Zwarte Bes Framboos 2 L,https://cdn.carrefour.eu/160_01657481_3124480204127_00.jpeg,"3,69€",Per stuk,"1,85€",/l
13,Oasis Appel Blauwe Bes Framboos 6 x 2 L,https://cdn.carrefour.eu/160_01657491_3124488193973_00.jpeg,"22,09€",Per pak,"1,84€",/l
14,Aquarius Orange 6 x 1500 ml,https://cdn.carrefour.eu/160_04444647_5449000133854_00.jpeg,"20,89€",Per pak,"2,32€",/l
15,Aquarius Orange 1500 ml,https://cdn.carrefour.eu/160_04444651_5449000133847_00.jpeg,"3,49€",Per stuk,"2,33€",/l
16,"Schweppes Zero Agrumes Citrussmaken van Sinaasappel, Pompelmoes 1.5 L",https://cdn.carrefour.eu/160_04421343_3124480002686_00.jpeg,"2,59€",Per stuk,"1,73€",/l
17,Schweppes Zero Agrumes 4 x 1.5 L,https://cdn.carrefour.eu/160_04421342_3124480156822_00.jpeg,"10,35€",Per pak,"1,73€",/l
18,Carrefour Cola Classic 6 x 33 cl,https://cdn.carrefour.eu/160_04323900_3560070777440_00.jpeg,"1,99€",Per pak,"1,01€",/l
19,"Schweppes Agrumes Citrussmaken van Sinaasappel, Pompelmoes,  1.5L",https://cdn.carrefour.eu/160_04421467_3124480002501_00.jpeg,"2,59€",Per stuk,"1,73€",/l
20,Schweppes Agrumes Citrussmaken 4 x 1.5 L,https://cdn.carrefour.eu/160_04421466_3124480156815_00.jpeg,"10,35€",Per pak,"1,73€",/l
21,Coca-Cola Coke Soft drink 12 x 150 ml,https://cdn.carrefour.eu/160_04314019_5449000034229_00.jpeg,"6,69€",Per pak,"3,72€",/l
22,Carrefour Ijsthee Perziksmaak 6 x 33 cl,https://cdn.carrefour.eu/160_04014038_3560070026142_00.jpeg,"2,10€",Per pak,"1,06€",/l
23,Orangina et sa Pulpe! 1.5 L,https://cdn.carrefour.eu/160_01511685_3249760000654_00.jpeg,"2,80€",Per stuk,"1,87€",/l
24,Orangina 6 x 1.5 L,https://cdn.carrefour.eu/160_00883177_5410221708008_00.jpeg,"16,79€",Per pak,"1,87€",/l
25,Coca-Cola Coke Soft drink  1000 ml,https://cdn.carrefour.eu/160_00167709_54490147_00.jpeg,"2,16€",Per stuk,"2,16€",/l
26,Coca-Cola Coke Soft drink 6 x 1 L,https://cdn.carrefour.eu/160_01016895_5449000033376_00.jpeg,"12,95€",Per pak,"2,16€",/l
27,Coca-Cola Coke Soft drink 1500 ml,https://cdn.carrefour.eu/160_00167730_5449000000439_00.jpeg,"2,30€",Per stuk,"1,53€",/l
28,Coca-Cola Coke Soft drink 6 x 1.5 L,https://cdn.carrefour.eu/160_00978614_5449000050564_00.jpeg,"13,79€",Per pak,"1,53€",/l
29,Sprite Lemonade Blik 6 x 330 ml,https://cdn.carrefour.eu/160_01030678_5449000225757_00.jpeg,"4,39€",Per pak,"2,22€",/l
30,Dr Pepper 6 x 33 cl,https://cdn.carrefour.eu/160_01354517_5410221016608_00.jpeg,"5,99€",Per pak,"3,03€",/l
31,Canada Dry Ginger Ale 6 x 1.5 L,https://cdn.carrefour.eu/160_01016863_3124482000307_00.jpeg,"16,69€",Per pak,"1,85€",/l
32,Canada Dry Ginger Ale 1.5 L,https://cdn.carrefour.eu/160_00168478_3124480000378_00.jpeg,"2,79€",Per stuk,"1,86€",/l
33,Fanta Orange Lemonade 6 x 250 ml,https://cdn.carrefour.eu/160_04336842_5449000123916_00.jpeg,"6,39€",Per pak,"4,26€",/l
34,Coca-Cola Cherry Coke Soft drink 6 x 250 ml,https://cdn.carrefour.eu/160_04023372_5449000113672_00.jpeg,"4,79€",Per pak,"3,19€",/l
35,Fanta Orange Lemonade Pet 1500 ml,https://cdn.carrefour.eu/160_00168050_5449000052926_00.jpeg,"2,00€",Per stuk,"1,33€",/l
36,Fanta Orange Lemonade 4 x 1.5 L,https://cdn.carrefour.eu/160_01198529_5449000022042_00.jpeg,"7,99€",Per pak,"1,33€",/l
37,Sprite Lemon Lime Lemonade 1.5 L,https://cdn.carrefour.eu/160_00168199_5449000012203_00.jpeg,"2,10€",Per stuk,"1,40€",/l
38,Sprite Lemonade 4 x 1.5 L,https://cdn.carrefour.eu/160_01198535_5449000019660_00.jpeg,"8,39€",Per pak,"1,40€",/l
39,Fanta Lemon Lemonade 1.5 L,https://cdn.carrefour.eu/160_00167653_5449000001320_00.jpeg,"2,10€",Per stuk,"1,40€",/l
40,Fanta Lemon Lemonade 4 x 1.5 L,https://cdn.carrefour.eu/160_01198540_5449000012401_00.jpeg,"8,39€",Per pak,"1,40€",/l
41,Gini Lemon 6 x 33 cl,https://cdn.carrefour.eu/160_01335721_5410221205354_00.jpeg,"4,39€",Per pak,"2,22€",/l
42,Carrefour Bul'z Soda Sinaasappelsmaak 1.5 L,https://cdn.carrefour.eu/160_01655214_5400101227620_00.jpeg,"0,99€",Per stuk,"0,66€",/l
43,Carrefour Bul'z Soda Sinaasappelsmaak 6 x 1.5 L,https://cdn.carrefour.eu/160_01655192_5400102203630_00.jpeg,"5,94€",Per pak,"0,66€",/l
44,Oasis Multivruchten 2 L,https://cdn.carrefour.eu/160_01656370_3124480216700_00.jpeg,"3,25€",Per stuk,"1,63€",/l
