,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Maxi Zakdoeken Zacht 2-Lagen 180 Stuks,https://cdn.carrefour.eu/160_05019019_3560071080990_00.jpeg,"0,85€",Per stuk,"0,85€",/stuk
1,Carrefour Supreme Confort Aloe Vera 4-Laags 9 Rollen,https://cdn.carrefour.eu/160_04735020_3560070273683_00.jpeg,"4,29€",Per stuk,"0,48€",/stuk
2,Carrefour Ultra Absorberend XXL Keukenpapier 3 Lagen 2 Rollen,https://cdn.carrefour.eu/160_05446676_3560070809950_00.jpeg,"1,79€",Per stuk,"0,90€",/stuk
3,Carrefour Ultra Absorberend Keukenpapier 3-Lagen 4 Rollen,https://cdn.carrefour.eu/160_05446771_3560070809981_00.jpeg,"2,19€",Per stuk,"0,55€",/stuk
4,Carrefour Ultra Absorberend Keukenpapier 3-Lagen 6 Rollen,https://cdn.carrefour.eu/160_05446800_3560070818822_00.jpeg,"2,99€",Per stuk,"0,50€",/stuk
5,Carrefour Maxi Roll Keukenpapier 2-Lagen,https://cdn.carrefour.eu/160_05446835_3560070269891_00.jpeg,"4,99€",Per stuk,"4,99€",/stuk
6,Carrefour Ultra Confort 3-Laags met motieven 12 Rollen,https://cdn.carrefour.eu/160_04553631_3560070150403_00.jpeg,"3,85€",Per stuk,"0,32€",/stuk
7,Carrefour Confort 2-Laags 12 Rollen,https://cdn.carrefour.eu/160_06063552_3560070332557_00.jpeg,"3,49€",Per stuk,"0,29€",/stuk
8,Carrefour Eco Planet Keukenpapier Compact 2 Lagen 2 Rollen,https://cdn.carrefour.eu/160_05964131_3560070180738_00.jpeg,"1,99€",Per stuk,"1,00€",/stuk
9,Carrefour Eco Planet Toiletpapier Compact 2 Lagen 4 Rollen,https://cdn.carrefour.eu/160_05964133_3560070180707_00.jpeg,"1,99€",Per stuk,"1,99€",/stuk
10,Carrefour Ultra Confort 3-Laags 12 Rollen,https://cdn.carrefour.eu/160_04552653_3560070217427_00.jpeg,"3,85€",Per stuk,"0,32€",/stuk
11,Carrefour Supreme Confort 5-Laags 6 Rollen,https://cdn.carrefour.eu/160_05250654_3560070381388_00.jpeg,"3,45€",Per stuk,"0,58€",/stuk
12,Carrefour Confort Compact 2-Laags 6 Rollen,https://cdn.carrefour.eu/160_04908467_3560070373215_00.jpeg,"3,15€",Per stuk,"0,53€",/stuk
13,Carrefour Mini Confort 4-Lagen 15 Pakjes Zakdoeken,https://cdn.carrefour.eu/160_04828660_3560070316991_00.jpeg,"1,35€",Per stuk,"1,35€",/stuk
14,Carrefour Supreme Confort Hibiscus Orchidea 4-Laags 9 Rollen,https://cdn.carrefour.eu/160_04814177_3560070282418_00.jpeg,"4,29€",Per stuk,"0,48€",/stuk
15,Carrefour Aloe Vera Vochtig Toiletpapier Duo Pack 2 x 42 Stuks,https://cdn.carrefour.eu/160_06420736_3560071191566_00.jpeg,"1,35€",Per pak,"0,02€",/stuk
16,Carrefour Sensitive Vochtig Toiletpapier Duo pack 2 x 42 Stuks,https://cdn.carrefour.eu/160_06473688_3560071191559_00.jpeg,"1,35€",Per pak,"0,02€",/stuk
17,Carrefour Sensitive Vochtig Toiletpapier 70 Stuks,https://cdn.carrefour.eu/160_06473689_3560071191498_00.jpeg,"1,15€",Per stuk,"0,02€",/stuk
18,Carrefour Soft Toilette Billendoekjes Parfum Meloen 2 x 60 Stuks,https://cdn.carrefour.eu/160_06756949_3560071298166_00.jpeg,"3,30€",Per pak,"1,65€",/stuk
19,12 Maxi Rollen Toiletpapier,https://cdn.carrefour.eu/160_04908465_3560070409112_00.jpeg,"3,59€",Per stuk,"0,30€",/stuk
20,Cosynel The Original premium Blauw 3 Lagen Toiletpapier 18 Rollen,https://cdn.carrefour.eu/160_05111797_8004260230940_00.jpeg,"10,59€",Per stuk,"0,59€",/stuk
21,6 Maxi Keukenrollen Dubbele Dikte,https://cdn.carrefour.eu/160_04907346_3560070409143_00.jpeg,"2,95€",Per stuk,"0,49€",/stuk
22,Cosynel The Original Premium Wit 3 Lagen Toiletpapier 9 Rollen,https://cdn.carrefour.eu/160_01430879_8004260231060_00.jpeg,"5,99€",Per stuk,"0,67€",/stuk
23,Okay Original Wit 8 Rollen,https://cdn.carrefour.eu/160_05452196_3133200190473_00.jpeg,"8,49€",Per stuk,"1,06€",/stuk
24,Nalys Soft Toiletpapier Family Pack 18 Rollen,https://cdn.carrefour.eu/160_05243613_8004260236942_00.jpeg,"8,29€",Per stuk,"0,46€",/stuk
25,Okay Adapt' Keukenpapier 3 Rollen,https://cdn.carrefour.eu/160_05349350_3133200078252_00.jpeg,"3,29€",Per stuk,"1,10€",/stuk
26,8 Rollen Toiletpapier 4-Laags,https://cdn.carrefour.eu/160_05679486_3560071007188_00.jpeg,"2,85€",Per stuk,"0,36€",/stuk
27,Okay Decor Collector Keukenpapier 6 Rollen,https://cdn.carrefour.eu/160_05567712_3133200091725_00.jpeg,"7,15€",Per stuk,"1,19€",/stuk
28,Nalys Ultra Soft Toiletpapier 2 Lagen 6 Rollen,https://cdn.carrefour.eu/160_05436830_8004260223768_00.jpeg,"4,09€",Per stuk,"1,02€",/stuk
29,Okay Decor 8 Rollen,https://cdn.carrefour.eu/160_05458968_3133200191616_00.jpeg,"8,49€",Per stuk,"1,06€",/stuk
30,Nalys Excellence 5 Zachte Lagen toiletpapier 8 Rollen,https://cdn.carrefour.eu/160_06192238_8004260237031_00.jpeg,"6,65€",Per stuk,"0,83€",/stuk
31,Kleenex Limited Edition 3 Lagen 64 Stuks,https://cdn.carrefour.eu/160_04554240_5029053024516_00.jpeg,"4,39€",Per stuk,"4,39€",/stuk
32,Kleenex Balsam Zakdoeken 4-Laags 12 Stuks,https://cdn.carrefour.eu/160_05215268_5029053001142_00.jpeg,"3,29€",Per stuk,"3,29€",/stuk
33,Okay Original Extra Long Keukenpapier Wit 2 Rollen,https://cdn.carrefour.eu/160_04911819_3133200044400_00.jpeg,"3,59€",Per stuk,"1,80€",/stuk
34,Kleenex Collection Zakdoeken 4-Laags 15 Stuks,https://cdn.carrefour.eu/160_04842920_5029053028620_00.jpeg,"3,75€",Per stuk,"3,75€",/stuk
35,Okay Decor 3 Rollen,https://cdn.carrefour.eu/160_01365052_7322540926668_00.jpeg,"3,25€",Per stuk,"1,08€",/stuk
36,Cosynel The Original Premium Blauw 3 Lagen Toiletpapier 4 Rollen,https://cdn.carrefour.eu/160_01160429_8004260231008_00.jpeg,"4,25€",Per stuk,"1,06€",/stuk
37,Okay Original Keukenpapier Wit 3 Rollen,https://cdn.carrefour.eu/160_01392194_3133200133807_00.jpeg,"3,25€",Per stuk,"1,08€",/stuk
38,Nalys Absorb Keukenpapier 4 Maxi-Rollen (4R=8R),https://cdn.carrefour.eu/160_06249007_8004260272674_00.jpeg,"9,99€",Per stuk,"2,50€",/stuk
39,Tempo Complete Care 4-Lagen 10 x 9 Stuks,https://cdn.carrefour.eu/160_05621491_7322540786545_00.jpeg,"3,09€",Per stuk,"3,09€",/stuk
40,Nalys Aloe Vera 3 Lagen 80 Stuks,https://cdn.carrefour.eu/160_05442892_8004260234399_00.jpeg,"2,65€",Per stuk,"2,65€",/stuk
41,Nalys Ultra Soft Pocket 4 Lagen 24 Zakdoeken,https://cdn.carrefour.eu/160_05447477_8004260237093_00.jpeg,"5,29€",Per stuk,"5,29€",/stuk
42,Nalys Aloe Vera 4 Lagen 15 Zakdoeken,https://cdn.carrefour.eu/160_05492171_8004260248051_00.jpeg,"4,65€",Per stuk,"4,65€",/stuk
43,Nalys Resist Keukenrol 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06219968_8004260272575_00.jpeg,"5,29€",Per stuk,"2,65€",/stuk
44,Nalys Absorb Keukenpapier 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06220126_8004260272599_00.jpeg,"5,15€",Per stuk,"2,58€",/stuk
45,Nalys Wish Keukenpapier 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06220142_8004260272650_00.jpeg,"4,89€",Per stuk,"2,45€",/stuk
46,Nalys Blitz Keukenrol Papieren Verpakking 1 Rol,https://cdn.carrefour.eu/160_05800071_8004260248150_00.jpeg,"4,19€",Per stuk,"4,19€",/stuk
47,Tempo Zakdoeken 4-Lagen 30 x 10 Stuks,https://cdn.carrefour.eu/160_05742956_7322540788709_00.jpeg,"5,65€",Per stuk,"5,65€",/stuk
48,Scottex Toiletpapier Aloe Vera 9 Luxe Rollen,https://cdn.carrefour.eu/160_06219669_5029053572482_00.jpeg,"6,19€",Per stuk,"0,69€",/stuk
49,Nalys Resist Keukenrol 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06219968_8004260272575_00.jpeg,"5,29€",Per stuk,"2,65€",/stuk
50,Nalys Absorb Keukenpapier 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06220126_8004260272599_00.jpeg,"5,15€",Per stuk,"2,58€",/stuk
51,Nalys Wish Keukenpapier 2 Maxi Rollen (2R=4R),https://cdn.carrefour.eu/160_06220142_8004260272650_00.jpeg,"4,89€",Per stuk,"2,45€",/stuk
52,Pampers Aqua Pure Babydoekjes 9 Verpakkingen = 432 Babydoekjes,https://cdn.carrefour.eu/160_06506697_8001841247144_00.jpeg,"25,49€",Per pak,"25,49€",/stuk
53,Nalys Love 3 Lagen Keukenpapier 3 Rollen,https://cdn.carrefour.eu/160_06639971_8004260294898_00.jpeg,"3,69€",Per stuk,"1,23€",/stuk
54,Cosynel Gold Aloe Vera 3 lagen toiletpapier 6 rollen,https://cdn.carrefour.eu/160_06643054_8004260294928_00.jpeg,"6,35€",Per stuk,"1,06€",/stuk
55,Scottex Complete Clean Décor Toiletpapier Value Pack 24 Rollen,https://cdn.carrefour.eu/160_06647133_5029053576510_00.jpeg,"11,49€",Per stuk,"0,48€",/stuk
56,Scottex Complete Clean White 9r,https://cdn.carrefour.eu/160_06647130_5029053576466_00.jpeg,"5,45€",Per stuk,"0,61€",/stuk
57,Okay Zonder Koker 2 Rollen (2r=6r) Maxi,https://cdn.carrefour.eu/160_06642342_7322541321455_00.jpeg,"6,95€",Per stuk,"3,48€",/stuk
58,Tempo Doos Zakdoeken Original 4-Laags 60 Stuks,https://cdn.carrefour.eu/160_06691111_7322541409276_00.jpeg,"2,20€",Per stuk,"2,20€",/stuk
59,Okay Original Wit Keukenpapier 6 Rollen,https://cdn.carrefour.eu/160_06470838_7322540926729_00.jpeg,"6,45€",Per stuk,"1,08€",/stuk
60,Scottex Toiletpapier Kussenzacht 6 Luxe Rollen,https://cdn.carrefour.eu/160_06714579_5029053578484_00.jpeg,"3,69€",Per stuk,"0,62€",/stuk
61,Scottex Toiletpapier Kussenzacht Style 12 Rollen,https://cdn.carrefour.eu/160_06714582_5029053578514_00.jpeg,"9,25€",Per stuk,"0,77€",/stuk
62,Scottex Toiletpapier Kussenzacht 18 Rollen,https://cdn.carrefour.eu/160_06714583_5029053578491_00.jpeg,"10,05€",Per stuk,"0,56€",/stuk
63,Cosynel Papieren Handdoeken 100 Stuks,https://cdn.carrefour.eu/160_06795262_8004260295055_00.jpeg,"3,09€",Per stuk,"3,09€",/stuk
64,Kleenex Collection Box 48 Stuks,https://cdn.carrefour.eu/160_06753298_5029053038759_00.jpeg,"2,28€",Per stuk,"2,28€",/stuk
65,Kleenex Family pack 128 vellen,https://cdn.carrefour.eu/160_06753266_5029053579276_00.jpeg,"2,32€",Per stuk,"2,32€",/stuk
66,Kleenex The Original 3-Laags 72 Stuks,https://cdn.carrefour.eu/160_06759988_5029053579160_00.jpeg,"1,98€",Per stuk,"1,98€",/stuk
67,Kleenex balsam tissues 2 x 56 vellen,https://cdn.carrefour.eu/160_06752427_5029053579399_00.jpeg,"4,15€",Per pak,"2,08€",/stuk
68,Kleenex Natural Fresh Natural Eucalyptus and Menthol 3-Laags 64 Stuks,https://cdn.carrefour.eu/160_06759989_5029053579368_00.jpeg,"2,28€",Per stuk,"2,28€",/stuk
69,Kleenex Ultra Soft 64 Stuks,https://cdn.carrefour.eu/160_06758609_5029053579290_00.jpeg,"2,59€",Per stuk,"2,59€",/stuk
70,Kleenex Ultra Soft 3-Laags Duo Pack 2 x 64 Stuks,https://cdn.carrefour.eu/160_06758610_5029053579320_00.jpeg,"5,15€",Per pak,"2,58€",/stuk
71,Kleenex The Original 3-Laags 3 x 72 Stuks,https://cdn.carrefour.eu/160_06758367_5029053579177_00.jpeg,"4,85€",Per pak,"1,62€",/stuk
72,Kleenex The Original 3-Laags 2 x 72 Stuks,https://cdn.carrefour.eu/160_06758365_5029053579221_00.jpeg,"3,29€",Per pak,"1,65€",/stuk
73,Kleenex Ultra-Clean Maxi XL 2 Rollen,https://cdn.carrefour.eu/160_06817621_5029053581620_00.jpeg,"3,69€",Per stuk,"1,85€",/stuk
