,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Délio Kip Curry 200 g,https://cdn.carrefour.eu/160_01863646_5411153010153_00.jpeg,"3,69€",Per stuk,"18,45€",/kg
1,Délio Vleessalade 200 g,https://cdn.carrefour.eu/160_01863332_5411153010115_00.jpeg,"2,64€",Per stuk,"13,20€",/kg
2,Délio Tonijn 180 g,https://cdn.carrefour.eu/160_05303384_5411153009089_00.jpeg,"3,55€",Per stuk,"19,72€",/kg
3,Délio Kipsalade 200 g,https://cdn.carrefour.eu/160_01863624_5411153010139_00.jpeg,"3,69€",Per stuk,"18,45€",/kg
4,Carrefour Extra Lasagne Bolognese 1 kg,https://cdn.carrefour.eu/160_04871444_5400101008274_00.jpeg,"3,99€",Per stuk,"3,99€",/kg
5,Carrefour The Market Traiteur Gourmet Kaas & Hamrollen 320 g,https://cdn.carrefour.eu/160_05479792_5400101036765_00.jpeg,"4,00€",Per stuk,"12,50€",/kg
6,Carrefour Pizza Bolognese 350 g,https://cdn.carrefour.eu/160_04873332_5400101008779_00.jpeg,"1,35€",Per stuk,"3,86€",/kg
7,Carrefour The Market Traiteur Trattoria Spaghetti Bolognese 400 g,https://cdn.carrefour.eu/160_04783604_5420028553138_00.jpeg,"5,00€",Per stuk,"12,50€",/kg
8,Carrefour The Market Traiteur Trattoria Linguine Carbonara 400 g,https://cdn.carrefour.eu/160_04783605_5420028553152_00.jpeg,"5,00€",Per stuk,"12,50€",/kg
9,Carrefour Traiteur World Kip Tikka Massala 350 g,https://cdn.carrefour.eu/160_05278664_5400101026797_00.jpeg,"4,00€",Per stuk,"11,43€",/kg
10,Carrefour Bio Ravioli Spinazie Ricotta 250 g,https://cdn.carrefour.eu/160_05939086_5400101059658_00.jpeg,"3,39€",Per stuk,"13,56€",/kg
11,Carrefour The Market Focaccia Knoflook & Mozzarella Traiteur 4 x 70 g,https://cdn.carrefour.eu/160_05363833_5400101031210_00.jpeg,"3,00€",Per stuk,"10,71€",/kg
12,Carrefour Extra Moussaka 400 g,https://cdn.carrefour.eu/160_04417158_5400101239357_00.jpeg,"2,49€",Per stuk,"6,23€",/kg
13,Carrefour Extra Lasagne Bolognese 400 g,https://cdn.carrefour.eu/160_04871440_5400101008267_00.jpeg,"2,09€",Per stuk,"5,23€",/kg
14,Carrefour Vol au Vent 500 g,https://cdn.carrefour.eu/160_01613848_5400101021129_00.jpeg,"5,00€",Per stuk,"10,00€",/kg
15,Carrefour Extra Lasagne Verde 400 g,https://cdn.carrefour.eu/160_04417156_5400101239333_00.jpeg,"1,55€",Per stuk,"3,88€",/kg
16,Carrefour Original Puree Aardappel met Boter 500 g,https://cdn.carrefour.eu/160_05077131_5400101002548_00.jpeg,"2,49€",Per stuk,"4,98€",/kg
17,Carrefour The Market Traiteur Gourmet Quiche Broccoli & Zalm 300 g,https://cdn.carrefour.eu/160_05092734_5400101019973_00.jpeg,"4,00€",Per stuk,"13,33€",/kg
18,"Carrefour La Pizza Emmentaler, Ham, Champignons 450 g",https://cdn.carrefour.eu/160_05225810_3560071083786_00.jpeg,"1,99€",Per stuk,"4,42€",/kg
19,Carrefour Spaghetti Bolognese 400 g,https://cdn.carrefour.eu/160_04811895_5400101016019_00.jpeg,"2,25€",Per stuk,"5,63€",/kg
20,Carrefour Macaroni Gratin 400 g,https://cdn.carrefour.eu/160_04852930_5400101005662_00.jpeg,"1,75€",Per stuk,"4,38€",/kg
21,Carrefour The Market Focaccia met Knoflook Traiteur 220 g,https://cdn.carrefour.eu/160_04442769_5400101040335_00.jpeg,"3,00€",Per stuk,"3,00€",/stuk
22,Carrefour Extra 4 Formaggi 180 g,https://cdn.carrefour.eu/160_05627277_5400101261051_00.jpeg,"2,29€",Per stuk,"12,72€",/kg
23,Carrefour Extra Pomodoro Mascarpone 200 g,https://cdn.carrefour.eu/160_05627340_5400101261242_00.jpeg,"1,99€",Per stuk,"9,95€",/kg
24,"Carrefour Lunch Time Pasta Erwten, Feta, Pestosaus en Pitten 200 g",https://cdn.carrefour.eu/160_05643076_5400101043527_00.jpeg,"3,50€",Per stuk,"17,50€",/kg
25,Carrefour Extra Tortellini Ricotta e Spinaci 250 g,https://cdn.carrefour.eu/160_05626867_5400101258938_00.jpeg,"1,39€",Per stuk,"5,56€",/kg
26,Carrefour Original Pasta Fresca Tagliatelle 500 g,https://cdn.carrefour.eu/160_05626888_5400101259072_00.jpeg,"1,99€",Per stuk,"3,98€",/kg
27,Carrefour Tortellini Prosciutto Crudo 250 g,https://cdn.carrefour.eu/160_05626890_5400101259423_00.jpeg,"1,55€",Per stuk,"6,20€",/kg
28,Carrefour La Pizza Geitenkaas - Gerookte Spekblokjes 450 g,https://cdn.carrefour.eu/160_05647359_3560071083793_00.jpeg,"2,75€",Per stuk,"6,11€",/kg
29,Carrefour Original Pasta Fresca Spaghetti all'Uovo 250 g,https://cdn.carrefour.eu/160_05626891_5400101259430_00.jpeg,"1,39€",Per stuk,"5,56€",/kg
30,Carrefour Extra Tortellini Pesto 250 g,https://cdn.carrefour.eu/160_05626893_5400101259454_00.jpeg,"1,79€",Per stuk,"7,16€",/kg
31,Carrefour Extra Tortellini Ricotta e Spinaci 500 g,https://cdn.carrefour.eu/160_05626894_5400101259508_00.jpeg,"1,99€",Per stuk,"3,98€",/kg
32,Carrefour Gazpacho 1 L,https://cdn.carrefour.eu/160_05725100_3245413852540_00.jpeg,"2,45€",Per stuk,"2,45€",/l
33,Carrefour Préparé van de Chef Bruschetta 0.150 kg,https://cdn.carrefour.eu/160_05723268_5400101048355_00.jpeg,"2,50€",Per stuk,"16,67€",/kg
