,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour  All in 1 Vaatwastabletten 45 x 15 g,https://cdn.carrefour.eu/160_06076589_3560071152703_00.jpeg,"3,59€",Per stuk,"3,59€",/stuk
1,Carrefour Sponzen Delicate Oppervlakken 2 Stuks,https://cdn.carrefour.eu/160_04001953_3270190131526_00.jpeg,"1,29€",Per stuk,"1,29€",/stuk
2,Carrefour Regenereerzout Zout voor Vaatwasmachine 4 x 1 kg,https://cdn.carrefour.eu/160_01706691_3560070134359_00.jpeg,"2,49€",Per stuk,"0,62€",/kg
3,Carrefour Sponzen Intensief Schuren 2 Stuks,https://cdn.carrefour.eu/160_04001928_3270190138815_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
4,Carrefour Sponzen Badkamer - 2 Stuks,https://cdn.carrefour.eu/160_04001931_3245411836290_00.jpeg,"1,75€",Per stuk,"1,75€",/stuk
5,Carrefour Bollen Inox 2 x 18 g,https://cdn.carrefour.eu/160_05840142_3560071009878_00.jpeg,"0,69€",Per stuk,"0,69€",/stuk
6,Carrefour Essential Afwasmiddel  Vruchtenazijn Appel Ontvettend 750 ml,https://cdn.carrefour.eu/160_05885765_3560071241032_00.jpeg,"1,49€",Per stuk,"1,99€",/l
7,Carrefour Expert Power Clean Schuursponzen 3 Stuks,https://cdn.carrefour.eu/160_05383107_3560070715336_00.jpeg,"0,65€",Per stuk,"0,65€",/stuk
8,Carrefour Expert Power Clean Afwasmiddel Ontvettend 500 ml,https://cdn.carrefour.eu/160_05981767_3560071246150_00.jpeg,"0,85€",Per stuk,"1,70€",/l
9,Carrefour Afwasmiddel Gevoelige Huid 500 ml,https://cdn.carrefour.eu/160_05882471_3560071188931_00.jpeg,"0,85€",Per stuk,"1,70€",/l
10,Carrefour All in 1 Vaatwastabletten 30 x 15 g,https://cdn.carrefour.eu/160_05609424_3560071152710_00.jpeg,"2,89€",Per stuk,"0,10€",/dosis
11,Carrefour Expert Power Clean Afwasmiddel 500 ml,https://cdn.carrefour.eu/160_05981958_3560071246143_00.jpeg,"0,85€",Per stuk,"1,70€",/l
12,Carrefour Triple Action Spoelmiddel 1 L,https://cdn.carrefour.eu/160_04612310_3560071254841_00.jpeg,"2,15€",Per stuk,"2,15€",/l
13,Carrefour Vaatwaspoeder Classic 3 kg,https://cdn.carrefour.eu/160_05845086_3560071152499_00.jpeg,"7,19€",Per stuk,"2,40€",/kg
14,Sun Classic Zout  voor Vaatwasser  Regular tegen kalkaanslag 4 x 1 kg,https://cdn.carrefour.eu/160_01367440_3011610023522_00.jpeg,"5,09€",Per stuk,"1,27€",/kg
15,Ecover Vaatwastabletten Classic Lemon & Lime 70 Stuks 1.4 kg,https://cdn.carrefour.eu/160_05229563_5412533005905_00.jpeg,"17,25€",Per stuk,"12,32€",/kg
16,Frosch Ecological Vaatwastabletten All-in-1 Bicarbonate 30 Stuks 600 g,https://cdn.carrefour.eu/160_05946799_4009175929150_00.jpeg,"10,15€",Per stuk,"0,34€",/dosis
17,Sun Classic Spoelglans voor Vaatwasser  Regular met Ecolabel 1 L,https://cdn.carrefour.eu/160_05172948_8711600741010_00.jpeg,"6,39€",Per stuk,"6,39€",/l
18,"Dreft Platinum Plus All In One Vaatwascapsules Citroen, 29 Capsules",https://cdn.carrefour.eu/160_06580854_8001841972237_00.jpeg,"15,59€",Per stuk,"0,54€",/dosis
19,Scotch-Brite Groene Schuurspons 2 Stuks,https://cdn.carrefour.eu/160_00176301_4046719707386_00.jpeg,"3,75€",Per stuk,"1,88€",/stuk
20,Finish Vaatwasmachine Zout 4 kg,https://cdn.carrefour.eu/160_01349945_5410286125802_00.jpeg,"4,59€",Per stuk,"1,15€",/kg
21,Schuursponsen Gekleurde 10 Stuks,https://cdn.carrefour.eu/160_05168498_3560070594085_00.jpeg,"0,45€",Per stuk,"0,45€",/stuk
22,Vileda Sponsdoek Magic Spongidou Soft 3 Stuks,https://cdn.carrefour.eu/160_01111984_5410208626059_00.jpeg,"2,44€",Per stuk,"2,44€",/stuk
23,Vileda Pur Active Colors 4 Stuks,https://cdn.carrefour.eu/160_05628931_4023103189539_00.jpeg,"2,28€",Per stuk,"2,28€",/stuk
24,Schuursponsen Gekleurde 10 Stuks,https://cdn.carrefour.eu/160_05168498_3560070594085_00.jpeg,"0,45€",Per stuk,"0,45€",/stuk
25,Scotch-Brite Extreme Sponge Scourer 2 Stuks,https://cdn.carrefour.eu/160_05670507_4054596021655_00.jpeg,"4,75€",Per stuk,"4,75€",/stuk
26,Finish Vaatwasser Verfrisser Citroen 120 Wasbeurten 2x 4 ml,https://cdn.carrefour.eu/160_04018911_8002910038960_00.jpeg,"6,09€",Per stuk,"6,09€",/stuk
27,Sun Classic Vaatwastablet Citroen 60 Tabletten,https://cdn.carrefour.eu/160_06145457_8710522444832_00.jpeg,"13,45€",Per stuk,"0,22€",/dosis
28,Sun All-in One Vaatwastabletten Deep Clean & Protect 45 Tabs,https://cdn.carrefour.eu/160_06397111_8710522628768_00.jpeg,"16,19€",Per stuk,"0,37€",/dosis
29,Sun All-in One Vaatwastabletten Hygiëne met Ecolabel 100 tabs,https://cdn.carrefour.eu/160_06397134_8710522628805_00.jpeg,"32,65€",Per stuk,"0,34€",/dosis
30,Seventh Generation All-in One Vaatwastabletten Free and Clear 24 Tabs,https://cdn.carrefour.eu/160_06431643_8717163711125_01.jpeg,"8,55€",Per stuk,"0,36€",/dosis
