,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Iglo Green Cuisine Falafel 450g,https://cdn.carrefour.eu/160_06527120_5414807006960_00.jpeg,"4,25€",Per stuk,"9,44€",/kg
1,Iglo Green Cuisine Groenten Sticks 284 g,https://cdn.carrefour.eu/160_06728369_5414807007301_00.jpeg,"2,64€",Per stuk,"9,30€",/kg
2,"Carrefour Veggie Burgers Tarwe, Spinazie, Emmentaler 4 Stuks 400 g",https://cdn.carrefour.eu/160_05638698_3560070995905_00.jpeg,"4,20€",Per stuk,"10,50€",/kg
3,Carrefour Veggie Lasagne Type Bolognese Groenten & Tarwe 600 g,https://cdn.carrefour.eu/160_06440777_3560071240509_00.jpeg,"4,29€",Per stuk,"7,15€",/kg
4,Carrefour Veggie Falafels Kikkererwten Groentjes 30 Stuks 510 g,https://cdn.carrefour.eu/160_05674763_3560070995875_00.jpeg,"6,49€",Per stuk,"12,73€",/kg
5,Carrefour Classic' Soep Pompoen & Butternutpompoen 600 g,https://cdn.carrefour.eu/160_06098321_5400101070646_00.jpeg,"2,49€",Per stuk,"4,15€",/kg
6,Carrefour Mozzarella Sticks 250 g,https://cdn.carrefour.eu/160_06630870_3560071018337_00.jpeg,"2,79€",Per stuk,"11,16€",/kg
7,Carrefour Extra 5 Fromaggi 390 g,https://cdn.carrefour.eu/160_06741661_3560071422820_00.jpeg,"2,49€",Per stuk,"6,38€",/kg
8,Carrefour Classic' Soep Erwten & Spek 600 g,https://cdn.carrefour.eu/160_06565443_5400101082243_00.jpeg,"2,85€",Per stuk,"4,75€",/kg
9,Carrefour Classic' Soep Kervel 600 g,https://cdn.carrefour.eu/160_06565445_5400101082250_00.jpeg,"2,49€",Per stuk,"4,15€",/kg
10,Carrefour Classic' Romige Soep Tomaten met Balletjes 600 g,https://cdn.carrefour.eu/160_06565446_5400101082267_00.jpeg,"2,85€",Per stuk,"4,75€",/kg
11,Mora Apéro Mini Loempia's Vegetarisch 18 x 20 g met Saus 2 x 25 g,https://cdn.carrefour.eu/160_01301533_5410341972747_00.jpeg,"8,35€",Per stuk,"23,19€",/kg
12,Dr. Oetker Pizza La Margherita Classica 265 g,https://cdn.carrefour.eu/160_04025140_4001724604501_00.jpeg,"2,61€",Per stuk,"9,85€",/kg
13,Dr. Oetker Pizza Ristorante Quattro Formaggi 340 g,https://cdn.carrefour.eu/160_01666848_4001724038870_00.jpeg,"2,19€",Per stuk,"6,44€",/kg
14,McCain Airfyer Allumettes 500 g,https://cdn.carrefour.eu/160_06051423_8710438112450_00.jpeg,"3,49€",Per stuk,"6,98€",/kg
15,McCain Airfryer klassiek 500g,https://cdn.carrefour.eu/160_06271335_8710438117202_00.jpeg,"3,29€",Per stuk,"6,58€",/kg
16,Dr. Oetker Pizza Ristorante Funghi 365 g,https://cdn.carrefour.eu/160_01369087_4001724038931_00.jpeg,"3,05€",Per stuk,"8,36€",/kg
17,Dr. Oetker Pizza Ristorante Vegetale Piccante 350 g,https://cdn.carrefour.eu/160_04676082_4001724039266_00.jpeg,"3,85€",Per stuk,"10,19€",/kg
18,Iglo Velouté van Asperges 350 g,https://cdn.carrefour.eu/160_00182315_5410148559509_00.jpeg,"3,39€",Per stuk,"9,69€",/kg
19,Iglo Kervelvelouté 350 g,https://cdn.carrefour.eu/160_00182339_5410148559707_00.jpeg,"3,39€",Per stuk,"9,69€",/kg
20,Iglo Tomatenvelouté 350 g,https://cdn.carrefour.eu/160_00182346_5410148559806_00.jpeg,"3,39€",Per stuk,"9,69€",/kg
21,Iglo Green Cuisine 4 Groenteburgers 450 g,https://cdn.carrefour.eu/160_01208502_5410148453500_00.jpeg,"4,65€",Per stuk,"10,33€",/kg
22,Dr. Oetker Pizza Ristorante Spinaci 390 g,https://cdn.carrefour.eu/160_01382482_4001724039020_00.jpeg,"2,58€",Per stuk,"6,62€",/kg
23,Dr. Oetker Ristorante Pizza Vegetale 385 g,https://cdn.carrefour.eu/160_01655207_4001724039143_00.jpeg,"3,85€",Per stuk,"10,41€",/kg
