,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Violife Gouda Flavour Slices 10 Plakjes 200 g,https://cdn.carrefour.eu/160_01612426_5202390024368_00.jpeg,"3,70€",Per stuk,"18,50€",/kg
1,Violife Original Flavour Grated 200 g,https://cdn.carrefour.eu/160_01612420_5202390018855_00.jpeg,"3,70€",Per stuk,"18,50€",/kg
2,Violife Greek White Block 230 g,https://cdn.carrefour.eu/160_01612434_5202390020407_00.jpeg,"3,15€",Per stuk,"15,75€",/kg
3,Carrefour The Market Traiteur Gourmet Quiche Groenten uit Zuiden 300 g,https://cdn.carrefour.eu/160_05092759_5400101019980_00.jpeg,"4,00€",Per stuk,"13,33€",/kg
4,Carrefour The Market Focaccia met Knoflook Traiteur 220 g,https://cdn.carrefour.eu/160_04442769_5400101040335_00.jpeg,"3,00€",Per stuk,"3,00€",/stuk
5,Carrefour Classic' Veggy Fruit Mix 150 g,https://cdn.carrefour.eu/160_06154340_5400101071124_00.jpeg,"1,29€",Per stuk,"8,60€",/kg
6,Carrefour The Market Focaccia Zeezout & Rozemarijn Traiteur 150 g,https://cdn.carrefour.eu/160_05342263_5400101030190_00.jpeg,"1,50€",Per stuk,"10,00€",/kg
7,Carrefour The Market Focaccia Rode Paprika's & Olijven Traiteur 230 g,https://cdn.carrefour.eu/160_05206697_5400101023437_00.jpeg,"3,00€",Per stuk,"13,04€",/kg
8,Carrefour Original Pasta Fresca Tagliatelle 500 g,https://cdn.carrefour.eu/160_05626888_5400101259072_00.jpeg,"1,99€",Per stuk,"3,98€",/kg
9,Carrefour Original Pasta Fresca Spaghetti all'Uovo 250 g,https://cdn.carrefour.eu/160_05626891_5400101259430_00.jpeg,"1,39€",Per stuk,"5,56€",/kg
10,Carrefour The Market Focaccia Knoflook & Mozzarella Traiteur 4 x 70 g,https://cdn.carrefour.eu/160_05363833_5400101031210_00.jpeg,"3,00€",Per stuk,"10,71€",/kg
11,"Carrefour Veggie Nuggets Tarwe, Ui 200 g",https://cdn.carrefour.eu/160_01614348_3560070998753_00.jpeg,"2,75€",Per stuk,"13,75€",/kg
12,"Carrefour Veggie Sojaballetjes Tomaat, Basilicum  x 12 Ongeveer 200 g",https://cdn.carrefour.eu/160_01614364_3560071006471_00.jpeg,"2,75€",Per stuk,"13,75€",/kg
13,"Carrefour Veggie Burgers Quinoa, Bulgur, Tomaat, Paprika, Basilicum 2 x 100 g",https://cdn.carrefour.eu/160_01614368_3560070998630_00.jpeg,"2,95€",Per stuk,"14,75€",/kg
14,"Carrefour Veggie Bolo Saus Tomaat, Groentjes 500 g",https://cdn.carrefour.eu/160_01613906_5400101076532_00.jpeg,"5,00€",Per stuk,"10,00€",/kg
15,Carrefour Veggie Vol-au-Vent Parijse Champignons 500 g,https://cdn.carrefour.eu/160_01613908_5400101076549_00.jpeg,"6,00€",Per stuk,"12,00€",/kg
16,Carrefour Veggie Spread Préparé 150 g,https://cdn.carrefour.eu/160_01613898_5400101076259_00.jpeg,"1,89€",Per stuk,"12,60€",/kg
17,Carrefour Veggie Spread Martino 150 g,https://cdn.carrefour.eu/160_01613914_5400101076525_00.jpeg,"1,79€",Per stuk,"11,93€",/kg
18,"Carrefour Veggie Sojasteaks Tomaat, Basilicum 200 g",https://cdn.carrefour.eu/160_01614788_3560071006495_00.jpeg,"2,75€",Per stuk,"13,75€",/kg
19,Carrefour Veggie Veganaise Saus 300 ml,https://cdn.carrefour.eu/160_06317062_5400101075245_01.jpeg,"2,09€",Per stuk,"6,97€",/l
20,Carrefour Classic' Chicken Burger met Gouda 2 Stuks 270 g,https://cdn.carrefour.eu/160_06721128_5400101088238_00.jpeg,"2,49€",Per stuk,"9,22€",/kg
21,Carrefour Original Pasta Fresca Tagliatelle all'Uovo 250 g,https://cdn.carrefour.eu/160_05626892_5400101259447_00.jpeg,"1,09€",Per stuk,"4,36€",/kg
22,Vivera Vegetarische Kaasschnitzel 150 g,https://cdn.carrefour.eu/160_01613338_8718300878510_01.jpeg,"2,99€",Per stuk,"19,93€",/kg
23,Vivera Vegan Nuggets 200 g,https://cdn.carrefour.eu/160_01613428_8718300882319_00.jpeg,"3,99€",Per stuk,"19,95€",/kg
24,Garden Gourmet Vegetarische Burger Deluxe x2 180 g,https://cdn.carrefour.eu/160_01614738_7290012806940_00.jpeg,"3,30€",Per stuk,"18,33€",/kg
25,SoFine Tofu Naturel 250 g,https://cdn.carrefour.eu/160_01614946_8718885890198_00.jpeg,"2,00€",Per stuk,"8,00€",/kg
26,Aubel 4 Gehaktballen met Groenten 300 g,https://cdn.carrefour.eu/160_06022964_5410459027650_00.jpeg,"3,75€",Per stuk,"3,75€",/stuk
