,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Baby Maxi Coton x 80,https://cdn.carrefour.eu/160_05298437_3560071177478_00.jpeg,"2,49€",Per stuk,"2,49€",/stuk
1,Carrefour Baby Wattenstaafjes 50 Stuks,https://cdn.carrefour.eu/160_04642991_3560071182380_00.jpeg,"1,09€",Per stuk,"0,02€",/stuk
2,Carrefour Baby Verzorgende Talkpoeder Voor een delicate huid 250 g,https://cdn.carrefour.eu/160_04986946_3560070435012_00.jpeg,"2,99€",Per stuk,"11,96€",/kg
3,Carrefour Baby Beschermingsdoek x 10,https://cdn.carrefour.eu/160_05041986_3560070219957_00.jpeg,"5,99€",Per stuk,"5,99€",/stuk
4,Carrefour Baby Fresh Doekjes met Aloë Vera 2 x 72 Stuks,https://cdn.carrefour.eu/160_05927943_3560071207502_00.jpeg,"2,29€",Per pak,"1,15€",/stuk
5,Carrefour Baby Soft Borstkompressen 30 Stuks,https://cdn.carrefour.eu/160_05660249_3560071005962_00.jpeg,"2,25€",Per stuk,"2,25€",/stuk
6,Carrefour Baby Liniment Oleo-Kalk 700 ml,https://cdn.carrefour.eu/160_06734689_3560071277123_00.jpeg,"6,99€",Per stuk,"9,99€",/l
7,Carrefour Soft Toilette Billendoekjes Parfum Meloen 2 x 60 Stuks,https://cdn.carrefour.eu/160_06756949_3560071298166_00.jpeg,"3,30€",Per pak,"1,65€",/stuk
8,Carrefour Bio Maxi Carrés Doux Bébé x 60,https://cdn.carrefour.eu/160_05143115_3560070569465_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
9,Carrefour Bio Babydoekjes zonder Parfum 64 Stuks,https://cdn.carrefour.eu/160_06049369_3560071212193_00.jpeg,"2,69€",Per stuk,"2,69€",/stuk
10,Carrefour Baby Sensitive 72 Stuks,https://cdn.carrefour.eu/160_05929037_3560071207359_00.jpeg,"1,19€",Per stuk,"1,19€",/stuk
11,Carrefour Baby Sensitive Doekjes zonder Parfum 2 x 72 Stuks,https://cdn.carrefour.eu/160_05928986_3560071207380_00.jpeg,"2,29€",Per pak,"1,15€",/stuk
12,Pampers Aqua Pure Babydoekjes 3 Verpakkingen = 144 Babydoekjes,https://cdn.carrefour.eu/160_06144070_8001090603388_00.jpeg,"8,95€",Per stuk,"8,95€",/stuk
13,Nivea Baby Pure & Sensitive SOS Crème 150 ml,https://cdn.carrefour.eu/160_01250470_4005808400027_00.jpeg,"6,35€",Per stuk,"42,33€",/l
14,Nivea Baby Happy Bath Shampoo & Bad 200 ml,https://cdn.carrefour.eu/160_01250481_4005808361182_00.jpeg,"5,89€",Per stuk,"29,45€",/l
15,Nivea Baby Extra Soft Zijdezachte Olie 200 ml,https://cdn.carrefour.eu/160_01250488_4005808364190_00.jpeg,"5,09€",Per stuk,"25,45€",/l
16,Nivea Baby Zalf voor de Luierwissel 100 ml,https://cdn.carrefour.eu/160_01250459_4005808360154_00.jpeg,"3,99€",Per stuk,"39,90€",/l
17,Zwitsal Baby Talkpoeder 100 g,https://cdn.carrefour.eu/160_00244266_8712561632065_00.jpeg,"2,26€",Per stuk,"22,60€",/kg
18,Zwitsal Baby Talkpoeder Navulverpakking 100 g,https://cdn.carrefour.eu/160_00244280_8714100140499_00.jpeg,"1,76€",Per stuk,"17,60€",/kg
19,Zwitsal Baby Parfum Eau de Zwitsal 95 ml,https://cdn.carrefour.eu/160_00244538_8711600972285_00.jpeg,"8,15€",Per stuk,"85,79€",/l
20,Zwitsal Baby Body Oil Huidolie 200 ml,https://cdn.carrefour.eu/160_00244545_8711600980181_00.jpeg,"4,69€",Per stuk,"23,45€",/l
21,Zwitsal Goedemorgen Vochtige Washandjes Baby 20 Stuks,https://cdn.carrefour.eu/160_04441931_8711700508483_00.jpeg,"4,39€",Per stuk,"4,39€",/stuk
22,Nivea Baby Toddies 60 Stuks,https://cdn.carrefour.eu/160_04029357_4005808861781_00.jpeg,"2,80€",Per stuk,"0,05€",/stuk
23,Zwitsal Zinkzalf Tube 100 ml,https://cdn.carrefour.eu/160_04491201_8712561632034_00.jpeg,"5,29€",Per stuk,"52,90€",/l
24,Nivea Baby Extra Soft Zijdezachte Olie 200 ml,https://cdn.carrefour.eu/160_01250488_4005808364190_00.jpeg,"5,09€",Per stuk,"25,45€",/l
25,Nivea Baby Zalf voor de Luierwissel 100 ml,https://cdn.carrefour.eu/160_01250459_4005808360154_00.jpeg,"3,99€",Per stuk,"39,90€",/l
26,Zwitsal Baby Talkpoeder 100 g,https://cdn.carrefour.eu/160_00244266_8712561632065_00.jpeg,"2,26€",Per stuk,"22,60€",/kg
27,Zwitsal Baby Talkpoeder Navulverpakking 100 g,https://cdn.carrefour.eu/160_00244280_8714100140499_00.jpeg,"1,76€",Per stuk,"17,60€",/kg
28,Zwitsal Baby Parfum Eau de Zwitsal 95 ml,https://cdn.carrefour.eu/160_00244538_8711600972285_00.jpeg,"8,15€",Per stuk,"85,79€",/l
29,Zwitsal Baby Body Oil Huidolie 200 ml,https://cdn.carrefour.eu/160_00244545_8711600980181_00.jpeg,"4,69€",Per stuk,"23,45€",/l
30,Nivea Baby Reinigingsmelk 500 ml,https://cdn.carrefour.eu/160_05754942_4005900273994_00.jpeg,"5,25€",Per stuk,"10,50€",/l
31,Nivea Baby Happy Hair Shampoo 500 ml,https://cdn.carrefour.eu/160_05750358_4005900271273_00.jpeg,"4,29€",Per stuk,"8,58€",/l
32,Huggies Baby Wipes Pure 56 Stuks,https://cdn.carrefour.eu/160_05923619_5029053550039_00.jpeg,"1,14€",Per stuk,"1,14€",/stuk
33,Dettol 2-in-1 hygiënische doekjes,https://cdn.carrefour.eu/160_06217431_5410036303856_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
34,Bebio Wasgel Lichaam & Haar 250 ml,https://cdn.carrefour.eu/160_06276328_5413393001045_00.jpeg,"6,75€",Per stuk,"27,00€",/l
35,Bebio Babydoekjes Eco ­- Sensitive Aloé Vera & Kamille ­ Bio 72 Stuks,https://cdn.carrefour.eu/160_06276330_5413393001007_00.jpeg,"4,39€",Per stuk,"4,39€",/stuk
36,"Bebio Reinigingswater Gezicht, Lichaam & Billetjes 500 ml",https://cdn.carrefour.eu/160_06276331_5413393001083_00.jpeg,"7,35€",Per stuk,"14,70€",/l
37,Bebio Babydoekjes Eco - Sensitive Calendula & Karité - Bio 72 Stuks,https://cdn.carrefour.eu/160_06276332_5413393001038_00.jpeg,"4,25€",Per stuk,"4,25€",/stuk
38,Zwitsal Badolie Baby 200 ml,https://cdn.carrefour.eu/160_06183498_8717163761335_00.jpeg,"5,75€",Per stuk,"28,75€",/l
39,Bebio Bodycrème Hydraterend en Voedend 150 ml,https://cdn.carrefour.eu/160_06265957_5413393001069_00.jpeg,"8,75€",Per stuk,"58,33€",/l
40,Bebio Liniment Billenzorg 400 ml,https://cdn.carrefour.eu/160_06276237_5413393001076_00.jpeg,"8,69€",Per stuk,"21,73€",/l
41,Pampers Aqua Pure Babydoekjes 9 Verpakkingen = 432 Babydoekjes,https://cdn.carrefour.eu/160_06506697_8001841247144_00.jpeg,"25,49€",Per pak,"25,49€",/stuk
