,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Oxy Soft Ontvlekker zonder Javel 22 Wasbeurten 2 L,https://cdn.carrefour.eu/160_05970801_3560071081096_00.jpeg,"3,25€",Per stuk,"1,63€",/l
1,Carrefour Anti Verkleuring 24 Doekjes,https://cdn.carrefour.eu/160_06002179_3560071163662_00.jpeg,"2,99€",Per stuk,"2,99€",/stuk
2,Carrefour Oxy Power Voorwasontvlekker 500 ml,https://cdn.carrefour.eu/160_06003670_3560071081072_00.jpeg,"2,99€",Per stuk,"5,98€",/l
3,Carrefour Oxy Power Ontvlekker 29 Wasbeurten 1 kg,https://cdn.carrefour.eu/160_05378346_3560071081034_00.jpeg,"3,49€",Per stuk,"3,49€",/kg
4,Carrefour Red Wasverzachter 44 Wasbeurten 1.188 L,https://cdn.carrefour.eu/160_06153010_3560071193287_00.jpeg,"1,99€",Per stuk,"0,05€",/dosis
5,Carrefour Frisheid Wasverzachter 27 Wasbeurten 2 L,https://cdn.carrefour.eu/160_06192945_3560071194932_00.jpeg,"2,15€",Per stuk,"0,08€",/dosis
6,Carrefour 2in1 Antiverkleuring en Ontvlekker 12 x 30 g,https://cdn.carrefour.eu/160_06008880_3560071081331_00.jpeg,"3,25€",Per stuk,"3,25€",/stuk
7,Carrefour Patchoeli & Mandarijn Wasverzachter 44 Wasbeurten 1.188 L,https://cdn.carrefour.eu/160_06154555_3560071193379_00.jpeg,"1,99€",Per stuk,"0,05€",/dosis
8,Carrefour Essential Sodakristallen 500 g,https://cdn.carrefour.eu/160_06719475_3560071271619_00.jpeg,"1,59€",Per stuk,"3,18€",/kg
9,Carrefour Horizon Jasmijn & Kumquat Wasverzachter 55 Wasbeurten 1.5 L,https://cdn.carrefour.eu/160_06191719_3560071195328_00.jpeg,"1,89€",Per stuk,"0,04€",/dosis
10,Carrefour Papaja & Tiarebloemen Wasverzachter 55 Wasbeurten 1.5 L,https://cdn.carrefour.eu/160_06191724_3560071195380_00.jpeg,"1,89€",Per stuk,"0,04€",/dosis
11,Carrefour Horizon Kersenbloesems Wasverzachter 55 Wasbeurten 1.5 L,https://cdn.carrefour.eu/160_06191727_3560071195359_00.jpeg,"1,89€",Per stuk,"0,04€",/dosis
12,Calgon Power Gel 3in1 45 Wasbeurten 2.25 L,https://cdn.carrefour.eu/160_05108210_8410104753221_00.jpeg,"15,05€",Per stuk,"6,69€",/l
13,Calgon Hygiëne+ Gel Wasmachine Reiniger Anti kalk 15 Wasbeurten 750 ml,https://cdn.carrefour.eu/160_05820094_5410036104507_00.jpeg,"8,25€",Per stuk,"11,00€",/l
14,Calgon Powerball Tabs Wasmachine & Reiniger Anti kalk 55 Tabletten,https://cdn.carrefour.eu/160_05996935_8710552284798_00.jpeg,"18,75€",Per stuk,"0,34€",/dosis
15,HG Apparaten Onderhoudsmonteur voor Was- en Vaatwasmachines 2 x 100 g,https://cdn.carrefour.eu/160_04952338_8711577190125_00.jpeg,"10,19€",Per stuk,"50,95€",/l
16,Robijn Wasverzachter Puur & Zacht Hypoallergeen  60 wasbeurten,https://cdn.carrefour.eu/160_04683808_8717644414859_00.jpeg,"5,75€",Per stuk,"0,11€",/dosis
17,Loda Soda Kristallen 2 kg,https://cdn.carrefour.eu/160_00171717_5412008010038_00.jpeg,"3,35€",Per stuk,"1,68€",/kg
18,Vanish Ontvlekker Voorwas 300 ml,https://cdn.carrefour.eu/160_05040893_3059942031198_00.jpeg,"5,55€",Per stuk,"18,50€",/l
19,Soupline Hemels Fris Droogtrommel Wasverzachterdoekjes 20 stuks,https://cdn.carrefour.eu/160_00847825_8718951024229_00.jpeg,"3,49€",Per stuk,"3,49€",/stuk
20,Calgon 3 in 1 Power Gel Reiniger en Anti kalk 15 Wasbeurten 750 ml,https://cdn.carrefour.eu/160_01651061_8710552272962_00.jpeg,"9,45€",Per stuk,"12,60€",/l
21,Dylon Intense Black All-in-1 Textielverf 350 g,https://cdn.carrefour.eu/160_05964618_3178041326575_00.jpeg,"11,09€",Per stuk,"31,69€",/kg
22,Riem Pre Wash Ontvlekker Spray vóór het Wassen 300 ml,https://cdn.carrefour.eu/160_01344522_5411323170007_00.jpeg,"5,19€",Per stuk,"17,30€",/l
23,Vanish Oxi Action Gold Powergel Vlekverwijderaar 200 mL,https://cdn.carrefour.eu/160_05663382_8710552576374_00.jpeg,"4,59€",Per stuk,"22,95€",/l
24,Riem Pre Wash Ontvlekker Spray vóór het Wassen 300 ml,https://cdn.carrefour.eu/160_01344522_5411323170007_00.jpeg,"5,19€",Per stuk,"17,30€",/l
25,Robijn Fris & Zacht Vloeibare Wasverzachter Lavendel 60 Wasbeurten,https://cdn.carrefour.eu/160_05227953_8711700692465_00.jpeg,"5,65€",Per stuk,"0,10€",/dosis
26,Eres Blanc Nuclear White Activator 15 Wasbeurten 300 g,https://cdn.carrefour.eu/160_05348248_5410458252152_00.jpeg,"5,59€",Per stuk,"18,63€",/kg
27,Solvay BicarNet 100 % Natriumbicarbonaat 500 g,https://cdn.carrefour.eu/160_05438129_8026048000019_00.jpeg,"2,24€",Per stuk,"4,48€",/kg
28,Vanish Oxi 2 in 1 Kleurbeschermer & Vlekverwijderaar 12 Zakjes,https://cdn.carrefour.eu/160_05312107_3059942029546_00.jpeg,"6,59€",Per stuk,"0,55€",/dosis
29,Shout® Vlekkenoplosser- voor- Wasgoed -500 ml,https://cdn.carrefour.eu/160_06003917_5000204003598_00.jpeg,"3,35€",Per stuk,"6,78€",/l
30,Carrefour Discount Set van 10 metalen kleerhangers,https://cdn.carrefour.eu/160_05695206_3614610014141_00.jpeg,"2,50€",Per stuk,"2,50€",/stuk
31,Carrefour Home Set van 3 houten kleerhangers,https://cdn.carrefour.eu/160_05704363_3614610048771_00.jpeg,"2,49€",Per stuk,"2,49€",/stuk
32,HG Woonkamer Alle Nare Geurtjes Weg 500 ml,https://cdn.carrefour.eu/160_04964565_8711577190736_00.jpeg,"6,95€",Per stuk,"13,90€",/l
33,Robijn Intense Wasverzachter Forever Gold 58 Wasbeurten 870 ml,https://cdn.carrefour.eu/160_05911740_8710447210628_00.jpeg,"6,09€",Per stuk,"7,00€",/l
34,Robijn Intense Vloeibare Wasverzachter Fuchsia Passion 58 Wasbeurten,https://cdn.carrefour.eu/160_05911840_8710447210635_00.jpeg,"6,05€",Per stuk,"6,95€",/l
35,Robijn Intense Vloeibare Wasverzachter Fresh Sky 58 Wasbeurten,https://cdn.carrefour.eu/160_05911871_8710447210611_00.jpeg,"6,05€",Per stuk,"6,95€",/l
36,Eau Ecarlate Revive Colors 20 doekjes,https://cdn.carrefour.eu/160_05937441_3152210008714_00.jpeg,"5,65€",Per stuk,"0,28€",/dosis
37,Riem Waterdichtmaker Universeel Beschermingsspray 400 ml,https://cdn.carrefour.eu/160_01379938_5411323100004_00.jpeg,"6,95€",Per stuk,"17,38€",/l
38,Merito Strijkt Gemakkelijk 500 ml,https://cdn.carrefour.eu/160_01170858_5410513777507_00.jpeg,"3,45€",Per stuk,"6,90€",/l
39,Remy Style Natuurlijk Stijfsel 400 ml,https://cdn.carrefour.eu/160_00171267_5415040100033_00.jpeg,"3,35€",Per stuk,"8,38€",/l
40,Remy Easy 400 ml,https://cdn.carrefour.eu/160_00171274_5415040100040_00.jpeg,"3,35€",Per stuk,"8,38€",/l
