,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Captain Iglo Captain's Classics Pompoenpitten & Boekweit 220 g,https://cdn.carrefour.eu/160_06768504_5414807007400_00.jpeg,"4,15€",Per stuk,"18,86€",/kg
1,Captain Iglo Captain's Classics 4 Kombinos Spinazie 400 g,https://cdn.carrefour.eu/160_06779329_5414807007448_00.jpeg,"5,69€",Per stuk,"14,23€",/kg
2,Captain Iglo Captain's Classics 4 Kombinos Broccoli 400 g,https://cdn.carrefour.eu/160_06784170_5414807007455_00.jpeg,"5,69€",Per stuk,"14,23€",/kg
3,Carrefour Tijgergarnaalstaarten 9/13 Stuks 500 g,https://cdn.carrefour.eu/160_03401866_5400101036826_00.jpeg,"15,99€",Per stuk,"35,53€",/kg
4,Carrefour Garnaalstaarten 23/27 Stuks 500 g,https://cdn.carrefour.eu/160_03401878_5400101253490_00.jpeg,"14,99€",Per stuk,"33,31€",/kg
5,Carrefour KKC Zalmmoten 4 Stuks 460 g,https://cdn.carrefour.eu/160_05463436_3560070851003_00.jpeg,"14,65€",Per stuk,"31,85€",/kg
6,Carrefour Gepaneerde Kabeljauwfilets 4 Stuks 500 g,https://cdn.carrefour.eu/160_05320274_3560070439430_00.jpeg,"7,95€",Per stuk,"15,90€",/kg
7,Carrefour Garnaalstaarten M Rauw Ongepeld 450 g,https://cdn.carrefour.eu/160_05548610_3560070210503_00.jpeg,"14,49€",Per stuk,"32,20€",/kg
8,Carrefour Garnaalstaarten Rauw Gepeld M 450 g,https://cdn.carrefour.eu/160_05548629_3560070210626_00.jpeg,"12,49€",Per stuk,"27,76€",/kg
9,Carrefour Gepaneerde Vissticks 15 x 30 g,https://cdn.carrefour.eu/160_05766704_3560070361588_00.jpeg,"1,99€",Per stuk,"4,42€",/kg
10,Carrefour Schol Filets 500 g,https://cdn.carrefour.eu/160_05563095_3560070826001_00.jpeg,"9,99€",Per stuk,"19,98€",/kg
11,Carrefour Selection Sint-Jacobsnoten 450 g,https://cdn.carrefour.eu/160_03401804_5400101031555_00.jpeg,"26,39€",Per stuk,"52,78€",/kg
12,Carrefour Gernaalstaarten Party 450 g,https://cdn.carrefour.eu/160_03401882_5400101404366_00.jpeg,"15,95€",Per stuk,"31,90€",/kg
13,Carrefour Alaska Pollak 4 Mootjes Filets 4 x 100 g,https://cdn.carrefour.eu/160_05153027_3270190213109_01.jpeg,"2,99€",Per stuk,"7,48€",/kg
14,Carrefour Kabeljauw 4 Mootjes Filets 4 x 100 g,https://cdn.carrefour.eu/160_04588112_3270190020738_00.jpeg,"5,85€",Per stuk,"14,63€",/kg
15,Carrefour Inktvistubes 750 g,https://cdn.carrefour.eu/160_05405838_3560070274239_00.jpeg,"9,65€",Per stuk,"12,87€",/kg
16,Carrefour Beignets op Romeinse Wijze 500 g,https://cdn.carrefour.eu/160_05405839_3560070778379_00.jpeg,"2,29€",Per stuk,"4,58€",/kg
