,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Extra Gerookte Zalm Noorwegen 4 Sneetjes KKC 140 g,https://cdn.carrefour.eu/160_05354739_5400101030534_00.jpeg,"5,85€",Per stuk,"41,79€",/kg
1,Carrefour The Market Noordzee Gekookt & Gepeld Grijze Garnalen 200 g,https://cdn.carrefour.eu/160_04874206_5400101009141_00.jpeg,"11,99€",Per stuk,"59,95€",/kg
2,Carrefour The Market Noordzee Gekookt & Gepeld Grijze Garnalen 125 g,https://cdn.carrefour.eu/160_04901833_5400101010925_00.jpeg,"7,85€",Per stuk,"62,80€",/kg
3,Carrefour Selection Grijze Noordzee Garnalen 100 g,https://cdn.carrefour.eu/160_04874239_5400101009158_00.jpeg,"6,49€",Per stuk,"64,90€",/kg
4,Gerookte Atlantische Zalm 200 g,https://cdn.carrefour.eu/160_04903491_5400101076587_00.jpeg,"5,45€",Per stuk,"27,25€",/kg
5,Carrefour Extra Gerookte Zalm Schotland 4 Sneetjes 140 g,https://cdn.carrefour.eu/160_05354814_5400101030541_00.jpeg,"6,75€",Per stuk,"48,21€",/kg
6,Carrefour Extra Gerookte Zalm Noorwegen 2 Sneetjes KKC 70 g,https://cdn.carrefour.eu/160_05354831_5400101030558_00.jpeg,"3,15€",Per stuk,"45,00€",/kg
7,Carrefour The Market Gerookt Ardense Forel KKC 2 Stuks 125 g,https://cdn.carrefour.eu/160_05129080_5400101016378_00.jpeg,"4,99€",Per stuk,"39,92€",/kg
8,Haringfilets in Azijn 3/6 Stuks 350 g,https://cdn.carrefour.eu/160_01000200_5400101700130_00.jpeg,"1,75€",Per stuk,"9,72€",/kg
9,Carrefour Kabeljauwfilet MSC,https://cdn.carrefour.eu/160_03212856_2772856000000_00.jpg,"
Max.13,23€",Per stuk,"18,90€",/kg
10,Carrefour The Market Vis Schelvishaasje MSC,https://cdn.carrefour.eu/160_03215104_2775104000000_00.jpeg,"
Max.6,88€",Per stuk,"29,90€",/kg
11,Carrefour Forel Gegut,https://cdn.carrefour.eu/160_03215106_5400101030916_00.jpeg,"3,50€",Per stuk,"17,50€",/kg
12,Carrefour KKC Zalmfilet zonder Vel Graatvrij,https://cdn.carrefour.eu/160_03215108_2775108000000_00.jpeg,"
Max.8,07€",Per stuk,"29,90€",/kg
13,Carrefour The Market Zalm Zalmfilet KKC,https://cdn.carrefour.eu/160_03215112_2775112000000_00.jpeg,"
Max.7,88€",Per stuk,"31,50€",/kg
14,Carrefour The Market Zalm Zalmhaasje KKC 0.287 kg,https://cdn.carrefour.eu/160_03215114_2775114000000_00.jpeg,"
Max.9,88€",Per stuk,"39,50€",/kg
15,Carrefour Classic' Surimi Sticks met Krabsmaak 12 Stuks 200 g,https://cdn.carrefour.eu/160_01906708_5400101217720_00.jpeg,"1,19€",Per stuk,"5,95€",/kg
16,Carrefour The Market KKC Tartaar van Atlantische Zalm,https://cdn.carrefour.eu/160_03214776_5400102079907_00.jpeg,"7,70€",Per stuk,"51,33€",/kg
17,Carrefour The Market Vis Kabeljauwfilet MSC,https://cdn.carrefour.eu/160_03215102_2775106000000_00.jpeg,"
Max.5,85€",Per stuk,"20,90€",/kg
18,Carrefour Wijting Gepaneerd 200 g,https://cdn.carrefour.eu/160_03214326_5400101025806_00.jpeg,"3,00€",Per stuk,"15,00€",/kg
19,Carrefour Roodbaarshaasje Graatloos,https://cdn.carrefour.eu/160_03214712_2774712000000_00.jpg,"
Max.6,73€",Per stuk,"26,90€",/kg
20,Carrefour Zeeduivel Staart Panklaar,https://cdn.carrefour.eu/160_03215120_2775120000000_00.jpeg,"
Max.10,78€",Per stuk,"38,50€",/kg
21,Carrefour Pladijs 2/3 Panklaar,https://cdn.carrefour.eu/160_03215124_2775124000000_00.jpeg,"
Max.3,73€",Per stuk,"14,90€",/kg
22,Carrefour Pladijsfilet Graatloos,https://cdn.carrefour.eu/160_03215126_2775126000000_00.jpeg,"
Max.6,36€",Per stuk,"28,90€",/kg
23,Carrefour Gekuiste tong 6/7,https://cdn.carrefour.eu/160_03215130_2775130000000_00.jpeg,"
Max.6,38€",Per stuk,"31,90€",/kg
24,Carrefour Pladijs 2/3 Panklaar,https://cdn.carrefour.eu/160_03215124_2775124000000_00.jpeg,"
Max.3,73€",Per stuk,"14,90€",/kg
25,Carrefour Pladijsfilet Graatloos,https://cdn.carrefour.eu/160_03215126_2775126000000_00.jpeg,"
Max.6,36€",Per stuk,"28,90€",/kg
26,Carrefour Gekuiste tong 6/7,https://cdn.carrefour.eu/160_03215130_2775130000000_00.jpeg,"
Max.6,38€",Per stuk,"31,90€",/kg
27,Carrefour The Market Vis Koolvisfilet,https://cdn.carrefour.eu/160_03215132_2775132000000_00.jpeg,"
Max.4,63€",Per stuk,"18,50€",/kg
28,Carrefour Roodbaarsfilet,https://cdn.carrefour.eu/160_03215136_2775136000000_00.jpeg,"
Max.4,82€",Per stuk,"21,90€",/kg
29,Carrefour The Market Roze Garnalen met Staart Gekookt & Gepeld 150 g,https://cdn.carrefour.eu/160_04901807_5400101011052_00.jpeg,"5,29€",Per stuk,"35,27€",/kg
30,Carrefour The Market Extra Gekookt & Gepeld Roze Garnalen 200 g,https://cdn.carrefour.eu/160_04901832_5400101010918_00.jpeg,"5,99€",Per stuk,"29,95€",/kg
31,Carrefour Wijting Panklaar,https://cdn.carrefour.eu/160_03215602_2775602000000_00.jpeg,"
Max.3,75€",Per stuk,"13,90€",/kg
32,Carrefour Haring Filets met Azijn 500 g,https://cdn.carrefour.eu/160_06025113_5400101065192_00.jpeg,"4,00€",Per stuk,"16,00€",/kg
33,Carrefour KKC Zeebaars 0.384 kg,https://cdn.carrefour.eu/160_03215150_2775150000000_00.jpeg,"
Max.7,43€",Per stuk,"16,50€",/kg
