,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Carrefour Bereide Wijngaardslakken à la Bourguignonne 24 Stuks 178 g,https://cdn.carrefour.eu/160_05257483_3245414091412_00.jpeg,"7,49€",Per stuk,"42,08€",/kg
1,Carrefour Original Kroketten Grijze Garnalen 4 Stuks 250 g,https://cdn.carrefour.eu/160_05751410_5400101214996_00.jpeg,"3,95€",Per stuk,"15,80€",/kg
2,Carrefour Veggie Falafels Kikkererwten Groentjes 30 Stuks 510 g,https://cdn.carrefour.eu/160_05674763_3560070995875_00.jpeg,"6,49€",Per stuk,"12,73€",/kg
3,"Carrefour Veggie Burgers Tarwe, Spinazie, Emmentaler 4 Stuks 400 g",https://cdn.carrefour.eu/160_05638698_3560070995905_00.jpeg,"4,20€",Per stuk,"10,50€",/kg
4,Carrefour Classic' Kaaskroketten 8 Stuks 400 g,https://cdn.carrefour.eu/160_05542049_5400101040731_00.jpeg,"1,45€",Per stuk,"3,63€",/kg
5,Carrefour Extra Mix Ovennootjes Camembert 12 Stuks 192 g,https://cdn.carrefour.eu/160_06706613_5400101087187_00.jpeg,"2,85€",Per stuk,"14,84€",/kg
6,Carrefour Extra kroketten Kaas en Tartufata 16 Stuks 440 g,https://cdn.carrefour.eu/160_06717779_5400101087972_00.jpeg,"4,29€",Per stuk,"9,75€",/kg
7,Carrefour Sensation Tarwewafels Spianata 3 Stuks 705 g,https://cdn.carrefour.eu/160_06686598_5400101086586_00.jpeg,"3,99€",Per stuk,"5,66€",/kg
8,Carrefour Tarwepannenkoeken Ham-Kaas 20 x 50 g,https://cdn.carrefour.eu/160_04018390_3270190021100_00.jpeg,"4,75€",Per stuk,"4,75€",/kg
9,Authentic Asia Garnalen Wontonsoep met Noedels en Chinese Kool 309 g,https://cdn.carrefour.eu/160_05821740_8858984820624_00.jpeg,"4,95€",Per stuk,"16,02€",/kg
10,Chimay Sélection Bio Ham - Kaas met Speltmeel 4 Flapjes 190 g,https://cdn.carrefour.eu/160_06017220_5414752104346_00.jpeg,"5,15€",Per stuk,"27,11€",/kg
11,Mora Oven & Airfryer Rundvlees Kroketten 4 x 80 g,https://cdn.carrefour.eu/160_06052898_8710861995248_00.jpeg,"4,45€",Per stuk,"13,91€",/kg
12,De Belgen Garnaalkroketten 4 Stuks 250 g,https://cdn.carrefour.eu/160_05751411_5400101254374_00.jpeg,"6,95€",Per stuk,"6,95€",/stuk
13,Authentic Asia Garnalen Wontonsoep met Chinese Kool 145 g,https://cdn.carrefour.eu/160_05766839_8858984820709_00.jpeg,"4,05€",Per stuk,"27,93€",/kg
14,Chimay Sélection Kroketten Kaas 250 g,https://cdn.carrefour.eu/160_06275630_5414752104162_00.jpeg,"4,45€",Per stuk,"17,80€",/kg
15,Chimay Sélection Flapjes Ham - Kaas 6 Stuks 255 g,https://cdn.carrefour.eu/160_05474449_5414752104773_00.jpeg,"4,15€",Per stuk,"16,27€",/kg
16,Chimay Sélection Flapjes Champignons - Kaas 6 Stuks 255 g,https://cdn.carrefour.eu/160_05474451_5414752104780_00.jpeg,"4,15€",Per stuk,"16,27€",/kg
17,Blini Surprises Fromagères 250 g,https://cdn.carrefour.eu/160_05494082_3760197630103_00.jpeg,"4,70€",Per stuk,"18,80€",/kg
18,Mora Oven & Airfryer Garnaal Kroketten 4 x 60 g,https://cdn.carrefour.eu/160_06226950_8710861948176_00.jpeg,"7,65€",Per stuk,"31,88€",/kg
19,Garden Gourmet Vegan Burger 4 x 75 g,https://cdn.carrefour.eu/160_06683493_7613287514936_00.jpeg,"5,19€",Per stuk,"17,30€",/kg
20,Garden Gourmet Vegan Nuggets 300 g,https://cdn.carrefour.eu/160_06684979_7613287431608_00.jpeg,"5,19€",Per stuk,"17,30€",/kg
21,Garden Gourmet Vegan Balls 300 g,https://cdn.carrefour.eu/160_06684980_7613287515469_00.jpeg,"5,19€",Per stuk,"17,30€",/kg
22,Carrefour Selection Comté & Parmigiano Reggiano 4 Stuks 250 g,https://cdn.carrefour.eu/160_06642449_5400101084926_00.jpeg,"2,39€",Per stuk,"2,39€",/stuk
23,Blini PETITES ALLUMETTES 310 g,https://cdn.carrefour.eu/160_06051629_3760197633364_00.jpeg,"4,59€",Per stuk,"14,81€",/kg
