,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Tropicana Sinaasappelsap Met Pulp Vers Fruit 90 cl,https://cdn.carrefour.eu/160_06145405_5410188036947_00.jpeg,"3,45€",Per stuk,"3,94€",/l
1,Tropicana Sanguinello Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06145462_5410188037081_00.jpeg,"4,09€",Per stuk,"4,54€",/l
2,Tropicana Apple Raspberry Redcurrant Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06145466_5410188036862_00.jpeg,"4,09€",Per stuk,"4,72€",/l
3,Tropicana Tropical Fruits Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06152672_5410188037043_00.jpeg,"3,85€",Per stuk,"4,28€",/l
4,Carrefour Bio 100% Puur Geperst Fruit Biosinaasappelsap 1 L,https://cdn.carrefour.eu/160_05713258_3560070820542_00.jpeg,"1,79€",Per stuk,"1,79€",/l
5,Carrefour Extra Multivitaminen 1 L,https://cdn.carrefour.eu/160_04570361_3270190025962_00.jpeg,"2,45€",Per stuk,"2,45€",/l
6,Carrefour 100% Puur Sap 3 Citrusvruchten 1 L,https://cdn.carrefour.eu/160_04620246_3245412336713_00.jpeg,"1,99€",Per stuk,"1,99€",/l
7,Tropical Sap uit Concentraten 1 L,https://cdn.carrefour.eu/160_04868100_3560070333066_00.jpeg,"1,29€",Per stuk,"1,29€",/l
8,Carrefour Appel Kers Sap uit Sapconcentraten 1 L,https://cdn.carrefour.eu/160_04976699_3560070428144_00.jpeg,"1,49€",Per stuk,"1,49€",/l
9,Carrefour Classic' Ananas 1 L,https://cdn.carrefour.eu/160_04976700_3560070117345_00.jpeg,"1,65€",Per stuk,"1,65€",/l
10,Carrefour Bio 100% Puur Geperst Fruit Bio Druivensap 1 L,https://cdn.carrefour.eu/160_05771529_3560070820566_00.jpeg,"2,29€",Per stuk,"2,29€",/l
11,Carrefour Sinaasappel 100% Puur Sap  1 L,https://cdn.carrefour.eu/160_05596043_3560070943968_00.jpeg,"1,89€",Per stuk,"1,89€",/l
12,Carrefour Bio 100% Puur Geperst Fruit Multivruchtensap 1 L,https://cdn.carrefour.eu/160_05728332_3560070820603_00.jpeg,"2,65€",Per stuk,"2,65€",/l
13,Carrefour Appel 1 L,https://cdn.carrefour.eu/160_05864075_3560070370504_00.jpeg,"2,09€",Per stuk,"2,09€",/l
14,Carrefour 100% Puur Sap Bloedsinaasappel 1 L,https://cdn.carrefour.eu/160_05850828_3270190026884_00.jpeg,"2,65€",Per stuk,"2,65€",/l
15,Carrefour Multivruchten 1 L,https://cdn.carrefour.eu/160_04723616_3560071019242_00.jpeg,"1,29€",Per stuk,"1,29€",/l
16,Carrefour Sinaasappelsap met pulp 6 x 1 L,https://cdn.carrefour.eu/160_05266534_3560070717729_00.jpeg,"9,90€",Per pak,"1,65€",/l
17,Carrefour Puur Sap Sinaasappel met Pulp 1 L,https://cdn.carrefour.eu/160_05266535_3560070717712_00.jpeg,"1,65€",Per stuk,"1,65€",/l
18,Carrefour Extra Appelsap 1 L,https://cdn.carrefour.eu/160_05442270_3560070275267_00.jpeg,"1,29€",Per stuk,"1,29€",/l
19,Carrefour Sinaasappelsap uit Sapconcentraat 4 x 1L,https://cdn.carrefour.eu/160_05543149_3270190192800_00.jpeg,"3,80€",Per pak,"0,95€",/l
20,Carrefour Sinaasappelsap uit Sapconcentraat 1 L,https://cdn.carrefour.eu/160_05543151_3270190192794_00.jpeg,"0,95€",Per stuk,"0,95€",/l
21,Carrefour Puur Sap Sinaasappel uit Brazilië 1 L,https://cdn.carrefour.eu/160_05266658_3560070338641_00.jpeg,"1,59€",Per stuk,"1,59€",/l
22,Carrefour Appelsap uit Sapconcentraat 6 x 2 L,https://cdn.carrefour.eu/160_05321261_3560070108473_00.jpeg,"10,50€",Per pak,"0,88€",/l
23,Carrefour Appelsap uit Sapconcentraat 2 L,https://cdn.carrefour.eu/160_05321262_3560070022397_00.jpeg,"1,75€",Per stuk,"0,88€",/l
24,Carrefour Appelsap uit Sapconcentraat 6 x 2 L,https://cdn.carrefour.eu/160_05321261_3560070108473_00.jpeg,"10,50€",Per pak,"0,88€",/l
25,Carrefour Appelsap uit Sapconcentraat 2 L,https://cdn.carrefour.eu/160_05321262_3560070022397_00.jpeg,"1,75€",Per stuk,"0,88€",/l
26,Carrefour Puur Druivensap 1 L,https://cdn.carrefour.eu/160_05483416_3560070453306_00.jpeg,"1,99€",Per stuk,"1,99€",/l
27,Carrefour Extra Multivruchtensap 1 L,https://cdn.carrefour.eu/160_05483418_3560070275328_00.jpeg,"1,99€",Per stuk,"1,99€",/l
28,Carrefour Extra Sap van Witte Druiven 1 L,https://cdn.carrefour.eu/160_05467759_3560070234868_00.jpeg,"1,99€",Per stuk,"1,99€",/l
29,Carrefour Extra Ananas 1 L,https://cdn.carrefour.eu/160_05499806_3245413852601_00.jpeg,"2,95€",Per stuk,"2,95€",/l
30,Carrefour Extra Ananassap 1 L,https://cdn.carrefour.eu/160_05430906_3560070275236_00.jpeg,"2,09€",Per stuk,"2,09€",/l
31,Carrefour Extra Clementinesap 1 L,https://cdn.carrefour.eu/160_05430907_3560070583348_00.jpeg,"1,99€",Per stuk,"1,99€",/l
32,Carrefour Puur Sap Sinaasappel uit Brazilië zonder Pulp 6 x 1 L,https://cdn.carrefour.eu/160_05266637_3560070338658_00.jpeg,"9,54€",Per pak,"1,59€",/l
33,Carrefour Sinaasappel 100% Puur Sap  1 L,https://cdn.carrefour.eu/160_05596043_3560070943968_00.jpeg,"1,89€",Per stuk,"1,89€",/l
34,Carrefour Bio Puur Sinaasappelsap 250 ml,https://cdn.carrefour.eu/160_06181363_5400101071681_00.jpeg,"1,45€",Per stuk,"5,80€",/l
35,Carrefour Nectar Multivruchten uit Sapconcentraten 6 x 20 cl,https://cdn.carrefour.eu/160_06627861_3560071019860_00.jpeg,"2,39€",Per pak,"0,33€",/l
36,Carrefour Classic' Appel 6 x 20 cl,https://cdn.carrefour.eu/160_06628196_3560070457151_00.jpeg,"1,29€",Per pak,"1,08€",/l
37,Carrefour Extra Multivruchtensap 6 x 20 cl,https://cdn.carrefour.eu/160_06628209_3560070829316_00.jpeg,"2,15€",Per pak,"1,79€",/l
38,Carrefour Classic' Orange Sinaasappel 6 x 20 cl,https://cdn.carrefour.eu/160_06625584_3560070155811_00.jpeg,"1,74€",Per pak,"1,45€",/l
39,Carrefour Extra Appelsap 6 x 20 cl,https://cdn.carrefour.eu/160_06628675_3560070829323_00.jpeg,"1,95€",Per pak,"1,63€",/l
40,Carrefour Vruchtendrank Multivruchten Smaak 2 L,https://cdn.carrefour.eu/160_06502760_3560070262229_00.jpeg,"1,75€",Per stuk,"0,88€",/l
41,Carrefour Multivruchten Smaak 6 x 2 L,https://cdn.carrefour.eu/160_06502740_3560070262236_00.jpeg,"10,50€",Per pak,"0,88€",/l
42,Carrefour Sinaasappelsmaak 2 L,https://cdn.carrefour.eu/160_06499099_3560070535552_00.jpeg,"1,75€",Per stuk,"0,88€",/l
43,Carrefour Sinaasappelsmaak 6 x 2 L,https://cdn.carrefour.eu/160_06499086_3560070535675_00.jpeg,"10,50€",Per pak,"0,88€",/l
44,Carrefour Tropical Smaak 2 L,https://cdn.carrefour.eu/160_06502663_3560070535583_00.jpeg,"1,49€",Per stuk,"0,75€",/l
45,Carrefour Bio 100% Puur Geperst Fruit Sinaasappelsap Bio 6 x 20 cl,https://cdn.carrefour.eu/160_06417506_3560070432295_00.jpeg,"3,59€",Per pak,"2,99€",/l
46,Carrefour Bio 100% Puur Geperst Fruit Appelsap Bio 6 x 20 cl,https://cdn.carrefour.eu/160_06417539_3560070432325_00.jpeg,"3,75€",Per pak,"3,13€",/l
47,Carrefour Tomaten 1 L,https://cdn.carrefour.eu/160_01683365_3560070479900_00.jpeg,"1,39€",Per stuk,"1,39€",/l
48,Carrefour Sensation Smoothie Aardbei-Framboos-Bosbes 250 ml,https://cdn.carrefour.eu/160_06019568_5400101064669_00.jpeg,"0,99€",Per stuk,"3,96€",/l
49,Carrefour Sensation Smoothie Mango-Passievrucht 250 ml,https://cdn.carrefour.eu/160_06019570_5400101064683_00.jpeg,"0,99€",Per stuk,"3,96€",/l
50,Carrefour Sensation Smoothie Ananas-Mango-Kokos 250 ml,https://cdn.carrefour.eu/160_06019571_5400101064690_00.jpeg,"0,99€",Per stuk,"3,96€",/l
51,Carrefour Extra Sinaasappel met Pulp 1 L,https://cdn.carrefour.eu/160_05600222_3270190023975_00.jpeg,"2,45€",Per stuk,"2,45€",/l
52,Carrefour Cranberry 1 L,https://cdn.carrefour.eu/160_05553120_3560070341627_00.jpeg,"1,59€",Per stuk,"1,59€",/l
53,Carrefour Sensation Smoothie Ananas-Kiwi-Limoen 250 ml,https://cdn.carrefour.eu/160_06181372_5400101071704_00.jpeg,"0,99€",Per stuk,"3,96€",/l
54,Carrefour Sensation Smoothie Aardbei-Banaan 250 ml,https://cdn.carrefour.eu/160_06181375_5400101071711_00.jpeg,"0,99€",Per stuk,"3,96€",/l
55,Minute Maid Multivitamines 4 x 1 L,https://cdn.carrefour.eu/160_04661423_5449000116147_00.jpeg,"8,75€",Per pak,"2,19€",/l
56,Minute Maid Sinaasappel 4 x 1 L,https://cdn.carrefour.eu/160_06033254_5449000243447_00.jpeg,"6,29€",Per pak,"1,57€",/l
57,Carrefour Bio Appelsap 100% Puur Sap 1 L,https://cdn.carrefour.eu/160_05713263_3560070820597_00.jpeg,"1,79€",Per stuk,"1,79€",/l
58,Kidibul Appel 75 cl,https://cdn.carrefour.eu/160_01088541_5415270100322_00.jpeg,"3,09€",Per stuk,"4,12€",/l
59,Materne Geperste Sinaasappel 1 L,https://cdn.carrefour.eu/160_01358494_5410046190507_00.jpeg,"3,55€",Per stuk,"3,55€",/l
60,Materne Geperste Pompelmoes 1 L,https://cdn.carrefour.eu/160_01358500_5410046190521_00.jpeg,"5,05€",Per stuk,"5,05€",/l
61,Materne Geperste Ananas 1 L,https://cdn.carrefour.eu/160_01884889_5410046190781_00.jpeg,"5,85€",Per stuk,"5,85€",/l
62,Materne Geperste Citroen 1 L,https://cdn.carrefour.eu/160_01884892_5410046190804_00.jpeg,"4,15€",Per stuk,"4,15€",/l
63,Granini Sinaasappel 6 x 1 L,https://cdn.carrefour.eu/160_05222722_4048517692994_00.jpeg,"15,59€",Per pak,"2,60€",/l
64,Granini Sinaasappel 1 L,https://cdn.carrefour.eu/160_05222933_4048517692963_00.jpeg,"2,60€",Per stuk,"2,60€",/l
65,granini Ananas 6 x 1 L,https://cdn.carrefour.eu/160_04531493_3503780002068_00.jpeg,"15,59€",Per pak,"2,60€",/l
66,granini Ananas 1 L,https://cdn.carrefour.eu/160_04531494_3503780002051_00.jpeg,"2,60€",Per stuk,"2,60€",/l
67,Minute Maid Appel 4 x 200 ml,https://cdn.carrefour.eu/160_01741669_5449000091277_00.jpeg,"3,19€",Per pak,"3,99€",/l
68,Tropicana Sinaasappelsap Met Pulp Vers Fruitsap 1.5L,https://cdn.carrefour.eu/160_05841811_5410188031836_00.jpeg,"4,55€",Per stuk,"3,03€",/l
69,"Innocent Kiwi Wonder Kiwis, Apples & Limes 250 ml",https://cdn.carrefour.eu/160_05700246_5038862318204_00.jpeg,"2,44€",Per stuk,"9,76€",/l
70,Materne Geperste Clementine 1 L,https://cdn.carrefour.eu/160_01731453_5410046190484_00.jpeg,"6,45€",Per stuk,"6,45€",/l
71,Minute Maid Multivitamines 4 x 200 ml,https://cdn.carrefour.eu/160_04009830_5449000101068_00.jpeg,"3,19€",Per pak,"3,99€",/l
72,granini Ananas 6 x 1 L,https://cdn.carrefour.eu/160_04531493_3503780002068_00.jpeg,"15,59€",Per pak,"2,60€",/l
73,granini Ananas 1 L,https://cdn.carrefour.eu/160_04531494_3503780002051_00.jpeg,"2,60€",Per stuk,"2,60€",/l
74,Materne Geperste Ananas 1 L,https://cdn.carrefour.eu/160_01884889_5410046190781_00.jpeg,"5,85€",Per stuk,"5,85€",/l
75,Materne Geperste Citroen 1 L,https://cdn.carrefour.eu/160_01884892_5410046190804_00.jpeg,"4,15€",Per stuk,"4,15€",/l
76,Minute Maid Appel 4 x 200 ml,https://cdn.carrefour.eu/160_01741669_5449000091277_00.jpeg,"3,19€",Per pak,"3,99€",/l
77,Tropicana Sinaasappelsap Met Pulp Vers Fruitsap 1.5L,https://cdn.carrefour.eu/160_05841811_5410188031836_00.jpeg,"4,55€",Per stuk,"3,03€",/l
78,"Innocent Kiwi Wonder Kiwis, Apples & Limes 250 ml",https://cdn.carrefour.eu/160_05700246_5038862318204_00.jpeg,"2,44€",Per stuk,"9,76€",/l
79,Materne Geperste Clementine 1 L,https://cdn.carrefour.eu/160_01731453_5410046190484_00.jpeg,"6,45€",Per stuk,"6,45€",/l
80,Minute Maid Multivitamines 4 x 200 ml,https://cdn.carrefour.eu/160_04009830_5449000101068_00.jpeg,"3,19€",Per pak,"3,99€",/l
81,Granini Multivitamines 1 L,https://cdn.carrefour.eu/160_04367478_4048517693045_00.jpeg,"2,60€",Per stuk,"2,60€",/l
82,Kidibul Appel-Kers 75 cl,https://cdn.carrefour.eu/160_01746561_5415270100353_00.jpeg,"3,09€",Per stuk,"4,12€",/l
83,The Berry Company Juice Drink Pomegranate 1 L,https://cdn.carrefour.eu/160_05202330_5034525007713_00.jpeg,"2,79€",Per stuk,"2,79€",/l
84,Rauch happy day 100% Apple 3 x 0.2 L,https://cdn.carrefour.eu/160_05217866_9008700140812_00.jpeg,"1,82€",Per pak,"3,03€",/l
85,Tropicana Sinaasappelsap Vers Fruitsap 25 cl,https://cdn.carrefour.eu/160_05560221_5410188803259_00.jpeg,"1,86€",Per stuk,"7,44€",/l
86,Druivensap uit Sapconcentraat 1L,https://cdn.carrefour.eu/160_06047721_3560071090951_00.jpeg,"1,19€",Per stuk,"1,19€",/l
87,Tropicana Sinaasappelsap Zonder Pulp Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06145407_5410188036961_00.jpeg,"3,45€",Per stuk,"3,94€",/l
88,Tropicana Sinaasappelsap Met Extra Pulp Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06145459_5410188036923_00.jpeg,"3,45€",Per stuk,"3,94€",/l
89,Tropicana Ruby Breakfast Vers Fruitsap 90 cl,https://cdn.carrefour.eu/160_06145461_5410188037067_00.jpeg,"3,55€",Per stuk,"3,94€",/l
90,Zonnatura Bio Granaatappelsap 330 ml,https://cdn.carrefour.eu/160_05906438_8710863805736_00.jpeg,"4,23€",Per stuk,"12,82€",/l
