,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,NESCAFÉ Koffie CAPPUCCINO Standard Zakjes 140 g,https://cdn.carrefour.eu/160_00814564_5011546475165_00.jpeg,"3,39€",Per stuk,"27,12€",/kg
1,NESCAFÉ Koffie CARAMEL LATTE Zakjes 136 g,https://cdn.carrefour.eu/160_04843443_5011546492834_00.jpeg,"3,15€",Per stuk,"23,16€",/kg
2,Nescafé Koffie CAPPUCCINO Latte Zakjes 144 g,https://cdn.carrefour.eu/160_04340125_5011798087031_00.jpeg,"3,32€",Per stuk,"23,06€",/kg
3,Carrefour Extra Gemalen Koffie Deca 500 g,https://cdn.carrefour.eu/160_01531209_5400101164956_00.jpeg,"5,39€",Per stuk,"10,78€",/kg
4,Carrefour Extra Koffiebonen Deca 500 g,https://cdn.carrefour.eu/160_01531210_5400101164963_00.jpeg,"6,29€",Per stuk,"12,58€",/kg
5,Carrefour Cafeïnevrij en Intens 100 g,https://cdn.carrefour.eu/160_04829380_3560070277315_00.jpeg,"3,45€",Per stuk,"34,50€",/kg
6,Carrefour Cappuccino met Heerlijk Chocoladepoeder om te Strooien 147 g,https://cdn.carrefour.eu/160_04554094_3560071013769_00.jpeg,"1,55€",Per stuk,"11,07€",/kg
7,Carrefour Extra Gemalen Koffie Dessert 500 g,https://cdn.carrefour.eu/160_01529810_5400101164994_00.jpeg,"4,39€",Per stuk,"8,78€",/kg
8,Carrefour Espresso Volmaakte Intensiteit 25 x 2 g,https://cdn.carrefour.eu/160_04003227_3560070018338_00.jpeg,"2,49€",Per stuk,"0,10€",/kg
9,Carrefour Extra Koffiebonen Dessert 500 g,https://cdn.carrefour.eu/160_01529811_5400101165007_00.jpeg,"5,99€",Per stuk,"11,98€",/kg
10,Carrefour Extra Gemalen Koffie Moka 500 g,https://cdn.carrefour.eu/160_01531203_5400101164895_00.jpeg,"4,95€",Per stuk,"9,90€",/kg
11,Carrefour Extra Koffiebonen Moka 500 g,https://cdn.carrefour.eu/160_01531204_5400101164901_00.jpeg,"5,99€",Per stuk,"11,98€",/kg
12,Carrefour Cappuccino met Chocolade 8 x 18 g,https://cdn.carrefour.eu/160_04554116_3560071013745_00.jpeg,"1,59€",Per stuk,"11,04€",/kg
13,Carrefour Kruidenthee Rode Vruchten 25 x 1.6 g,https://cdn.carrefour.eu/160_04626728_3560070232963_00.jpeg,"1,39€",Per stuk,"0,06€",/dosis
14,Carrefour Instant Thee Citroensmaak 400 g,https://cdn.carrefour.eu/160_05276640_3560070659487_00.jpeg,"2,89€",Per stuk,"7,23€",/kg
15,Carrefour Classic' Cichorei Koffie met Melk 400 g,https://cdn.carrefour.eu/160_05228865_3270190159179_00.jpeg,"4,65€",Per stuk,"11,63€",/kg
16,Carrefour Infusie Verbena 20 Zakjes 26 g,https://cdn.carrefour.eu/160_05749253_3560070888160_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
17,Carrefour Classic' English Breakfast Zwarte Thee 25 x 2 g,https://cdn.carrefour.eu/160_05701640_3560070230778_00.jpeg,"1,29€",Per stuk,"0,05€",/dosis
18,Carrefour Bio Infusie Lindebloesem Munt Theezakjes 20 x 1.3 g,https://cdn.carrefour.eu/160_05749267_3560070928408_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
19,Carrefour Classic' Halfvolle Melk Choco 1 L,https://cdn.carrefour.eu/160_05433379_5400101174733_00.jpeg,"1,09€",Per stuk,"1,09€",/l
20,Carrefour Bruine Koffiefilters N°4 80 Stuks,https://cdn.carrefour.eu/160_04032819_3390509964864_00.jpeg,"0,75€",Per stuk,"0,75€",/stuk
21,Carrefour Bio Kruidenthee Groene Munt en Tijm 20 Zakjes 30 g,https://cdn.carrefour.eu/160_05752507_3270190192039_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
22,Carrefour Bio Zwarte Thee Darjeeling 20 Stuks 32 g,https://cdn.carrefour.eu/160_05752523_3560070497164_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
23,Carrefour Bio Infusie Verbena Munt 20 Stuks 30 g,https://cdn.carrefour.eu/160_05752519_3560070751143_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
24,Carrefour Classic' English Breakfast Zwarte Thee 25 x 2 g,https://cdn.carrefour.eu/160_05701640_3560070230778_00.jpeg,"1,29€",Per stuk,"0,05€",/dosis
25,Carrefour Bio Infusie Lindebloesem Munt Theezakjes 20 x 1.3 g,https://cdn.carrefour.eu/160_05749267_3560070928408_00.jpeg,"1,49€",Per stuk,"0,07€",/dosis
26,Carrefour Extra Cappuccino 16 Capsules 170.4 g,https://cdn.carrefour.eu/160_06453018_3560071243814_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
27,Carrefour Extra Choco Leche 250.4 g,https://cdn.carrefour.eu/160_06454114_3560071241780_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
28,Carrefour Extra Grande 100% Arabica 16 x 7.5 g,https://cdn.carrefour.eu/160_06514915_3560071233990_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
29,Carrefour Extra Lungo 16 x 7 g,https://cdn.carrefour.eu/160_06448243_3560071234027_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
30,Carrefour Extra Intenso 16 x 7.5 g,https://cdn.carrefour.eu/160_06448247_3560071234003_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
31,Carrefour Extra Espresso 16 x 7 g,https://cdn.carrefour.eu/160_06448223_3560071234010_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
32,Carrefour Extra Lungo 30 x 7 g,https://cdn.carrefour.eu/160_06448239_3560071234041_00.jpeg,"5,49€",Per stuk,"0,18€",/dosis
33,Carrefour Classic' Cichorei Koffie 250 g,https://cdn.carrefour.eu/160_06567219_3270190009511_00.jpeg,"3,65€",Per stuk,"14,60€",/kg
34,Carrefour Extra Caffe Latte 16 x 9.7 g,https://cdn.carrefour.eu/160_06454090_3560071241773_00.jpeg,"2,99€",Per stuk,"0,19€",/dosis
35,Carrefour Extra Moka 20 Stuks 104 g,https://cdn.carrefour.eu/160_06678628_5400101086234_00.jpeg,"3,59€",Per stuk,"0,18€",/dosis
36,Carrefour Extra Dessert 20 Stuks 104 g,https://cdn.carrefour.eu/160_06678586_5400101086227_00.jpeg,"3,59€",Per stuk,"0,18€",/dosis
37,Carrefour Extra Deca 20 Stuks 104 g,https://cdn.carrefour.eu/160_06678629_5400101086241_00.jpeg,"3,99€",Per stuk,"0,20€",/dosis
38,Carrefour Extra Gemalen Koffie Deca 250 g,https://cdn.carrefour.eu/160_01531211_5400101164970_00.jpeg,"2,85€",Per stuk,"11,40€",/kg
39,Carrefour Extra Gemalen Koffie Dessert 250 g,https://cdn.carrefour.eu/160_01529812_5400101165014_00.jpeg,"2,49€",Per stuk,"9,96€",/kg
40,Carrefour Extra Gemalen Koffie Mild 250 g,https://cdn.carrefour.eu/160_01529814_5400101165038_00.jpeg,"2,65€",Per stuk,"10,60€",/kg
41,Carrefour Extra Gemalen Koffie Moka 250 g,https://cdn.carrefour.eu/160_01531205_5400101164918_00.jpeg,"2,49€",Per stuk,"9,96€",/kg
42,Carrefour Extra Gemalen Koffie Espresso 250 g,https://cdn.carrefour.eu/160_04002099_5400101164864_00.jpeg,"2,99€",Per stuk,"11,96€",/kg
43,Carrefour Extra Koffiebonen Espresso 1 kg,https://cdn.carrefour.eu/160_04838282_5400101257498_00.jpeg,"10,49€",Per stuk,"10,49€",/kg
44,Carrefour Classic' Halfvolle Melk Choco 6 x 200 ml,https://cdn.carrefour.eu/160_05451362_5400101035423_00.jpeg,"1,79€",Per stuk,"1,49€",/l
