,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Le Chat Vloeibaar Wasmiddel Gel Sensitive 34DS 1.7L,https://cdn.carrefour.eu/160_06652272_5410091761738_00.jpeg,"13,85€",Per stuk,"0,41€",/dosis
1,Le Chat Eco Sensitive Aloë Vera & Groene Thee 32 Wasbeurten 1.6 L,https://cdn.carrefour.eu/160_06209533_5410091751326_00.jpeg,"14,29€",Per stuk,"0,45€",/dosis
2,Carrefour Essential Wasmiddel Zeep Marseille&Oranjebloesem 44 Wasbeurt,https://cdn.carrefour.eu/160_06391519_3560071238087_00.jpeg,"3,99€",Per stuk,"0,09€",/dosis
3,Carrefour Wasmiddel Zoete Amandelbloesem 40 Wasbeurten 2.6 L,https://cdn.carrefour.eu/160_05988526_3560071238056_00.jpeg,"3,99€",Per stuk,"0,09€",/dosis
4,Carrefour Wasmiddel Duo-Tabs Expert Blauw 18 Wasbeurten 18 x 24.5 ml,https://cdn.carrefour.eu/160_06043117_3560071242343_00.jpeg,"3,85€",Per stuk,"0,21€",/dosis
5,Carrefour Wasmiddel Duo-Tabs Expert 18 Wasbeurten 18 x 24.5 ml,https://cdn.carrefour.eu/160_06043178_3560071242404_00.jpeg,"3,85€",Per stuk,"0,21€",/dosis
6,Carrefour Expert Colors Wasmiddel 1.5 L 30 Wasbeurten,https://cdn.carrefour.eu/160_06560189_3560071249847_00.jpeg,"1,99€",Per stuk,"0,07€",/dosis
7,Carrefour Expert Black 30 Wasmiddel 1.5 L,https://cdn.carrefour.eu/160_06572830_3560071249786_00.jpeg,"2,45€",Per stuk,"0,08€",/dosis
8,Carrefour Essential Zeep van Marseille in Vlokken 750 g,https://cdn.carrefour.eu/160_06773042_3560071421175_00.jpeg,"3,79€",Per stuk,"5,05€",/kg
9,Carrefour eco Planet Wasmiddel met  Bloemengeur 1.48 L 37 Wasbeurten,https://cdn.carrefour.eu/160_06818726_3560071255077_00.jpeg,"4,99€",Per stuk,"0,13€",/dosis
10,Carrefour Expert Delicate Wasmiddel met Marseillezeep 1.5 l,https://cdn.carrefour.eu/160_06542024_3560071249960_00.jpeg,"1,99€",Per stuk,"0,07€",/dosis
11,Carrefour Wasmiddel Duo-Tabs Blauwe Lagune 18 Wasbeurten,https://cdn.carrefour.eu/160_06792245_3560071247140_00.jpeg,"3,85€",Per stuk,"0,21€",/dosis
12,Carrefour Expert Colors Wasmiddel 30 x 23.2 ml,https://cdn.carrefour.eu/160_06811978_3560071250140_00.jpeg,"5,99€",Per stuk,"0,33€",/dosis
13,Carrefour Baby Wasmiddel 25 Wasbeurten 1.5 L,https://cdn.carrefour.eu/160_04582670_3560071158606_00.jpeg,"3,95€",Per stuk,"0,16€",/dosis
14,Dreft Everyday Care Zwart & Donker 2.2 L 40 Wasbeurten,https://cdn.carrefour.eu/160_06029590_8719558801305_00.jpeg,"7,95€",Per stuk,"0,20€",/dosis
15,Le Chat Wasmiddel Poeder Sensitive 38DS,https://cdn.carrefour.eu/160_06084727_5410091716264_00.jpeg,"15,25€",Per pak,"0,40€",/dosis
16,Coral  Vloeibaar Wasmiddel  Optimal Color  26 wasbeurten,https://cdn.carrefour.eu/160_06003857_8710447426722_00.jpeg,"9,25€",Per stuk,"0,36€",/dosis
17,Dreft Normaal 32 Wasbeurten 1.76 L,https://cdn.carrefour.eu/160_06029634_8719558801008_00.jpeg,"10,45€",Per stuk,"0,34€",/dosis
18,Le Chat Bébé 1.5 L,https://cdn.carrefour.eu/160_06003222_5410091744472_00.jpeg,"14,05€",Per stuk,"0,47€",/dosis
19,Woolite Wol & Zijde Wasmiddel met Keratine 32 Wasbeurten 1.9 L,https://cdn.carrefour.eu/160_06404531_5410036307304_00.jpeg,"11,29€",Per stuk,"0,35€",/dosis
20,Ecover Universal Waspoeder 40 Wasbeurten 3 kg,https://cdn.carrefour.eu/160_05108208_5412533421309_00.jpeg,"17,59€",Per stuk,"0,44€",/dosis
21,Wipp Express Handwas 13 Wasbeurten 325 g,https://cdn.carrefour.eu/160_01723020_5410091731588_00.jpeg,"2,24€",Per stuk,"0,17€",/dosis
22,Blan Pure White Bleekpoeder 500 g,https://cdn.carrefour.eu/160_06165768_5415040300020_00.jpeg,"4,09€",Per stuk,"8,18€",/kg
23,"Dash Plantaardig Vloeibaar Wasmiddel 1.32L, 24 Wasbeurten",https://cdn.carrefour.eu/160_06488734_8001841882116_00.jpeg,"9,65€",Per stuk,"0,40€",/dosis
24,Omino Bianco Frisheid Nature Fresh 40 Wasbeurten 2000 ml,https://cdn.carrefour.eu/160_06002434_8003650011442_00.jpeg,"10,45€",Per stuk,"0,26€",/dosis
25,Vloeibaar Wasmiddel 33 Wasbeurten 1.98 L,https://cdn.carrefour.eu/160_05975789_3560071241896_00.jpeg,"2,15€",Per stuk,"0,07€",/dosis
26,Blan Zeepvlokken Savon de Marseille 10 Wasbeurten 850 g,https://cdn.carrefour.eu/160_05324978_5415040325412_00.jpeg,"8,15€",Per stuk,"0,82€",/dosis
27,Biotex Poeder Wasmiddel Voorwas 2 kg,https://cdn.carrefour.eu/160_05513557_8712561482370_00.jpeg,"10,15€",Per stuk,"0,35€",/dosis
28,Dixan Poeder Wasmiddel Extreme Power 18DS 1.8 kg,https://cdn.carrefour.eu/160_05457781_5410091716226_00.jpeg,"9,65€",Per stuk,"0,54€",/dosis
29,Omino Bianco Color+ 40 Wasbeurten 2000 ml,https://cdn.carrefour.eu/160_06002436_8003650011527_00.jpeg,"10,45€",Per stuk,"0,26€",/dosis
30,Omino Bianco Frisheid Lavande 40 Wasbeurten 2000 ml,https://cdn.carrefour.eu/160_06002475_8003650011466_00.jpeg,"10,45€",Per stuk,"0,26€",/dosis
31,Omino Bianco Wit 40 Wasbeurten 2000 ml,https://cdn.carrefour.eu/160_06002476_8003650011480_00.jpeg,"10,45€",Per stuk,"0,26€",/dosis
32,Omino Bianco Sensitive 40 Wasbeurten 2000 ml,https://cdn.carrefour.eu/160_06002477_8003650011503_00.jpeg,"10,45€",Per stuk,"0,26€",/dosis
33,Coral  Vloeibaar Wasmiddel  Black Velvet  26 wasbeurten,https://cdn.carrefour.eu/160_06003880_8710447426715_00.jpeg,"9,25€",Per stuk,"0,36€",/dosis
34,Coral Vloeibaar Wasmiddel Witte Was Optimal White 26 Wasbeurten,https://cdn.carrefour.eu/160_06003881_8710447426777_00.jpeg,"9,25€",Per stuk,"0,36€",/dosis
35,Coral  Vloeibaar Wasmiddel  Wol & Zijde Delicaat textiel 26 wasbeurten,https://cdn.carrefour.eu/160_06003882_8710447426784_00.jpeg,"9,25€",Per stuk,"0,36€",/dosis
36,Dreft Normaal 15 Wasbeurten 1.050 kg,https://cdn.carrefour.eu/160_06029487_8719558801367_00.jpeg,"6,85€",Per stuk,"0,46€",/dosis
37,Dreft Normaal 60 Wasbeurten 4.200 kg,https://cdn.carrefour.eu/160_06029544_8719558801398_00.jpeg,"21,99€",Per pak,"0,38€",/dosis
38,Dreft Everyday Care Wol & Zijde 1.32 L 24 Wasbeurten,https://cdn.carrefour.eu/160_06029582_8719558801244_00.jpeg,"6,45€",Per stuk,"0,27€",/dosis
39,Dreft Everyday Care Amazon Regen 1.76 L 32 Wasbeurten,https://cdn.carrefour.eu/160_06032317_8719558801183_00.jpeg,"10,35€",Per stuk,"0,32€",/dosis
40,Dreft Normaal 880 ml 16 Wasbeurten,https://cdn.carrefour.eu/160_06029598_8719558800971_00.jpeg,"6,05€",Per stuk,"0,39€",/dosis
41,Dreft Everyday Care Ochtendfris 1.76 L 32 Wasbeurten,https://cdn.carrefour.eu/160_06029632_8719558801091_00.jpeg,"10,45€",Per stuk,"0,34€",/dosis
42,Dreft Ochtendfris Eco Pack 28 Wasbeurten 1540 ml,https://cdn.carrefour.eu/160_06029646_8719558801121_00.jpeg,"8,95€",Per stuk,"0,32€",/dosis
43,Dixan Discs Extreme Power 17 Wasbeurten 17 x 25 g,https://cdn.carrefour.eu/160_06212312_5410091751227_00.jpeg,"7,85€",Per stuk,"0,46€",/dosis
44,Dixan Discs Color 17 Wasbeurten 17 x 25 g,https://cdn.carrefour.eu/160_06212313_5410091751111_00.jpeg,"10,65€",Per stuk,"0,63€",/dosis
45,Dreft Eco Ultimate Care 4 in1 Caps Witte Bloem 15 x 26 g 15 Wasbeurten,https://cdn.carrefour.eu/160_06461230_8719558802845_00.jpeg,"9,35€",Per stuk,"0,62€",/dosis
46,Dreft Eco Ultimate Care 4in1 Caps Witte Bloem 40 x 26 g 40 Wasbeurten,https://cdn.carrefour.eu/160_06461249_8719558802876_00.jpeg,"23,35€",Per stuk,"0,61€",/dosis
47,Dreft Ultimate Care 4 in 1 Caps Normaal 42 x 26 g 42 Wasbeurten,https://cdn.carrefour.eu/160_06461394_8719558802814_00.jpeg,"23,09€",Per stuk,"0,57€",/dosis
48,Robijn Capsules Wasmiddel Collections Spa Sensation 15 stuks,https://cdn.carrefour.eu/160_06625383_8720181001123_00.jpeg,"8,95€",Per stuk,"0,62€",/dosis
49,Robijn Capsules Wasmiddel Collections Kokos Sensation 15 stuks,https://cdn.carrefour.eu/160_06625384_8720181001130_00.jpeg,"8,95€",Per stuk,"0,62€",/dosis
50,Le Chat Voorgedoseerd Wasmiddel Discs Sensitive 16DS 400g,https://cdn.carrefour.eu/160_06652273_5410091761905_00.jpeg,"11,85€",Per stuk,"0,74€",/dosis
51,Persil Vloeibaar Wasmiddel Gel Clean&Hygiene 36DS 1.8L,https://cdn.carrefour.eu/160_06600005_5410091761448_00.jpeg,"14,85€",Per stuk,"0,41€",/dosis
52,Persil Voorgedoseerd Wasmiddel Discs Clean&Hygiene 13DS 325g,https://cdn.carrefour.eu/160_06600006_5410091760793_00.jpeg,"7,25€",Per stuk,"0,56€",/dosis
53,Persil Voorgedoseerd Wasmiddel Discs Universeel 15DS 375g,https://cdn.carrefour.eu/160_06621434_5410091760847_00.jpeg,"8,49€",Per stuk,"0,57€",/dosis
54,Persil Voorgedoseerd Wasmiddel Discs Kleur 15DS 375g,https://cdn.carrefour.eu/160_06621439_5410091760830_00.jpeg,"8,49€",Per stuk,"0,57€",/dosis
55,Dixan Vloeibaar Wasmiddel Gel Perfect&Gliss 35DS 1.75L,https://cdn.carrefour.eu/160_06621440_5410091761479_00.jpeg,"11,49€",Per stuk,"0,33€",/dosis
56,Dixan Vloeibaar Wasmiddel Gel Blooming Orchid  35DS 1.75L,https://cdn.carrefour.eu/160_06621441_5410091761455_00.jpeg,"10,99€",Per stuk,"0,31€",/dosis
57,Dixan Vloeibaar Wasmiddel Gel Lavendel 35DS 1.75L,https://cdn.carrefour.eu/160_06621443_5410091761462_00.jpeg,"10,99€",Per stuk,"0,31€",/dosis
58,Robijn Capsules Wasmiddel Collections Paradise Secret  15 stuks,https://cdn.carrefour.eu/160_06626098_8720181001116_00.jpeg,"8,95€",Per stuk,"0,62€",/dosis
59,Persil Voorgedoseerd Wasmiddel Discs Kleur 28DS 700g,https://cdn.carrefour.eu/160_06630066_5410091760854_00.jpeg,"14,85€",Per stuk,"0,53€",/dosis
60,Persil Vloeibaar Wasmiddel Active Gel Universeel 39DS 1.95L,https://cdn.carrefour.eu/160_06630074_5410091760809_00.jpeg,"12,89€",Per stuk,"0,33€",/dosis
61,Persil Vloeibaar Wasmiddel Active Gel Kleur Freshness by Silan 1.95L,https://cdn.carrefour.eu/160_06630118_5410091760786_00.jpeg,"13,15€",Per stuk,"0,34€",/dosis
