,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,BRU Natuurlijk Licht Bruisend Mineraalwater  PET 6 x 1.25 L,https://cdn.carrefour.eu/160_01111186_5410013305033_00.jpeg,"5,89€",Per pak,"0,81€",/l
1,BRU Natuurlijk Licht Bruisend Mineraalwater PET 8 x 50 cl,https://cdn.carrefour.eu/160_01379530_5410013307631_00.jpeg,"5,59€",Per pak,"1,40€",/l
2,BRU Natuurlijk Licht Bruisend Mineraalwater GLAS 6 x 1 L,https://cdn.carrefour.eu/160_06286319_5410013306108_00.jpeg,"6,59€",Per pak,"1,10€",/l
3,SPA REINE Natuurlijk Mineraalwater PET 6 x 1.5 L,https://cdn.carrefour.eu/160_01731957_5410013100027_00.jpeg,"5,39€",Per pak,"0,60€",/l
4,Carrefour Pierval Bronwater 6 x 1.5 L,https://cdn.carrefour.eu/160_01421117_5400101161597_00.jpeg,"2,76€",Per pak,"0,31€",/l
5,Carrefour Mineraalwater Natuurlijk Sprankelend 6 x 0.5 L,https://cdn.carrefour.eu/160_04013024_5400101207783_00.jpeg,"2,10€",Per pak,"0,70€",/l
6,Carrefour Natuurlijk Mineraalwater Uit de Alpen 6 x 1.5 L,https://cdn.carrefour.eu/160_05341930_3560070817580_00.jpeg,"2,94€",Per pak,"0,33€",/l
7,Carrefour Mineraalwater Natuurlijk Zacht Sprankelend 6 x 1.25 L,https://cdn.carrefour.eu/160_01433781_5400101167285_00.jpeg,"3,30€",Per pak,"0,44€",/l
8,Carrefour Natuurlijk Mineraalwater Bruisend 6 x 1.5 L,https://cdn.carrefour.eu/160_01166301_5400101176706_00.jpeg,"3,30€",Per pak,"0,37€",/l
9,Carrefour Pierval Bronwater 6 x 0.5 L,https://cdn.carrefour.eu/160_01530127_5400101161641_00.jpeg,"2,10€",Per pak,"0,70€",/l
10,Carrefour Gearomatiseerd Bruisend Water Citroen & Verbena 6 x 50 cl,https://cdn.carrefour.eu/160_05988838_5400101058958_00.jpeg,"2,19€",Per pak,"0,73€",/l
11,Carrefour Natuurlijk Mineraalwater uit de Alpen 6 x 1 L,https://cdn.carrefour.eu/160_05341951_3560070817559_00.jpeg,"2,88€",Per pak,"0,48€",/l
12,Carrefour Natuurlijk Mineraalwater Uit de Alpen 6 x 50 cl,https://cdn.carrefour.eu/160_05340905_3560070817511_00.jpeg,"2,34€",Per pak,"0,78€",/l
13,Carrefour Natuurlijk Mineraalwater uit de Alpen 12 x 33 cl,https://cdn.carrefour.eu/160_05341928_3560070817474_00.jpeg,"3,96€",Per pak,"1,00€",/l
14,Carrefour Kids Natuurlijk Mineraalwater 12 x 0.33 L,https://cdn.carrefour.eu/160_05407274_5400102019781_00.jpeg,"2,19€",Per pak,"0,55€",/l
15,HEPAR Plat Natuurlijk Mineraalwater 6 x 1 L,https://cdn.carrefour.eu/160_01249903_7613035974692_00.jpeg,"5,45€",Per pak,"0,91€",/l
16,SPA REINE Natuurlijk Mineraalwater PET 6 x 1 L,https://cdn.carrefour.eu/160_04315698_5410013101710_00.jpeg,"4,19€",Per pak,"0,70€",/l
17,SPA INTENSE Bruisend Natuurlijk Mineraalwater PET 6 x 1.5 L,https://cdn.carrefour.eu/160_01292403_5410013110026_00.jpeg,"6,35€",Per pak,"0,71€",/l
18,S.PELLEGRINO (SAN PELLEGRINO) Licht Bruisend Natuurlijk Mineraalwater 6 x 1 L,https://cdn.carrefour.eu/160_01392260_8002270044892_00.jpeg,"4,89€",Per pak,"0,82€",/l
19,Contrex 6 x 1.5 L,https://cdn.carrefour.eu/160_01392226_3179730100018_00.jpeg,"4,95€",Per pak,"0,55€",/l
20,VITTEL Natuurlijk Mineraalwater 6 x 1.5 L,https://cdn.carrefour.eu/160_01392239_7613036249935_00.jpeg,"4,79€",Per pak,"0,55€",/l
21,NESTLE PURE LIFE Plat Bronwater 6 x 1.5 L,https://cdn.carrefour.eu/160_01521666_3700123300021_00.jpeg,"3,95€",Per pak,"0,44€",/l
22,SPA REINE Natuurlijk Mineraalwater GLAS 6 x 1 L,https://cdn.carrefour.eu/160_01298089_5410013101024_00.jpeg,"4,65€",Per pak,"0,78€",/l
23,PERRIER Natuurlijk Bruisend Mineraalwater met Toevoeging van Koolzuurgas Fles 6 x 1 L,https://cdn.carrefour.eu/160_04403538_7613035833289_00.jpeg,"5,39€",Per pak,"0,90€",/l
24,Chaudfontaine Sparkling Pet 1500 ml X 6,https://cdn.carrefour.eu/160_01017510_5449000111722_00.jpeg,"7,09€",Per pak,"0,81€",/l
25,SPA INTENSE Bruisend Natuurlijk Mineraalwater PET 6 x 1 L,https://cdn.carrefour.eu/160_04358778_5410013111719_00.jpeg,"5,89€",Per pak,"0,98€",/l
26,SPA REINE Natuurlijk Mineraalwater PET 8 x 1.5 L,https://cdn.carrefour.eu/160_04412972_5410013109747_00.jpeg,"7,15€",Per pak,"0,60€",/l
