,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,So Thai Red Curry Paste 110 g,https://cdn.carrefour.eu/160_06579861_8715017719990_00.jpeg,"2,36€",Per stuk,"21,45€",/kg
1,Suzi Wan Zoetzure Saus,https://cdn.carrefour.eu/160_01430058_4002359637711_00.jpeg,"3,79€",Per stuk,"11,48€",/kg
2,Carrefour Sensation Spicy Salsa 315 g,https://cdn.carrefour.eu/160_04711008_3245412569098_00.jpeg,"1,59€",Per stuk,"5,05€",/kg
3,Carrefour Saus Salsa Mild 315 g,https://cdn.carrefour.eu/160_04711032_3245412569081_00.jpeg,"1,59€",Per stuk,"5,05€",/kg
4,Carrefour Saus Loempia Zoet & Pittig 250 ml,https://cdn.carrefour.eu/160_05678728_5400101137134_00.jpeg,"1,99€",Per stuk,"7,96€",/l
5,Carrefour Sambal Oelek Saus Zéér Pikant 200 g,https://cdn.carrefour.eu/160_05713745_5400101047884_00.jpeg,"2,65€",Per stuk,"13,25€",/kg
6,Carrefour Thai Chili Saus Zoet & Pikant 250 ml,https://cdn.carrefour.eu/160_05678731_5400101046931_00.jpeg,"1,39€",Per stuk,"5,56€",/l
7,Carrefour Saus Ketjap Manis Zoet 250 ml,https://cdn.carrefour.eu/160_05678734_5400101046948_00.jpeg,"1,95€",Per stuk,"7,80€",/l
8,Carrefour Sensation Kokosmelk 400 ml,https://cdn.carrefour.eu/160_05852376_3560070869886_00.jpeg,"1,09€",Per stuk,"2,73€",/l
9,Carrefour Uitjes Gebakken Krokante Garnituur 100 g,https://cdn.carrefour.eu/160_04731049_5400101256330_00.jpeg,"0,85€",Per stuk,"8,50€",/kg
10,Carrefour Sensation Specerijenmengeling voor Guacamole 20 g,https://cdn.carrefour.eu/160_06613994_3560070821204_00.jpeg,"0,95€",Per stuk,"47,50€",/kg
11,Carrefour Sensation Fajita Salsa 430 g,https://cdn.carrefour.eu/160_06799139_3245412563331_00.jpeg,"1,99€",Per stuk,"4,63€",/kg
12,Sharwood's Green Label Mango Chutney 227 g,https://cdn.carrefour.eu/160_00781895_50797417_00.jpeg,"4,44€",Per stuk,"19,56€",/kg
13,Flott Vongole 130 g,https://cdn.carrefour.eu/160_04956298_8000828001120_01.jpeg,"2,46€",Per stuk,"37,85€",/kg
14,Hengstenberg Rafano Piccante-Aromatico 145 g,https://cdn.carrefour.eu/160_05245246_4008100167575_00.jpeg,"2,24€",Per stuk,"15,45€",/kg
15,Hengstenberg kappertjes,https://cdn.carrefour.eu/160_05245265_4008100175570_00.jpeg,"2,45€",Per stuk,"81,67€",/kg
16,Sacla Olivoli Farcite al Peperone 140 g,https://cdn.carrefour.eu/160_01463484_8001060001626_00.jpeg,"2,09€",Per stuk,"26,13€",/kg
17,Sacla Peperonata Paprika's Gekookt met Uien en Tomaten 290 g,https://cdn.carrefour.eu/160_01396304_8001060001985_00.jpeg,"3,69€",Per stuk,"12,72€",/kg
18,Sol d'Or Ceci Lessati 400 g,https://cdn.carrefour.eu/160_01647443_5410385155151_00.jpeg,"1,22€",Per stuk,"5,08€",/kg
19,Old El Paso Chunky Salsa Dip 312 g,https://cdn.carrefour.eu/160_01488924_46000283289_00.jpeg,"3,52€",Per stuk,"3,59€",/stuk
20,Old El Paso Kruidenmix voor Guacamole Mild 20 g,https://cdn.carrefour.eu/160_01488930_46000815213_00.jpeg,"1,93€",Per stuk,"98,50€",/kg
21,Saclà Squeeze a Little Pesto van Basilicum 270 g,https://cdn.carrefour.eu/160_05547636_8001060025653_00.jpeg,"4,87€",Per stuk,"18,04€",/kg
22,Grissini traditional,https://cdn.carrefour.eu/160_01346712_8003899180015_00.jpeg,"1,49€",Per stuk,"11,92€",/kg
23,Granforno Grissini Torino 5 x 20 g,https://cdn.carrefour.eu/160_01346716_8003899181401_00.jpeg,"1,49€",Per stuk,"14,90€",/kg
24,Yutaka Soba Noodles 250 g,https://cdn.carrefour.eu/160_05164314_5014276700828_00.jpeg,"3,66€",Per stuk,"14,64€",/kg
25,Sacla Pastasaus Hele Cherrytomaten en Parmigiano Reggiano Kaas 350 g,https://cdn.carrefour.eu/160_04530941_8001060008588_00.jpeg,"3,99€",Per stuk,"10,53€",/kg
26,Sacla Pesto alla Rucola 190 g,https://cdn.carrefour.eu/160_04707362_8001060005273_00.jpeg,"3,95€",Per stuk,"21,63€",/kg
27,Fanta Cassis 330 ml,https://cdn.carrefour.eu/160_04893397_5449000293961_00.jpeg,"1,34€",Per stuk,"4,06€",/l
28,Mutti le Verdurine Salsina di Pomodoro e Verdurine 130 g,https://cdn.carrefour.eu/160_04936955_80042549_00.jpeg,"3,03€",Per stuk,"23,31€",/l
29,Blue Dragon Spring roll wrapper 134g,https://cdn.carrefour.eu/160_04941143_5010338015817_00.jpeg,"5,72€",Per stuk,"42,69€",/kg
30,Sacla Napoletana Pomodorini Ciliegia e Basilico 420 g,https://cdn.carrefour.eu/160_05033983_8001060006928_00.jpeg,"3,99€",Per stuk,"9,98€",/kg
31,Sacla Pesto van Wilde Knoflook 190 g,https://cdn.carrefour.eu/160_05040217_8001060014039_00.jpeg,"3,62€",Per stuk,"19,05€",/kg
32,Sacla Olive Nere Toste 200 g,https://cdn.carrefour.eu/160_05048444_8001060001480_00.jpeg,"3,09€",Per stuk,"15,45€",/kg
