,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Italië Toscane Chianti Piccini,https://cdn.carrefour.eu/160_00163738_8002793000504_00.jpeg,"3,99€",Per stuk,"5,32€",/l
1,"Jacob's Creek Classic Chardonnay Australia 37,5 cl",https://cdn.carrefour.eu/160_01479529_9300727405166_00.jpeg,"4,29€",Per stuk,"11,44€",/l
2,"Jacob's Creek Classic Shiraz Cabernet Australia 37,5 cl",https://cdn.carrefour.eu/160_01479534_9300727445117_00.jpeg,"4,49€",Per stuk,"11,97€",/l
3,Minervois 25 cl,https://cdn.carrefour.eu/160_01432892_3455180049276_00.jpeg,"1,89€",Per stuk,"7,56€",/l
4,Gallo Family Vineyards Grenache Rosé 750 ml,https://cdn.carrefour.eu/160_01379904_85000001608_00.jpeg,"6,99€",Per stuk,"9,32€",/l
5,Listel Sable de Camargue Grain de Gris 75 cl,https://cdn.carrefour.eu/160_00162247_3244081500005_00.jpeg,"5,89€",Per stuk,"7,85€",/l
6,Château Ventenac Cabardès Cuvée Carla 750 ml,https://cdn.carrefour.eu/160_00889834_3760182392108_00.jpeg,"6,29€",Per stuk,"8,39€",/l
7,Santa Rita 120 Sauvignon,https://cdn.carrefour.eu/160_00972273_7804330321209_00.jpeg,"6,49€",Per stuk,"8,65€",/l
8,Chili Central Valley Santa Rita 120 Reserva Especial Rosé,https://cdn.carrefour.eu/160_01379925_7804330361106_00.jpeg,"6,49€",Per stuk,"8,65€",/l
9,Australië Jacob's Creek Shiraz Rood,https://cdn.carrefour.eu/160_01096512_9300727453600_00.jpeg,"7,89€",Per stuk,"10,52€",/l
10,Marqués de Cáceres Rioja Reserva 75 cl,https://cdn.carrefour.eu/160_01063529_8410406211054_00.jpeg,"15,99€",Per stuk,"21,32€",/l
11,Fendant Roche Vineuse 75 cl,https://cdn.carrefour.eu/160_00162829_7610268263883_00.jpeg,"13,35€",Per stuk,"17,80€",/l
12,Frankrijk Provence Côteaux Varois Terres De Saint Louis Rosé,https://cdn.carrefour.eu/160_01631987_3269210252969_00.jpeg,"10,49€",Per stuk,"13,99€",/l
13,Piccini Nero d'Avola Terre Siciliane 750 ml,https://cdn.carrefour.eu/160_01488656_8002793957464_00.jpeg,"5,49€",Per stuk,"7,32€",/l
