,article_name,article_img,article_base_price,article_SKU,article_big_price,article_big_price_type
0,Violife Vioblock with Sea Salt 250 g,https://cdn.carrefour.eu/160_06734781_8719200212022_00.jpeg,"2,81€",Per stuk,"11,24€",/kg
1,Violife Vioblock Unsalted 250 g,https://cdn.carrefour.eu/160_06734780_8719200211605_00.jpeg,"2,81€",Per stuk,"11,24€",/kg
2,Carrefour Stylesse Gouda Jong 6 à 10 Sneetjes 300 g,https://cdn.carrefour.eu/160_04654640_5400101255432_00.jpeg,"4,45€",Per stuk,"14,83€",/kg
3,Carrefour Mozzarella 125 g,https://cdn.carrefour.eu/160_04732849_3560070060252_00.jpeg,"0,79€",Per stuk,"6,32€",/kg
4,Carrefour Geraspte Emmentaler 200 g,https://cdn.carrefour.eu/160_01925070_3560070119851_00.jpeg,"1,85€",Per stuk,"9,25€",/kg
5,Carrefour Geraspte Emmentaler Maxi Pack 1 kg,https://cdn.carrefour.eu/160_01847598_5400101217287_00.jpeg,"7,39€",Per stuk,"7,39€",/kg
6,Carrefour Room Vol 50 cl,https://cdn.carrefour.eu/160_01892486_5400101219205_00.jpeg,"1,95€",Per stuk,"3,90€",/l
7,Carrefour Gruyère Switzerland Geraspt 100 g,https://cdn.carrefour.eu/160_05168785_5400101162174_00.jpeg,"2,09€",Per stuk,"20,90€",/kg
8,Carrefour 30 Scharreleieren Medium A,https://cdn.carrefour.eu/160_05213778_5400101023406_00.jpeg,"5,99€",Per stuk,"5,99€",/stuk
9,Carrefour Geraspte Emmentaler Maxi Pack 500 g,https://cdn.carrefour.eu/160_01849924_5400101217355_00.jpeg,"4,19€",Per stuk,"8,38€",/kg
10,Carrefour Boter Gezouten 250 g,https://cdn.carrefour.eu/160_01823087_5400101213975_00.jpeg,"2,49€",Per stuk,"9,96€",/kg
11,Carrefour Classic' Melkerijboter Ongezouten 250 g,https://cdn.carrefour.eu/160_01823089_5400101213999_00.jpeg,"2,49€",Per stuk,"9,96€",/kg
12,Carrefour Gouda Holland Jong Sneetjes 300 g,https://cdn.carrefour.eu/160_01894549_3560070108442_00.jpeg,"2,29€",Per stuk,"7,63€",/kg
13,Carrefour Gouda Holland Belegen Sneetjes 300 g,https://cdn.carrefour.eu/160_01894557_3560070113453_00.jpeg,"3,19€",Per stuk,"10,63€",/kg
14,Carrefour Geraspte Emmentaler 3 x 100 g,https://cdn.carrefour.eu/160_04941528_3560070445257_00.jpeg,"2,85€",Per stuk,"9,50€",/kg
15,Carrefour Gouda Holland Oud Sneetjes 300 g,https://cdn.carrefour.eu/160_05038261_3560070113392_00.jpeg,"3,65€",Per stuk,"12,17€",/kg
16,Carrefour Classic' Scharreleieren Large 6 Stuks,https://cdn.carrefour.eu/160_04709026_5400101256651_00.jpeg,"1,89€",Per stuk,"1,89€",/stuk
17,Carrefour Room U.H.T. 30% V.G. 200 g,https://cdn.carrefour.eu/160_05369400_5400101031111_00.jpeg,"0,65€",Per stuk,"3,25€",/l
18,Carrefour Halfvolle melk 6 x 50 cl,https://cdn.carrefour.eu/160_04663833_5400101212893_00.jpeg,"3,54€",Per pak,"1,18€",/l
19,Carrefour Mozzarella Geraspte 200 g,https://cdn.carrefour.eu/160_04622451_3560070246571_00.jpeg,"1,45€",Per stuk,"7,25€",/kg
20,Carrefour Geraspte Kaas 500 g,https://cdn.carrefour.eu/160_05709860_5400101047594_00.jpeg,"3,49€",Per stuk,"6,98€",/kg
21,Carrefour Geraspte Kaas 3 x 100 g,https://cdn.carrefour.eu/160_05709861_5400101047600_00.jpeg,"2,29€",Per stuk,"7,63€",/kg
22,Carrefour Halfvolle Melk 6 x 1 L,https://cdn.carrefour.eu/160_05110399_5400102020275_00.jpeg,"5,34€",Per pak,"0,89€",/l
23,Carrefour Magere Melk 6 x 1 L,https://cdn.carrefour.eu/160_05110406_5400102020282_00.jpeg,"5,10€",Per pak,"0,85€",/l
24,Carrefour Gruyère Switzerland Blok 300 g,https://cdn.carrefour.eu/160_05169398_5400101216853_00.jpeg,"7,25€",Per stuk,"24,17€",/kg
25,Carrefour Bio Gouda Sneetjes 200 g,https://cdn.carrefour.eu/160_05466340_3560070514458_00.jpeg,"1,98€",Per stuk,"9,90€",/kg
26,Carrefour Geraspte Emmentaler 3 x 100 g,https://cdn.carrefour.eu/160_04941528_3560070445257_00.jpeg,"2,85€",Per stuk,"9,50€",/kg
27,Carrefour Gouda Holland Oud Sneetjes 300 g,https://cdn.carrefour.eu/160_05038261_3560070113392_00.jpeg,"3,65€",Per stuk,"12,17€",/kg
28,Carrefour Stylesse Gouda Jong 6 à 10 Sneetjes 300 g,https://cdn.carrefour.eu/160_04654640_5400101255432_00.jpeg,"4,45€",Per stuk,"14,83€",/kg
29,Carrefour Boomstammetje Geitenkaas Sainte Maure 200 g,https://cdn.carrefour.eu/160_05472577_3245414509603_00.jpeg,"2,39€",Per stuk,"11,95€",/kg
30,Carrefour Gouda Holland Jong Maxi Pack Sneetjes 500 g,https://cdn.carrefour.eu/160_06082302_3560071179663_00.jpeg,"3,75€",Per stuk,"7,50€",/kg
31,Carrefour Reblochon AOP 225 g,https://cdn.carrefour.eu/160_06014366_3060921457823_00.jpeg,"3,00€",Per stuk,"13,33€",/kg
32,Carrefour Eieren van Hennen met Vrije Uitloop Medium 12 Stuks,https://cdn.carrefour.eu/160_06438862_5400101256644_00.jpeg,"2,85€",Per stuk,"2,85€",/stuk
33,Carrefour Classic' Scharreleieren Large 12 Stuks,https://cdn.carrefour.eu/160_06444846_5400101256668_00.jpeg,"3,69€",Per stuk,"3,69€",/stuk
34,Carrefour Parmigiano Reggiano 100 g,https://cdn.carrefour.eu/160_04630842_3560070157198_00.jpeg,"1,95€",Per stuk,"19,50€",/kg
35,Carrefour Yoghurt op z'n Grieks Natuur 4 x 150 g,https://cdn.carrefour.eu/160_04675183_3245412511561_00.jpeg,"1,75€",Per stuk,"2,92€",/kg
